"player","salary","team","pos","opp","ceil","floor","fpts"
"Dennis Schroder",6600,"ATL","PG","OKC",46.5389,21.4011,33.97
"Russell Westbrook",11400,"OKC","PG","ATL",69.9501,43.7899,56.87
"John Collins",5000,"ATL","PF/C","OKC",38.1888,14.8512,26.52
"Paul George",7100,"OKC","SF","ATL",53.844,23.076,38.46
"Derrick Walton",3000,"MIA","PG/SG","DAL",6.8688,2.6712,4.77
"Salah Mejri",3000,"DAL","C","MIA",14.8857,1.9343,8.41
"Devin Harris",3600,"DAL","PG/SG","MIA",28.3232,5.5968,16.96
"Josh Richardson",6100,"MIA","SG/SF","DAL",47.6449,10.8151,29.23
"Yogi Ferrell",4800,"DAL","PG/SG","MIA",28.1868,5.7732,16.98
"Carmelo Anthony",5600,"OKC","SF/PF","ATL",44.892,17.028,30.96
"Ersan Ilyasova",4600,"ATL","SF/PF","OKC",32.3856,12.5944,22.49
"Jerami Grant",3500,"OKC","SF/PF","ATL",25.823,7.497,16.66
"Luke Babbitt",3100,"ATL","SF/PF","OKC",10.2129,1.3271,5.77
"Miles Plumlee",3500,"ATL","C","OKC",28.0545,3.6455,15.85
"Isaiah Taylor",3300,"ATL","PG","OKC",17.9256,3.4144,10.67
"Kent Bazemore",6100,"ATL","SG/SF","OKC",40.66,12.84,26.75
"Taurean Prince",5800,"ATL","SG/SF","OKC",49.737,6.463,28.1
"Marco Belinelli",3700,"ATL","SG","OKC",23.6968,7.4832,15.59
"Raymond Felton",3100,"OKC","PG/SG","ATL",23.7307,4.6893,14.21
"Steven Adams",6500,"OKC","C","ATL",45.8814,19.1986,32.54
"Bam Adebayo",4300,"MIA","PF/C","DAL",37.872,14.728,26.3
"Wesley Matthews",4600,"DAL","SG/SF","MIA",33.4805,12.6995,23.09
"Trevor Ariza",5500,"HOU","SG/SF","LAC",43.4565,20.9235,32.19
"Sindarius Thornwell",3000,"LAC","SG","HOU",11.6928,4.5472,8.12
"Sam Dekker",3700,"LAC","SF/PF","HOU",21.1396,4.6404,12.89
"P.J. Tucker",4400,"HOU","SF/PF","LAC",42.119,12.581,27.35
"C.J. Williams",3400,"LAC","SG","HOU",20.0736,7.8064,13.94
"Jawun Evans",3500,"LAC","PG","HOU",24.4656,9.5144,16.99
"Jamil Wilson",3700,"LAC","SF/PF","HOU",22.6512,8.8088,15.73
"Tarik Black",3000,"HOU","PF/C","LAC",25.8216,4.9184,15.37
"Ryan Anderson",4400,"HOU","PF/C","LAC",42.0122,11.1678,26.59
"Dennis Smith Jr.",4800,"DAL","PG/SG","MIA",36.144,14.056,25.1
"Harrison Barnes",6400,"DAL","SF/PF","MIA",40.0463,20.1737,30.11
"Maxi Kleber",3900,"DAL","PF","MIA",23.2128,9.0272,16.12
"Dwight Powell",3200,"DAL","PF/C","MIA",24.4104,4.6496,14.53
"Wayne Ellington",3900,"MIA","SG/SF","DAL",36.861,7.819,22.34
"Jordan Mickey",3900,"MIA","PF/C","DAL",38.9154,10.3446,24.63
"Tyler Johnson",5400,"MIA","PG/SG","DAL",44.9328,15.7872,30.36
"J.J. Barea",5000,"DAL","PG/SG","MIA",34.0848,13.2552,23.67
"Dirk Nowitzki",4500,"DAL","PF/C","MIA",34.1691,8.8109,21.49
"Kelly Olynyk",5600,"MIA","PF/C","DAL",56.3178,14.5222,35.42
"Dion Waiters",6000,"MIA","SG/SF","DAL",51.906,11.394,31.65
"DeAndre Bembry",3500,"ATL","SG/SF","OKC",16.6032,6.4568,11.53
"Patrick Patterson",3200,"OKC","PF/C","ATL",12.3144,2.3456,7.33
"Jordan Bell",4400,"GSW","PF/C","LAL",19.3968,7.5432,13.47
"Brandon Ingram",6800,"LAL","SG/SF","GSW",48.1866,16.4934,32.34
"Omri Casspi",4800,"GSW","SF/PF","LAL",19.4256,3.2944,11.36
"Kentavious Caldwell-Pope",5800,"LAL","SG","GSW",39.39,11.11,25.25
"Julius Randle",5400,"LAL","PF/C","GSW",38.2785,12.4215,25.35
"Nick Young",3300,"GSW","SG","LAL",22.218,5.382,13.8
"David West",3500,"GSW","PF/C","LAL",23.2806,5.6394,14.46
"Kyle Kuzma",6300,"LAL","SF/PF","GSW",44.6832,17.3768,31.03
"Jordan Clarkson",5100,"LAL","PG/SG","GSW",30.1213,13.2187,21.67
"Zaza Pachulia",3300,"GSW","C","LAL",19.9098,4.6702,12.29
"Quinn Cook",3100,"GSW","PG","LAL",19.0944,7.4256,13.26
"Andre Iguodala",4200,"GSW","SG/SF","LAL",32.4282,11.6918,22.06
"Patrick McCaw",3700,"GSW","PG/SF","LAL",27.2757,3.5443,15.41
"Andrew Bogut",3000,"LAL","C","GSW",9.5992,1.7608,5.68
"Shaun Livingston",3600,"GSW","PG/SG","LAL",NA,NA,0.62
"Draymond Green",7400,"GSW","PF/C","LAL",53.5567,23.5033,38.53
"Josh Hart",3900,"LAL","PG/SG","GSW",12.4704,4.8496,8.66
"Larry Nance",5200,"LAL","SF/PF","GSW",29.2752,11.3848,20.33
"Lonzo Ball",7000,"LAL","PG","GSW",44.9712,17.4888,31.23
"Corey Brewer",3600,"LAL","SG/SF","GSW",8.6736,2.4464,5.56
"Klay Thompson",7200,"GSW","SG","LAL",49.473,22.227,35.85
"Kevin Durant",11600,"GSW","SF/PF","LAL",88.4187,27.1613,57.79
"Nikola Jokic",7400,"DEN","C","POR",62.6472,18.7128,40.68
"Shabazz Napier",4300,"POR","PG/SG","DEN",50.799,6.601,28.7
"Jamal Murray",5800,"DEN","PG/SG","POR",43.1122,11.8078,27.46
"Gary Harris",6200,"DEN","SG","POR",46.7778,12.0622,29.42
"Jusuf Nurkic",6400,"POR","C","DEN",60.2685,7.8315,34.05
"C.J. McCollum",7000,"POR","PG/SG","DEN",53.7504,27.6896,40.72
"Andre Roberson",3400,"OKC","SG/SF","ATL",21.6531,7.8069,14.73
"Alex Abrines",3400,"OKC","SG/SF","ATL",11.7775,1.6825,6.73
"Josh Huestis",3000,"OKC","SF/PF","ATL",8.822,7.218,8.02
"Will Barton",5900,"DEN","SG/SF","POR",52.9254,12.4146,32.67
"Trey Lyles",4600,"DEN","SF/PF","POR",36.168,4.932,20.55
"Ed Davis",3800,"POR","PF/C","DEN",30.7272,3.9928,17.36
"Zach Collins",3400,"POR","PF/C","DEN",19.1952,7.4648,13.33
"Pat Connaughton",3300,"POR","SG/SF","DEN",24.981,5.299,15.14
"Jake Layman",3000,"POR","SF/PF","DEN",10.3191,1.3409,5.83
"Evan Turner",3800,"POR","SG/SF","DEN",35.1523,9.6277,22.39
"Wilson Chandler",4500,"DEN","SF/PF","POR",34.0704,9.6096,21.84
"Torrey Craig",3700,"DEN","SG/SF","POR",27.3456,10.6344,18.99
"Al-Farouq Aminu",4700,"POR","SF/PF","DEN",42.8582,10.3818,26.62
"Mason Plumlee",4400,"DEN","PF/C","POR",29.4126,12.3074,20.86
"DeAndre Jordan",7800,"LAC","C","HOU",51.6384,26.6016,39.12
"Bobby Brown",3000,"HOU","PG","LAC",12.218,4.182,8.2
"Kyle O'Quinn",4000,"NYK","PF/C","DET",27.3504,5.2096,16.28
"Doug McDermott",3700,"NYK","SF/PF","DET",26.144,4.256,15.2
"Langston Galloway",3700,"DET","PG/SG","NYK",25.4904,4.1496,14.82
"Luke Kennard",3600,"DET","SG","NYK",16.1568,6.2832,11.22
"Courtney Lee",5300,"NYK","SG/SF","DET",35.2065,12.6935,23.95
"Tobias Harris",6000,"DET","SF/PF","NYK",39.6225,19.0775,29.35
"Enes Kanter",6200,"NYK","PF/C","DET",41.633,11.067,26.35
"Ish Smith",3800,"DET","PG","NYK",29.4912,11.4688,20.48
"Reggie Jackson",5500,"DET","PG","NYK",44.4682,10.7718,27.62
"Jarrett Jack",4600,"NYK","PG","DET",37.0144,6.0256,21.52
"Anthony Tolliver",3700,"DET","SF/PF","NYK",26.0904,4.9696,15.53
"Eric Moreland",3000,"DET","PF/C","NYK",9.7776,3.8024,6.79
"Bradley Beal",7500,"WAS","SG","BKN",52.6217,24.1983,38.41
"John Wall",8700,"WAS","PG","BKN",58.3128,34.2472,46.28
"Mike Scott",4600,"WAS","PF","BKN",27.2624,3.7176,15.49
"Ron Baker",3300,"NYK","PG/SG","DET",16.9212,2.1988,9.56
"Lance Thomas",3200,"NYK","SF/PF","DET",20.5497,2.6703,11.61
"Reggie Bullock",3800,"DET","SG/SF","NYK",25.8794,5.3006,15.59
"Frank Ntilikina",4000,"NYK","PG/SG","DET",26.5248,10.3152,18.42
"Stanley Johnson",4200,"DET","SG/SF","NYK",29.0164,4.7236,16.87
"Andre Drummond",8600,"DET","C","NYK",58.752,27.648,43.2
"Michael Beasley",5200,"NYK","SF/PF","DET",36.0976,4.9224,20.51
"E'Twaun Moore",4700,"NOP","SG/SF","ORL",34.27,11.73,23
"Darius Miller",3300,"NOP","SF","ORL",21.5856,8.3944,14.99
"Mario Hezonja",4700,"ORL","SG","NOP",34.0371,4.4229,19.23
"D.J. Augustin",3800,"ORL","PG/SG","NOP",30.049,9.751,19.9
"Elfrid Payton",5600,"ORL","PG","NOP",42.4224,16.4976,29.46
"Jrue Holiday",7300,"NOP","PG/SG","ORL",52.2309,16.9491,34.59
"Nikola Vucevic",8900,"ORL","C","NOP",67.9968,26.4432,47.22
"DeMarcus Cousins",11100,"NOP","PF/C","ORL",81.4385,32.4615,56.95
"Jonathon Simmons",6600,"ORL","SG/SF","NOP",56.4305,13.6695,35.05
"Rajon Rondo",5700,"NOP","PG","ORL",46.336,11.584,28.96
"Dante Cunningham",3300,"NOP","SF/PF","ORL",21.8456,4.4744,13.16
"Arron Afflalo",3600,"ORL","SG/SF","NOP",7.2861,1.6539,4.47
"Adreian Payne",3000,"ORL","PF","NOP",NA,NA,0.44
"Marreese Speights",3000,"ORL","PF/C","NOP",35.9373,9.8427,22.89
"Kristaps Porzingis",8400,"NYK","PF/C","DET",62.7304,19.8096,41.27
"Bismack Biyombo",3100,"ORL","PF/C","NOP",15.934,4.626,10.28
"Jameer Nelson",3400,"NOP","PG/SG","ORL",24.9756,7.0444,16.01
"Shelvin Mack",3400,"ORL","PG/SG","NOP",19.6308,3.3292,11.48
"Jamel Artis",3000,"ORL","SG/SF","NOP",6.984,2.716,4.85
"Wesley Iwundu",3200,"ORL","SG/SF","NOP",14.3712,5.5888,9.98
"Rondae Hollis-Jefferson",6000,"BKN","SF/PF","WAS",48.4257,15.7143,32.07
"Tyler Zeller",3400,"BKN","C","WAS",30.8334,4.0066,17.42
"Marvin Williams",4000,"CHA","SF/PF","MIL",26.685,8.895,17.79
"Nicolas Batum",5500,"CHA","SG/SF","MIL",38.7949,17.0251,27.91
"Tony Snell",3700,"MIL","SG/SF","CHA",24.0486,8.2314,16.14
"Matthew Dellavedova",3200,"MIL","PG/SG","CHA",12.645,4.215,8.43
"John Henson",4400,"MIL","C","CHA",39.678,7.002,23.34
"Michael Kidd-Gilchrist",4400,"CHA","SF","MIL",28.602,12.258,20.43
"Malik Monk",3000,"CHA","PG/SG","MIL",6.2208,2.4192,4.32
"Johnny O'Bryant",3000,"CHA","PF/C","MIL",16.5456,6.4344,11.49
"Frank Kaminsky",3900,"CHA","PF/C","MIL",24.304,7.056,15.68
"Treveon Graham",3000,"CHA","SG/SF","MIL",4.4998,1.5402,3.02
"Thon Maker",3400,"MIL","PF/C","CHA",23.187,3.013,13.1
"Austin Rivers",5600,"LAC","PG/SG","HOU",46.41,13.09,29.75
"Willie Reed",3000,"LAC","C","HOU",6.3189,0.8211,3.57
"Eric Gordon",5900,"HOU","SG","LAC",49.5781,19.7619,34.67
"Nene ",3700,"HOU","C","LAC",37.4934,9.9666,23.73
"Lou Williams",7200,"LAC","PG/SG","HOU",54.2448,21.0952,37.67
"Montrezl Harrell",3600,"LAC","PF/C","HOU",35.992,4.908,20.45
"Michael Carter-Williams",3300,"CHA","PG","MIL",18.3744,2.5056,10.44
"DeAndre Liggins",3300,"MIL","SG/SF","CHA",11.505,1.495,6.5
"James Harden",11500,"HOU","PG/SG","LAC",83.6514,49.1286,66.39
