"player","salary","team","pos","opp","ceil","floor","fpts"
"Josh Huestis",3000,"OKC","SF","MIN",21.896,3.864,12.88
"Terrance Ferguson",3500,"OKC","SG/SF","MIN",25.848,2.872,14.36
"Carmelo Anthony",6200,"OKC","SF/PF","MIN",34.8138,20.4462,27.63
"Steven Adams",6500,"OKC","C","MIN",36.9069,20.3131,28.61
"Jimmy Butler",8700,"MIN","SG","OKC",51.0678,29.9922,40.53
"Patrick Patterson",3100,"OKC","PF/C","MIN",12.6707,3.0693,7.87
"Raymond Felton",3500,"OKC","PG/SG","MIN",23.075,9.425,16.25
"Paul George",7600,"OKC","SF","MIN",47.944,25.816,36.88
"Kobi Simmons",3400,"MEM","SG","NOP",12.132,1.348,6.74
"Russell Westbrook",11400,"OKC","PG","MIN",68.532,45.688,57.11
"Alex Abrines",3000,"OKC","SG/SF","MIN",10.278,1.142,5.71
"Jerami Grant",3400,"OKC","SF/PF","MIN",16.124,7.076,11.6
"Karl-Anthony Towns",8900,"MIN","C","OKC",56.3712,31.7088,44.04
"Andrew Wiggins",6200,"MIN","SG/SF","OKC",35.4105,19.4895,27.45
"Evan Fournier",5700,"ORL","SG/SF","MIL",37.2001,18.7399,27.97
"Aaron Gordon",8000,"ORL","SF/PF","MIL",50.524,23.776,37.15
"Jonathon Simmons",5200,"ORL","SG/SF","MIL",36.179,14.421,25.3
"Bismack Biyombo",5800,"ORL","PF/C","MIL",38.1282,9.8318,23.98
"Arron Afflalo",3300,"ORL","SG/SF","MIL",8.838,0.982,4.91
"Gorgui Dieng",3700,"MIN","PF/C","OKC",25.2185,7.3215,16.27
"Marcus Georges-Hunt",3000,"MIN","SG/SF","OKC",2.79,0.31,1.55
"Taj Gibson",5700,"MIN","PF/C","OKC",33.8086,17.0314,25.42
"Jeff Teague",5900,"MIN","PG","OKC",34.8194,17.5406,26.18
"Jamal Crawford",3600,"MIN","SG","OKC",20.7758,7.6842,14.23
"Tyus Jones",4500,"MIN","PG/SG","OKC",21.663,3.237,12.45
"Nemanja Bjelica",3000,"MIN","SF/PF","OKC",17.0115,3.6085,10.31
"JaMychal Green",4600,"MEM","SF/PF","NOP",27.3041,12.5559,19.93
"Jarell Martin",4100,"MEM","PF/C","NOP",24.8906,6.0294,15.46
"DeMarcus Cousins",11000,"NOP","PF/C","MEM",72.3363,45.2837,58.81
"Gerald Green",5300,"HOU","SG/SF","POR",34.632,12.168,23.4
"Jrue Holiday",6900,"NOP","PG/SG","MEM",48.867,26.313,37.59
"E'Twaun Moore",4600,"NOP","SG/SF","MEM",35.0064,16.4736,25.74
"Jameer Nelson",3000,"NOP","PG/SG","MEM",14.1526,4.2274,9.19
"Briante Weber",3000,"HOU","PG","POR",10.3075,1.4725,5.89
"Chris Paul",9700,"HOU","PG/SG","POR",62.7888,36.0912,49.44
"Ryan Anderson",4200,"HOU","PF/C","POR",27.8993,11.1207,19.51
"Trevor Ariza",5000,"HOU","SG/SF","POR",33.8111,17.8089,25.81
"P.J. Tucker",3600,"HOU","SF/PF","POR",22.1511,9.2689,15.71
"Clint Capela",6800,"HOU","C","POR",46.4529,25.5671,36.01
"Tarik Black",3500,"HOU","PF/C","POR",19.188,2.132,10.66
"Dante Cunningham",3600,"NOP","SF/PF","MEM",28.8315,9.8685,19.35
"Ian Clark",3000,"NOP","PG/SG","MEM",15.6948,2.3452,9.02
"Wayne Selden",3400,"MEM","PG/SG","NOP",22.0167,6.7633,14.39
"Mario Chalmers",3800,"MEM","PG","NOP",24.255,8.085,16.17
"Brandan Wright",3300,"MEM","PF/C","NOP",19.2885,3.8115,11.55
"Andrew Harrison",4000,"MEM","PG/SG","NOP",23.7272,7.4928,15.61
"Deyonta Davis ",3000,"MEM","PF/C","NOP",6.4512,1.2288,3.84
"Dillon Brooks",3500,"MEM","SG/SF","NOP",14.7339,4.5261,9.63
"Tyreke Evans",8300,"MEM","PG/SG","NOP",54.9384,28.3016,41.62
"Cheick Diallo",3300,"NOP","PF","MEM",5.5094,1.2506,3.38
"Darius Miller",3700,"NOP","SF","MEM",21.098,6.302,13.7
"Rajon Rondo",5700,"NOP","PG","MEM",49.53,16.51,33.02
"Marc Gasol",7600,"MEM","C","NOP",47.0625,28.2375,37.65
"James Ennis",3600,"MEM","SG/SF","NOP",23.8068,7.3132,15.56
"Mario Hezonja",5100,"ORL","SG","MIL",26.226,2.914,14.57
"Marreese Speights",3500,"ORL","PF/C","MIL",24.176,6.044,15.11
"Lou Williams",8100,"LAC","PG/SG","GSW",57.266,26.334,41.8
"DeAndre Jordan",7800,"LAC","C","GSW",49.296,26.544,37.92
"Sam Dekker",3700,"LAC","SF/PF","GSW",20.7018,5.3382,13.02
"Wesley Johnson",4200,"LAC","SG/SF","GSW",26.055,8.685,17.37
"Montrezl Harrell",4200,"LAC","PF/C","GSW",27.744,6.936,17.34
"Torrey Craig",3500,"DEN","SG/SF","ATL",12.168,1.352,6.76
"Gary Harris",5900,"DEN","SG","ATL",38.6484,21.2716,29.96
"Jamal Murray",6500,"DEN","PG/SG","ATL",46.746,16.854,31.8
"Wilson Chandler",4500,"DEN","SF/PF","ATL",32.0177,12.7623,22.39
"Mason Plumlee",4500,"DEN","PF/C","ATL",31.436,11.924,21.68
"Malik Beasley",3200,"DEN","PG/SG","ATL",12.8325,1.6675,7.25
"Trey Lyles",6100,"DEN","SF/PF","ATL",44.275,10.725,27.5
"Sindarius Thornwell",3000,"LAC","SG","GSW",15.785,2.255,9.02
"Jawun Evans",4700,"LAC","PG","GSW",49,7,28
"David West",3600,"GSW","PF/C","LAC",24.924,12.276,18.6
"Nick Young",3200,"GSW","SG","LAC",32.391,4.209,18.3
"Patrick McCaw",3400,"GSW","PG/SF","LAC",33.03,3.67,18.35
"Jordan Bell",4300,"GSW","PF/C","LAC",34.2789,7.7811,21.03
"Omri Casspi",3600,"GSW","SF/PF","LAC",30.3638,8.3162,19.34
"Shaun Livingston",3400,"GSW","PG/SG","LAC",28.365,9.455,18.91
"Zaza Pachulia",3300,"GSW","C","LAC",20.7792,7.3008,14.04
"Tyrone Wallace",3800,"LAC","PG/SG","GSW",17.8524,12.9276,15.39
"C.J. Williams",3900,"LAC","SG","GSW",29.3196,7.5604,18.44
"Kevin Durant",9500,"GSW","SF/PF","LAC",62.2749,38.9851,50.63
"Draymond Green",8400,"GSW","PF/C","LAC",55.212,30.388,42.8
"Andre Iguodala",4300,"GSW","SG/SF","LAC",31.624,15.576,23.6
"Will Barton",5600,"DEN","SG/SF","ATL",40.963,18.837,29.9
"Nikola Jokic",8600,"DEN","C","ATL",56.95,28.05,42.5
"John Henson",4900,"MIL","C","ORL",32.5325,12.9675,22.75
"Tony Snell",3600,"MIL","SG/SF","ORL",23.0688,8.9712,16.02
"Matthew Dellavedova",3800,"MIL","PG/SG","ORL",16.7229,5.1371,10.93
"Thon Maker",3000,"MIL","PF/C","ORL",21.5688,6.8112,14.19
"Sterling Brown",3000,"MIL","SG","ORL",10.1136,1.9264,6.02
"Eric Bledsoe",7000,"MIL","PG/SG","ORL",46.3372,22.8228,34.58
"Malcolm Brogdon",5000,"MIL","PG/SG","ORL",37.7673,19.8927,28.83
"Elfrid Payton",6800,"ORL","PG","MIL",49.0114,21.5086,35.26
"Wesley Iwundu",3000,"ORL","SG/SF","MIL",14.868,1.652,8.26
"D.J. Augustin",3500,"ORL","PG/SG","MIL",19.8245,5.7555,12.79
"Giannis Antetokounmpo",10700,"MIL","SF/PF","ORL",61.016,44.184,52.6
"Khris Middleton",7100,"MIL","SG/SF","ORL",49.8883,25.1317,37.51
"Sean Kilpatrick",3000,"MIL","PG/SG","ORL",5.185,0.915,3.05
"Dennis Schroder",6800,"ATL","PG","DEN",48.4251,30.3149,39.37
"Ersan Ilyasova",5700,"ATL","PF/C","DEN",38.553,15.747,27.15
"Tyler Cavanaugh",3400,"ATL","PF","DEN",12.0212,2.6388,7.33
"Miles Plumlee",3500,"ATL","C","DEN",14.3488,4.5312,9.44
"Isaiah Taylor",3600,"ATL","PG","DEN",3.3812,0.8988,2.14
"Mike Muscala",3000,"ATL","PF/C","DEN",7.2534,2.1666,4.71
"Tyler Dorsey",3000,"ATL","PG/SG","DEN",10.512,1.168,5.84
"Malcolm Delaney",3600,"ATL","PG/SG","DEN",23.2035,6.7365,14.97
"Kent Bazemore",5800,"ATL","SG/SF","DEN",36.6886,16.8714,26.78
"Taurean Prince",5500,"ATL","SG/SF","DEN",36.924,17.376,27.15
"Marco Belinelli",3800,"ATL","SG/SF","DEN",21.6531,7.8069,14.73
"Dewayne Dedmon",5100,"ATL","C","DEN",24.5234,10.0166,17.27
"John Collins",4800,"ATL","PF/C","DEN",22.3512,11.0088,16.68
"Eric Gordon",7200,"HOU","SG","POR",53.4616,25.1584,39.31
"Al-Farouq Aminu",4500,"POR","SF/PF","HOU",34.7295,15.9705,25.35
"Michael Carter-Williams",3300,"CHA","PG","DAL",17.9545,6.1455,12.05
"Johnny O'Bryant",3000,"CHA","PF/C","DAL",18.5535,3.1465,10.85
"Nicolas Batum",6000,"CHA","SG/SF","DAL",36.8016,17.3184,27.06
"Treveon Graham",3000,"CHA","SG/SF","DAL",16.0176,6.5424,11.28
"Hassan Whiteside",6800,"MIA","C","IND",51.9498,26.1702,39.06
"Michael Kidd-Gilchrist",4300,"CHA","SF","DAL",25.6464,9.9736,17.81
"Marvin Williams",3900,"CHA","SF/PF","DAL",19.5676,7.9924,13.78
"Kemba Walker",7900,"CHA","PG","DAL",48.0375,28.8225,38.43
"Devin Harris",3600,"DAL","PG/SG","CHA",22.3628,7.8572,15.11
"Jeremy Lamb",5400,"CHA","SG/SF","DAL",34.0605,16.3995,25.23
"Dwight Howard",7700,"CHA","C","DAL",54.5238,24.4962,39.51
"Frank Kaminsky",4400,"CHA","PF/C","DAL",32.333,11.067,21.7
"Josh Richardson",6300,"MIA","SG/SF","IND",38.8944,15.1256,27.01
"Goran Dragic",6500,"MIA","PG","IND",48.8448,27.4752,38.16
"Bojan Bogdanovic",4300,"IND","SG/SF","MIA",26.6478,11.9722,19.31
"Domantas Sabonis",6400,"IND","PF/C","MIA",41.8152,22.0248,31.92
"Cory Joseph",4200,"IND","PG","MIA",29.0601,12.1599,20.61
"TJ Leaf",3000,"IND","SF/PF","MIA",5.022,0.558,2.79
"Lance Stephenson",4700,"IND","SG/SF","MIA",30.2304,12.6496,21.44
"Darren Collison",5400,"IND","PG","MIA",35.1795,14.7205,24.95
"Thaddeus Young",4800,"IND","SF/PF","MIA",33.8216,16.6584,25.24
"Kelly Olynyk",5900,"MIA","PF/C","IND",43.416,16.884,30.15
"Tyler Johnson",5200,"MIA","PG/SG","IND",36.9702,15.4698,26.22
"Wayne Ellington",4600,"MIA","SG/SF","IND",33.0176,9.8624,21.44
"Bam Adebayo",3800,"MIA","PF/C","IND",37.632,9.408,23.52
"Victor Oladipo",8800,"IND","PG/SG","MIA",55.315,29.785,42.55
"Salah Mejri",3000,"DAL","C","CHA",24.1416,4.5984,14.37
"Maxi Kleber",3500,"DAL","PF","CHA",18.5265,2.1735,10.35
"Bradley Beal",7900,"WAS","SG","UTA",47.718,24.582,36.15
"John Wall",8500,"WAS","PG","UTA",53.9,32.34,43.12
"Otto Porter",6100,"WAS","SF/PF","UTA",35.145,14.355,24.75
"Marcin Gortat",4900,"WAS","C","UTA",26.9521,11.8279,19.39
"Kelly Oubre",4600,"WAS","SG/SF","UTA",25.5884,10.4516,18.02
"Joe Johnson",3600,"UTA","SG/SF","WAS",21.615,7.205,14.41
"Alec Burks",4000,"UTA","PG/SG","WAS",21.9285,4.6515,13.29
"Joe Ingles",4800,"UTA","SG/SF","WAS",32.6912,18.3888,25.54
"Rodney Hood",5300,"UTA","SG/SF","WAS",34.0998,15.3202,24.71
"Thabo Sefolosha",4400,"UTA","SF/PF","WAS",24.9232,8.7568,16.84
"Donovan Mitchell",7300,"UTA","PG/SG","WAS",49.194,23.686,36.44
"Ekpe Udoh",3500,"UTA","PF/C","WAS",30.6075,6.4925,18.55
"Markieff Morris",5300,"WAS","SF/PF","UTA",32.2368,11.9232,22.08
"Mike Scott",3800,"WAS","PF","UTA",26.386,7.014,16.7
"Dennis Smith Jr.",6100,"DAL","PG/SG","CHA",40.095,19.305,29.7
"Yogi Ferrell",3700,"DAL","PG/SG","CHA",24.5376,9.5424,17.04
"Dirk Nowitzki",4800,"DAL","PF/C","CHA",30.4392,15.6808,23.06
"J.J. Barea",5400,"DAL","PG/SG","CHA",37.1778,20.4622,28.82
"Dwight Powell",3700,"DAL","PF/C","CHA",26.4979,10.5621,18.53
"Wesley Matthews",5100,"DAL","SG/SF","CHA",34.9398,14.6202,24.78
"Harrison Barnes",6700,"DAL","SF/PF","CHA",37.8717,23.7083,30.79
"Ian Mahinmi",3300,"WAS","C","UTA",17.6486,4.6914,11.17
"Jodie Meeks",3100,"WAS","SG","UTA",14.619,3.101,8.86
"Tomas Satoransky ",3700,"WAS","PG/SG","UTA",14.7582,3.4618,9.11
"Jonas Jerebko",3500,"UTA","SF/PF","WAS",23.9085,5.7915,14.85
"Royce O'Neale",3000,"UTA","SF","WAS",7.038,0.782,3.91
"Joseph Young",3100,"IND","PG/SG","MIA",7.308,0.812,4.06
"Al Jefferson",3000,"IND","PF/C","MIA",17.7603,4.5797,11.17
"Frank Ntilikina",4000,"NYK","PG/SG","CHI",28.1658,7.7142,17.94
"Courtney Lee",5100,"NYK","SG/SF","CHI",35.4645,17.0755,26.27
"Enes Kanter",6200,"NYK","PF/C","CHI",34.9898,16.0902,25.54
"Doug McDermott",3400,"NYK","SF/PF","CHI",18.578,7.962,13.27
"Lance Thomas",3000,"NYK","SF/PF","CHI",19.38,6.12,12.75
"Kristaps Porzingis",8300,"NYK","PF/C","CHI",54.3479,24.9921,39.67
