"player","salary","team","pos","opp","ceil","floor","fpts"
"Tyus Jones",5600,"MIN","PG/SG","LAL",52.9938,6.8862,29.94
"Jamal Crawford",3700,"MIN","SG","LAL",24.48,8.16,16.32
"Taj Gibson",5700,"MIN","PF/C","LAL",39.274,14.526,26.9
"Andrew Wiggins",5600,"MIN","SG/SF","LAL",36.7092,18.9108,27.81
"Nemanja Bjelica",3300,"MIN","SF/PF","LAL",15.3459,1.9941,8.67
"Marcus Georges-Hunt",3000,"MIN","SG/SF","LAL",3.2037,0.4163,1.81
"Larry Nance",4400,"LAL","SF/PF","MIN",25.328,6.332,15.83
"Gorgui Dieng",3700,"MIN","PF/C","LAL",19.3725,9.3275,14.35
"Aaron Brooks",3000,"MIN","PG/SG","LAL",19.9656,2.5944,11.28
"Karl-Anthony Towns",9700,"MIN","C","LAL",63.9828,37.5772,50.78
"Jimmy Butler",8700,"MIN","SG","LAL",64.6384,26.4016,45.52
"Julius Randle",5000,"LAL","PF/C","MIN",42.431,13.769,28.1
"Jordan Clarkson",6700,"LAL","PG/SG","MIN",42.6035,18.6965,30.65
"Kyle Kuzma",6900,"LAL","SF/PF","MIN",47.1456,18.3344,32.74
"Brandon Ingram",6500,"LAL","SG/SF","MIN",39.6489,13.5711,26.61
"Andrew Bogut",3000,"LAL","C","MIN",9.0246,1.6554,5.34
"Josh Hart",4800,"LAL","PG/SG","MIN",31.4208,12.2192,21.82
"V.J. Beachem",0,"LAL","SF","MIN",6.0768,2.3632,4.22
"Corey Brewer",3400,"LAL","SG/SF","MIN",16.0992,4.5408,10.32
"Tyler Ennis",3000,"LAL","PG/SG","MIN",35.0283,4.5517,19.79
"Damian Lillard",8300,"POR","PG","CHI",51.2856,24.1344,37.71
"C.J. McCollum",7300,"POR","PG/SG","CHI",41.778,21.522,31.65
"Denzel Valentine",4500,"CHI","PG/SF","POR",36.3912,4.7288,20.56
"Paul Zipser",3200,"CHI","SG/SF","POR",14.7618,1.9182,8.34
"Robin Lopez",4700,"CHI","C","POR",28.378,12.162,20.27
"Jerian Grant",4700,"CHI","PG/SG","POR",21.9126,2.8474,12.38
"Kris Dunn",7200,"CHI","PG/SG","POR",65.3488,8.9112,37.13
"Bobby Portis",4400,"CHI","PF/C","POR",36.285,4.715,20.5
"Nikola Mirotic",6600,"CHI","PF/C","POR",42.849,10.051,26.45
"David Nwaba",3900,"CHI","SG/SF","POR",28.0192,3.8208,15.92
"Lauri Markkanen",5800,"CHI","PF","POR",33.6528,13.0872,23.37
"Justin Holiday",5200,"CHI","SG/SF","POR",36.9404,9.8196,23.38
"Al-Farouq Aminu",4500,"POR","SF/PF","CHI",35.0336,8.4864,21.76
"Maurice Harkless",3500,"POR","SF/PF","CHI",16.2,6.3,11.25
"Jusuf Nurkic",6800,"POR","C","CHI",47.8431,6.2169,27.03
"Evan Turner",3800,"POR","SG/SF","CHI",21.1636,5.7964,13.48
"Pat Connaughton",3200,"POR","SG/SF","CHI",17.4075,3.6925,10.55
"Ed Davis",3600,"POR","PF/C","CHI",29.9307,3.8893,16.91
"Meyers Leonard",3400,"POR","PF/C","CHI",8.7648,1.1952,4.98
"Zach Collins",3500,"POR","PF/C","CHI",15.7392,6.1208,10.93
"Shabazz Napier",5500,"POR","PG/SG","CHI",32.391,4.209,18.3
"Nik Stauskas",3500,"BKN","PG/SG","ORL",13.068,2.772,7.92
"Tyler Zeller",3400,"BKN","C","ORL",33.3468,4.3332,18.84
"Jonas Valanciunas",5300,"TOR","C","MIL",32.8757,13.1043,22.99
"Delon Wright",3700,"TOR","PG/SG","MIL",28.0188,4.5612,16.29
"Serge Ibaka",5500,"TOR","PF/C","MIL",37.2466,15.2134,26.23
"Kyle Lowry",7400,"TOR","PG","MIL",62.7242,18.7358,40.73
"C.J. Miles",3800,"TOR","SG/SF","MIL",19.344,5.616,12.48
"Jakob Poeltl",4300,"TOR","PF/C","MIL",31.2936,4.0664,17.68
"Pascal Siakam",4100,"TOR","PF","MIL",23.4171,3.0429,13.23
"Fred VanVleet",3500,"TOR","PG","MIL",23.0454,2.9946,13.02
"OG Anunoby",3600,"TOR","SF/PF","MIL",16.3296,6.3504,11.34
"DeMar DeRozan",7700,"TOR","SG/SF","MIL",55.413,23.187,39.3
"Jason Terry",3000,"MIL","PG/SG","TOR",7.3814,1.4586,4.42
"Eric Bledsoe",7000,"MIL","PG/SG","TOR",56.1792,17.7408,36.96
"Malcolm Brogdon",4900,"MIL","PG/SG","TOR",28.6749,9.3051,18.99
"Khris Middleton",7100,"MIL","SG/SF","TOR",46.438,13.482,29.96
"Tony Snell",3700,"MIL","SG/SF","TOR",25.4343,8.7057,17.07
"John Henson",4500,"MIL","C","TOR",43.095,7.605,25.35
"DeAndre Liggins",3000,"MIL","SG/SF","TOR",3.7524,0.4876,2.12
"Thon Maker",3000,"MIL","PF/C","TOR",21.7002,2.8198,12.26
"Matthew Dellavedova",3200,"MIL","PG/SG","TOR",20.745,6.915,13.83
"Norman Powell",3400,"TOR","SG/SF","MIL",12.6875,1.8125,7.25
"Aaron Gordon",7900,"ORL","SF/PF","BKN",53.5464,18.8136,36.18
"Rondae Hollis-Jefferson",6300,"BKN","SF/PF","ORL",50.0263,16.2337,33.13
"Allen Crabbe",4200,"BKN","SG/SF","ORL",34.0656,11.0544,22.56
"DeMarre Carroll",4900,"BKN","SF/PF","ORL",43.9285,9.9715,26.95
"Caris LeVert",5700,"BKN","SG/SF","ORL",36.894,7.826,22.36
"Spencer Dinwiddie",6200,"BKN","PG/SG","ORL",49.7796,14.0404,31.91
"Timofey Mozgov",3000,"BKN","C","ORL",3.978,0.702,2.34
"Joe Harris",4100,"BKN","SG/SF","ORL",28.7741,5.6859,17.23
"Quincy Acy",3300,"BKN","PF/C","ORL",27.5589,3.5811,15.57
"Jarrett Allen",3500,"BKN","PF/C","ORL",23.1264,8.9936,16.06
"Adreian Payne",3600,"ORL","PF","BKN",12.3006,2.5194,7.41
"D.J. Augustin",3600,"ORL","PG/SG","BKN",19.6904,6.3896,13.04
"Bismack Biyombo",5600,"ORL","PF/C","BKN",36.146,10.494,23.32
"Jonathon Simmons",6100,"ORL","SG/SF","BKN",48.4127,11.7273,30.07
"Evan Fournier",5900,"ORL","SG/SF","BKN",43.3521,14.0679,28.71
"Arron Afflalo",3400,"ORL","SG/SF","BKN",15.159,3.441,9.3
"Mario Hezonja",4300,"ORL","SG","BKN",25.2048,3.2752,14.24
"Elfrid Payton",7100,"ORL","PG","BKN",50.6304,19.6896,35.16
"Wesley Iwundu",3200,"ORL","SG/SF","BKN",8.9424,3.4776,6.21
"Marreese Speights",4000,"ORL","PF/C","BKN",25.0712,7.4888,16.28
"Giannis Antetokounmpo",11000,"MIL","SF/PF","TOR",63.797,33.603,48.7
