"player","salary","team","pos","opp","ceil","floor","fpts"
"Tyler Zeller",3500,"BKN","C","WAS",15.1293,6.3307,10.73
"Joe Harris",4200,"BKN","SG/SF","WAS",22.5352,10.6048,16.57
"Jarrett Allen",3500,"BKN","PF/C","WAS",17.5885,6.6715,12.13
"Quincy Acy",3500,"BKN","PF/C","WAS",23.0643,8.3157,15.69
"Michael Kidd-Gilchrist",4000,"CHA","SF","OKC",31.2026,12.4374,21.82
"Marvin Williams",3800,"CHA","SF/PF","OKC",28.329,11.571,19.95
"Jerami Grant",3300,"OKC","SF/PF","CHA",18.97,8.13,13.55
"Raymond Felton",3400,"OKC","PG/SG","CHA",21.9532,8.9668,15.46
"Patrick Patterson",3000,"OKC","PF/C","CHA",10.758,2.442,6.6
"Alex Abrines",3000,"OKC","SG/SF","CHA",11.3486,1.3314,6.34
"Russell Westbrook",11900,"OKC","PG","CHA",73.632,49.088,61.36
"Tyrone Wallace",4400,"LAC","PG/SG","SAC",25.9008,10.5792,18.24
"Paul George",7700,"OKC","SF","CHA",52.455,28.245,40.35
"Terrance Ferguson",3300,"OKC","SG/SF","CHA",23.472,2.608,13.04
"Josh Huestis",3000,"OKC","SF","CHA",14.2636,2.6164,8.44
"Dwight Howard",7400,"CHA","C","OKC",49.3902,22.1898,35.79
"Frank Kaminsky",4200,"CHA","PF/C","OKC",30.3662,10.3938,20.38
"Jeremy Lamb",5100,"CHA","SG/SF","OKC",28.9575,13.9425,21.45
"Kemba Walker",7500,"CHA","PG","OKC",48.7494,28.6306,38.69
"Carmelo Anthony",6100,"OKC","SF/PF","CHA",32.2961,18.5639,25.43
"Steven Adams",6200,"OKC","C","CHA",32.766,18.034,25.4
"Lonzo Ball",8000,"LAL","PG","DAL",48.1712,22.6688,35.42
