"Place_lo","Place_hi","Payout"
"1","1","1000"
"2","2","500"
"3","3","250"
"4","5","150"
"6","7","100"
"8","10","70"
"11","15","50"
"16","20","40"
"21","25","30"
"26","40","25"
"41","65","20"
"66","100","15"
"101","150","10"
"151","250","7.5"
"251","425","5"
"426","675","3"
"676","1100","2.5"
"1101","1970","2"
"1971","3545","1.5"
