"Place_lo","Place_hi","Payout"
"1","1","2000"
"2","2","1000"
"3","3","700"
"4","4","400"
"5","5","200"
"6","6","150"
"7","8","100"
"9","10","80"
"11","15","60"
"16","35","50"
"36","65","40"
"66","105","30"
"106","175","20"
"176","250","15"
"251","325","12"
"326","425","10"
"426","525","8"
"526","625","6"
"626","876","5"
"877","1576","4"
"1577","2876","3"
"2877","5556","2"
"5557","10456","1.5"
