Player Name,Likes,Pos,Salary,Team,Opp,Vegas PtsA,Vegas Spread,Sacks Allowed by Offense,Fumbles Allowed by Offense,Ints Allowed by Offense,Offense Pass Yds/G,Offense Rush Yds/G,Points Scored by Offense,FP Allowed by Offense,L3 FP,L16 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Minnesota Vikings,8,D,4000,MIN,@CLE,13.8,MIN by 11,2.9,0.3,2.4,213,92,13.9,13.0,8.7,6.6,6.6,2.4,10.7,10.6,2.6,8.0,2.0
Baltimore Ravens,,D,3800,BAL,MIA,17.5,BAL by 3,2.2,0.2,1.2,180,82,14.3,8.5,11.3,10.7,10.7,0.0,21.4,9.6,2.5,29.0,7.6
Philadelphia Eagles,10,D,3800,PHI,SF,16.3,PHI by 12.5,3.3,0.7,0.7,221,96,17.6,7.9,7.3,8.0,8.0,1.6,14.4,10.3,2.7,20.0,5.3
Cincinnati Bengals,20,D,3600,CIN,IND,16.8,CIN by 10.5,4.0,0.6,0.7,194,97,15.9,13.0,5.3,6.8,6.8,1.8,11.9,9.0,2.5,14.0,3.9
Kansas City Chiefs,4,D,3500,KC,DEN,17.3,KC by 7.5,3.7,0.8,1.2,224,115,17.0,12.0,5.0,7.1,7.1,2.8,11.5,8.5,2.4,20.0,5.7
New Orleans Saints,6,D,3400,NO,CHI,19.3,NO by 7.5,2.4,1.1,0.9,159,126,14.6,11.3,17.3,10.7,10.7,-2.1,23.4,7.2,2.1,8.0,2.4
Seattle Seahawks,14,D,3200,SEA,HOU,19.5,SEA by 6,3.5,0.7,0.8,206,138,26.2,10.0,13.7,9.2,9.2,2.0,16.3,9.9,3.1,13.0,4.1
Atlanta Falcons,3,D,3100,ATL,@NYJ,18.8,ATL by 6.5,3.1,0.7,1.0,209,103,19.6,8.4,3.0,5.0,5.0,1.0,9.0,9.0,2.9,6.0,1.9
Miami Dolphins,,D,3000,MIA,@BAL,20.5,BAL by 3,2.4,0.6,1.1,157,120,17.7,8.1,10.3,6.7,6.7,-0.1,13.4,6.4,2.1,1.0,0.3
Denver Broncos,,D,3000,DEN,@KC,24.8,KC by 7.5,3.0,0.1,0.0,263,129,28.7,2.9,6.0,6.7,6.7,2.9,10.4,5.4,1.8,5.0,1.7
Buffalo Bills,4,D,2900,BUF,OAK,22.8,BUF by 2,1.9,0.3,0.7,218,93,22.1,5.7,9.7,9.3,9.3,6.8,11.8,4.7,1.6,15.0,5.2
Pittsburgh Steelers,2,D,2900,PIT,@DET,20.8,PIT by 3,3.8,0.7,0.7,214,84,23.8,10.5,7.7,9.9,9.9,5.3,14.5,7.0,2.4,5.0,1.7
Oakland Raiders,,D,2800,OAK,@BUF,24.8,BUF by 2,3.2,0.2,0.3,181,118,18.8,5.5,1.3,3.6,3.6,0.4,6.8,5.3,1.9,-1.0,-0.4
Carolina Panthers,0,D,2800,CAR,@TB,22.3,CAR by 1.5,1.5,0.5,1.0,313,80,22.2,4.8,8.3,7.4,7.4,1.8,13.1,8.1,2.9,16.0,5.7
Houston Texans,0,D,2700,HOU,@SEA,25.5,SEA by 6,2.3,0.3,0.7,244,108,20.3,6.0,12.7,9.3,9.3,-0.6,19.3,5.9,2.2,0.0,0.0
Detroit Lions,1,D,2600,DET,PIT,23.8,PIT by 3,1.4,0.4,1.1,246,114,20.7,7.3,10.7,13.0,13.0,7.7,18.3,5.9,2.3,5.0,1.9
Tampa Bay Buccaneers,4,D,2600,TB,CAR,23.8,CAR by 1.5,3.1,0.4,1.4,222,97,18.7,10.6,6.0,6.0,6.0,-1.5,13.5,7.2,2.8,3.0,1.2
Chicago Bears,,D,2500,CHI,@NO,26.8,NO by 7.5,0.8,0.2,0.7,269,122,25.5,4.7,17.3,9.4,9.4,-1.2,20.0,4.8,1.9,7.0,2.8
Los Angeles Chargers,0,D,2500,LAC,@NE,27.8,NE by 6.5,2.6,0.4,0.3,300,111,27.9,3.7,14.3,8.6,8.6,-0.1,17.2,4.4,1.8,4.0,1.6
Washington Redskins,,D,2400,WAS,DAL,24.8,DAL by 3,1.2,0.5,0.7,233,148,27.5,4.7,4.3,7.7,7.7,3.3,12.0,5.0,2.1,4.0,1.7
New England Patriots,5,D,2400,NE,LAC,21.3,NE by 6.5,1.4,0.3,0.7,251,79,19.6,4.9,6.3,4.7,4.7,1.8,7.6,6.8,2.8,9.0,3.8
Dallas Cowboys,1,D,2300,DAL,@WAS,21.8,DAL by 3,2.0,1.2,0.5,254,115,22.5,8.2,5.7,6.3,6.3,-0.2,12.9,6.0,2.6,19.0,8.3
Indianapolis Colts,1,D,2300,IND,@CIN,27.3,CIN by 10.5,3.2,0.8,1.3,207,82,15.3,10.2,4.0,5.0,5.0,2.7,7.3,5.0,2.2,10.0,4.3
Cleveland Browns,,D,2300,CLE,MIN,24.8,MIN by 11,1.3,0.7,0.3,232,125,20.9,4.6,7.7,6.0,6.0,4.1,7.9,5.9,2.6,2.0,0.9
New York Jets,0,D,2200,NYJ,ATL,25.3,ATL by 6.5,1.8,0.2,1.0,252,121,20.3,7.2,6.0,5.1,5.1,-0.3,10.5,4.4,2.0,5.0,2.3
San Francisco 49ers,,D,2100,SF,@PHI,28.8,PHI by 12.5,2.7,0.6,0.6,250,132,27.6,5.6,2.3,3.9,3.9,-0.6,8.3,3.5,1.7,5.0,2.4
