Player Name,Likes,Pos,Salary,Team,Opp,Vegas PtsA,Vegas Spread,Sacks Allowed by Offense,Fumbles Allowed by Offense,Ints Allowed by Offense,Offense Pass Yds/G,Offense Rush Yds/G,Points Scored by Offense,FP Allowed by Offense,L3 FP,L16 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Jacksonville Jaguars,12,D,4100,JAX,@ARI,15.5,JAX by 6,2.8,0.4,1.1,259,69,17.0,9.0,14.0,14.9,14.9,4.7,25.1,13.7,3.3,11.0,2.7
Pittsburgh Steelers,2,D,4000,PIT,GB,14.5,PIT by 14,3.6,0.4,1.0,206,102,19.8,9.0,9.0,9.6,9.6,4.9,14.3,11.2,2.8,3.0,0.8
Baltimore Ravens,4,D,3900,BAL,HOU,16.0,BAL by 7.5,3.2,0.8,1.1,222,129,24.1,10.0,20.0,13.5,13.5,1.9,25.1,10.5,2.7,9.0,2.3
Cincinnati Bengals,11,D,3900,CIN,CLE,15.8,CIN by 7.5,3.2,0.8,2.0,200,101,14.4,13.8,5.3,7.1,7.1,2.4,11.8,10.7,2.7,5.0,1.3
Seattle Seahawks,6,D,3800,SEA,@SF,19.0,SEA by 6.5,3.2,0.7,0.9,224,102,17.4,9.1,6.7,8.8,8.8,2.8,14.8,12.5,3.3,9.0,2.4
Kansas City Chiefs,4,D,3700,KC,BUF,19.5,KC by 8,2.9,0.5,0.8,184,118,19.6,7.8,8.7,7.6,7.6,1.5,13.7,8.4,2.3,3.0,0.8
Philadelphia Eagles,13,D,3600,PHI,CHI,14.8,PHI by 13.5,2.5,0.9,0.7,170,132,15.4,10.2,16.7,10.6,10.6,3.0,18.2,10.0,2.8,13.0,3.6
Washington Redskins,3,D,3600,WAS,NYG,18.5,WAS by 7,2.2,0.5,0.7,217,92,15.4,7.8,4.3,6.3,6.3,1.9,10.7,7.0,1.9,13.0,3.6
New England Patriots,9,D,3400,NE,MIA,16.3,NE by 16.5,1.8,0.4,1.3,212,80,15.1,10.3,10.3,6.4,6.4,2.7,10.1,9.2,2.7,17.0,5.0
Carolina Panthers,10,D,3300,CAR,@NYJ,16.8,CAR by 5.5,3.2,0.7,0.8,205,102,20.1,7.9,7.7,7.5,7.5,1.7,13.3,9.8,3.0,17.0,5.2
Denver Broncos,0,D,3200,DEN,@OAK,22.5,OAK by 4,1.5,0.6,0.9,237,90,20.4,6.9,2.7,5.3,5.3,1.2,9.4,4.4,1.4,4.0,1.3
