Player Name,Likes,Pos,Salary,Team,Opp,Vegas PtsA,Vegas Spread,Sacks Allowed by Offense,Fumbles Allowed by Offense,Ints Allowed by Offense,Offense Pass Yds/G,Offense Rush Yds/G,Points Scored by Offense,FP Allowed by Offense,L3 FP,L16 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Seattle Seahawks,7,D,4100,SEA,IND,14.5,SEA by 12.5,2.9,0.4,1.0,246,101,23.6,6.8,4.7,4.7,4.7,-0.3,9.6,11.8,2.9,20.0,4.9
Green Bay Packers,1,D,3600,GB,CHI,18.3,GB by 7.5,1.6,0.7,1.3,238,118,16.7,9.0,5.7,5.7,5.7,2.2,9.2,10.2,2.8,10.0,2.8
Jacksonville Jaguars,29,D,3600,JAX,@NYJ,17.3,JAX by 4,2.5,0.6,1.3,205,105,16.2,10.1,13.0,13.0,13.0,-1.5,27.5,10.3,2.9,15.0,4.2
Pittsburgh Steelers,8,D,3500,PIT,@BAL,19.3,PIT by 3.5,2.0,0.4,1.0,234,103,20.7,6.4,10.7,10.7,10.7,4.2,17.1,7.3,2.1,14.0,4.0
Cincinnati Bengals,19,D,3500,CIN,@CLE,19.3,CIN by 3,4.4,0.6,1.1,209,97,16.5,11.4,8.3,8.3,8.3,3.2,13.5,8.8,2.5,8.0,2.3
Tampa Bay Buccaneers,3,D,3400,TB,NYG,21.5,TB by 2.5,1.5,0.4,1.1,235,79,16.6,7.3,9.0,9.0,9.0,-5.1,23.1,7.7,2.3,0.0,0.0
New England Patriots,5,D,3400,NE,CAR,19.5,NE by 9,2.1,0.5,1.1,216,106,20.3,7.8,3.0,3.0,3.0,0.4,5.6,7.7,2.3,5.0,1.5
Philadelphia Eagles,2,D,3300,PHI,@LAC,25.0,LAC by 2,2.1,0.6,1.6,261,86,21.6,9.4,10.0,10.0,10.0,-0.4,20.4,6.6,2.0,4.0,1.2
Tennessee Titans,5,D,3300,TEN,@HOU,20.3,TEN by 2.5,2.6,0.6,0.9,190,119,17.3,9.1,4.0,4.0,4.0,-0.4,8.4,8.8,2.7,0.0,0.0
Denver Broncos,6,D,3300,DEN,OAK,20.3,DEN by 3.5,1.4,0.5,0.5,235,112,25.7,4.1,7.3,7.3,7.3,2.4,12.3,7.0,2.1,9.0,2.7
Atlanta Falcons,3,D,3200,ATL,BUF,20.0,ATL by 8,3.1,0.3,0.4,192,163,23.3,5.4,7.0,7.0,7.0,1.7,12.3,7.0,2.2,4.0,1.3
Arizona Cardinals,6,D,3200,ARI,SF,18.5,ARI by 6,3.4,0.9,0.6,184,125,17.8,8.3,6.0,6.0,6.0,0.7,11.3,7.0,2.2,6.0,1.9
Minnesota Vikings,3,D,3100,MIN,DET,20.3,MIN by 2.5,2.2,0.4,0.6,239,81,20.8,5.7,4.3,4.3,4.3,0.3,8.4,7.7,2.5,7.0,2.3
Kansas City Chiefs,5,D,3100,KC,WAS,20.5,KC by 7,1.6,0.8,0.6,280,117,24.6,6.5,8.7,8.7,8.7,3.7,13.6,7.2,2.3,9.0,2.9
Baltimore Ravens,3,D,3000,BAL,PIT,22.8,PIT by 3.5,1.3,0.3,0.8,259,104,24.4,3.9,12.7,12.7,12.7,-2.3,27.6,7.2,2.4,3.0,1.0
Houston Texans,0,D,3000,HOU,TEN,22.8,TEN by 2.5,1.5,0.3,0.5,222,142,26.2,4.8,6.0,6.0,6.0,0.8,11.2,6.0,2.0,19.0,6.3
New York Giants,1,D,2900,NYG,@TB,24.0,TB by 2.5,2.3,0.5,1.0,236,100,20.3,6.5,4.0,4.0,4.0,2.3,5.7,6.6,2.3,1.0,0.3
Los Angeles Rams,,D,2800,LAR,@DAL,27.8,DAL by 5,1.8,0.4,0.5,221,141,25.5,3.8,11.3,11.3,11.3,-3.1,25.8,3.3,1.2,7.0,2.5
Detroit Lions,5,D,2700,DET,@MIN,22.8,MIN by 2.5,2.2,0.7,0.3,253,87,20.2,6.1,15.3,15.3,15.3,13.3,17.4,7.0,2.6,12.0,4.4
New Orleans Saints,0,D,2600,NO,@MIA,23.8,NO by 4,1.9,0.3,0.9,205,114,21.1,5.6,4.0,4.0,4.0,-4.7,12.7,6.3,2.4,16.0,6.2
New York Jets,5,D,2600,NYJ,JAX,21.3,JAX by 4,1.7,0.8,0.8,220,118,21.3,6.9,4.7,4.7,4.7,-4.4,13.7,6.3,2.4,4.0,1.5
Washington Redskins,2,D,2500,WAS,@KC,27.5,KC by 7,2.2,0.4,0.4,233,123,24.4,3.8,11.0,11.0,11.0,7.4,14.6,4.1,1.6,4.0,1.6
Los Angeles Chargers,2,D,2500,LAC,PHI,23.0,LAC by 2,2.5,0.6,1.0,225,113,20.5,6.8,5.3,5.3,5.3,2.8,7.8,6.4,2.6,1.0,0.4
Dallas Cowboys,10,D,2500,DAL,LAR,22.8,DAL by 5,2.8,0.8,1.1,201,82,17.6,10.7,7.0,7.0,7.0,2.0,12.0,7.3,2.9,-3.0,-1.2
Indianapolis Colts,,D,2400,IND,@SEA,27.0,SEA by 12.5,2.6,0.3,0.6,252,98,21.4,6.0,5.0,5.0,5.0,2.4,7.6,4.6,1.9,8.0,3.3
Cleveland Browns,1,D,2400,CLE,CIN,22.3,CIN by 3,2.5,0.6,0.6,226,112,18.4,6.8,5.0,5.0,5.0,4.0,6.0,6.3,2.6,4.0,1.7
Miami Dolphins,,D,2400,MIA,NO,27.8,NO by 4,1.6,0.4,0.9,306,112,28.8,4.7,3.5,3.5,3.5,1.4,5.6,5.2,2.2,2.0,0.8
Carolina Panthers,0,D,2300,CAR,@NE,28.5,NE by 9,1.8,0.4,0.1,292,108,28.3,2.5,8.3,8.3,8.3,0.7,16.0,4.4,1.9,2.0,0.9
Buffalo Bills,,D,2300,BUF,@ATL,28.0,ATL by 8,2.4,0.3,0.6,287,117,30.8,3.7,9.0,9.0,9.0,8.0,10.0,3.7,1.6,14.0,6.1
Oakland Raiders,2,D,2300,OAK,@DEN,23.8,DEN by 3.5,2.8,0.9,0.8,225,99,19.4,8.2,5.3,5.3,5.3,1.8,8.8,5.9,2.6,5.0,2.2
San Francisco 49ers,2,D,2200,SF,@ARI,24.5,ARI by 6,2.7,0.7,1.1,260,102,23.4,8.3,3.7,3.7,3.7,0.2,7.2,5.8,2.6,9.0,4.1
Chicago Bears,,D,2100,CHI,@GB,25.8,GB by 7.5,2.5,0.5,0.6,281,100,26.5,5.8,5.3,5.3,5.3,1.2,9.5,5.4,2.6,-2.0,-1.0
