Player Name,Likes,Pos,Salary,Team,Opp,Vegas PtsA,Vegas Spread,Sacks Allowed by Offense,Fumbles Allowed by Offense,Ints Allowed by Offense,Offense Pass Yds/G,Offense Rush Yds/G,Points Scored by Offense,FP Allowed by Offense,L3 FP,L16 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Buffalo Bills,16,D,3800,BUF,JAX,17.5,BUF by 8.5,2.1,1.2,1.3,262,88,19.3,9.6,5.0,7.2,9.0,0.6,13.8,9.8,2.6,2.0,0.5
Denver Broncos,6,D,3700,DEN,KC,18.3,DEN by 3.5,2.2,0.7,0.4,249,98,20.4,5.1,12.0,8.9,10.6,2.5,15.3,7.4,2.0,7.0,1.9
New York Giants,13,D,3600,NYG,@CLE,20.3,NYG by 6.5,3.5,0.5,1.1,242,93,16.2,9.9,8.3,5.4,6.4,0.0,10.9,9.0,2.5,23.0,6.4
Seattle Seahawks,3,D,3500,SEA,@TB,20.5,SEA by 5,2.2,0.6,1.0,276,106,22.3,7.2,6.7,8.3,8.5,4.0,12.5,7.9,2.3,7.0,2.0
Minnesota Vikings,5,D,3400,MIN,@DET,22.0,DET by 2,2.2,0.3,0.5,265,80,22.5,4.3,8.7,11.6,12.3,3.8,19.3,9.0,2.6,3.0,0.9
New England Patriots,11,D,3400,NE,@NYJ,19.5,NE by 9,2.1,0.6,1.5,229,116,17.9,10.6,6.0,8.0,7.4,2.6,13.4,10.4,3.1,8.0,2.4
Miami Dolphins,10,D,3300,MIA,SF,18.8,MIA by 7,2.6,1.4,0.8,203,120,20.4,8.3,13.0,6.8,8.1,0.8,12.8,9.4,2.8,8.0,2.4
Kansas City Chiefs,2,D,3200,KC,@DEN,21.8,DEN by 3.5,2.6,0.7,0.8,242,97,22.1,7.1,9.7,11.4,9.6,2.2,20.5,8.4,2.6,15.0,4.7
Baltimore Ravens,16,D,3100,BAL,CIN,19.3,BAL by 3.5,2.9,0.5,0.6,276,113,19.9,6.1,7.3,7.2,8.0,2.2,12.2,8.6,2.8,10.0,3.2
Oakland Raiders,1,D,3000,OAK,CAR,22.5,OAK by 3.5,2.5,1.0,1.1,264,108,22.6,9.2,5.3,6.7,5.2,2.4,10.9,7.5,2.5,13.0,4.3
Philadelphia Eagles,1,D,3000,PHI,GB,21.3,PHI by 4.5,2.4,0.8,0.8,278,101,24.7,7.0,4.0,8.8,9.8,0.5,17.0,9.0,3.0,0.0,0.0
Detroit Lions,1,D,3000,DET,MIN,20.0,DET by 2,2.6,0.4,0.2,243,70,18.7,6.2,10.7,6.4,6.6,1.3,11.4,6.1,2.0,6.0,2.0
Dallas Cowboys,3,D,2900,DAL,WAS,23.8,DAL by 5.5,1.4,0.6,0.7,312,118,25.4,4.9,3.3,4.8,5.2,2.0,7.6,8.0,2.8,0.0,0.0
Atlanta Falcons,1,D,2900,ATL,ARI,22.8,ATL by 3.5,3.1,0.7,1.2,283,111,22.0,10.7,4.0,5.1,6.0,0.9,9.4,8.4,2.9,5.0,1.7
Tennessee Titans,12,D,2800,TEN,@CHI,17.5,TEN by 6.5,2.1,1.0,0.7,259,98,15.1,8.7,5.0,4.5,5.2,1.3,7.7,7.2,2.6,4.0,1.4
Cincinnati Bengals,,D,2800,CIN,@BAL,22.8,BAL by 3.5,2.0,0.5,0.9,265,87,19.9,6.4,5.7,6.9,5.5,2.4,11.5,7.0,2.5,7.0,2.5
Pittsburgh Steelers,8,D,2800,PIT,@IND,20.8,PIT by 8.5,3.5,0.4,0.8,283,96,25.7,7.4,9.0,7.1,5.8,0.3,14.0,7.8,2.8,11.0,3.9
New Orleans Saints,8,D,2800,NO,LA,19.3,NO by 7.5,2.4,0.5,1.1,230,85,14.3,10.4,7.0,4.4,4.0,0.0,8.9,10.1,3.6,9.0,3.2
Green Bay Packers,,D,2800,GB,@PHI,25.8,PHI by 4.5,2.1,0.7,0.7,234,118,23.5,5.6,0.3,6.0,4.4,1.5,10.5,5.4,1.9,12.0,4.3
Chicago Bears,1,D,2700,CHI,TEN,24.0,TEN by 6.5,1.7,0.5,0.7,254,142,25.5,7.7,5.3,5.5,5.8,1.9,9.1,5.2,1.9,0.0,0.0
San Diego Chargers,2,D,2700,SD,@HOU,21.5,SD by 2.5,1.8,0.6,1.0,206,122,17.5,7.8,10.0,7.8,8.0,3.5,12.0,8.0,3.0,13.0,4.8
Arizona Cardinals,1,D,2700,ARI,@ATL,26.3,ATL by 3.5,2.4,0.3,0.5,325,108,30.2,3.0,5.0,9.6,9.3,0.5,18.6,7.8,2.9,1.0,0.4
Carolina Panthers,,D,2600,CAR,@OAK,26.0,OAK by 3.5,1.1,0.4,0.4,280,118,27.2,2.2,9.3,9.9,8.0,2.3,17.6,6.0,2.3,5.0,1.9
