Player Name,Likes,Pos,Salary,Team,Opp,Vegas PtsA,Vegas Spread,Sacks Allowed by Offense,Fumbles Allowed by Offense,Ints Allowed by Offense,Offense Pass Yds/G,Offense Rush Yds/G,Points Scored by Offense,FP Allowed by Offense,L3 FP,L16 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Jacksonville Jaguars,23,D,4000,JAX,@CLE,15.0,JAX by 7,3.0,0.6,2.0,207,107,15.2,12.6,12.3,13.8,13.8,3.6,23.9,14.7,3.7,25.0,6.3
Denver Broncos,1,D,3800,DEN,CIN,17.5,DEN by 2.5,2.8,1.0,0.9,204,70,15.2,9.9,2.7,5.3,5.3,1.0,9.7,6.8,1.8,5.0,1.3
Detroit Lions,7,D,3600,DET,@CHI,19.0,DET by 3,2.7,0.9,0.8,170,122,14.4,10.3,8.3,11.4,11.4,6.0,16.9,9.7,2.7,9.0,2.5
New Orleans Saints,2,D,3500,NO,WAS,21.8,NO by 9.5,2.6,1.1,0.6,252,97,22.3,9.0,11.3,10.9,10.9,0.4,21.4,6.9,2.0,1.0,0.3
Baltimore Ravens,11,D,3400,BAL,@GB,18.0,BAL by 2.5,3.3,0.2,0.8,208,105,22.0,7.1,12.0,12.1,12.1,0.7,23.5,10.4,3.1,26.0,7.6
Kansas City Chiefs,6,D,3300,KC,@NYG,17.5,KC by 9.5,2.4,0.6,0.7,218,90,15.8,8.0,7.0,7.8,7.8,1.4,14.2,8.7,2.6,6.0,1.8
Seattle Seahawks,1,D,3300,SEA,ATL,23.5,ATL by 1,1.7,0.3,0.9,252,117,21.2,6.2,10.3,9.6,9.6,3.7,15.4,6.8,2.1,2.0,0.6
Arizona Cardinals,8,D,3200,ARI,@HOU,20.5,HOU by 2.5,3.4,0.8,1.1,221,128,23.3,10.7,7.0,5.8,5.8,1.6,9.9,6.7,2.1,4.0,1.3
Pittsburgh Steelers,,D,3200,PIT,TEN,18.8,PIT by 7,2.2,0.4,0.9,204,125,22.8,7.0,6.7,8.9,8.9,4.5,13.3,7.8,2.4,16.0,5.0
Houston Texans,6,D,3100,HOU,ARI,18.0,HOU by 2.5,2.9,0.4,1.0,260,72,16.6,9.3,4.7,7.8,7.8,-1.0,16.6,10.3,3.3,6.0,1.9
