Player Name,Likes,Pos,Salary,Team,Opp,Vegas PtsA,Vegas Spread,Sacks Allowed by Offense,Fumbles Allowed by Offense,Ints Allowed by Offense,Offense Pass Yds/G,Offense Rush Yds/G,Points Scored by Offense,FP Allowed by Offense,L3 FP,L16 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Minnesota Vikings,24,D,3900,MIN,@JAX,17.5,MIN by 3,1.9,1.1,1.3,244,101,18.7,9.5,11.0,11.9,11.3,4.3,19.4,11.7,3.0,7.0,1.8
Denver Broncos,6,D,3800,DEN,@TEN,23.0,TEN by 2,1.6,0.4,0.7,252,142,25.7,7.1,11.3,9.7,10.8,3.3,16.1,6.0,1.6,6.0,1.6
Detroit Lions,16,D,3600,DET,CHI,17.3,DET by 7.5,1.8,0.9,0.8,258,102,16.5,7.8,12.7,6.6,6.9,1.5,11.7,6.8,1.9,5.0,1.4
Cincinnati Bengals,22,D,3500,CIN,@CLE,19.0,CIN by 4,3.8,0.8,1.0,249,90,15.9,11.0,7.3,6.6,5.8,2.8,10.4,7.2,2.1,9.0,2.6
New England Patriots,3,D,3400,NE,BAL,19.3,NE by 6.5,1.8,0.6,0.9,273,89,21.3,6.1,10.0,7.3,8.0,2.7,11.9,10.9,3.2,8.0,2.4
Tennessee Titans,3,D,3300,TEN,DEN,21.0,TEN by 2,2.8,0.7,0.7,241,100,21.8,7.4,6.3,4.4,5.1,1.2,7.6,7.3,2.2,11.0,3.3
Arizona Cardinals,5,D,3200,ARI,@MIA,21.0,ARI by 2,2.3,0.5,0.9,234,112,20.8,7.1,4.3,8.3,8.3,-0.8,17.4,9.0,2.8,6.0,1.9
New York Jets,1,D,3100,NYJ,@SF,22.8,SF by 3,2.8,1.3,0.8,197,128,19.5,8.8,2.7,4.3,3.2,0.3,8.3,8.3,2.7,3.0,1.0
Atlanta Falcons,12,D,3100,ATL,@LA,19.8,ATL by 4.5,2.6,0.7,1.2,223,79,14.5,10.6,4.7,5.3,5.8,1.0,9.5,9.4,3.0,26.0,8.4
Kansas City Chiefs,0,D,3100,KC,OAK,21.3,KC by 3.5,1.1,0.4,0.4,281,115,28.3,1.9,9.0,10.7,10.0,1.9,19.5,9.0,2.9,11.0,3.5
Seattle Seahawks,1,D,3000,SEA,@GB,22.3,SEA by 3,2.1,0.8,0.7,275,99,24.6,6.1,7.3,7.9,8.3,3.8,12.0,6.9,2.3,-3.0,-1.0
Philadelphia Eagles,2,D,2900,PHI,WAS,25.0,WAS by 1.5,1.3,0.6,0.7,320,110,25.3,4.6,2.0,7.4,8.4,0.8,13.9,7.7,2.7,10.0,3.4
Carolina Panthers,1,D,2900,CAR,SD,23.8,CAR by 1,2.3,1.2,1.2,280,101,25.8,9.1,6.0,8.9,7.2,2.0,15.7,6.5,2.2,18.0,6.2
Houston Texans,0,D,2800,HOU,@IND,27.0,IND by 6.5,3.3,0.3,0.8,280,99,25.4,6.8,3.3,8.3,5.5,0.2,16.3,7.1,2.5,8.0,2.9
Pittsburgh Steelers,0,D,2800,PIT,@BUF,22.3,PIT by 1,2.9,0.8,0.4,195,162,23.9,5.7,14.0,7.0,6.5,0.4,13.6,6.6,2.4,8.0,2.9
Washington Redskins,4,D,2700,WAS,@PHI,23.5,WAS by 1.5,2.2,0.7,0.9,242,110,21.8,6.3,3.0,6.2,5.5,1.7,10.6,7.4,2.7,9.0,3.3
Dallas Cowboys,1,D,2700,DAL,@NYG,21.8,DAL by 3.5,1.3,0.9,1.0,258,78,19.4,6.3,2.7,4.6,4.8,1.6,7.6,9.4,3.5,12.0,4.4
Baltimore Ravens,0,D,2700,BAL,@NE,25.8,NE by 6.5,1.7,0.7,0.1,281,117,26.6,3.1,8.7,7.3,8.8,2.3,12.3,6.1,2.3,6.0,2.2
Oakland Raiders,0,D,2700,OAK,@KC,24.8,KC by 3.5,2.4,0.8,0.3,248,99,21.4,5.3,9.3,7.1,6.1,2.5,11.6,7.2,2.7,7.0,2.6
Miami Dolphins,4,D,2600,MIA,ARI,23.0,ARI by 2,2.9,0.7,1.1,285,105,22.5,9.6,5.7,6.6,7.6,1.7,11.5,9.8,3.8,12.0,4.6
San Diego Chargers,3,D,2600,SD,@CAR,24.8,CAR by 1,2.3,1.0,1.1,256,108,22.1,9.4,6.3,8.1,8.0,3.6,12.5,6.6,2.5,3.0,1.2
Indianapolis Colts,4,D,2600,IND,HOU,20.5,IND by 6.5,1.8,0.7,1.1,209,121,16.8,8.3,5.3,6.4,5.0,1.3,11.6,7.5,2.9,4.0,1.5
San Francisco 49ers,4,D,2600,SF,NYJ,19.8,SF by 3,1.9,0.7,1.5,231,105,17.2,10.4,1.3,4.0,3.8,-0.5,8.5,6.4,2.5,8.0,3.1
Green Bay Packers,,D,2600,GB,SEA,25.3,SEA by 3,2.4,0.4,0.5,275,102,21.5,6.4,6.0,5.9,5.3,1.6,10.2,4.9,1.9,19.0,7.3
New York Giants,,D,2600,NYG,DAL,25.3,DAL by 3.5,1.4,0.8,0.2,249,156,27.8,2.3,12.7,6.4,7.8,-0.5,13.2,6.7,2.6,15.0,5.8
Buffalo Bills,,D,2500,BUF,PIT,23.3,PIT by 1,1.3,0.3,0.8,276,102,23.7,3.7,2.3,6.8,7.3,-0.2,13.8,7.0,2.8,6.0,2.4
Jacksonville Jaguars,2,D,2500,JAX,MIN,20.5,MIN by 3,2.4,0.4,0.3,242,72,17.9,6.2,7.0,4.4,3.5,-1.9,10.7,6.7,2.7,2.0,0.8
Los Angeles Rams,,D,2500,LA,ATL,24.3,ATL by 4.5,2.4,0.3,0.6,318,110,30.7,3.3,2.3,7.3,6.6,1.5,13.1,7.7,3.1,1.0,0.4
New Orleans Saints,2,D,2400,NO,@TB,27.0,TB by 2,1.9,0.6,1.0,271,105,21.6,6.8,4.0,4.2,4.2,-0.1,8.5,8.6,3.6,5.0,2.1
Tampa Bay Buccaneers,4,D,2400,TB,NO,25.0,TB by 2,1.6,0.8,0.9,330,109,28.9,6.2,12.0,7.1,8.7,0.0,14.3,7.4,3.1,11.0,4.6
Chicago Bears,1,D,2300,CHI,@DET,24.8,DET by 7.5,2.2,0.3,0.4,269,81,22.4,3.9,5.7,5.4,6.1,0.9,9.8,5.1,2.2,14.0,6.1
Cleveland Browns,2,D,2200,CLE,CIN,23.0,CIN by 4,2.7,0.8,0.5,281,106,20.4,6.2,3.0,3.7,3.0,-0.7,8.0,5.9,2.7,4.0,1.8
