Player Name,Likes,Inj,Pos,Salary,Team,Opp,Vegas Pts,Vegas Spread,Defense Pass Yds/G,Defense Rush Yds/G,DvP,L3 Pass Att,S Pass Att,Proj Pass Att,Red Zone Pass Att,Yards Per Pass Att,L3 Rush Att,S Rush Att,Proj Rush Att,Red Zone Rush Att,Yards Per Rush Att,L3 Targets,S Targets,Proj Targets,Red Zone Targets,Yards Per Target,Projected Usage,L3 FP,L16 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Le'Veon Bell,20,,RB,10500,PIT,@KC,21.5,KC by 2.5,1%,11%,-4%,0.0,0.1,0.0,0.0,0.0,24.0,22.3,21.6,2.8,4.9,4.7,7.4,5.2,0.6,6.5,41,28.1,28.5,28.5,18.0,39.1,25.6,2.4,21.6,2.1
Antonio Brown,14,,WR,9600,PIT,@KC,21.5,KC by 2.5,1%,11%,5%,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.3,0.0,3.0,8.3,10.2,10.1,1.1,8.6,16,22.3,22.0,22.0,12.3,31.6,20.7,2.2,19.8,2.1
Ezekiel Elliott,28,,RB,8500,DAL,GB,29.0,DAL by 5.5,12%,-12%,-9%,0.0,0.0,0.0,0.0,0.0,19.7,21.5,20.7,2.5,5.1,2.0,2.7,2.9,0.2,9.1,40,22.2,23.2,23.2,14.8,31.5,19.0,2.2,16.3,1.9
Julio Jones,17,Q,WR,8400,ATL,SEA,28.8,ATL by 6.5,-4%,-16%,1%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3,9.2,7.8,0.6,10.9,13,18.0,20.1,20.1,6.8,33.3,18.4,2.2,18.7,2.2
Aaron Rodgers,13,,QB,8200,GB,@DAL,23.5,DAL by 5.5,7%,-24%,1%,39.0,38.5,41.0,6.7,7.5,4.7,4.1,3.5,0.7,5.4,0.0,0.0,0.0,0.0,0.0,73,37.0,26.2,26.2,17.7,34.6,22.7,2.8,25.8,3.1
Doug Baldwin,16,,WR,8100,SEA,@ATL,22.3,ATL by 6.5,10%,-4%,6%,0.0,0.1,0.0,0.1,15.0,1.0,0.3,0.0,0.0,2.0,11.7,7.9,8.7,0.9,9.0,15,25.7,16.8,16.8,6.0,27.7,18.9,2.3,19.1,2.4
Tom Brady,8,,QB,7600,NE,HOU,29.8,NE by 15.5,-17%,-9%,-19%,30.7,36.0,34.4,5.3,8.2,0.7,2.3,2.7,0.8,2.3,0.0,0.0,0.0,0.0,0.0,60,17.9,23.0,23.0,14.7,31.2,18.3,2.4,17.4,2.3
Jordy Nelson,,Q,WR,7400,GB,@DAL,23.5,DAL by 5.5,7%,-24%,-1%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,9.1,0.0,1.7,8.5,0,18.1,19.2,19.2,8.7,29.8,0.0,0.0,0.0,0.0
Davante Adams,20,,WR,7000,GB,@DAL,23.5,DAL by 5.5,7%,-24%,-1%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.3,7.9,10.0,1.3,8.5,16,22.3,17.2,17.2,5.9,28.5,18.9,2.7,12.6,1.8
Matt Ryan,14,,QB,7000,ATL,SEA,28.8,ATL by 6.5,-4%,-16%,-15%,30.7,33.4,31.8,6.3,9.3,1.7,2.2,2.5,0.4,3.3,0.0,0.0,0.0,0.0,0.0,57,23.9,23.4,23.4,15.9,30.9,18.2,2.6,28.2,4.0
Thomas Rawls,10,,RB,6900,SEA,@ATL,22.3,ATL by 6.5,10%,-4%,18%,0.0,0.0,0.0,0.0,0.0,14.3,13.6,13.0,2.3,3.8,1.0,1.9,1.6,0.2,5.1,25,11.5,10.5,10.5,1.2,19.7,10.1,1.5,3.4,0.5
Russell Wilson,2,,QB,6900,SEA,@ATL,22.3,ATL by 6.5,10%,-4%,15%,35.7,33.3,36.9,4.8,7.9,5.0,4.4,4.2,0.4,3.4,0.0,0.1,0.0,0.1,7.0,70,23.0,18.4,18.4,10.0,26.8,20.9,3.0,19.9,2.9
Julian Edelman,20,,WR,6800,NE,HOU,29.8,NE by 15.5,-17%,-9%,-13%,0.0,0.0,0.0,0.0,0.0,0.3,0.8,0.3,0.1,4.8,11.0,10.0,8.7,0.9,6.9,15,20.7,14.9,14.9,7.7,22.1,16.5,2.4,25.9,3.8
Dez Bryant,25,,WR,6600,DAL,GB,29.0,DAL by 5.5,12%,-12%,20%,0.3,0.1,0.0,0.1,10.0,0.0,0.0,0.0,0.0,0.0,5.3,7.4,7.2,1.0,8.3,12,14.5,14.6,14.6,4.3,25.0,15.9,2.4,37.2,5.6
Ben Roethlisberger,0,,QB,6500,PIT,@KC,21.5,KC by 2.5,1%,11%,-2%,29.0,35.1,35.8,4.1,7.6,3.0,1.3,2.2,0.3,1.2,0.0,0.0,0.0,0.0,0.0,58,17.0,19.6,19.6,10.3,28.9,18.1,2.8,8.1,1.2
Travis Kelce,16,,TE,6100,KC,PIT,24.0,KC by 2.5,1%,-9%,3%,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,-5.0,6.3,7.3,7.8,1.0,9.6,13,15.0,15.1,15.1,5.7,24.4,15.1,2.5,12.7,2.1
Dak Prescott,13,,QB,6000,DAL,GB,29.0,DAL by 5.5,12%,-12%,10%,21.3,28.7,29.0,3.3,8.0,3.0,3.6,4.0,0.6,4.9,0.0,0.0,0.0,0.0,0.0,56,15.2,18.8,18.8,11.6,26.0,17.8,3.0,29.4,4.9
Devonta Freeman,13,,RB,5900,ATL,SEA,28.8,ATL by 6.5,-4%,-16%,-18%,0.0,0.0,0.0,0.0,0.0,15.0,14.2,16.4,3.1,4.8,5.0,4.1,3.4,1.1,7.1,33,27.7,18.2,18.2,8.3,28.1,14.7,2.5,22.5,3.8
DeAndre Hopkins,10,,WR,5800,HOU,@NE,14.3,NE by 15.5,-1%,-19%,-8%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.7,9.5,8.0,0.6,6.4,13,15.8,12.8,12.8,6.2,19.4,12.8,2.2,12.5,2.2
LeGarrette Blount,12,,RB,5800,NE,HOU,29.8,NE by 15.5,-17%,-9%,-7%,0.0,0.0,0.0,0.0,0.0,17.0,18.7,14.8,4.3,3.9,0.0,0.5,0.3,0.0,4.8,24,12.4,15.4,15.4,8.7,22.1,9.1,1.6,3.1,0.5
Randall Cobb,18,,WR,5700,GB,@DAL,23.5,DAL by 5.5,7%,-24%,-1%,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.2,0.1,3.3,3.7,6.5,7.6,1.1,8.0,13,14.6,13.5,13.5,3.4,23.6,13.3,2.3,13.2,2.3
Lamar Miller,4,,RB,5600,HOU,@NE,14.3,NE by 15.5,-1%,-19%,-12%,0.0,0.0,0.0,0.0,0.0,24.7,19.9,16.1,2.3,3.8,1.3,2.7,1.9,0.4,4.7,30,17.5,14.5,14.5,6.2,22.7,11.1,2.0,12.9,2.3
Tyreek Hill,17,,WR,5500,KC,PIT,24.0,KC by 2.5,1%,-9%,-9%,0.0,0.0,0.0,0.0,0.0,3.3,1.5,1.0,0.2,11.1,5.0,5.2,7.9,0.8,7.1,15,15.1,13.6,13.6,5.6,21.6,15.6,2.8,8.5,1.5
Alex Smith,6,,QB,5400,KC,PIT,24.0,KC by 2.5,1%,-9%,-10%,30.7,32.6,38.2,4.3,7.2,4.7,3.2,3.5,0.8,2.8,0.0,0.1,0.0,0.0,3.0,68,20.5,16.0,16.0,8.9,23.1,18.8,3.5,10.8,2.0
Ty Montgomery,3,,RB,5300,GB,@DAL,23.5,DAL by 5.5,7%,-24%,-19%,0.0,0.0,0.0,0.0,0.0,9.3,5.5,8.2,0.9,5.5,4.7,3.8,4.6,0.6,6.5,21,9.0,9.6,9.6,0.2,19.1,12.3,2.3,26.1,4.9
