Player Name,Likes,Inj,Pos,Salary,Team,Opp,Vegas Pts,Vegas Spread,Defense Pass Yds/G,Defense Rush Yds/G,DvP,L3 Pass Att,S Pass Att,Proj Pass Att,Red Zone Pass Att,Yards Per Pass Att,L3 Rush Att,S Rush Att,Proj Rush Att,Red Zone Rush Att,Yards Per Rush Att,L3 Targets,S Targets,Proj Targets,Red Zone Targets,Yards Per Target,Projected Usage,L3 FP,L16 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Antonio Brown,9,,WR,9300,PIT,@BAL,22.8,PIT by 3.5,3%,-14%,1%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,12.0,12.0,10.0,1.0,9.8,17,24.5,24.5,24.5,12.9,36.0,20.6,2.2,7.4,0.8
Odell Beckham Jr.,25,Q,WR,8900,NYG,@TB,21.5,TB by 2.5,7%,7%,6%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,9.6,1.5,6.4,15,18.3,18.3,18.3,3.2,33.3,18.4,2.1,16.0,1.8
Julio Jones,16,Q,WR,8800,ATL,BUF,28.0,ATL by 8,-12%,18%,-16%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.7,8.7,8.1,0.7,10.2,14,15.2,15.2,15.2,11.0,19.3,19.7,2.2,6.0,0.7
Le'Veon Bell,10,,RB,8700,PIT,@BAL,22.8,PIT by 3.5,3%,-14%,-2%,0.0,0.0,0.0,0.0,0.0,17.3,17.3,18.0,4.0,3.5,5.7,5.7,6.2,0.3,3.3,41,14.2,14.2,14.2,7.1,21.3,21.4,2.5,37.6,4.3
A.J. Green,21,,WR,8600,CIN,@CLE,22.3,CIN by 3,1%,27%,-4%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.3,10.3,9.4,1.3,8.1,16,18.1,18.1,18.1,7.6,28.5,17.8,2.1,17.3,2.0
Kareem Hunt,9,,RB,8500,KC,WAS,27.5,KC by 7,2%,-1%,2%,0.0,0.0,0.0,0.0,0.0,15.7,15.7,15.1,2.7,8.5,3.0,3.0,3.3,0.3,15.2,34,34.6,34.6,34.6,21.6,47.6,18.9,2.2,19.1,2.2
LeSean McCoy,22,,RB,8400,BUF,@ATL,20.0,ATL by 8,7%,-10%,17%,0.0,0.0,0.0,0.0,0.0,16.0,16.0,11.1,3.0,2.9,6.7,6.7,5.5,0.0,6.5,29,16.0,16.0,16.0,9.0,23.1,18.2,2.2,13.8,1.6
Ezekiel Elliott,37,,RB,8200,DAL,LAR,27.8,DAL by 5,-6%,2%,4%,0.0,0.0,0.0,0.0,0.0,18.3,18.3,20.3,1.7,3.5,4.7,4.7,2.9,0.3,4.6,38,15.5,15.5,15.5,7.3,23.8,22.4,2.7,29.9,3.6
Tom Brady,13,,QB,8000,NE,CAR,28.5,NE by 9,12%,-16%,4%,36.7,36.7,33.1,5.3,9.9,1.7,1.7,2.0,0.7,3.0,0.0,0.0,0.0,0.0,0.0,56,28.1,28.1,28.1,12.7,43.4,22.5,2.8,23.5,2.9
Todd Gurley II,20,,RB,7800,LAR,@DAL,22.8,DAL by 5,5%,-24%,-14%,0.0,0.0,0.0,0.0,0.0,21.0,21.0,16.4,4.3,3.8,5.7,5.7,3.7,1.0,8.2,35,29.7,29.7,29.7,19.4,40.0,18.9,2.4,37.5,4.8
Jordy Nelson,3,,WR,7700,GB,CHI,25.8,GB by 7.5,-3%,2%,8%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7,5.7,7.6,1.3,7.7,13,14.7,14.7,14.7,1.9,27.5,18.0,2.3,23.5,3.1
Brandin Cooks,9,,WR,7600,NE,CAR,28.5,NE by 9,12%,-16%,14%,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.3,0.0,3.0,6.0,6.0,6.7,0.0,14.2,11,17.7,17.7,17.7,2.4,33.0,14.2,1.9,7.2,0.9
Aaron Rodgers,6,,QB,7600,GB,CHI,25.8,GB by 7.5,-3%,2%,-1%,44.7,44.7,32.0,5.0,7.2,4.3,4.3,4.1,0.3,4.0,0.0,0.0,0.0,0.0,0.0,60,24.3,24.3,24.3,20.1,28.5,23.4,3.1,23.1,3.0
Ty Montgomery,2,Q,RB,7500,GB,CHI,25.8,GB by 7.5,-3%,2%,-16%,0.0,0.0,0.0,0.0,0.0,13.7,13.7,16.6,2.3,3.0,7.7,7.7,3.8,1.0,5.6,34,20.4,20.4,20.4,12.4,28.5,18.6,2.5,2.8,0.4
Matt Ryan,7,,QB,7400,ATL,BUF,28.0,ATL by 8,-12%,18%,-9%,31.0,31.0,30.7,4.0,9.3,1.7,1.7,2.2,0.7,3.6,0.0,0.0,0.0,0.0,0.0,57,17.5,17.5,17.5,14.4,20.6,21.8,2.9,11.5,1.6
Jay Ajayi,8,,RB,7400,MIA,NO,23.8,NO by 4,17%,-11%,16%,0.0,0.0,0.0,0.0,0.0,19.5,19.5,17.4,2.0,3.5,2.5,2.5,2.8,0.0,2.6,36,11.1,11.1,11.1,1.8,20.3,17.2,2.3,6.4,0.9
Mike Evans,3,,WR,7400,TB,NYG,24.0,TB by 2.5,0%,-6%,-16%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.5,10.5,9.8,1.0,7.6,17,18.0,18.0,18.0,11.9,24.1,18.1,2.4,17.7,2.4
Devonta Freeman,33,,RB,7300,ATL,BUF,28.0,ATL by 8,-12%,18%,7%,0.0,0.0,0.0,0.0,0.0,17.3,17.3,16.2,3.3,4.4,2.3,2.3,3.7,1.0,7.1,34,20.6,20.6,20.6,13.0,28.1,19.6,2.7,15.8,2.2
Russell Wilson,5,,QB,7300,SEA,IND,27.0,SEA by 12.5,9%,9%,10%,38.3,38.3,29.8,7.3,6.3,7.0,7.0,5.6,0.3,4.8,0.0,0.0,0.0,0.0,0.0,59,20.4,20.4,20.4,6.1,34.7,21.6,3.0,27.6,3.8
Michael Thomas,9,,WR,7300,NO,@MIA,27.8,NO by 4,3%,22%,5%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.7,8.7,8.4,1.3,8.5,14,15.0,15.0,15.0,8.9,21.2,18.3,2.5,22.9,3.1
Drew Brees,3,,QB,7200,NO,@MIA,27.8,NO by 4,3%,22%,13%,37.0,37.0,38.0,6.7,7.8,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64,20.6,20.6,20.6,15.8,25.4,22.8,3.2,19.0,2.6
Keenan Allen,21,,WR,7200,LAC,PHI,25.0,LAC by 2,6%,-5%,16%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.7,9.7,8.2,0.7,6.8,14,15.9,15.9,15.9,10.3,21.4,17.2,2.4,21.8,3.0
Stefon Diggs,9,,WR,7100,MIN,DET,22.8,MIN by 2.5,4%,-7%,8%,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.3,0.0,-1.0,8.3,8.3,7.4,1.7,11.7,13,24.4,24.4,24.4,6.5,42.2,12.8,1.8,14.8,2.1
Melvin Gordon,3,,RB,7000,LAC,PHI,25.0,LAC by 2,6%,-5%,-6%,0.0,0.0,0.0,0.0,0.0,14.7,14.7,17.5,1.7,3.3,5.3,5.3,3.2,0.7,5.6,35,17.9,17.9,17.9,14.3,21.4,16.4,2.3,3.9,0.6
Doug Baldwin,5,,WR,6900,SEA,IND,27.0,SEA by 12.5,9%,9%,5%,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,-3.0,9.3,9.3,6.6,1.3,7.6,11,16.6,16.6,16.6,5.5,27.8,14.5,2.1,6.5,0.9
Tyreek Hill,6,,WR,6800,KC,WAS,27.5,KC by 7,2%,-1%,-12%,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.4,0.0,4.0,7.3,7.3,5.8,0.3,11.5,13,19.6,19.6,19.6,9.1,30.0,14.3,2.1,8.5,1.3
Christian McCaffrey,17,,RB,6800,CAR,@NE,19.5,NE by 9,5%,-12%,-2%,0.0,0.0,0.0,0.0,0.0,8.3,8.3,5.2,1.3,2.9,7.7,7.7,6.1,0.7,7.5,20,14.9,14.9,14.9,6.9,22.8,14.1,2.1,8.9,1.3
DeVante Parker,7,,WR,6700,MIA,NO,23.8,NO by 4,17%,-11%,7%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5,9.5,6.4,1.0,8.5,11,17.1,17.1,17.1,10.6,23.5,13.5,2.0,12.9,1.9
Leonard Fournette,23,,RB,6700,JAX,@NYJ,21.3,JAX by 4,-2%,1%,8%,0.0,0.0,0.0,0.0,0.0,19.0,19.0,17.8,4.0,3.5,4.0,4.0,2.4,0.0,5.5,34,18.5,18.5,18.5,13.2,23.8,15.4,2.3,24.5,3.7
Carson Wentz,1,,QB,6600,PHI,@LAC,23.0,LAC by 2,-6%,1%,-5%,38.7,38.7,38.8,5.0,7.0,4.7,4.7,2.3,0.0,5.9,0.0,0.0,0.0,0.0,0.0,66,22.0,22.0,22.0,14.0,29.9,19.1,2.9,15.1,2.3
Rob Gronkowski,15,,TE,6600,NE,CAR,28.5,NE by 9,12%,-16%,11%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3,8.3,7.0,1.7,9.5,11,18.3,18.3,18.3,6.9,29.6,18.0,2.7,12.0,1.8
Carlos Hyde,1,Q,RB,6600,SF,@ARI,18.5,ARI by 6,-9%,-21%,-21%,0.0,0.0,0.0,0.0,0.0,16.3,16.3,12.8,4.7,5.2,5.3,5.3,3.9,1.0,3.8,29,19.5,19.5,19.5,14.1,24.9,16.1,2.4,14.5,2.2
Jarvis Landry,6,,WR,6500,MIA,NO,23.8,NO by 4,17%,-11%,7%,0.5,0.5,0.0,0.5,0.0,0.5,0.5,0.5,0.0,-7.0,13.0,13.0,7.7,1.5,4.8,15,15.5,15.5,15.5,8.9,22.0,14.5,2.2,10.0,1.5
Dez Bryant,13,,WR,6500,DAL,LAR,27.8,DAL by 5,-6%,2%,10%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,7.3,2.3,4.2,12,11.5,11.5,11.5,4.9,18.1,15.6,2.4,14.8,2.3
Kirk Cousins,3,,QB,6500,WAS,@KC,20.5,KC by 7,7%,9%,4%,32.3,32.3,38.4,4.0,8.1,2.7,2.7,1.8,0.3,4.9,0.0,0.0,0.0,0.0,0.0,65,18.4,18.4,18.4,8.5,28.3,19.3,3.0,20.6,3.2
Dalvin Cook,29,O,RB,6500,MIN,DET,22.8,MIN by 2.5,4%,-7%,-8%,0.0,0.0,0.0,0.0,0.0,20.3,20.3,16.9,2.7,4.7,4.3,4.3,2.9,1.0,6.3,32,18.7,18.7,18.7,8.9,28.5,0.0,0.0,13.4,2.1
DeAndre Hopkins,37,,WR,6400,HOU,TEN,20.3,TEN by 2.5,17%,-22%,25%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.3,12.3,7.9,1.0,5.5,13,15.8,15.8,15.8,13.5,18.1,13.9,2.2,29.7,4.6
Marcus Mariota,5,Q,QB,6400,TEN,@HOU,22.8,TEN by 2.5,-9%,-13%,-7%,33.3,33.3,31.8,3.7,7.0,5.3,5.3,4.5,1.7,4.8,0.0,0.0,0.0,0.0,0.0,62,17.5,17.5,17.5,14.4,20.6,19.3,3.0,17.7,2.8
Philip Rivers,14,,QB,6300,LAC,PHI,25.0,LAC by 2,6%,-5%,7%,37.3,37.3,32.3,3.0,6.8,0.3,0.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57,15.1,15.1,15.1,7.6,22.7,20.8,3.3,23.9,3.8
David Johnson,,,RB,6300,ARI,SF,24.5,ARI by 6,-1%,52%,48%,0.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,3.0,2.1,9.0,9.0,0.0,1.0,7.4,0,14.0,14.0,14.0,14.0,14.0,0.0,0.0,0.0,0.0
