Player Name,Likes,Inj,Pos,Salary,Team,Opp,Vegas Pts,Vegas Spread,Defense Pass Yds/G,Defense Rush Yds/G,DvP,L3 Pass Att,S Pass Att,Proj Pass Att,Red Zone Pass Att,Yards Per Pass Att,L3 Rush Att,S Rush Att,Proj Rush Att,Red Zone Rush Att,Yards Per Rush Att,L3 Targets,S Targets,Proj Targets,Red Zone Targets,Yards Per Target,Projected Usage,L3 FP,L16 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Julio Jones,12,Q,WR,9300,ATL,@DET,27.0,ATL by 3,2%,-9%,8%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,8.7,0.5,12.4,15,14.7,14.7,14.7,8.9,20.5,22.2,2.4,16.1,1.7
Antonio Brown,8,,WR,9000,PIT,@CHI,25.3,PIT by 7,-2%,9%,8%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,11.0,11.0,11.4,0.5,11.1,19,21.7,21.7,21.7,6.9,36.5,23.2,2.6,30.0,3.3
Le'Veon Bell,22,,RB,8800,PIT,@CHI,25.3,PIT by 7,-2%,9%,-12%,0.0,0.0,0.0,0.0,0.0,18.5,18.5,17.1,4.0,3.2,5.0,5.0,7.1,0.5,1.9,40,10.4,10.4,10.4,6.6,14.2,22.3,2.5,21.8,2.5
Odell Beckham Jr.,7,,WR,8600,NYG,@PHI,18.5,PHI by 5,2%,-6%,11%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,10.1,0.0,7.2,17,7.6,7.6,7.6,7.6,7.6,19.3,2.2,28.9,3.4
Ezekiel Elliott,5,,RB,8300,DAL,@ARI,25.0,DAL by 3,-11%,-15%,-18%,0.0,0.0,0.0,0.0,0.0,16.5,16.5,18.8,1.5,3.4,5.0,5.0,3.3,0.5,5.0,37,14.1,14.1,14.1,2.9,25.3,21.3,2.6,18.4,2.2
A.J. Green,25,,WR,8100,CIN,@GB,20.3,GB by 7,8%,-5%,17%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,10.9,1.5,7.8,18,12.1,12.1,12.1,11.6,12.5,20.0,2.5,30.1,3.7
Kareem Hunt,17,,RB,8000,KC,@LAC,25.3,KC by 3,-1%,-5%,-3%,0.0,0.0,0.0,0.0,0.0,15.0,15.0,17.0,2.5,7.6,4.0,4.0,3.8,0.5,15.8,35,37.8,37.8,37.8,21.0,54.5,16.8,2.1,28.3,3.5
Jordy Nelson,6,,WR,7800,GB,CIN,27.3,GB by 7,-6%,7%,-21%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,7.6,0.0,9.9,13,10.4,10.4,10.4,-4.3,25.2,17.4,2.2,23.2,3.0
Tom Brady,3,,QB,7700,NE,HOU,29.0,NE by 13.5,-15%,-6%,-15%,37.5,37.5,32.3,6.0,9.5,2.0,2.0,2.2,1.0,2.3,0.0,0.0,0.0,0.0,0.0,57,22.2,22.2,22.2,5.9,38.6,19.2,2.5,39.7,5.2
Jay Ajayi,15,,RB,7700,MIA,@NYJ,24.3,MIA by 5.5,-2%,3%,9%,0.0,0.0,0.0,0.0,0.0,28.0,28.0,19.5,4.0,4.4,2.0,2.0,2.8,0.0,2.0,39,17.6,17.6,17.6,17.6,17.6,18.7,2.4,4.5,0.6
