Player Name,Likes,Inj,Pos,Salary,Team,Opp,Vegas Pts,Vegas Spread,Defense Pass Yds/G,Defense Rush Yds/G,DvP,L3 Pass Att,S Pass Att,Proj Pass Att,Red Zone Pass Att,Yards Per Pass Att,L3 Rush Att,S Rush Att,Proj Rush Att,Red Zone Rush Att,Yards Per Rush Att,L3 Targets,S Targets,Proj Targets,Red Zone Targets,Yards Per Target,Projected Usage,L3 FP,L16 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Alex Smith,1,,QB,5900,KC,@HOU,23.5,KC by 2,-14%,-11%,9%,28.7,30.3,32.0,4.0,8.8,4.3,4.5,2.7,0.5,4.9,0.0,0.0,0.0,0.0,0.0,63,19.5,23.1,23.1,14.0,32.3,15.1,2.6,29.9,5.1
Philip Rivers,5,,QB,5800,LAC,@NYG,21.3,NYG by 3,-5%,33%,8%,39.0,37.5,34.5,3.8,7.4,0.3,0.3,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61,16.9,17.3,17.3,9.8,24.9,17.8,3.1,21.8,3.8
Davante Adams,4,,WR,5800,GB,@DAL,24.8,DAL by 2.5,2%,0%,15%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,1.8,7.8,0,14.1,12.5,12.5,4.8,20.1,0.0,0.0,25.6,4.4
Alshon Jeffery,2,,WR,5800,PHI,ARI,25.5,PHI by 6,-5%,-18%,15%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,8.5,7.1,0.8,6.3,12,14.6,13.1,13.1,6.9,19.3,13.8,2.4,6.1,1.1
Jarvis Landry,12,,WR,5800,MIA,TEN,20.8,TEN by 0,21%,5%,42%,0.3,0.3,0.0,0.3,0.0,0.3,0.3,0.4,0.0,-7.0,11.0,11.0,7.3,1.0,5.0,14,13.6,13.6,13.6,8.0,19.2,13.1,2.3,15.4,2.7
Andrew Luck,,O,QB,5700,IND,SF,22.3,IND by 1,6%,-1%,7%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Christian McCaffrey,9,,RB,5700,CAR,@DET,20.0,DET by 2,4%,-19%,6%,0.0,0.0,0.0,0.0,0.0,6.0,7.8,6.2,1.3,2.9,7.3,7.3,5.1,0.8,7.1,20,13.7,13.4,13.4,6.3,20.5,14.0,2.5,14.8,2.6
Amari Cooper,1,,WR,5700,OAK,BAL,21.8,OAK by 3,-2%,19%,-23%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7.8,6.3,1.5,3.5,12,3.9,7.3,7.3,0.2,14.3,10.8,1.9,1.8,0.3
Jordan Howard,1,,RB,5600,CHI,MIN,18.8,MIN by 3.5,9%,-33%,-33%,0.0,0.0,0.0,0.0,0.0,16.7,15.8,15.4,2.0,4.0,3.3,3.8,2.5,0.3,3.3,31,16.8,16.5,16.5,2.2,30.8,14.5,2.6,7.6,1.4
Devin Funchess,6,Q,WR,5600,CAR,@DET,20.0,DET by 2,4%,-19%,1%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3,6.8,5.1,0.8,8.0,9,15.5,12.6,12.6,3.3,22.0,10.5,1.9,18.3,3.3
Jacoby Brissett,10,,QB,5600,IND,SF,22.3,IND by 1,6%,-1%,7%,30.0,23.3,28.1,2.3,7.3,4.7,3.5,4.6,0.5,4.9,0.0,0.0,0.0,0.0,0.0,59,16.4,12.8,12.8,2.0,23.6,15.8,2.8,22.0,3.9
Jimmy Garoppolo,,,QB,5500,NE,@TB,29.0,NE by 3.5,39%,-27%,9%,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joe Mixon,2,,RB,5500,CIN,BUF,21.0,CIN by 3,-6%,-12%,-12%,0.0,0.0,0.0,0.0,0.0,14.7,13.0,14.8,0.8,2.6,2.7,2.8,2.7,0.3,7.1,31,9.0,8.1,8.1,4.4,11.8,13.4,2.4,11.1,2.0
Doug Martin,1,,RB,5500,TB,NE,25.5,NE by 3.5,43%,24%,39%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.6,0.0,0.0,0.0,0.0,1.9,0.0,0.0,22,0.0,0.0,0.0,0.0,0.0,9.9,1.8,15.2,2.8
