"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn"
"DST","Seahawks  (0000000)","Seahawks ",0,4100,"SF@Sea 00:00PM ET","Sea","Seahawks","","SF",11.65,9.9
"DST","Panthers  (0000000)","Panthers ",0,3800,"Min@Car 00:00PM ET","Car","Panthers","","Min",11.53,10.2
"DST","Cardinals  (0000000)","Cardinals ",0,3600,"Ari@Buf 00:00PM ET","Ari","Cardinals","","Buf",9.14,8.1
"DST","Broncos  (0000000)","Broncos ",0,3500,"Den@Cin 00:00PM ET","Den","Broncos","","Cin",8.41,8.6
"DST","Giants  (0000000)","Giants ",0,3300,"Was@NYG 00:00PM ET","NYG","Giants","","Was",8.16,8.7
"DST","Patriots  (0000000)","Patriots ",0,3200,"Hou@NE 00:00PM ET","NE","Patriots","","Hou",9.44,9.4
"DST","Chiefs  (0000000)","Chiefs ",0,3200,"NYJ@KC 00:00PM ET","KC","Chiefs","","NYJ",8.99,9
"DST","Vikings  (0000000)","Vikings ",0,3100,"Min@Car 00:00PM ET","Min","Vikings","","Car",6.6,6.2
"DST","Buccaneers  (0000000)","Buccaneers ",0,3100,"LA@TB 00:00PM ET","TB","Buccaneers","","LA",8.42,8.1
"DST","Texans  (0000000)","Texans ",0,3000,"Hou@NE 00:00PM ET","Hou","Texans","","NE",9.66,8.2
"DST","Dolphins  (0000000)","Dolphins ",0,3000,"Cle@Mia 00:00PM ET","Mia","Dolphins","","Cle",11.42,7.9
"DST","Packers  (0000000)","Packers ",0,3000,"Det@GB 00:00PM ET","GB","Packers","","Det",9.41,8.7
"DST","Rams  (0000000)","Rams ",0,3000,"LA@TB 00:00PM ET","LA","Rams","","TB",6.19,8.2
"DST","Jets  (0000000)","Jets ",0,2900,"NYJ@KC 00:00PM ET","NYJ","Jets","","KC",5.8,7
"DST","Steelers  (0000000)","Steelers ",0,2900,"Pit@Phi 00:00PM ET","Pit","Steelers","","Phi",7.03,8.2
"DST","Bengals  (0000000)","Bengals ",0,2800,"Den@Cin 00:00PM ET","Cin","Bengals","","Den",8.14,7.8
"DST","Eagles  (0000000)","Eagles ",0,2800,"Pit@Phi 00:00PM ET","Phi","Eagles","","Pit",8.77,8
"DST","Bills  (0000000)","Bills ",0,2700,"Ari@Buf 00:00PM ET","Buf","Bills","","Ari",6.06,5.3
"DST","Bears  (0000000)","Bears ",0,2700,"Chi@Dal 00:00PM ET","Chi","Bears","","Dal",5.39,4.2
"DST","Raiders  (0000000)","Raiders ",0,2600,"Oak@Ten 00:00PM ET","Oak","Raiders","","Ten",6.16,7.4
"DST","Jaguars  (0000000)","Jaguars ",0,2600,"Bal@Jax 00:00PM ET","Jax","Jaguars","","Bal",7.13,7.5
"DST","Titans  (0000000)","Titans ",0,2500,"Oak@Ten 00:00PM ET","Ten","Titans","","Oak",8.14,7
"DST","Ravens  (0000000)","Ravens ",0,2500,"Bal@Jax 00:00PM ET","Bal","Ravens","","Jax",7.38,6.9
"DST","Cowboys  (0000000)","Cowboys ",0,2500,"Chi@Dal 00:00PM ET","Dal","Cowboys","","Chi",8.59,6.7
"DST","Redskins  (0000000)","Redskins ",0,2400,"Was@NYG 00:00PM ET","Was","Redskins","","NYG",5.25,8.8
"DST","Lions  (0000000)","Lions ",0,2400,"Det@GB 00:00PM ET","Det","Lions","","GB",5.35,7.1
"DST","49ers  (0000000)","49ers ",0,2400,"SF@Sea 00:00PM ET","SF","49ers","","Sea",5.59,4.6
"DST","Colts  (0000000)","Colts ",0,2400,"SD@Ind 00:00PM ET","Ind","Colts","","SD",7.32,6.9
"DST","Browns  (0000000)","Browns ",0,2300,"Cle@Mia 00:00PM ET","Cle","Browns","","Mia",6.42,6.3
"DST","Chargers  (0000000)","Chargers ",0,2300,"SD@Ind 00:00PM ET","SD","Chargers","","Ind",6.08,6.2
"DST","Saints  (0000000)","Saints ",0,2200,"Atl@NO 00:00PM ET","NO","Saints","","Atl",3.4,6.7
"DST","Falcons  (0000000)","Falcons ",0,2000,"Atl@NO 00:00PM ET","Atl","Falcons","","NO",4.24,5.4
