"Place_lo","Place_hi","Payout"
"1","1","100"
"2","2","60"
"3","3","35"
"4","4","21"
"5","5","15"
"6","6","10"
"7","7","8.5"
"8","8","7"
"9","9","6"
"10",NA,"5"
"11","20","3"
"21","30","2"
"31","40","1.75"
"41","50","1.5"
"51","100","1.25"
"101","250","1"
"251","500","0.75"
"501","1000","0.5"
