"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup","X","Player","Roster.Position","X.Drafted","FPTS"
1,935820917,"Jimbo_thegreat",0,325.75,"PF Kevin Love G Eric Bledsoe SF Otto Porter C Derrick Favors F Dion Waiters SG Kris Dunn UTIL Taj Gibson PG Ricky Rubio",NA,"LeBron James","UTIL","38.75%",58
2,935855967,"daweiser1 (4/4)",0,321,"C Kevin Love F Lauri Markkanen G Eric Bledsoe SF Otto Porter PF Derrick Favors SG Kris Dunn PG Ricky Rubio UTIL Dwyane Wade",NA,"Bradley Beal","G","34.92%",21
3,935857050,"bigbob420 (2/2)",0,319,"SF LeBron James PF Kevin Love PG Eric Bledsoe UTIL Kris Dunn SG Justin Holiday C Willie Cauley-Stein G J.R. Smith F Kyle Korver",NA,"Tim Frazier","PG","31.92%",9.25
4,935726050,"Anita18 (3/4)",0,312.25,"SF LeBron James PF Kevin Love PG Donovan Mitchell SG Kris Dunn UTIL Justin Holiday C Marcin Gortat G Kelly Oubre Jr. F J.R. Smith",NA,"Willie Cauley-Stein","C","29.56%",23.5
5,935464696,"maximum43",0,309.75,"PF Kevin Love SG Khris Middleton PG Eric Bledsoe SF Otto Porter C Derrick Favors F James Johnson G Justin Holiday UTIL Ricky Rubio",NA,"Giannis Antetokounmpo","SF","29.44%",57.25
6,935704766,"slamjunk45 (1/20)",0,308.75,"PF Giannis Antetokounmpo PG Eric Bledsoe F Otto Porter C Derrick Favors SG Kris Dunn SF Justin Holiday UTIL Kelly Olynyk G Tony Snell",NA,"Otto Porter","F","28.32%",33.5
6,935705877,"slamjunk45 (4/20)",0,308.75,"PF Giannis Antetokounmpo PG Eric Bledsoe F Otto Porter C Derrick Favors SG Kris Dunn SF Justin Holiday UTIL Kelly Olynyk G Tony Snell",NA,"Eric Bledsoe","PG","27.71%",42.25
8,935721980,"slamjunk45 (13/20)",0,307.75,"C Hassan Whiteside SG Jimmy Butler G Eric Bledsoe F Otto Porter PF Derrick Favors SF Justin Holiday PG Dwyane Wade UTIL Tony Snell",NA,"Denzel Valentine","G","25.67%",24.5
8,935732656,"slamjunk45 (19/20)",0,307.75,"C Hassan Whiteside SG Jimmy Butler G Eric Bledsoe F Otto Porter PF Derrick Favors SF Justin Holiday PG Dwyane Wade UTIL Tony Snell",NA,"Nikola Jokic","C","22.86%",27
8,935826423,"armorboi33 (1/2)",0,307.75,"SF LeBron James G Eric Bledsoe PF Otto Porter C Derrick Favors SG Justin Holiday PG Dwyane Wade UTIL Buddy Hield F J.R. Smith",NA,"Kevin Love","C","21.91%",56.75
8,935839548,"nomillertime",0,307.75,"PF LeBron James C Kevin Love SG Eric Bledsoe SF Denzel Valentine PG Dwyane Wade UTIL Willie Cauley-Stein F Alex Len G Tyler Ulis",NA,"Donovan Mitchell","PG","21.64%",26.75
8,935843190,"armorboi33 (2/2)",0,307.75,"SF LeBron James G Eric Bledsoe PF Otto Porter C Derrick Favors SG Justin Holiday PG Dwyane Wade UTIL Buddy Hield F J.R. Smith",NA,"Lauri Markkanen","F","18.94%",27
