"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"SF/PF","LeBron James",11300,"MIA@CLE 11/28/2017 07:00PM ET",55.974,"CLE"
"SF/PF","Giannis Antetokounmpo",11200,"MIL@SAC 11/28/2017 10:00PM ET",55.118,"MIL"
"C","Karl-Anthony Towns",9100,"WAS@MIN 11/28/2017 08:00PM ET",42.35,"MIN"
"C","Nikola Jokic",8700,"DEN@UTA 11/28/2017 10:00PM ET",41.658,"DEN"
"C","Hassan Whiteside",8500,"MIA@CLE 11/28/2017 07:00PM ET",37.054,"MIA"
"PG","John Wall",8500,"WAS@MIN 11/28/2017 08:00PM ET",42.313,"WAS"
"SG/SF","Devin Booker",8100,"PHO@CHI 11/28/2017 08:00PM ET",35.938,"PHO"
"SG","Bradley Beal",7900,"WAS@MIN 11/28/2017 08:00PM ET",38.553,"WAS"
"SG","Jimmy Butler",7600,"WAS@MIN 11/28/2017 08:00PM ET",34.569,"MIN"
"C","Rudy Gobert",7500,"DEN@UTA 11/28/2017 10:00PM ET",35.042,"UTA"
"PG","Goran Dragic",7500,"MIA@CLE 11/28/2017 07:00PM ET",33.039,"MIA"
"SF/PF","T.J. Warren",7300,"PHO@CHI 11/28/2017 08:00PM ET",30.905,"PHO"
"PF/C","Kevin Love",7200,"MIA@CLE 11/28/2017 07:00PM ET",37.053,"CLE"
"SF/PF","Andrew Wiggins",6900,"WAS@MIN 11/28/2017 08:00PM ET",30.438,"MIN"
"PG","Jeff Teague",6800,"WAS@MIN 11/28/2017 08:00PM ET",33.167,"MIN"
"PF","Lauri Markkanen",6700,"PHO@CHI 11/28/2017 08:00PM ET",30.264,"CHI"
"PG","Isaiah Thomas",6600,"MIA@CLE 11/28/2017 07:00PM ET",0,"CLE"
"SG/SF","Khris Middleton",6600,"MIL@SAC 11/28/2017 10:00PM ET",35.611,"MIL"
"PG/SG","Eric Bledsoe",6600,"MIL@SAC 11/28/2017 10:00PM ET",30.932,"MIL"
"PF/C","Paul Millsap",6500,"DEN@UTA 11/28/2017 10:00PM ET",31.828,"DEN"
"PG/SG","Donovan Mitchell",6500,"DEN@UTA 11/28/2017 10:00PM ET",27.263,"UTA"
"SF/PF","Otto Porter",6400,"WAS@MIN 11/28/2017 08:00PM ET",32.819,"WAS"
"SG/SF","Will Barton",6300,"DEN@UTA 11/28/2017 10:00PM ET",28.539,"DEN"
"PF/C","Derrick Favors",6300,"DEN@UTA 11/28/2017 10:00PM ET",25.275,"UTA"
"SG/SF","Dion Waiters",6200,"MIA@CLE 11/28/2017 07:00PM ET",25.971,"MIA"
"PG/SG","Kris Dunn",6100,"PHO@CHI 11/28/2017 08:00PM ET",25.5,"CHI"
"PF","James Johnson",5900,"MIA@CLE 11/28/2017 07:00PM ET",27.889,"MIA"
"PF/C","Taj Gibson",5800,"WAS@MIN 11/28/2017 08:00PM ET",25.863,"MIN"
"SG/SF","Rodney Hood",5700,"DEN@UTA 11/28/2017 10:00PM ET",25.986,"UTA"
"SG/SF","Denzel Valentine",5600,"PHO@CHI 11/28/2017 08:00PM ET",24.389,"CHI"
"SG/SF","Justin Holiday",5500,"PHO@CHI 11/28/2017 08:00PM ET",26.544,"CHI"
"PF/C","Zach Randolph",5500,"MIL@SAC 11/28/2017 10:00PM ET",25.265,"SAC"
"PG","Ricky Rubio",5400,"DEN@UTA 11/28/2017 10:00PM ET",27.776,"UTA"
"PG/SG","Dwyane Wade",5300,"MIA@CLE 11/28/2017 07:00PM ET",23.333,"CLE"
"SG","Gary Harris",5200,"DEN@UTA 11/28/2017 10:00PM ET",26.147,"DEN"
"PF","Bobby Portis",5200,"PHO@CHI 11/28/2017 08:00PM ET",26.375,"CHI"
"PG/SG","Jamal Murray",5100,"DEN@UTA 11/28/2017 10:00PM ET",22.908,"DEN"
"PF/C","Willie Cauley-Stein",5100,"MIL@SAC 11/28/2017 10:00PM ET",23.711,"SAC"
"SF/PF","Jabari Parker",5100,"MIL@SAC 11/28/2017 10:00PM ET",0,"MIL"
"PF/C","Nikola Mirotic",5000,"PHO@CHI 11/28/2017 08:00PM ET",0,"CHI"
"PG/SG","Malcolm Brogdon",5000,"MIL@SAC 11/28/2017 10:00PM ET",24.971,"MIL"
"C","Marcin Gortat",5000,"WAS@MIN 11/28/2017 08:00PM ET",26.263,"WAS"
"C","Robin Lopez",4900,"PHO@CHI 11/28/2017 08:00PM ET",24.222,"CHI"
"SG/SF","Joe Ingles",4800,"DEN@UTA 11/28/2017 10:00PM ET",24.688,"UTA"
"SF/PF","Wilson Chandler",4800,"DEN@UTA 11/28/2017 10:00PM ET",19.792,"DEN"
"PF/C","Greg Monroe",4800,"PHO@CHI 11/28/2017 08:00PM ET",19.341,"PHO"
"PG/SG","Jerian Grant",4700,"PHO@CHI 11/28/2017 08:00PM ET",22.347,"CHI"
"PG/SG","Zach LaVine",4700,"PHO@CHI 11/28/2017 08:00PM ET",0,"CHI"
"C","John Henson",4700,"MIL@SAC 11/28/2017 10:00PM ET",20.912,"MIL"
"SF/PF","Markieff Morris",4700,"WAS@MIN 11/28/2017 08:00PM ET",19.313,"WAS"
"PG","Mike James",4600,"PHO@CHI 11/28/2017 08:00PM ET",23.107,"PHO"
"PF/C","Alex Len",4500,"PHO@CHI 11/28/2017 08:00PM ET",24.056,"PHO"
"PG","De'Aaron Fox",4500,"MIL@SAC 11/28/2017 10:00PM ET",22.408,"SAC"
"SG/SF","Buddy Hield",4500,"MIL@SAC 11/28/2017 10:00PM ET",22.985,"SAC"
"PG","Tyler Ulis",4400,"PHO@CHI 11/28/2017 08:00PM ET",16.788,"PHO"
"C","Tyson Chandler",4400,"PHO@CHI 11/28/2017 08:00PM ET",21.734,"PHO"
