"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PG/SG","James Harden",11600,"IND@HOU 11/29/2017 08:00PM ET",57.813,"HOU"
"PG","Russell Westbrook",11200,"OKC@ORL 11/29/2017 07:00PM ET",51.868,"OKC"
"PF/C","DeMarcus Cousins",11000,"MIN@NO 11/29/2017 08:00PM ET",55.675,"NO"
"PF/C","Anthony Davis",10800,"MIN@NO 11/29/2017 08:00PM ET",50.908,"NO"
"C","Joel Embiid",9800,"WAS@PHI 11/29/2017 07:00PM ET",45.559,"PHI"
"PG/SF","Ben Simmons",9700,"WAS@PHI 11/29/2017 07:00PM ET",45.736,"PHI"
"PG/SG","Stephen Curry",9600,"GS@LAL 11/29/2017 10:30PM ET",46.355,"GS"
"SF/PF","Kevin Durant",9300,"GS@LAL 11/29/2017 10:30PM ET",45.719,"GS"
"C","Andre Drummond",9200,"PHO@DET 11/29/2017 07:00PM ET",43.934,"DET"
"C","Karl-Anthony Towns",8700,"MIN@NO 11/29/2017 08:00PM ET",42.35,"MIN"
"SF","Paul George",8600,"OKC@ORL 11/29/2017 07:00PM ET",39.566,"OKC"
"PG","John Wall",8500,"WAS@PHI 11/29/2017 07:00PM ET",42.313,"WAS"
"PG/SG","Victor Oladipo",8400,"IND@HOU 11/29/2017 08:00PM ET",39.938,"IND"
"C","Marc Gasol",8300,"MEM@SA 11/29/2017 08:30PM ET",40.921,"MEM"
"PF/C","Kristaps Porzingis",8200,"MIA@NY 11/29/2017 07:30PM ET",43.208,"NY"
"SF/PF","Kawhi Leonard",8200,"MEM@SA 11/29/2017 08:30PM ET",0,"SA"
"PG/SG","Chris Paul",8100,"IND@HOU 11/29/2017 08:00PM ET",38.167,"HOU"
"SG","Bradley Beal",8100,"WAS@PHI 11/29/2017 07:00PM ET",38.553,"WAS"
"PF/C","LaMarcus Aldridge",8100,"MEM@SA 11/29/2017 08:30PM ET",40.075,"SA"
"C","Hassan Whiteside",8000,"MIA@NY 11/29/2017 07:30PM ET",37.054,"MIA"
"SG/SF","DeMar DeRozan",7900,"CHA@TOR 11/29/2017 07:30PM ET",37.237,"TOR"
"PG","Kyle Lowry",7800,"CHA@TOR 11/29/2017 07:30PM ET",37.053,"TOR"
"SG/SF","Devin Booker",7700,"PHO@DET 11/29/2017 07:00PM ET",35.938,"PHO"
"PG","Goran Dragic",7600,"MIA@NY 11/29/2017 07:30PM ET",33.039,"MIA"
"PG","Kemba Walker",7500,"CHA@TOR 11/29/2017 07:30PM ET",38.289,"CHA"
"SG","Klay Thompson",7400,"GS@LAL 11/29/2017 10:30PM ET",33.452,"GS"
"C","Clint Capela",7400,"IND@HOU 11/29/2017 08:00PM ET",34.425,"HOU"
"SG","Jimmy Butler",7400,"MIN@NO 11/29/2017 08:00PM ET",34.569,"MIN"
"PF/C","Draymond Green",7300,"GS@LAL 11/29/2017 10:30PM ET",34.075,"GS"
"C","Nikola Vucevic",7300,"OKC@ORL 11/29/2017 07:00PM ET",35.94,"ORL"
"PG","D'Angelo Russell",7200,"BKN@DAL 11/29/2017 08:30PM ET",36.458,"BKN"
"SF/PF","T.J. Warren",7100,"PHO@DET 11/29/2017 07:00PM ET",30.905,"PHO"
"C","Dwight Howard",7100,"CHA@TOR 11/29/2017 07:30PM ET",35.605,"CHA"
"SF/PF","Carmelo Anthony",7000,"OKC@ORL 11/29/2017 07:00PM ET",33.847,"OKC"
"SF/PF","Aaron Gordon",7000,"OKC@ORL 11/29/2017 07:00PM ET",34.711,"ORL"
"SF/PF","Andrew Wiggins",7000,"MIN@NO 11/29/2017 08:00PM ET",30.438,"MIN"
"PG/SG","Spencer Dinwiddie",6900,"BKN@DAL 11/29/2017 08:30PM ET",26.3,"BKN"
"PG","Lonzo Ball",6800,"GS@LAL 11/29/2017 10:30PM ET",32.85,"LAL"
"SF/PF","Otto Porter",6700,"WAS@PHI 11/29/2017 07:00PM ET",32.819,"WAS"
"PG","Jeff Teague",6600,"MIN@NO 11/29/2017 08:00PM ET",33.167,"MIN"
"SG/SF","Tyreke Evans",6600,"MEM@SA 11/29/2017 08:30PM ET",32.066,"MEM"
"SF/PF","Tobias Harris",6500,"PHO@DET 11/29/2017 07:00PM ET",31.105,"DET"
"SG/SF","Tim Hardaway Jr.",6500,"MIA@NY 11/29/2017 07:30PM ET",31.975,"NY"
"PG/SG","Jrue Holiday",6500,"MIN@NO 11/29/2017 08:00PM ET",31.563,"NO"
"PG","Mike Conley",6500,"MEM@SA 11/29/2017 08:30PM ET",28.771,"MEM"
"SG/SF","Dion Waiters",6400,"MIA@NY 11/29/2017 07:30PM ET",25.971,"MIA"
"C","Myles Turner",6300,"IND@HOU 11/29/2017 08:00PM ET",30.536,"IND"
"SF/PF","Robert Covington",6200,"WAS@PHI 11/29/2017 07:00PM ET",30.632,"PHI"
"PF/C","Pau Gasol",6200,"MEM@SA 11/29/2017 08:30PM ET",30.038,"SA"
"PG/SG","Avery Bradley",6100,"PHO@DET 11/29/2017 07:00PM ET",26.211,"DET"
"PF","James Johnson",6100,"MIA@NY 11/29/2017 07:30PM ET",27.889,"MIA"
"SF/PF","Harrison Barnes",6100,"BKN@DAL 11/29/2017 08:30PM ET",32.25,"DAL"
"SG/SF","Brandon Ingram",6000,"GS@LAL 11/29/2017 10:30PM ET",28.5,"LAL"
"SF/PF","Kyle Kuzma",6000,"GS@LAL 11/29/2017 10:30PM ET",27.95,"LAL"
"PG","Darren Collison",6000,"IND@HOU 11/29/2017 08:00PM ET",28.774,"IND"
"SF/PF","Rondae Hollis-Jefferson",6000,"BKN@DAL 11/29/2017 08:30PM ET",26.583,"BKN"
"PG","Reggie Jackson",5900,"PHO@DET 11/29/2017 07:00PM ET",29.237,"DET"
"PG","Elfrid Payton",5900,"OKC@ORL 11/29/2017 07:00PM ET",27.417,"ORL"
"PF/C","Taj Gibson",5900,"MIN@NO 11/29/2017 08:00PM ET",25.863,"MIN"
"SG","Kentavious Caldwell-Pope",5800,"GS@LAL 11/29/2017 10:30PM ET",28.444,"LAL"
"PF/C","Enes Kanter",5800,"MIA@NY 11/29/2017 07:30PM ET",30.426,"NY"
"SF/PF","DeMarre Carroll",5800,"BKN@DAL 11/29/2017 08:30PM ET",28.486,"BKN"
"SG/SF","Nicolas Batum",5800,"CHA@TOR 11/29/2017 07:30PM ET",22.083,"CHA"
"PG","Mario Chalmers",5700,"MEM@SA 11/29/2017 08:30PM ET",20.829,"MEM"
"SG/SF","Evan Fournier",5600,"OKC@ORL 11/29/2017 07:00PM ET",29.476,"ORL"
"SF/PF","Thaddeus Young",5600,"IND@HOU 11/29/2017 08:00PM ET",27.643,"IND"
"PG/SG","Dennis Smith Jr.",5600,"BKN@DAL 11/29/2017 08:30PM ET",27.618,"DAL"
"C","Steven Adams",5500,"OKC@ORL 11/29/2017 07:00PM ET",28.5,"OKC"
"PF/C","Domantas Sabonis",5500,"IND@HOU 11/29/2017 08:00PM ET",28.842,"IND"
"SG/SF","Jeremy Lamb",5500,"CHA@TOR 11/29/2017 07:30PM ET",30.355,"CHA"
"SF/PF","Larry Nance Jr.",5400,"GS@LAL 11/29/2017 10:30PM ET",25.667,"LAL"
"PG/SF","Kyle Anderson",5300,"MEM@SA 11/29/2017 08:30PM ET",25.425,"SA"
"C","Brook Lopez",5200,"GS@LAL 11/29/2017 10:30PM ET",26.638,"LAL"
"SG/SF","J.J. Redick",5200,"WAS@PHI 11/29/2017 07:00PM ET",26.809,"PHI"
"C","Marcin Gortat",5200,"WAS@PHI 11/29/2017 07:00PM ET",26.263,"WAS"
"PF/C","Julius Randle",5100,"GS@LAL 11/29/2017 10:30PM ET",24.763,"LAL"
"SG/SF","Trevor Ariza",5100,"IND@HOU 11/29/2017 08:00PM ET",24.931,"HOU"
"SG","Eric Gordon",5000,"IND@HOU 11/29/2017 08:00PM ET",28.903,"HOU"
"PF/C","Dario Saric",5000,"WAS@PHI 11/29/2017 07:00PM ET",22.408,"PHI"
"PF/C","Trevor Booker",4900,"BKN@DAL 11/29/2017 08:30PM ET",22.833,"BKN"
"SG/SF","Allen Crabbe",4900,"BKN@DAL 11/29/2017 08:30PM ET",22.139,"BKN"
"PG","Rajon Rondo",4900,"MIN@NO 11/29/2017 08:00PM ET",18.179,"NO"
"SF/PF","Rudy Gay",4900,"MEM@SA 11/29/2017 08:30PM ET",23.211,"SA"
"PG/SG","Jordan Clarkson",4800,"GS@LAL 11/29/2017 10:30PM ET",23.863,"LAL"
"SG/SF","Courtney Lee",4800,"MIA@NY 11/29/2017 07:30PM ET",24.813,"NY"
"PF/C","Dirk Nowitzki",4800,"BKN@DAL 11/29/2017 08:30PM ET",22.976,"DAL"
"SF/PF","Markieff Morris",4800,"WAS@PHI 11/29/2017 07:00PM ET",19.313,"WAS"
"PG","Mike James",4700,"PHO@DET 11/29/2017 07:00PM ET",23.107,"PHO"
"PF/C","Greg Monroe",4700,"PHO@DET 11/29/2017 07:00PM ET",19.341,"PHO"
"PF/C","Ryan Anderson",4700,"IND@HOU 11/29/2017 08:00PM ET",22.947,"HOU"
"SG/SF","Bojan Bogdanovic",4700,"IND@HOU 11/29/2017 08:00PM ET",22.929,"IND"
"PF/C","Serge Ibaka",4700,"CHA@TOR 11/29/2017 07:30PM ET",22.853,"TOR"
"PG/SG","J.J. Barea",4600,"BKN@DAL 11/29/2017 08:30PM ET",24.488,"DAL"
"SG/SF","Wesley Matthews",4600,"BKN@DAL 11/29/2017 08:30PM ET",23.429,"DAL"
"SG/SF","Caris LeVert",4600,"BKN@DAL 11/29/2017 08:30PM ET",22.488,"BKN"
