"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn","Projection_fc","Projection_dfn_perturbed","RankTargets","RollingTargetPctg","Projection_reg","Projection_reg_split","FreqInd","Actual","ValueWR","TierRank"
"QB","Russell Wilson (7498675)","Russell Wilson",7498675,6600,"Sea@NYJ 01:00PM ET","Sea","Russell","Wilson","NYJ",19.22,19.7,17.97,19.7,11,0,18.4808025626367,16.6665740488324,1,26.9,0,5
"RB","Matt Forte (7498743)","Matt Forte",7498743,6600,"Sea@NYJ 01:00PM ET","NYJ","Matt","Forte","Sea",14.25,15,14.66,15,4,0.115044247787611,13.9854503271134,12.61168135419,1,6.3,0,3
"WR","Willie Snead (7498939)","Willie Snead",7498939,6600,"NO@SD 04:25PM ET","NO","Willie","Snead","SD",14.4,16.5,14.23,16.5,5,0.122302158273381,15.0980811130714,13.6122128863019,0,3.3,0,3
"QB","Kirk Cousins (7498671)","Kirk Cousins",7498671,6500,"Cle@Was 01:00PM ET","Was","Kirk","Cousins","Cle",19.5,21.4,19.46,21.4,0,0,19.7664512315404,17.8229960804131,0,18.3,0,3
"TE","Rob Gronkowski (7498989)","Rob Gronkowski",7498989,6500,"Buf@NE 01:00PM ET","NE","Rob","Gronkowski","Buf",14.99,14.6,13.88,14.6,8,0.0104166666666667,13.8636610292638,12.5043212205912,0,2.1,0,1
"RB","C.J. Anderson (7498791)","C.J. Anderson",7498791,6500,"Den@TB 04:05PM ET","Den","C.J.","Anderson","TB",18.23,16.4,15.57,16.4,3,0.147368421052632,15.8850121646214,14.3304869070625,1,12.2,0,2
"WR","Mike Evans (7498920)","Mike Evans",7498920,6500,"Den@TB 04:05PM ET","TB","Mike","Evans","Den",18.85,15,15.56,15,1,0.271428571428571,15.0169840801056,13.552017334749,1,10.9,0,4
"WR","Michael Crabtree (7498892)","Michael Crabtree",7498892,6400,"Oak@Bal 01:00PM ET","Oak","Michael","Crabtree","Bal",14.97,14.7,13.39,14.7,2,0.203252032520325,13.9311090209531,12.5648906967718,1,33.8,0,4
"WR","Emmanuel Sanders (7498913)","Emmanuel Sanders",7498913,6400,"Den@TB 04:05PM ET","Den","Emmanuel","Sanders","TB",16.81,15.5,17.87,15.5,1,0.294736842105263,14.9191858905509,13.4582882368946,0,22.8,0,4
"TE","Jordan Reed (7498976)","Jordan Reed",7498976,6300,"Cle@Was 01:00PM ET","Was","Jordan","Reed","Cle",16.36,15,14.74,15,3,0.192,14.4586103746815,13.0430093800551,1,28.3,0,1
"WR","Eric Decker (7498857)","Eric Decker",7498857,6300,"Sea@NYJ 01:00PM ET","NYJ","Eric","Decker","Sea",0,0,0,0,3,0.185840707964602,0,0,0,0,0,0
"QB","Carson Palmer (7498706)","Carson Palmer",7498706,6300,"LA@Ari 04:25PM ET","Ari","Carson","Palmer","LA",19.68,20.3,18.86,20.3,0,0,19.0155534642366,17.1485550078127,1,13.5,0,4
"RB","Melvin Gordon (7498809)","Melvin Gordon",7498809,6300,"NO@SD 04:25PM ET","SD","Melvin","Gordon","NO",20.09,18,16,18,4,0.0961538461538462,17.453037331981,15.7452360123914,1,24.9,0,2
"WR","DeSean Jackson (7498845)","DeSean Jackson",7498845,6200,"Cle@Was 01:00PM ET","Was","DeSean","Jackson","Cle",14.39,15.9,14.28,15.9,1,0.2,14.6642411220903,13.2222213167241,1,1.5,0,4
"RB","DeAngelo Williams (7498823)","DeAngelo Williams",7498823,6200,"KC@Pit 08:30PM ET","Pit","DeAngelo","Williams","KC",7.96,5.3,5.88,5.3,2,0.181034482758621,5.59744670126896,5.05405844293014,1,7.9,0,0
"WR","Doug Baldwin (7498858)","Doug Baldwin",7498858,6100,"Sea@NYJ 01:00PM ET","Sea","Doug","Baldwin","NYJ",17.56,15.9,15.8,15.9,1,0.287128712871287,15.3751024257828,13.8702354598485,1,9.4,0,4
"RB","Christine Michael (7498745)","Christine Michael",7498745,6000,"Sea@NYJ 01:00PM ET","Sea","Christine","Michael","NYJ",14.32,11.2,13.89,11.2,0,0,11.2676965799718,10.1689908622424,1,20,0,6
"TE","Greg Olsen (7498994)","Greg Olsen",7498994,6000,"Car@Atl 01:00PM ET","Car","Greg","Olsen","Atl",17.64,13.6,14.46,13.6,1,0.261261261261261,13.7385849590734,12.3994575788653,1,21.6,0,2
"QB","Tony Romo (7498715)","Tony Romo",7498715,6000,"Dal@SF 04:25PM ET","Dal","Tony","Romo","SF",0,0,0,0,0,0,0,0,1,0,0,0
"WR","Jeremy Maclin (7498955)","Jeremy Maclin",7498955,6000,"KC@Pit 08:30PM ET","KC","Jeremy","Maclin","Pit",15.76,17.7,15.11,17.7,1,0.25,16.2662513622097,14.6661199850116,1,12.8,0,3
"QB","Joe Flacco (7498690)","Joe Flacco",7498690,5900,"Oak@Bal 01:00PM ET","Bal","Joe","Flacco","Oak",18.32,17.9,16.5,17.9,0,0,16.9841881624969,15.3187531872541,1,23,0,7
"RB","Mark Ingram (7498807)","Mark Ingram",7498807,5900,"NO@SD 04:25PM ET","NO","Mark","Ingram","SD",15.99,19.1,14.79,19.1,7,0.079136690647482,17.324888944561,15.6183472928632,1,22.5,0,1
"WR","Travis Benjamin (7498937)","Travis Benjamin",7498937,5900,"NO@SD 04:25PM ET","SD","Travis","Benjamin","NO",18.87,17,17.26,17,1,0.221153846153846,16.4601274304688,14.8492636218039,0,7.8,0,3
"QB","Brock Osweiler (7498665)","Brock Osweiler",7498665,5800,"Ten@Hou 01:00PM ET","Hou","Brock","Osweiler","Ten",16.49,18.3,17.24,18.3,11,0,16.8615488101809,15.2032945776335,1,17.6,0,6
"WR","Julian Edelman (7498871)","Julian Edelman",7498871,5800,"Buf@NE 01:00PM ET","NE","Julian","Edelman","Buf",14.09,13.4,14.94,13.4,1,0.270833333333333,12.7986441554248,11.5444477199373,1,2.7,0,5
"WR","Golden Tate (7498905)","Golden Tate",7498905,5800,"Det@Chi 01:00PM ET","Det","Golden","Tate","Chi",11.2,12.8,13.47,12.8,2,0.203252032520325,11.7189743364833,10.5657240581834,0,3.1,0,5
"WR","Mohamed Sanu (7498883)","Mohamed Sanu",7498883,5700,"Car@Atl 01:00PM ET","Atl","Mohamed","Sanu","Car",11.07,11.9,10.96,11.9,3,0.174757281553398,11.0424260061868,9.95722830430276,0,4.2,0,6
"QB","Dak Prescott (7498720)","Dak Prescott",7498720,5700,"Dal@SF 04:25PM ET","Dal","Dak","Prescott","SF",19.22,19.2,16.58,19.2,0,0,18.1211379573861,16.3432845813953,1,18.1,0,5
"RB","Spencer Ware (7498828)","Spencer Ware",7498828,5700,"KC@Pit 08:30PM ET","KC","Spencer","Ware","Pit",13.58,11.2,10.93,11.2,4,0.103448275862069,11.1017541936208,10.0177194218916,1,9.6,0,6
"RB","Charles Sims (7498789)","Charles Sims",7498789,5600,"Den@TB 04:05PM ET","TB","Charles","Sims","Den",14.7,16.6,14.31,16.6,5,0.107142857142857,15.2372879745341,13.738197039391,1,4.5,0,2
"QB","Alex Smith (7498721)","Alex Smith",7498721,5600,"KC@Pit 08:30PM ET","KC","Alex","Smith","Pit",16.93,19.2,16.31,19.2,10,0.00862068965517241,17.6076135455704,15.8751607997692,1,18.7,0,5
"QB","Marcus Mariota (7498667)","Marcus Mariota",7498667,5500,"Ten@Hou 01:00PM ET","Ten","Marcus","Mariota","Hou",15.42,17,15.2,17,0,0,15.6864771157247,14.1440116363846,1,9.1,0,8
"RB","Devonta Freeman (7498765)","Devonta Freeman",7498765,5500,"Car@Atl 01:00PM ET","Atl","Devonta","Freeman","Car",11.8,12.7,13.88,12.7,5,0.087378640776699,11.7815892962582,10.6237186838994,0,14.4,0,5
