Position,Name + ID, Name, ID, Salary,GameInfo,TeamAbbrev 
QB,Carson Palmer (7498706),Carson Palmer,7498706,6300,LA@Ari 04:25PM ET,Ari
RB,Melvin Gordon (7498809),Melvin Gordon,7498809,6300,NO@SD 04:25PM ET,SD
WR,DeSean Jackson (7498845),DeSean Jackson,7498845,6200,Cle@Was 01:00PM ET,Was
RB,DeAngelo Williams (7498823),DeAngelo Williams,7498823,6200,KC@Pit 08:30PM ET,Pit
WR,Doug Baldwin (7498858),Doug Baldwin,7498858,6100,Sea@NYJ 01:00PM ET,Sea
RB,Christine Michael (7498745),Christine Michael,7498745,6000,Sea@NYJ 01:00PM ET,Sea
TE,Greg Olsen (7498994),Greg Olsen,7498994,6000,Car@Atl 01:00PM ET,Car
QB,Tony Romo (7498715),Tony Romo,7498715,6000,Dal@SF 04:25PM ET,Dal
WR,Jeremy Maclin (7498955),Jeremy Maclin,7498955,6000,KC@Pit 08:30PM ET,KC
QB,Joe Flacco (7498690),Joe Flacco,7498690,5900,Oak@Bal 01:00PM ET,Bal
RB,Mark Ingram (7498807),Mark Ingram,7498807,5900,NO@SD 04:25PM ET,NO
WR,Travis Benjamin (7498937),Travis Benjamin,7498937,5900,NO@SD 04:25PM ET,SD
QB,Brock Osweiler (7498665),Brock Osweiler,7498665,5800,Ten@Hou 01:00PM ET,Hou
WR,Julian Edelman (7498871),Julian Edelman,7498871,5800,Buf@NE 01:00PM ET,NE
WR,Golden Tate (7498905),Golden Tate,7498905,5800,Det@Chi 01:00PM ET,Det
WR,Mohamed Sanu (7498883),Mohamed Sanu,7498883,5700,Car@Atl 01:00PM ET,Atl
QB,Dak Prescott (7498720),Dak Prescott,7498720,5700,Dal@SF 04:25PM ET,Dal
RB,Spencer Ware (7498828),Spencer Ware,7498828,5700,KC@Pit 08:30PM ET,KC
RB,Charles Sims (7498789),Charles Sims,7498789,5600,Den@TB 04:05PM ET,TB
