"Player","Pos","Team","Opp","Def v Pos","VegasPts","Salary","Floor","Ceiling","FPG","FPPM","USG","FGA","MPG","Proj Mins","FC Proj","My Proj","Exposure","Con.","Value","Mins","Score","Val"
"Brook Lopez","C","LAL","@ LAC","26th",106.25,5500,11.8,55.1,27.4,1.17,26,11.8,23.4,21.78,30.38,30.38,"%",55,5.5,16,11.75,2.1
"Zach Randolph","PF/CPFC","SAC","@ GSW","15th",96,5400,12.2,48.2,25.3,1.05,26.6,11.5,24,25.39,27.65,27.65,"%",59,5.1,21,23,4.3
"Dwyane Wade","PG/SGPGSG","CLE","@ PHI","8th",111,5400,5.5,46.5,23.3,1.03,24.2,9.6,22.7,22.36,23.08,23.08,"%",50,4.3,24,31,5.7
"Larry Nance Jr.","SF/PFSFPF","LAL","@ LAC","6th",106.25,5400,8.5,42,25.3,1.12,18.4,7.1,22.6,22.5,22.86,22.86,"%",62,4.2,29,29,5.4
"Marcus Smart","SG/SFSGSF","BOS","vs DET","13th",102.5,5300,14,40.8,25.7,0.85,19.5,9.9,30.2,30.71,25.49,25.49,"%",70,4.8,31,37.25,7
"Julius Randle","PF/CPFC","LAL","@ LAC","17th",106.25,5300,11.2,37.4,25.2,1.19,25.2,8.6,21.2,18.2,22.42,22.42,"%",70,4.2,24,16.75,3.2
"Kentavious Caldwell-Pope","SG","LAL","@ LAC","25th",106.25,5300,19.8,46.1,27.4,0.81,17,10.5,33.9,36.59,31.06,31.06,"%",73,5.9,37,46,8.7
"Dario Saric","PF/CPFC","PHI","vs CLE","18th",113,5200,10.5,44.9,22.4,0.83,18,9.8,27,29.83,25.24,25.24,"%",56,4.9,30,22,4.2
"Trevor Ariza","SG/SFSGSF","HOU","vs BKN","12th",121.5,5200,13.6,38.4,25.3,0.74,13.9,9.5,34.4,32.5,24.21,24.21,"%",72,4.7,28,19.5,3.8
"Eric Gordon","SG","HOU","vs BKN","28th",121.5,5200,12.3,42.7,29.5,0.94,27.9,15.5,31.5,27,25.33,25.33,"%",71,4.9,28,18.5,3.6
"Kyle Anderson","PG/SFPGSF","SAS","vs DAL","11th",101.75,5100,14,39.5,24.9,0.92,14.9,6.9,27,28.85,24.96,24.96,"%",71,4.9,33,36,7.1
"Willie Cauley-Stein","PF/CPFC","SAC","@ GSW","10th",96,5100,9.2,44.8,23.7,0.96,19.7,8.6,24.7,27.32,24.45,24.45,"%",57,4.8,29,43,8.4
"J.J. Redick","SG/SFSGSF","PHI","vs CLE","23rd",113,5100,15.3,46,27.3,0.84,19.1,12.9,32.5,32.73,28.48,28.48,"%",68,5.6,36,19.5,3.8
"Dennis Smith Jr.","PG/SGPGSG","DAL","@ SAS","2nd",92.75,5000,7.5,40.5,27.6,0.99,30,14.8,27.9,26.25,21.66,21.66,"%",66,4.3,28,27.25,5.5
"Austin Rivers","PG/SGPGSG","LAC","vs LAL","18th",110.25,4900,17,44,23.5,0.72,20.3,12.4,32.7,36.9,28.56,28.56,"%",67,5.8,37,39,8
"Jordan Clarkson","PG/SGPGSG","LAL","@ LAC","25th",106.25,4800,15.5,45.7,23.3,1.09,29.7,12,21.4,24.94,28.46,28.46,"%",63,5.9,25,34,7.1
"Bojan Bogdanovic","SG/SFSGSF","IND","vs ORL","15th",110.5,4800,14.5,48.1,22.8,0.76,18.6,10.8,30.1,33.94,28.88,28.88,"%",58,6,37,26.25,5.5
"Marcus Morris","SF/PFSFPF","BOS","vs DET","23rd",102.5,4800,14.8,33.4,23.9,1.03,23.9,10.4,23.2,24.13,22.78,22.78,"%",78,4.7,22,23.5,4.9
"Courtney Lee","SG/SFSGSF","NYK","vs POR","2nd",101,4700,15.2,40.7,25.1,0.78,15.8,9.7,32.1,33.36,26.15,26.15,"%",71,5.6,35,19,4
"T.J. McConnell","PG","PHI","vs CLE","26th",113,4700,13.3,52.6,22.3,0.92,14.4,5.9,24.2,28.98,30.17,30.17,"%",50,6.4,27,23.5,5
"Ryan Anderson","PF/CPFC","HOU","vs BKN","14th",121.5,4700,5.8,31.1,23.2,0.78,15.6,9.3,29.8,22.35,16.65,16.65,"%",69,3.5,26,18,3.8
"Trevor Booker","PF/CPFC","BKN","@ HOU","2nd",103.5,4600,16.5,50,22.9,1.06,21.5,8.6,21.7,34.6,30.83,30.83,"%",58,6.7,20,19.25,4.2
"De'Aaron Fox","PG","SAC","@ GSW","5th",96,4600,10.7,34.1,22.4,0.86,24.3,10.7,25.9,29.46,20.74,20.74,"%",70,4.5,23,20,4.3
"Buddy Hield","SG/SFSGSF","SAC","@ GSW","14th",96,4500,11.6,46.1,23,1.02,25.8,10.9,22.5,25,26.38,26.38,"%",57,5.9,15,6.75,1.5
"Terry Rozier","PG/SGPGSG","BOS","vs DET","13th",102.5,4400,4,37.2,21.6,0.94,20.4,9,23,20.39,18.21,18.21,"%",56,4.1,19,5,1.1
"Danny Green","SG/SFSGSF","SAS","vs DAL","17th",101.75,4400,4.8,41,22.6,0.8,18.3,9.8,28.3,27.43,20.33,20.33,"%",54,4.6,33,32.75,7.4
"Wesley Johnson","SF/PFSFPF","LAC","vs LAL","16th",110.25,4400,11.5,44.4,18.5,0.77,14,5.9,24,33.75,25.58,25.58,"%",49,5.8,29,9.25,2.1
"Patrick Mills","PG","SAS","vs DAL","24th",101.75,4300,11.6,40.6,19.4,0.75,18,8.7,25.7,27,24.03,24.03,"%",57,5.6,28,22,5.1
"Caris LeVert","SG/SFSGSF","BKN","@ HOU","20th",103.5,4300,17,35.5,22.2,0.89,21.2,9.4,24.9,28.5,24.91,24.91,"%",76,5.8,29,27.5,6.4
"Dirk Nowitzki","PF/CPFC","DAL","@ SAS","6th",92.75,4300,11.5,39.5,23.3,0.96,20.6,9.8,24.3,26.05,23.47,23.47,"%",66,5.5,25,19,4.4
"George Hill","PG/SGPGSG","SAC","@ GSW","5th",96,4200,3.7,32.3,18.8,0.73,16.9,7.7,25.7,25.96,15.91,15.91,"%",57,3.8,30,21.5,5.1
"Jonathon Simmons","SG/SFSGSF","ORL","@ IND","12th",106.5,4200,12.4,40.4,21.5,0.89,25.5,10.3,24.2,26.96,24.43,24.43,"%",63,5.8,34,26.75,6.4
"J.R. Smith","SG/SFSGSF","CLE","@ PHI","8th",111,4100,6.8,32.2,16.9,0.57,13.7,8,29.8,32.56,17.68,17.68,"%",57,4.3,27,17.75,4.3
"Dejounte Murray","PG","SAS","vs DAL","24th",101.75,4100,0,32.5,19.6,0.95,20.3,7.1,20.7,12.4,12.31,12.31,"%",48,3,5,5.25,1.3
"Lance Stephenson","SG/SFSGSF","IND","vs ORL","15th",110.5,4100,9.8,37.6,18.2,0.88,19,6.8,20.8,22.13,21.69,21.69,"%",56,5.3,23,38.5,9.4
"Wesley Matthews","SG/SFSGSF","DAL","@ SAS","10th",92.75,4000,6.9,44.5,23.3,0.67,16.7,10.5,34.6,35.86,23.02,23.02,"%",54,5.8,32,26,6.5
"Evan Turner","SG/SFSGSF","POR","@ NYK","24th",103,4000,2.9,30.8,18.2,0.69,17.7,8,26.2,22.32,14.87,14.87,"%",56,3.7,20,19.25,4.8
"Terrence Ross","SG/SFSGSF","ORL","@ IND","1st",106.5,4000,4.6,34,18.9,0.71,16.4,8.2,26.5,27.96,17.2,17.2,"%",56,4.3,25,21.75,5.4
"Kyle O'Quinn","PF/CPFC","NYK","vs POR","1st",101,4000,8.4,48.6,19.6,1.23,19.3,4.5,15.9,23.9,25.62,25.62,"%",41,6.4,24,25.75,6.4
"Juan Jose Barea","PG/SGPGSG","DAL","@ SAS","2nd",92.75,4000,9.1,31.7,23.8,1.1,27.1,10.2,21.7,21.5,18.75,18.75,"%",73,4.7,22,37.75,9.4
"Jae Crowder","SF/PFSFPF","CLE","@ PHI","24th",111,3900,7.1,32.3,16.9,0.66,16.1,7.5,25.8,26.16,17.92,17.92,"%",57,4.6,20,5.5,1.4
"Andre Iguodala","SG/SFSGSF","GSW","vs SAC","9th",109,3900,0,9.3,17.2,0.69,11.1,4.9,25,0,0,0,"%",73,0,25,19.25,4.9
"Noah Vonleh","PF/CPFC","POR","@ NYK","25th",103,3900,6.8,39,17.5,0.81,10.4,4.1,21.7,24.82,20.6,20.6,"%",47,5.3,31,24.5,6.3
"Jarrett Jack","PG","NYK","vs POR","10th",101,3900,6.4,33.2,19.7,0.75,13.5,6.2,26.4,29.54,17.87,17.87,"%",61,4.6,20,12.75,3.3
"Tony Parker","PG","SAS","vs DAL","24th",101.75,3900,0,0,NA,NA,NA,NA,NA,17.5,0,0,"%",0,0,14,12,3.1
"Yogi Ferrell","PG/SGPGSG","DAL","@ SAS","2nd",92.75,3800,2.5,27.5,17.9,0.63,15.8,7.5,28.5,26.63,13.24,13.24,"%",60,3.5,20,4.25,1.1
"Omri Casspi","SF/PFSFPF","GSW","vs SAC","3rd",109,3800,22.4,52.5,13.8,1.11,16.5,3.8,12.4,32.8,35.29,35.29,"%",38,9.3,30,16,4.2
"Richaun Holmes","PF/CPFC","PHI","vs CLE","18th",113,3800,0,13.1,11.2,0.96,12.9,3.1,11.7,0,0,0,"%",42,0,4,3.25,0.9
"Stanley Johnson","SG/SFSGSF","DET","@ BOS","7th",96.5,3700,5.4,31.1,17.3,0.59,12.9,7.6,29.2,31,16.4,16.4,"%",58,4.4,34,15.75,4.3
"P.J. Tucker","SF/PFSFPF","HOU","vs BKN","12th",121.5,3700,10.5,33.9,19.1,0.69,10.3,5.1,27.7,29.1,20.49,20.49,"%",65,5.5,20,17.5,4.7
"Joakim Noah","C","NYK","vs POR","9th",101,3700,0,0,NA,NA,NA,NA,NA,0,0,0,"%",0,0,2,5.25,1.4
"Bryn Forbes","PG/SGPGSG","SAS","vs DAL","24th",101.75,3700,0,27.4,10.1,0.65,16.9,5.6,15.5,15.3,11.38,11.38,"%",21,3.1,19,13.75,3.7
"Jeff Green","SF/PFSFPF","CLE","@ PHI","24th",111,3700,1.8,35.3,17.3,0.88,22,7.3,19.7,16.9,16.17,16.17,"%",45,4.4,27,34,9.2
"Michael Beasley","SF/PFSFPF","NYK","vs POR","13th",101,3700,0,20.8,13.6,0.93,27.2,6.4,14.7,0,0,0,"%",23,0,14,15.25,4.1
"D.J. Augustin","PG/SGPGSG","ORL","@ IND","16th",106.5,3700,0.5,34,17.6,0.89,17.5,5.3,19.7,16.93,14.83,14.83,"%",46,4,21,17.75,4.8
"Shabazz Napier","PG/SGPGSG","POR","@ NYK","15th",103,3700,2.8,38,13.7,0.87,17.6,5.3,15.8,21.07,17.89,17.89,"%",27,4.8,18,17,4.6
"Manu Ginobili","SG/SFSGSF","SAS","vs DAL","17th",101.75,3700,3.4,27.6,15.8,0.81,22.8,7.3,19.6,18.11,13.76,13.76,"%",56,3.7,16,2.25,0.6
"Bogdan Bogdanovic","SG/SFSGSF","SAC","@ GSW","14th",96,3700,10.5,28.9,17.6,0.76,20.1,8.6,23.2,23.54,18.36,18.36,"%",70,5,21,18,4.9
"Luc Mbah a Moute","SF/PFSFPF","HOU","vs BKN","14th",121.5,3600,1.3,33,18.3,0.69,13.5,5.9,26.5,21.35,14.86,14.86,"%",51,4.1,20,14.25,4
"Jerryd Bayless","PG/SGPGSG","PHI","vs CLE","26th",113,3600,1.9,27.7,17.9,0.64,14.9,7.8,28,19,12.94,12.94,"%",59,3.6,21,6.75,1.9
"Ishmael Smith","PG","DET","@ BOS","14th",96.5,3600,11.5,31.4,19.2,1,23.6,8.5,19.2,19.1,20,20,"%",70,5.6,19,13.75,3.8
"Iman Shumpert","PG/SGPGSG","CLE","@ PHI","8th",111,3600,0,30.4,13.2,0.62,12.9,4.7,21.3,19.08,11.22,11.22,"%",27,3.1,6,0,NA
"Frank Ntilikina","PG/SGPGSG","NYK","vs POR","10th",101,3600,0,28.2,14.6,0.79,18.3,5.2,18.4,15.43,10.85,10.85,"%",41,3,20,8.25,2.3
"Joe Harris","SG/SFSGSF","BKN","@ HOU","20th",103.5,3600,16.8,43.4,18.2,0.83,17,7.8,22,34.6,28.16,28.16,"%",58,7.8,28,16.5,4.6
"Brandon Paul","SG","SAS","vs DAL","17th",101.75,3600,0,29.7,9.1,0.68,13.2,3.1,13.4,15,10.64,10.64,"%",0,3,3,7.75,2.2
"Kyle Korver","SG/SFSGSF","CLE","@ PHI","8th",111,3600,5.1,36.7,17.3,0.83,16.9,7.2,20.9,24.27,18.66,18.66,"%",48,5.2,21,15.25,4.2
"Amir Johnson","PF/CPFC","PHI","vs CLE","18th",113,3500,2.7,33.6,15.9,1.05,14.5,4.1,15.1,14.98,15.94,15.94,"%",44,4.6,8,10.75,3.1
"Aron Baynes","C","BOS","vs DET","11th",102.5,3500,1.9,29.6,15.6,0.87,16.8,5,17.9,16.82,13.73,13.73,"%",49,3.9,12,14,4
"David West","PF/CPFC","GSW","vs SAC","28th",109,3500,14.2,35.8,15.6,1.41,22.3,4.3,11.1,15.43,23.44,23.44,"%",61,6.7,16,22.25,6.4
"Garrett Temple","PG/SGPGSG","SAC","@ GSW","14th",96,3500,8,31.1,15.8,0.65,16.4,7.2,24.3,27.5,17.88,17.88,"%",58,5.1,30,25.75,7.4
"Cory Joseph","PG","IND","vs ORL","29th",110.5,3500,6.6,35.4,18.4,0.78,16.3,7,23.6,23.44,18.94,18.94,"%",55,5.4,30,23.75,6.8
"Isaiah Whitehead","PG/SGPGSG","BKN","@ HOU","3rd",103.5,3500,0,24.4,9.4,1,26.8,3.8,9.4,7.6,7.22,7.22,"%",9,2.1,27,32.25,9.2
"Maurice Harkless","SF/PFSFPF","POR","@ NYK","17th",103,3500,0.9,22,14.4,0.57,11.3,5.4,25.1,18.88,9.91,9.91,"%",58,2.8,15,12.25,3.5
"Devin Harris","PG/SGPGSG","DAL","@ SAS","2nd",92.75,3500,3.1,25.8,15.1,0.89,25.2,6.9,16.9,17,12.84,12.84,"%",57,3.7,25,22.5,6.4
"Guillermo Hernangomez","PF/CPFC","NYK","vs POR","9th",101,3500,6.7,26.5,9.1,0.95,25.5,3.7,9.6,17.1,15.17,15.17,"%",38,4.3,15,18.25,5.2
"Tarik Black","PF/CPFC","HOU","vs BKN","14th",121.5,3500,0,25.2,10,1.14,14.5,2.5,8.8,7.2,8.27,8.27,"%",15,2.4,15,11.75,3.4
"Anthony Tolliver","SF/PFSFPF","DET","@ BOS","4th",96.5,3500,4,23.7,14.4,0.82,16.3,5.1,17.6,17.9,12.46,12.46,"%",61,3.6,15,8.75,2.5
"Shaun Livingston","PG/SGPGSG","GSW","vs SAC","17th",109,3500,12.7,33.4,11.7,0.76,15.6,4.6,15.4,28.89,21.55,21.55,"%",49,6.2,17,14.75,4.2
"Tyler Zeller","C","BKN","@ HOU","2nd",103.5,3400,5.9,28.4,14.6,0.85,20,5.5,17.2,19.2,15.51,15.51,"%",56,4.6,16,18.25,5.4
"Daniel Theis","PF/CPFC","BOS","vs DET","11th",102.5,3400,0,23,11.3,0.93,18.7,2.9,12.1,8.57,7.5,7.5,"%",31,2.2,10,14,4.1
"Kosta Koufos","C","SAC","@ GSW","10th",96,3400,5.7,33.7,17.3,0.89,12.4,4,19.4,20.46,17.68,17.68,"%",54,5.2,9,1.5,0.4
"Jarrett Allen","PF/CPFC","BKN","@ HOU","2nd",103.5,3400,4.5,25.7,12.1,0.83,13.6,3.8,14.5,17.4,13.59,13.59,"%",50,4,18,9.5,2.8
"Skal Labissiere","PF/CPFC","SAC","@ GSW","15th",96,3400,1.2,28.1,15.8,0.92,24.2,7.1,17.2,13.89,12.74,12.74,"%",51,3.7,15,18.5,5.4
"Ed Davis","PF/CPFC","POR","@ NYK","25th",103,3400,8.1,26,17.7,0.98,14.3,3.9,18.1,16.63,15.73,15.73,"%",71,4.6,17,12.25,3.6
"Channing Frye","PF/CPFC","CLE","@ PHI","23rd",111,3400,4.5,28.4,9.8,0.88,18.3,3.4,11.1,17.79,14.71,14.71,"%",30,4.3,18,23.75,7
"Doug McDermott","SF/PFSFPF","NYK","vs POR","13th",101,3400,4,24,14.3,0.65,15.3,6.7,22.1,22.54,12.6,12.6,"%",60,3.7,20,7.75,2.3
"Ramon Sessions","PG","NYK","vs POR","10th",101,3300,0,17,13.7,0.85,23,4.5,16.2,0,0,0,"%",38,0,7,5,1.5
"Lance Thomas","SF/PFSFPF","NYK","vs POR","13th",101,3300,0,15.3,7.7,0.54,13.5,3.5,14.2,12.36,6.34,6.34,"%",42,1.9,5,3.75,1.1
"Nick Young","SG","GSW","vs SAC","3rd",109,3300,6.6,40.6,11.3,0.88,20.4,5.3,12.9,25.36,21.18,21.18,"%",14,6.4,12,8.75,2.7
"Quincy Acy","PF/CPFC","BKN","@ HOU","2nd",103.5,3300,0,8.3,13,0.74,15.8,4.8,17.6,0,0,0,"%",68,0,20,14.5,4.4
"Damyean Dotson","SG","NYK","vs POR","13th",101,3300,0,18.5,5.3,0.72,18.4,2.6,7.4,9.9,6.59,6.59,"%",0,2,2,0,NA
"Sean Kilpatrick","PG/SGPGSG","BKN","@ HOU","20th",103.5,3300,10.6,33.2,8.2,0.88,23.2,5,9.3,21.4,20.24,20.24,"%",21,6.1,28,23,7
"Luke Kennard","SG","DET","@ BOS","4th",96.5,3300,0,24.1,10.9,0.74,17.9,5.3,14.8,14.6,9.37,9.37,"%",32,2.8,16,8.25,2.5
"Dwight Powell","PF/CPFC","DAL","@ SAS","6th",92.75,3300,3.5,26.7,14.1,0.86,16.8,4.5,16.4,17.48,13.41,13.41,"%",53,4.1,20,25.75,7.8
"Patrick McCaw","SG/SFSGSF","GSW","vs SAC","9th",109,3200,3.1,23,7.1,0.58,10.9,3,12.3,20.93,11.62,11.62,"%",20,3.6,33,40.25,12.6
"Semi Ojeleye","SF/PFSFPF","BOS","vs DET","23rd",102.5,3200,0,15.1,6.3,0.47,10,2.7,13.4,10.21,5,5,"%",20,1.6,6,8.75,2.7
"Timofey Mozgov","C","BKN","@ HOU","2nd",103.5,3200,0,18,11.3,0.79,15.1,3.7,14.3,10,7.1,7.1,"%",52,2.2,19,18,5.6
"Pat Connaughton","SG/SFSGSF","POR","@ NYK","24th",103,3200,6,32.2,11.5,0.62,13.7,4.6,18.6,27.6,17.25,17.25,"%",35,5.4,25,24,7.5
"Bismack Biyombo","PF/CPFC","ORL","@ IND","14th",106.5,3200,6.7,26.4,12.9,0.83,14,3.3,15.6,18,15.14,15.14,"%",56,4.7,7,6.5,2
"Jordan Bell","PF/CPFC","GSW","vs SAC","28th",109,3200,0,24.6,10.7,1.2,12.5,2.2,8.9,6,7.45,7.45,"%",20,2.3,6,12.25,3.8
"Bobby Brown","PG","HOU","vs BKN","30th",121.5,3100,0,14.4,5.1,0.74,36.4,3.5,6.9,3.3,3.1,3.1,"%",0,1,1,0,NA
"Zaza Pachulia","C","GSW","vs SAC","27th",109,3100,10.5,30.8,14.4,1.01,16.7,3.7,14.2,15.89,19.16,19.16,"%",60,6.2,14,13.75,4.4
"Salah Mejri","C","DAL","@ SAS","17th",92.75,3100,3.2,36.5,15.2,1.2,11.4,2.1,12.7,13.35,17.46,17.46,"%",37,5.6,15,8.25,2.7
"Timothe Luwawu-Cabarrot","SG/SFSGSF","PHI","vs CLE","23rd",113,3100,6.9,22.1,11.1,0.69,20,6,16.2,18.7,13.41,13.41,"%",61,4.3,11,19.75,6.4
"Sindarius Thornwell","SG","LAC","vs LAL","18th",110.25,3100,0.9,21.8,8.6,0.53,16.2,3.7,16.2,19.94,9.85,9.85,"%",31,3.2,11,6.75,2.2
"Marreese Speights","PF/CPFC","ORL","@ IND","27th",106.5,3100,8.6,36.9,14,1.21,31.2,6.8,11.6,14.39,20.72,20.72,"%",42,6.7,12,13.25,4.3
"Sam Dekker","SF/PFSFPF","LAC","vs LAL","16th",110.25,3000,4.4,19.4,6.6,0.77,17.7,3.1,8.6,14.39,10.81,10.81,"%",35,3.6,14,17.5,5.8
