QB,1.0000,0.6273,-0.2633,0.5522,-0.1140,0.0693,0.0882,0.3728,0.5930,-0.1632,0.3352,0.2944,-0.5992,#DIV/0!,,,,,,,,,,,
WR,0.6273,1.0000,-0.0080,0.3678,-0.0206,-0.1513,-0.3492,0.0176,-0.0087,-0.0944,0.3832,0.3807,-0.3437,#DIV/0!,,,,,,,,,,,
DEF,-0.2633,-0.0080,1.0000,-0.3521,0.4272,0.3407,0.0955,-0.2788,-0.2117,-0.0388,0.1035,0.0137,-0.1291,#DIV/0!,,,,,,,,,,,
WR,0.5522,0.3678,-0.3521,1.0000,-0.3425,-0.1864,-0.0637,-0.1305,0.0431,0.1776,-0.2245,0.6570,-0.4397,#DIV/0!,,,,,,,,,,,
RB,-0.1140,-0.0206,0.4272,-0.3425,1.0000,0.4694,0.0745,-0.3719,-0.3381,-0.0300,0.4928,0.5251,-0.4828,#DIV/0!,,,,,,,,,,,
RB,0.0693,-0.1513,0.3407,-0.1864,0.4694,1.0000,0.6267,-0.2840,-0.1513,0.0717,0.6462,-0.1022,-0.1807,#DIV/0!,,,,,,,,,,,
K,0.0882,-0.3492,0.0955,-0.0637,0.0745,0.6267,1.0000,0.0825,0.2435,-0.2614,0.2656,-0.2878,-0.3747,#DIV/0!,,,,,,,,,,,
WR,0.3728,0.0176,-0.2788,-0.1305,-0.3719,-0.2840,0.0825,1.0000,0.7892,-0.1655,-0.0599,-0.1746,-0.0153,#DIV/0!,,,,,,,,,,,
TE,0.5930,-0.0087,-0.2117,0.0431,-0.3381,-0.1513,0.2435,0.7892,1.0000,-0.4429,0.1483,-0.3324,-0.2896,#DIV/0!,,,,,,,,,,,
TE,-0.1632,-0.0944,-0.0388,0.1776,-0.0300,0.0717,-0.2614,-0.1655,-0.4429,1.0000,-0.0937,0.8486,0.3143,#DIV/0!,,,,,,,,,,,
TE,0.3352,0.3832,0.1035,-0.2245,0.4928,0.6462,0.2656,-0.0599,0.1483,-0.0937,1.0000,-0.1462,#DIV/0!,#DIV/0!,,,,,,,,,,,
RB,0.2944,0.3807,0.0137,0.6570,0.5251,-0.1022,-0.2878,-0.1746,-0.3324,0.8486,-0.1462,1.0000,-0.5334,#DIV/0!,,,,,,,,,,,
RB,-0.5992,-0.3437,-0.1291,-0.4397,-0.4828,-0.1807,-0.3747,-0.0153,-0.2896,0.3143,#DIV/0!,-0.5334,1.0000,#DIV/0!,,,,,,,,,,,
TE,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,
BREAK,,,,,,,,,,,,,,,,,,,,,,,,,
QB,1.0000,0.1530,0.1359,0.0872,0.2621,-0.1952,0.4407,-0.0130,0.4781,0.2661,-0.1340,-0.2240,-0.0947,0.1431,-1.0000,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,
TE,0.1530,1.0000,0.5567,-0.1472,0.2289,-0.1985,-0.0457,0.1079,-0.4556,-0.3509,0.0340,-0.0820,-0.5777,-0.2006,1.0000,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,
RB,0.1359,0.5567,1.0000,-0.1650,0.4861,0.1682,-0.2535,0.2892,-1.0000,-0.4361,-0.3167,-0.3698,-0.3606,0.2004,1.0000,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,
WR,0.0872,-0.1472,-0.1650,1.0000,0.1332,-0.1342,0.0285,0.1223,0.0441,-0.4281,0.1296,0.8281,-0.0367,-0.5581,1.0000,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,
K,0.2621,0.2289,0.4861,0.1332,1.0000,-0.1014,0.0125,0.0812,-0.0080,0.2568,-0.1594,0.7781,-0.1207,-0.2351,-1.0000,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,
DEF,-0.1952,-0.1985,0.1682,-0.1342,-0.1014,1.0000,0.1611,-0.0437,0.5384,-0.0180,0.2796,0.0211,-0.5285,0.0850,-1.0000,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,
RB,0.4407,-0.0457,-0.2535,0.0285,0.0125,0.1611,1.0000,-0.3011,-0.4000,0.2885,-0.3436,-0.6131,0.0486,0.8486,-1.0000,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,
WR,-0.0130,0.1079,0.2892,0.1223,0.0812,-0.0437,-0.3011,1.0000,-0.3672,-0.2237,0.6865,0.6536,-0.7172,-0.3095,-1.0000,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,
WR,0.4781,-0.4556,-1.0000,0.0441,-0.0080,0.5384,-0.4000,-0.3672,1.0000,0.3607,#DIV/0!,#DIV/0!,#DIV/0!,-0.5714,-1.0000,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,
RB,0.2661,-0.3509,-0.4361,-0.4281,0.2568,-0.0180,0.2885,-0.2237,0.3607,1.0000,-0.5199,-0.6752,-0.1090,0.6447,-1.0000,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,
WR,-0.1340,0.0340,-0.3167,0.1296,-0.1594,0.2796,-0.3436,0.6865,#DIV/0!,-0.5199,1.0000,#DIV/0!,-0.2820,-0.5537,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,
RB,-0.2240,-0.0820,-0.3698,0.8281,0.7781,0.0211,-0.6131,0.6536,#DIV/0!,-0.6752,#DIV/0!,1.0000,-0.9214,-0.5544,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,
WR,-0.0947,-0.5777,-0.3606,-0.0367,-0.1207,-0.5285,0.0486,-0.7172,#DIV/0!,-0.1090,-0.2820,-0.9214,1.0000,-0.0736,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,
TE,0.1431,-0.2006,0.2004,-0.5581,-0.2351,0.0850,0.8486,-0.3095,-0.5714,0.6447,-0.5537,-0.5544,-0.0736,1.0000,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,
RB,-1.0000,1.0000,1.0000,1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1.0000,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,
QB,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,
WR,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,
