Player Name,Likes,Inj,Pos,Salary,Team,Opp,Rest,PS,USG,PER,Opp Pace,Opp DEff,Opp DvP,L2 FGA,L5 FGA,S FGA,L2 Min,L5 Min,S Min,L5 FP,S FP,Floor FP,Ceil FP,Proj Min,Proj FP,Proj Val,Actual Min,Actual FP,Actual Val
LeBron James,28,,SF/PF,11900,CLE,CHI,1,113,31,31,99,107,7%,23,18,19,38,37,38,63.5,58.8,46.0,71.6,35.5,58.9,4.9,39.1,60.0,5.0
Joel Embiid,1,O,C,9800,PHI,TOR,1,107,32,24,100,102,0%,18,18,17,44,38,31,52.1,47.6,34.4,60.7,0.0,0.0,0.0,0,0.0,0.0
Ben Simmons,12,,PG/SF,9500,PHI,TOR,1,107,24,19,100,102,-10%,12,12,14,34,39,37,43.9,46.1,36.0,56.2,35.5,45.9,4.8,33.4,32.0,3.4
Kristaps Porzingis,5,,PF/C,8900,NYK,BOS,2,100,32,24,98,101,-1%,18,21,20,29,33,33,40.7,42.7,29.8,55.5,34.5,42.0,4.7,23,7.8,0.9
DeMar DeRozan,11,,SG/SF,8800,TOR,@PHI,0,111,29,23,103,104,4%,16,18,18,31,33,35,40.8,40.0,31.3,48.7,35.0,39.8,4.5,39.5,63.8,7.2
Kyrie Irving,15,,PG,8700,BOS,@NYK,0,103,31,25,99,105,9%,24,22,19,33,33,33,43.6,40.3,31.6,48.9,33.5,41.7,4.8,36.9,46.3,5.3
Kyle Lowry,16,,PG,8600,TOR,@PHI,0,111,22,20,103,104,5%,9,10,12,28,31,34,34.1,38.9,28.1,49.8,34.5,39.6,4.6,36,44.3,5.2
Kevin Love,14,,PF/C,8300,CLE,CHI,1,113,25,25,99,107,4%,18,15,14,31,31,30,40.9,39.2,28.6,49.9,30.0,39.5,4.8,29.2,40.3,4.9
Marc Gasol,13,,C,8200,MEM,@PHO,0,103,27,18,104,109,1%,17,15,16,35,35,35,37.8,40.3,30.1,50.4,34.5,39.6,4.8,38.2,41.3,5.0
Devin Booker,,O,SG/SF,7800,PHO,MEM,0,100,29,19,96,106,-2%,24,21,19,39,36,34,47.8,38.3,24.8,51.8,0.0,0.0,0.0,0,0.0,0.0
LaMarcus Aldridge,4,,PF/C,7700,SAS,@UTA,0,100,27,25,97,103,-2%,15,18,18,34,33,34,36.0,39.3,30.0,48.7,33.0,33.8,4.4,28.5,22.5,2.9
Tyreke Evans,22,,PG/SG,7600,MEM,@PHO,0,103,27,22,104,109,5%,16,18,15,35,35,31,35.6,33.9,22.5,45.2,32.5,37.0,4.9,34,43.8,5.8
Kris Dunn,13,,PG/SG,7300,CHI,@CLE,0,103,26,15,99,108,3%,13,14,13,29,28,29,34.5,31.4,20.9,42.0,32.5,34.2,4.7,35,38.8,5.3
Al Horford,9,,PF/C,7200,BOS,@NYK,0,103,19,21,99,105,-7%,12,13,11,31,32,33,34.0,35.7,27.1,44.3,33.0,34.3,4.8,32.6,26.5,3.7
Donovan Mitchell,2,O,PG/SG,6700,UTA,SAS,0,97,28,16,97,102,-6%,12,17,16,29,34,31,31.6,30.9,19.7,42.2,0.0,0.0,0.0,0,0.0,0.0
Nikola Mirotic,10,,PF/C,6700,CHI,@CLE,0,103,,,99,108,2%,14,15,13,24,29,26,40.1,33.9,21.8,46.0,26.0,29.6,4.4,25.5,24.3,3.6
Rudy Gobert,,O,C,6500,UTA,SAS,0,97,16,19,97,102,-3%,8,5,7,28,26,32,25.9,32.3,22.0,42.7,0.0,0.0,0.0,0,0.0,0.0
Dario Saric,12,,PF/C,6400,PHI,TOR,1,107,18,13,100,102,-7%,15,14,11,31,36,30,34.4,26.4,16.3,36.6,33.0,31.3,4.9,36.5,52.5,8.2
