Player Name,Likes,Inj,Pos,Salary,Team,Opp,Rest,PS,USG,PER,Opp Pace,Opp DEff,Opp DvP,L2 FGA,L5 FGA,S FGA,L2 Min,L5 Min,S Min,L5 FP,S FP,Floor FP,Ceil FP,Proj Min,Proj FP,Proj Val,Actual Min,Actual FP,Actual Val
Russell Westbrook,19,,PG,11000,OKC,UTA,1,104,35,21,98,102,-4%,22,23,20,38,38,36,59.6,53.3,41.6,64.9,36.0,53.7,4.9,38.3,77.3,7.0
Damian Lillard,15,,PG,9400,POR,WAS,2,104,30,24,100,104,-5%,21,19,19,40,39,37,46.3,44.0,33.9,54.1,37.0,44.3,4.7,42.9,53.0,5.6
Kyle Lowry,19,,PG,8700,TOR,PHO,3,119,22,20,105,110,17%,15,13,12,36,35,34,48.0,39.4,28.2,50.5,34.0,41.5,4.8,35.1,48.5,5.6
DeMar DeRozan,10,,SG/SF,8500,TOR,PHO,3,119,29,22,105,110,1%,22,16,18,35,34,35,32.3,39.2,29.5,48.9,33.5,41.4,4.9,34.3,46.8,5.5
John Wall,,O,PG,8500,WAS,@POR,0,98,29,22,100,100,-7%,20,16,17,36,35,35,37.8,43.0,33.8,52.2,0.0,0.0,0.0,0,0.0,0.0
Paul George,12,,SF,8400,OKC,UTA,1,104,25,18,98,102,-7%,19,17,18,38,38,38,38.0,41.1,28.6,53.5,37.5,39.2,4.7,39.8,28.3,3.4
Devin Booker,20,,SG/SF,8000,PHO,@TOR,0,105,29,19,100,103,8%,31,21,19,39,34,34,42.5,38.1,24.4,51.8,34.5,37.0,4.6,39.3,43.3,5.4
Bradley Beal,13,,SG,7600,WAS,@POR,0,98,28,20,100,100,-10%,13,15,18,30,31,35,25.9,36.5,25.7,47.4,35.0,35.3,4.6,43.1,59.3,7.8
Rudy Gobert,2,,C,7300,UTA,@OKC,0,96,16,20,99,100,-3%,8,9,8,36,34,34,32.6,35.0,24.5,45.6,24.0,26.1,3.6,26.9,16.0,2.2
Jusuf Nurkic,16,,C,7200,POR,WAS,2,104,28,15,100,104,-3%,14,15,14,28,30,28,38.0,30.6,17.9,43.3,31.0,34.3,4.8,28.6,34.3,4.8
Donovan Mitchell,8,,PG/SG,7100,UTA,@OKC,0,96,27,15,99,100,-7%,19,16,15,31,32,30,37.2,29.7,18.7,40.6,34.5,32.2,4.5,36.3,48.3,6.8
C.J. McCollum,10,,PG/SG,7000,POR,WAS,2,104,24,17,100,104,1%,21,19,18,38,37,36,32.3,33.5,25.5,41.4,36.0,32.7,4.7,36.8,28.0,4.0
Otto Porter,10,,SF/PF,6900,WAS,@POR,0,98,18,20,100,100,3%,14,15,12,31,31,33,33.3,32.2,20.9,43.4,32.5,29.7,4.3,30.3,22.0,3.2
Derrick Favors,6,,PF/C,6600,UTA,@OKC,0,96,19,20,99,100,2%,8,10,10,29,30,28,37.0,28.1,16.8,39.4,29.0,28.1,4.3,22.8,18.5,2.8
Carmelo Anthony,5,,SF/PF,6500,OKC,UTA,1,104,25,16,98,102,-7%,9,14,16,30,32,33,25.6,32.9,25.8,39.9,33.0,30.7,4.7,34.9,31.5,4.8
T.J. Warren,12,,SF/PF,6400,PHO,@TOR,0,105,23,19,100,103,-7%,20,16,16,35,34,32,31.0,32.1,19.6,44.5,34.0,31.4,4.9,23.3,10.8,1.7
Steven Adams,7,,C,5900,OKC,UTA,1,104,16,21,98,102,-9%,12,10,9,33,32,31,29.1,29.2,19.4,39.1,33.0,27.7,4.7,32.9,33.8,5.7
Rodney Hood,1,O,SG/SF,5700,UTA,@OKC,0,96,27,16,99,100,-7%,16,17,15,27,30,28,30.6,26.0,16.7,35.3,0.0,0.0,0.0,0,0.0,0.0
Ricky Rubio,4,,PG,5400,UTA,@OKC,0,96,24,14,99,100,-6%,7,7,10,24,26,29,23.8,27.5,16.7,38.2,26.5,24.1,4.5,34.3,22.0,4.1
Marcin Gortat,2,,C,5200,WAS,@POR,0,98,15,15,100,100,-10%,7,7,8,28,25,30,21.4,25.9,15.9,35.8,26.0,21.2,4.1,22.7,26.8,5.2
Serge Ibaka,10,,PF/C,5000,TOR,PHO,3,119,18,14,105,110,14%,11,11,10,28,28,28,23.4,23.8,17.5,30.0,26.5,24.7,4.9,33,37.0,7.4
Kelly Oubre Jr.,9,,SG/SF,4900,WAS,@POR,0,98,17,13,100,100,3%,9,12,9,26,27,28,25.4,22.6,13.4,31.9,26.5,21.4,4.4,26.5,30.0,6.1
Joe Ingles,3,,SG/SF,4900,UTA,@OKC,0,96,16,14,99,100,-11%,7,8,8,31,31,30,25.3,25.2,18.2,32.1,31.0,22.8,4.7,34.5,30.0,6.1
Jonas Valanciunas,6,,C,4800,TOR,PHO,3,119,20,19,105,110,2%,12,9,8,22,19,20,20.9,21.4,10.7,32.1,20.0,23.1,4.8,18.5,17.0,3.5
Markieff Morris,4,,SF/PF,4700,WAS,@POR,0,98,20,12,100,100,-6%,13,10,9,25,24,23,18.9,19.1,10.3,27.9,25.0,20.7,4.4,30.3,22.5,4.8
Alec Burks,10,,PG/SG,4500,UTA,@OKC,0,96,21,15,99,100,-7%,15,12,8,30,26,19,34.3,17.7,5.1,30.4,29.5,24.7,5.5,21.5,21.0,4.7
Greg Monroe,14,,PF/C,4500,PHO,@TOR,0,105,22,18,100,103,-3%,8,8,8,22,21,19,23.8,20.4,7.4,33.5,26.0,28.5,6.3,25.9,34.0,7.6
Alex Len,3,,PF/C,4400,PHO,@TOR,0,105,16,18,100,103,-3%,6,7,6,14,21,22,21.7,23.5,13.1,33.8,18.0,17.6,4.0,18.1,25.3,5.8
Tyson Chandler,1,D,C,4300,PHO,@TOR,0,105,11,16,100,103,-3%,7,5,5,32,27,26,27.9,23.2,14.3,32.0,0.0,0.0,0.0,0,0.0,0.0
Al-Farouq Aminu,10,,SF/PF,4200,POR,WAS,2,104,13,14,100,104,0%,5,6,7,24,29,29,18.0,24.1,13.3,35.0,28.5,22.2,5.3,35.8,27.0,6.4
Mike James,4,,PG,4200,PHO,@TOR,0,105,25,14,100,103,-10%,9,11,10,20,21,23,24.8,22.8,14.0,31.6,18.5,18.3,4.4,15.8,15.5,3.7
Tomas Satoransky,2,,PG/SG,4100,WAS,@POR,0,98,15,17,100,100,3%,6,6,4,24,22,15,21.9,12.3,2.7,21.9,23.5,18.2,4.4,24.4,17.0,4.1
Josh Jackson,1,,SG/SF,4000,PHO,@TOR,0,105,23,8,100,103,-7%,7,11,9,19,23,22,20.1,18.1,10.3,26.0,19.0,15.0,3.8,27.2,16.3,4.1
Noah Vonleh,0,,PF/C,4000,POR,WAS,2,104,10,13,100,104,0%,3,4,4,18,25,22,18.9,17.6,8.7,26.5,17.0,12.7,3.2,14.5,9.5,2.4
Norman Powell,4,,SG/SF,4000,TOR,PHO,3,119,19,13,105,110,6%,8,10,8,16,23,23,22.5,19.1,12.1,26.2,18.5,16.1,4.0,16.4,6.8,1.7
Evan Turner,1,,SG/SF,3900,POR,WAS,2,104,17,8,100,104,1%,6,8,8,25,23,26,15.0,17.8,9.9,25.7,23.0,16.2,4.2,17.7,5.8,1.5
Tyler Ulis,4,,PG,3900,PHO,@TOR,0,105,20,10,100,103,-10%,9,8,8,31,27,24,21.6,18.8,11.0,26.6,25.5,20.0,5.1,21.5,11.8,3.0
Marquese Chriss,1,,PF/C,3900,PHO,@TOR,0,105,15,10,100,103,-3%,4,5,6,22,22,20,16.4,17.1,8.5,25.7,22.0,17.7,4.5,10.5,9.0,2.3
Pascal Siakam,6,,PF,3900,TOR,PHO,3,119,16,15,105,110,14%,6,7,7,21,25,22,19.4,19.1,11.6,26.5,24.5,21.7,5.6,15,19.5,5.0
Tim Frazier,2,,PG,3900,WAS,@POR,0,98,15,10,100,100,-7%,3,4,3,22,21,18,14.8,13.8,7.3,20.2,23.5,17.1,4.4,23.6,21.8,5.6
Jonas Jerebko,3,,SF/PF,3800,UTA,@OKC,0,96,14,17,99,100,2%,7,7,5,26,23,17,19.3,13.8,4.6,23.0,21.5,16.2,4.3,21.5,13.0,3.4
C.J. Miles,3,,SG/SF,3800,TOR,PHO,3,119,20,15,105,110,6%,8,8,8,17,20,19,17.1,17.0,9.2,24.7,19.5,17.4,4.6,18.4,19.3,5.1
Thabo Sefolosha,1,,SG/SF,3700,UTA,@OKC,0,96,14,16,99,100,-11%,6,7,6,19,19,21,15.4,17.3,9.5,25.1,23.0,16.8,4.5,21.3,33.5,9.1
Jerami Grant,0,,SF/PF,3700,OKC,UTA,1,104,15,16,98,102,-7%,5,5,6,23,20,23,16.5,18.2,11.6,24.8,21.5,15.5,4.2,18.7,8.3,2.2
Pat Connaughton,1,,SG/SF,3600,POR,WAS,2,104,13,11,100,104,1%,7,6,5,20,24,20,17.8,12.3,4.4,20.2,22.5,14.5,4.0,26.4,7.8,2.2
Shabazz Napier,0,,PG/SG,3600,POR,WAS,2,104,18,18,100,104,-5%,7,6,5,20,19,17,13.7,14.7,4.2,25.2,17.5,14.7,4.1,8.4,3.0,0.8
Jared Dudley,,,PF,3600,PHO,@TOR,0,105,,,100,103,-7%,3,2,2,15,14,14,11.2,11.6,1.6,21.6,11.5,8.2,2.3,24.8,25.8,7.2
Delon Wright,,O,PG/SG,3500,TOR,PHO,3,119,16,15,105,110,17%,3,3,5,18,17,21,14.0,16.5,9.3,23.8,0.0,0.0,0.0,0,0.0,0.0
Andre Roberson,0,,SG/SF,3500,OKC,UTA,1,104,9,9,98,102,-9%,5,5,4,33,31,26,17.9,14.4,8.2,20.6,30.5,17.4,5.0,34,19.0,5.4
