Player Name,Likes,Inj,Pos,Salary,Team,Opp,Rest,PS,USG,PER,Opp Pace,Opp DEff,Opp DvP,L2 FGA,L5 FGA,S FGA,L2 Min,L5 Min,S Min,L5 FP,S FP,Floor FP,Ceil FP,Proj Min,Proj FP,Proj Val,Actual Min,Actual FP,Actual Val
LeBron James,17,,SF/PF,11800,CLE,@WAS,0,107,31,32,99,103,-6%,17,18,19,38,38,38,66.0,58.7,45.4,71.9,36.5,57.0,4.8,41.4,62.0,5.3
Andre Drummond,3,,C,9500,DET,ORL,1,107,21,23,102,107,3%,13,9,10,32,31,33,38.4,44.1,32.7,55.5,33.0,45.9,4.8,29,28.5,3.0
Victor Oladipo,16,,PG/SG,9300,IND,@BKN,1,112,30,23,104,107,8%,24,24,19,38,39,35,51.2,42.8,30.4,55.3,37.5,45.9,4.9,40.9,42.3,4.5
Nikola Vucevic,4,,C,9200,ORL,@DET,1,98,23,22,98,104,-2%,18,18,15,33,35,31,56.9,39.6,25.5,53.6,32.0,41.3,4.5,36,60.5,6.6
John Wall,9,,PG,8500,WAS,CLE,1,109,30,21,100,108,3%,16,16,16,29,33,34,32.7,41.0,31.4,50.7,34.5,42.7,5.0,32,43.5,5.1
DeMar DeRozan,4,,SG/SF,8400,TOR,SAC,1,108,29,23,97,109,-4%,22,17,18,33,35,35,43.0,40.3,31.3,49.2,35.0,39.0,4.6,33.5,32.8,3.9
Kyle Lowry,5,,PG,8300,TOR,SAC,1,108,22,20,97,109,-2%,11,13,12,33,34,34,38.0,39.5,28.5,50.4,35.0,39.7,4.8,32.5,37.8,4.6
Kevin Love,7,,PF/C,8200,CLE,@WAS,0,107,25,25,99,103,-2%,15,15,14,31,29,30,38.5,39.0,28.0,50.0,30.0,37.4,4.6,31.9,40.3,4.9
Bradley Beal,10,,SG,7700,WAS,CLE,1,109,28,20,100,108,3%,16,22,19,38,37,36,41.0,38.4,27.5,49.3,36.0,37.5,4.9,43.5,44.3,5.8
Aaron Gordon,,O,SF/PF,7500,ORL,@DET,1,98,20,20,98,104,3%,11,13,13,27,35,34,29.8,36.1,22.7,49.5,0.0,0.0,0.0,0,0.0,0.0
Spencer Dinwiddie,5,,PG/SG,6800,BKN,IND,1,108,22,18,100,106,-2%,13,12,11,29,28,27,32.6,29.4,17.7,41.2,31.0,34.3,5.0,24.6,24.3,3.6
D'Angelo Russell,,O,PG/SG,6800,BKN,IND,1,108,35,20,100,106,-2%,18,17,18,31,30,29,37.6,38.1,30.1,46.0,0.0,0.0,0.0,0,0.0,0.0
Myles Turner,12,,C,6700,IND,@BKN,1,112,19,18,104,107,6%,13,12,12,35,35,30,36.1,31.6,22.2,41.0,34.0,37.1,5.5,32.9,30.5,4.6
Jonathon Simmons,3,,SG/SF,6600,ORL,@DET,1,98,23,14,98,104,12%,16,18,12,36,36,28,34.7,24.1,14.5,33.7,34.0,27.9,4.2,36.6,41.5,6.3
Isaiah Thomas,,O,PG,6500,CLE,@WAS,0,107,,,99,103,-3%,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Zach Randolph,,O,PF/C,6400,SAC,@TOR,2,96,26,21,100,102,-7%,13,16,13,26,30,26,41.4,30.2,18.3,42.0,0.0,0.0,0.0,0,0.0,0.0
Thaddeus Young,4,,SF/PF,6300,IND,@BKN,1,112,17,16,104,107,7%,11,12,12,38,38,34,33.0,29.5,22.6,36.4,35.0,31.0,4.9,30,13.3,2.1
Rondae Hollis-Jefferson,3,,SF/PF,6300,BKN,IND,1,108,20,19,100,106,-5%,12,11,11,29,31,29,32.1,28.7,18.5,38.8,30.5,31.3,5.0,30.2,24.5,3.9
