Player Name,Likes,Inj,Pos,Salary,Team,Opp,Rest,PS,USG,PER,Opp Pace,Opp DEff,Opp DvP,L2 FGA,L5 FGA,S FGA,L2 Min,L5 Min,S Min,L5 FP,S FP,Floor FP,Ceil FP,Proj Min,Proj FP,Proj Val,Actual Min,Actual FP,Actual Val
LeBron James,22,,SF/PF,11600,CLE,@MIL,1,108,31,31,98,107,-3%,19,18,19,39,38,38,66.3,58.8,45.7,71.8,36.5,57.0,4.9,34.2,60.3,5.2
Giannis Antetokounmpo,23,,SF/PF,11400,MIL,CLE,2,107,31,31,99,108,0%,20,21,21,41,41,39,58.8,56.3,49.3,63.4,38.0,55.4,4.9,40.1,60.5,5.3
DeMarcus Cousins,14,,PF/C,10700,NOR,@WAS,3,107,33,23,99,103,-4%,17,18,19,35,35,36,51.0,56.0,44.3,67.7,35.5,53.5,5.0,35.5,49.3,4.6
Anthony Davis,15,,PF/C,10100,NOR,@WAS,3,107,25,28,99,103,-2%,19,17,17,40,37,37,45.7,50.5,37.2,63.8,38.0,50.7,5.0,36.5,51.3,5.1
Joel Embiid,2,O,C,9900,PHI,SAC,0,107,32,24,97,109,7%,18,18,17,44,38,31,52.1,47.6,34.4,60.7,0.0,0.0,0.0,0,0.0,0.0
Ben Simmons,9,,PG/SF,9500,PHI,SAC,0,107,24,18,97,109,-1%,14,13,15,43,40,37,42.2,46.1,35.8,56.3,36.0,46.9,4.9,32.8,47.0,4.9
John Wall,20,,PG,8800,WAS,NOR,1,110,30,20,102,108,5%,16,17,16,31,32,34,36.8,41.2,31.8,50.6,35.5,46.3,5.3,33.5,43.5,4.9
Kevin Love,17,,PF/C,7800,CLE,@MIL,1,108,25,24,98,107,-12%,17,16,14,30,30,30,38.8,39.1,28.2,49.9,30.0,38.4,4.9,29.9,44.5,5.7
Bradley Beal,22,,SG,7700,WAS,NOR,1,110,28,20,102,108,7%,23,23,20,40,39,37,40.8,38.6,27.9,49.3,38.5,41.0,5.3,36.4,44.3,5.8
Khris Middleton,18,,SG/SF,7300,MIL,CLE,2,107,24,18,99,108,10%,18,17,16,38,38,38,40.5,36.9,24.4,49.4,35.5,35.9,4.9,39.9,37.0,5.1
Jrue Holiday,10,,PG/SG,7100,NOR,@WAS,3,107,22,16,99,103,-1%,18,18,15,41,40,38,46.0,35.5,23.8,47.1,36.5,35.4,5.0,35.2,33.0,4.6
Eric Bledsoe,9,,PG/SG,6700,MIL,CLE,2,107,27,17,99,108,2%,16,15,14,35,35,31,32.4,32.2,22.5,41.9,33.0,34.3,5.1,31.7,38.8,5.8
Zach Randolph,5,,PF/C,6400,SAC,@PHI,1,99,26,21,103,104,1%,13,16,13,26,30,26,41.4,30.2,18.3,42.0,27.0,29.3,4.6,28.4,34.3,5.4
Isaiah Thomas,,O,PG,6300,CLE,@MIL,1,108,,,98,107,-8%,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Robert Covington,16,,SF/PF,6200,PHI,SAC,0,107,18,15,97,109,-3%,13,12,12,40,37,33,35.0,32.5,22.9,42.1,33.0,33.2,5.4,32.1,28.8,4.6
Dario Saric,21,,PF/C,6100,PHI,SAC,0,107,18,12,97,109,9%,18,16,11,40,36,30,36.0,26.4,16.0,36.8,32.0,32.1,5.3,30.6,27.8,4.6
Rajon Rondo,5,,PG,6000,NOR,@WAS,3,107,18,16,99,103,-1%,5,7,7,23,31,27,35.4,28.9,16.2,41.5,28.0,28.4,4.7,13.9,6.0,1.0
Otto Porter Jr.,,O,SF/PF,5800,WAS,NOR,1,110,18,19,102,108,9%,12,11,12,31,32,33,29.4,31.6,19.5,43.8,0.0,0.0,0.0,0,0.0,0.0
JJ Redick,9,,SG/SF,5400,PHI,SAC,0,107,20,14,97,109,-3%,15,14,13,43,39,34,30.8,27.4,19.1,35.8,34.0,28.5,5.3,20.3,12.5,2.3
Willie Cauley-Stein,6,,PF/C,5200,SAC,@PHI,1,99,20,17,103,104,0%,10,10,9,27,26,26,24.4,24.6,14.6,34.6,28.0,27.3,5.3,29.6,21.5,4.1
Jabari Parker,,O,SF/PF,5000,MIL,CLE,2,107,,,99,108,0%,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Dwyane Wade,3,P,PG/SG,4800,CLE,@MIL,1,108,25,16,98,107,-1%,10,8,10,21,23,24,19.4,24.4,13.7,35.1,22.5,22.4,4.7,26.4,27.0,5.6
Malcolm Brogdon,5,,PG/SG,4800,MIL,CLE,2,107,19,14,99,108,2%,12,12,11,34,33,30,24.1,24.1,15.3,32.9,27.0,22.1,4.6,30,24.8,5.2
Marcin Gortat,4,,C,4700,WAS,NOR,1,110,15,15,102,108,1%,6,5,7,26,25,28,23.8,25.2,16.5,34.0,24.0,20.8,4.4,29.7,37.5,8.0
Kelly Oubre Jr.,16,,SG/SF,4700,WAS,NOR,1,110,17,13,102,108,9%,9,8,9,32,28,28,19.9,22.9,13.6,32.1,30.0,23.3,5.0,29.8,16.5,3.5
E'Twaun Moore,8,,SG/SF,4600,NOR,@WAS,3,107,15,13,99,103,1%,10,12,10,37,39,33,27.3,22.3,13.3,31.3,32.5,21.4,4.7,32.2,22.5,4.9
George Hill,1,O,PG/SG,4600,SAC,@PHI,1,99,17,14,103,104,6%,10,9,8,31,28,26,26.8,19.8,11.1,28.4,0.0,0.0,0.0,0,0.0,0.0
Buddy Hield,8,,SG/SF,4600,SAC,@PHI,1,99,24,16,103,104,4%,9,11,11,19,25,23,20.1,22.5,12.4,32.6,26.5,23.5,5.1,28.1,39.3,8.5
Markieff Morris,3,,SF/PF,4600,WAS,NOR,1,110,20,11,102,108,5%,10,8,9,24,23,23,17.9,19.0,9.7,28.3,25.5,21.4,4.7,20.1,17.5,3.8
Mike Scott,13,,PF,4500,WAS,NOR,1,110,18,16,102,108,5%,12,10,7,28,25,19,27.3,16.4,7.0,25.7,27.5,22.2,4.9,23.4,31.0,6.9
John Henson,3,,C,4500,MIL,CLE,2,107,14,15,99,108,0%,5,6,6,26,26,25,23.9,22.8,14.0,31.6,25.5,22.6,5.0,28.5,31.0,6.9
Richaun Holmes,14,,PF/C,4400,PHI,SAC,0,107,17,18,97,109,9%,7,9,6,17,22,16,25.3,16.7,6.6,26.8,20.0,20.7,4.7,26.5,18.0,4.1
Bogdan Bogdanovic,8,,SG/SF,4300,SAC,@PHI,1,99,19,13,103,104,4%,8,9,8,31,30,25,23.8,19.2,13.3,25.1,29.5,21.8,5.1,18.1,8.8,2.0
Jeff Green,3,,SF/PF,4300,CLE,@MIL,1,108,19,17,98,107,-3%,8,9,8,23,25,22,22.3,19.3,10.4,28.1,21.5,17.0,4.0,25,21.5,5.0
De'Aaron Fox,5,P,PG,4300,SAC,@PHI,1,99,23,10,103,104,6%,7,9,10,22,26,26,17.1,20.9,13.4,28.3,24.5,19.7,4.6,11.4,4.3,1.0
Trevor Booker,3,,PF/C,4200,PHI,SAC,0,107,21,18,97,109,9%,6,7,8,17,19,22,24.9,23.8,14.5,33.0,15.0,15.8,3.8,15.5,20.5,4.9
T.J. McConnell,11,,PG,4100,PHI,SAC,0,107,15,13,97,109,-1%,6,4,6,23,21,24,14.0,20.6,9.5,31.7,25.0,20.9,5.1,21.1,13.0,3.2
J.R. Smith,3,,SG/SF,4000,CLE,@MIL,1,108,13,8,98,107,-1%,8,6,8,32,29,31,18.9,18.2,11.1,25.2,31.5,18.4,4.6,17.6,5.0,1.3
Frank Mason III,14,,PG/SG,3900,SAC,@PHI,1,99,23,13,103,104,6%,9,9,7,19,23,19,17.3,16.2,9.2,23.1,22.5,19.2,4.9,22.2,24.5,6.3
Markelle Fultz,,O,PG/SG,3800,PHI,SAC,0,107,,,97,109,-1%,5,7,7,20,19,19,12.4,12.4,8.8,16.1,0.0,0.0,0.0,0,0.0,0.0
Jose Calderon,0,,PG,3700,CLE,@MIL,1,108,11,11,98,107,-8%,5,6,3,22,25,17,21.6,10.7,1.4,20.0,20.0,12.1,3.3,23.6,19.5,5.3
Tony Snell,,,SG/SF,3700,MIL,CLE,2,107,10,11,99,108,3%,6,5,6,30,30,32,11.0,16.8,10.8,22.8,26.0,12.9,3.5,23.1,16.0,4.3
Amir Johnson,3,,PF/C,3700,PHI,SAC,0,107,14,14,97,109,9%,2,3,4,10,16,15,11.4,14.8,5.7,23.8,18.0,16.4,4.4,18.4,19.3,5.2
Kyle Korver,2,,SG/SF,3600,CLE,@MIL,1,108,16,16,98,107,-1%,8,8,8,25,24,23,18.9,17.9,10.8,25.1,21.0,14.8,4.1,23.3,7.5,2.1
Garrett Temple,2,,PG/SG,3600,SAC,@PHI,1,99,16,9,103,104,4%,9,7,7,23,20,25,12.3,16.5,8.9,24.1,18.5,12.1,3.4,32.9,27.0,7.5
Tristan Thompson,,,PF/C,3500,CLE,@MIL,1,108,8,11,98,107,7%,2,1,3,11,13,18,6.0,11.3,4.9,17.8,16.5,11.9,3.4,18.3,19.8,5.7
Iman Shumpert,,O,PG/SG,3500,CLE,@MIL,1,108,13,7,98,107,-1%,1,4,4,9,22,21,11.4,12.2,1.9,22.5,0.0,0.0,0.0,0,0.0,0.0
Dante Cunningham,1,,SF/PF,3500,NOR,@WAS,3,107,10,9,99,103,-7%,7,5,5,25,25,24,16.6,14.2,8.0,20.5,22.5,13.6,3.9,17.2,3.3,0.9
Tomas Satoransky,4,,PG/SG,3500,WAS,NOR,1,110,14,14,102,108,9%,5,5,4,22,22,17,16.0,13.3,4.4,22.2,22.5,16.3,4.7,21.8,21.8,6.2
Tim Frazier,,,PG,3500,WAS,NOR,1,110,15,11,102,108,5%,2,3,3,4,13,17,10.2,13.4,6.8,20.0,0.0,0.0,0.0,5.4,5.0,1.4
Jae Crowder,,,SF/PF,3500,CLE,@MIL,1,108,15,10,98,107,-12%,5,8,7,22,26,26,16.9,15.7,8.3,23.1,22.0,14.9,4.3,36.2,22.0,6.3
Kosta Koufos,4,,C,3400,SAC,@PHI,1,99,13,15,103,104,0%,9,6,4,22,19,19,20.9,16.3,8.0,24.6,17.0,14.5,4.3,11.4,13.0,3.8
Darius Miller,1,,SF,3400,NOR,@WAS,3,107,13,12,99,103,-7%,7,7,6,23,25,21,14.5,13.7,5.7,21.6,23.5,14.3,4.2,25.4,4.8,1.4
Jameer Nelson,4,,PG/SG,3400,NOR,@WAS,3,107,13,10,99,103,-1%,5,5,5,27,25,25,15.8,17.3,10.1,24.5,22.0,15.1,4.4,15.3,8.8,2.6
Thon Maker,0,,PF/C,3400,MIL,CLE,2,107,12,9,99,108,-1%,2,2,4,18,19,19,14.9,12.8,7.0,18.7,18.5,12.5,3.7,14.3,15.8,4.6
Ian Mahinmi,1,,C,3400,WAS,NOR,1,110,13,10,102,108,1%,3,4,3,15,19,15,16.4,10.8,4.7,17.0,16.5,12.7,3.7,16.6,14.3,4.2
Jerryd Bayless,,,PG/SG,3400,PHI,SAC,0,107,15,9,97,109,-1%,8,6,7,21,20,26,14.1,16.4,9.9,22.9,18.5,12.1,3.6,26.4,22.3,6.6
Derrick Rose,1,O,PG,3400,CLE,@MIL,1,108,,,98,107,-8%,11,13,12,23,27,27,19.5,19.8,15.2,24.3,0.0,0.0,0.0,0,0.0,0.0
DeAndre Liggins,,,SG/SF,3300,MIL,CLE,2,107,9,5,99,108,3%,1,2,2,10,14,16,6.7,7.5,2.0,13.1,0.0,0.0,0.0,16,4.8,1.5
Skal Labissiere,,,PF/C,3200,SAC,@PHI,1,99,22,14,103,104,1%,4,5,7,11,11,16,9.4,14.8,7.3,22.3,13.5,12.5,3.9,4.1,5.5,1.7
Matthew Dellavedova,,,PG/SG,3200,MIL,CLE,2,107,17,8,99,108,2%,7,5,5,14,16,20,13.3,13.0,8.3,17.6,14.5,9.7,3.0,10.6,8.5,2.7
Channing Frye,,,PF/C,3200,CLE,@MIL,1,108,13,13,98,107,-12%,3,3,3,7,11,12,7.9,9.4,2.9,15.8,0.0,0.0,0.0,0,0.0,0.0
Mirza Teletovic,,O,SF/PF,3200,MIL,CLE,2,107,,,99,108,0%,7,6,6,14,16,16,15.3,13.2,5.8,20.5,0.0,0.0,0.0,0,0.0,0.0
Jakarr Sampson,,O,SF/PF,3200,SAC,@PHI,1,99,,,103,104,3%,3,4,4,16,19,17,15.8,13.8,3.7,23.8,0.0,0.0,0.0,0,0.0,0.0
Jodie Meeks,,,SG,3100,WAS,NOR,1,110,18,10,102,108,7%,4,5,6,17,17,17,11.3,11.3,4.5,18.1,18.0,12.0,3.9,17.2,6.5,2.1
Tony Allen,,O,SG/SF,3100,NOR,@WAS,3,107,18,9,99,103,1%,3,3,4,8,8,12,5.2,8.9,3.4,14.4,0.0,0.0,0.0,0,0.0,0.0
Vince Carter,1,,SG/SF,3100,SAC,@PHI,1,99,13,7,103,104,4%,5,4,4,20,20,14,12.6,8.3,2.6,14.0,0.0,0.0,0.0,14,14.3,4.6
Justin Anderson,,O,SG/SF,3000,PHI,SAC,0,107,,,97,109,-4%,3,5,5,10,13,13,11.5,9.9,2.1,17.6,0.0,0.0,0.0,0,0.0,0.0
Justin Jackson,1,,SG/SF,3000,SAC,@PHI,1,99,16,6,103,104,3%,5,5,7,13,15,19,7.8,10.2,4.5,15.9,21.5,13.6,4.5,20.8,11.0,3.7
Rashad Vaughn,1,,SG/SF,3000,MIL,CLE,2,107,,,99,108,3%,6,4,3,18,16,10,9.1,7.0,-1.0,15.0,0.0,0.0,0.0,0,0.0,0.0
Georgios Papagiannis,,,C,3000,SAC,@PHI,1,99,,,103,104,0%,4,3,2,11,8,8,8.4,7.2,3.0,11.4,0.0,0.0,0.0,0,0.0,0.0
Jason Smith,1,,PF/C,3000,WAS,NOR,1,110,,,102,108,5%,6,5,4,11,13,11,8.3,7.1,1.8,12.3,0.0,0.0,0.0,4.6,-0.5,-0.2
Malachi Richardson,,P,SG/SF,3000,SAC,@PHI,1,99,,,103,104,4%,1,1,3,7,8,11,3.3,6.7,2.1,11.2,0.0,0.0,0.0,19.1,9.5,3.2
Chris McCullough,,,PF/C,3000,WAS,NOR,1,110,,,102,108,5%,4,3,3,5,7,7,5.7,6.3,2.1,10.5,0.0,0.0,0.0,1.7,1.3,0.4
Gary Payton II,,,SG,3000,MIL,CLE,2,107,,,99,108,2%,2,4,3,8,12,9,8.8,6.0,0.1,11.9,0.0,0.0,0.0,,0.0,0.0
Ian Clark,,,PG/SG,3000,NOR,@WAS,3,107,16,7,99,103,1%,4,4,5,17,14,15,8.5,9.4,2.2,16.7,0.0,0.0,0.0,17.1,5.8,1.9
Sterling Brown,1,,SG,3000,MIL,CLE,2,107,,,99,108,3%,3,3,2,10,8,7,7.6,5.9,1.9,9.9,0.0,0.0,0.0,5.8,5.3,1.8
Cedi Osman,1,,SG/SF,3000,CLE,@MIL,1,108,,,98,107,-3%,4,4,2,20,16,8,10.6,5.3,-0.1,10.7,0.0,0.0,0.0,5.4,0.8,0.3
Cheick Diallo,,,PF,3000,NOR,@WAS,3,107,,,99,103,-2%,0,1,2,2,3,7,2.0,5.2,0.0,10.4,0.0,0.0,0.0,3.9,5.8,1.9
James Michael McAdoo,,O,PF,3000,PHI,SAC,0,107,,,97,109,-3%,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Omer Asik,,,C,3000,NOR,@WAS,3,107,,,99,103,-4%,0,1,1,7,7,9,2.6,4.9,0.6,9.2,0.0,0.0,0.0,3.7,5.8,1.9
Jack Cooley,,O,PF,3000,SAC,@PHI,1,99,,,103,104,1%,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Ante Zizic,,,PF/C,3000,CLE,@MIL,1,108,,,98,107,-12%,2,1,1,4,4,4,2.9,3.4,-0.4,7.2,0.0,0.0,0.0,0,0.0,0.0
Furkan Korkmaz,,O,SG/SF,3000,PHI,SAC,0,107,,,97,109,-4%,4,2,2,12,6,5,3.4,3.6,-0.3,7.5,0.0,0.0,0.0,0,0.0,0.0
Joel Bolomboy,,,PF,3000,MIL,CLE,2,107,,,99,108,0%,1,1,1,4,7,7,4.3,3.5,0.0,7.0,0.0,0.0,0.0,0,0.0,0.0
Charles Cooke,,,SG,3000,NOR,@WAS,3,107,,,99,103,1%,0,1,1,1,2,2,1.8,1.8,-0.2,3.9,0.0,0.0,0.0,3.9,4.5,1.5
Jalen Jones,,O,SF,3000,NOR,@WAS,3,107,,,99,103,-7%,2,1,1,7,5,5,2.3,2.3,0.6,4.0,0.0,0.0,0.0,0,0.0,0.0
John Holland,,O,SG/SF,3000,CLE,@MIL,1,108,,,98,107,-1%,2,1,1,3,4,4,1.4,1.4,-0.3,3.1,0.0,0.0,0.0,0,0.0,0.0
D.J. Wilson,,,PF/C,3000,MIL,CLE,2,107,,,99,108,0%,0,1,1,3,4,4,1.4,1.3,-1.3,3.9,0.0,0.0,0.0,0,0.0,0.0
Sheldon Mac,,O,SG,3000,WAS,NOR,1,110,,,102,108,7%,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Mike Young,,O,PF,3000,WAS,NOR,1,110,,,102,108,9%,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Devin Robinson,,O,SG,3000,WAS,NOR,1,110,,,102,108,9%,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Solomon Hill,,O,SF/PF,3000,NOR,@WAS,3,107,,,99,103,-7%,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Alexis Ajinca,,O,C,3000,NOR,@WAS,3,107,,,99,103,-4%,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Frank Jackson,,O,PG,3000,NOR,@WAS,3,107,,,99,103,-1%,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Harry Giles,,O,PF/C,3000,SAC,@PHI,1,99,,,103,104,1%,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Jacob Pullen,,,PG,3000,PHI,SAC,0,107,,,97,109,-1%,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
London Perrantes,,,PG,3000,CLE,@MIL,1,108,,,98,107,-8%,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Timothe Luwawu-Cabarrot,1,,SG/SF,3000,PHI,SAC,0,107,18,7,97,109,-4%,8,6,6,21,20,17,9.3,11.1,6.0,16.2,0.0,0.0,0.0,16.2,6.8,2.3
Jason Terry,,,PG/SG,3000,MIL,CLE,2,107,,,99,108,3%,2,3,2,17,16,12,8.0,6.0,1.6,10.4,0.0,0.0,0.0,0,0.0,0.0
