Player Name,Likes,Inj,Pos,Salary,Team,Opp,Rest,PS,USG,PER,Opp Pace,Opp DEff,Opp DvP,L2 FGA,L5 FGA,S FGA,L2 Min,L5 Min,S Min,L5 FP,S FP,Floor FP,Ceil FP,Proj Min,Proj FP,Proj Val,Actual Min,Actual FP,Actual Val
LeBron James,16,,SF/PF,11300,CLE,MIA,0,107,30,31,99,103,-5%,22,22,20,35,37,38,62.5,57.0,42.1,71.9,36.0,53.0,4.7,28.4,58.0,5.1
Giannis Antetokounmpo,20,,SF/PF,11200,MIL,@SAC,2,102,31,30,97,108,0%,20,19,21,39,39,39,49.8,55.8,48.4,63.2,38.0,54.7,4.9,26.3,57.3,5.1
Karl-Anthony Towns,9,,C,9100,MIN,WAS,1,108,22,24,100,104,-6%,20,15,15,39,36,35,40.5,43.9,35.0,52.9,37.5,47.3,5.2,39.8,43.8,4.8
Nikola Jokic,16,,C,8700,DEN,@UTA,3,102,23,25,98,102,-9%,16,11,12,31,32,31,40.3,43.1,29.6,56.6,33.5,44.4,5.1,26.3,27.0,3.1
John Wall,,O,PG,8500,WAS,@MIN,2,103,29,22,100,108,2%,20,16,17,36,35,35,37.8,43.0,33.8,52.2,0.0,0.0,0.0,0,0.0,0.0
Hassan Whiteside,4,,C,8500,MIA,@CLE,1,103,21,26,101,109,-2%,10,9,11,23,25,28,32.1,39.0,27.4,50.6,27.0,33.9,4.0,18.7,35.5,4.2
Devin Booker,12,,SG/SF,8100,PHO,@CHI,1,106,28,18,99,109,1%,19,19,18,36,34,34,33.0,35.9,23.4,48.5,34.5,35.6,4.4,33.2,54.0,6.7
Bradley Beal,18,,SG,7900,WAS,@MIN,2,103,28,21,100,108,9%,23,21,19,38,38,37,40.1,40.0,32.0,48.1,36.0,40.3,5.1,34.4,21.0,2.7
Jimmy Butler,18,,SG,7600,MIN,WAS,1,108,22,18,100,104,-1%,18,17,14,36,37,36,38.9,34.6,24.8,44.3,36.0,39.9,5.2,38.5,45.3,6.0
Rudy Gobert,,O,C,7500,UTA,DEN,2,104,16,20,101,106,-3%,8,8,8,36,35,35,39.9,36.3,26.4,46.3,0.0,0.0,0.0,0,0.0,0.0
Goran Dragic,8,,PG,7500,MIA,@CLE,1,103,25,18,101,109,8%,13,14,15,33,34,34,33.5,33.7,27.8,39.6,33.0,33.0,4.4,23.2,17.5,2.3
T.J. Warren,13,,SF/PF,7300,PHO,@CHI,1,106,23,19,99,109,2%,14,16,16,34,37,32,33.6,32.0,19.6,44.4,35.0,34.2,4.7,39.8,38.8,5.3
Kevin Love,5,,PF/C,7200,CLE,MIA,0,107,24,23,99,103,-2%,9,13,13,28,31,30,35.1,37.4,25.9,48.8,30.5,36.1,5.0,25.5,56.8,7.9
Andrew Wiggins,3,,SF/PF,6900,MIN,WAS,1,108,23,15,100,104,-5%,16,16,16,40,40,37,31.4,30.4,23.0,37.9,38.0,31.8,4.6,37.4,23.5,3.4
Jeff Teague,1,O,PG,6800,MIN,WAS,1,108,23,16,100,104,-4%,15,12,12,36,36,34,34.5,33.6,22.2,44.9,0.0,0.0,0.0,0,0.0,0.0
Lauri Markkanen,12,,PF,6700,CHI,PHO,1,107,21,15,106,109,15%,13,14,13,29,30,31,29.9,31.3,23.5,39.1,31.0,32.9,4.9,34.4,27.0,4.0
Eric Bledsoe,23,,PG/SG,6600,MIL,@SAC,2,102,28,15,97,108,0%,20,15,14,38,33,30,36.5,30.8,18.7,42.8,32.5,33.3,5.0,23.8,42.3,6.4
Isaiah Thomas,,O,PG,6600,CLE,MIA,0,107,,,99,103,-10%,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Khris Middleton,5,,SG/SF,6600,MIL,@SAC,2,102,24,16,97,108,0%,21,17,16,40,38,38,38.5,35.6,21.0,50.2,34.5,32.7,5.0,23.5,22.0,3.3
Donovan Mitchell,16,,PG/SG,6500,UTA,DEN,2,104,27,13,101,106,-2%,13,14,15,28,31,29,33.4,28.3,17.8,38.8,37.0,36.1,5.6,30.2,26.8,4.1
Paul Millsap,,O,PF/C,6500,DEN,@UTA,3,102,24,18,98,102,-7%,15,14,13,31,33,31,39.5,33.0,21.1,45.0,0.0,0.0,0.0,0,0.0,0.0
Otto Porter,17,,SF/PF,6400,WAS,@MIN,2,103,17,21,100,108,-7%,12,12,12,32,34,33,29.7,32.8,20.8,44.8,33.0,30.8,4.8,32.1,33.5,5.2
Will Barton,14,,SG/SF,6300,DEN,@UTA,3,102,21,17,98,102,-6%,16,12,12,36,32,30,27.6,29.2,18.4,40.0,32.5,29.5,4.7,31.1,14.5,2.3
Derrick Favors,14,,PF/C,6300,UTA,DEN,2,104,19,18,101,106,8%,10,10,10,29,28,28,32.9,26.0,15.7,36.2,30.0,30.5,4.8,32.7,50.3,8.0
Dion Waiters,6,,SG/SF,6200,MIA,@CLE,1,103,26,11,101,109,-3%,13,14,15,27,30,31,23.0,26.0,16.2,35.8,30.0,28.0,4.5,34,32.3,5.2
Kris Dunn,7,,PG/SG,6100,CHI,PHO,1,107,25,10,106,109,18%,9,11,12,24,27,27,24.1,26.1,16.7,35.6,27.5,27.2,4.5,32.5,48.5,8.0
James Johnson,2,,PF,5900,MIA,@CLE,1,103,20,17,101,109,1%,9,8,9,29,27,28,26.8,27.8,15.6,39.9,26.5,26.0,4.4,31.8,25.8,4.4
Taj Gibson,2,,PF/C,5800,MIN,WAS,1,108,14,15,100,104,3%,10,9,8,37,35,32,28.4,25.9,16.1,35.7,36.0,28.3,4.9,41.1,32.3,5.6
Rodney Hood,4,O,SG/SF,5700,UTA,DEN,2,104,27,16,101,106,-2%,16,17,15,27,30,28,30.6,26.0,16.7,35.3,0.0,0.0,0.0,0,0.0,0.0
Denzel Valentine,11,,SG/SF,5600,CHI,PHO,1,107,18,13,106,109,7%,11,10,10,30,31,28,28.8,24.4,14.5,34.3,35.5,31.3,5.6,38.9,24.5,4.4
Justin Holiday,12,,SG/SF,5500,CHI,PHO,1,107,20,11,106,109,-1%,10,13,14,32,34,34,22.2,26.5,19.4,33.7,34.5,28.0,5.1,34.3,49.3,9.0
Zach Randolph,3,,PF/C,5500,SAC,MIL,0,96,25,18,98,107,-9%,13,13,12,26,26,24,31.1,25.1,14.9,35.4,26.0,25.1,4.6,19.3,18.8,3.4
Ricky Rubio,5,,PG,5400,UTA,DEN,2,104,25,14,101,106,8%,8,8,11,23,24,30,19.4,28.2,16.8,39.6,29.5,31.2,5.8,29.4,30.0,5.6
Dwyane Wade,5,,PG/SG,5300,CLE,MIA,0,107,24,14,99,103,3%,12,12,10,25,27,23,30.3,23.7,11.9,35.6,25.0,25.6,4.8,27.7,32.8,6.2
Bobby Portis,6,,PF,5200,CHI,PHO,1,107,25,19,106,109,15%,10,10,11,24,22,23,23.6,26.4,17.1,35.6,21.0,22.9,4.4,17.8,17.3,3.3
Gary Harris,8,,SG,5200,DEN,@UTA,3,102,17,16,98,102,-6%,13,12,11,34,34,33,30.0,26.8,21.0,32.6,36.0,28.0,5.4,33.4,26.3,5.1
Willie Cauley-Stein,19,,PF/C,5100,SAC,MIL,0,96,19,17,98,107,8%,10,11,9,30,29,25,31.0,24.7,13.6,35.7,28.0,27.3,5.4,24.4,23.5,4.6
Jamal Murray,2,,PG/SG,5100,DEN,@UTA,3,102,24,14,98,102,-2%,13,13,12,30,29,27,27.1,22.9,12.2,33.6,28.0,23.2,4.5,29.1,14.8,2.9
Jabari Parker,,O,SF/PF,5100,MIL,@SAC,2,102,,,97,108,1%,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Nikola Mirotic,,O,PF/C,5000,CHI,PHO,1,107,,,106,109,15%,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Malcolm Brogdon,2,,PG/SG,5000,MIL,@SAC,2,102,19,14,97,108,0%,12,9,11,34,29,31,19.1,25.0,15.0,35.0,28.5,22.9,4.6,19.8,25.5,5.1
Marcin Gortat,9,,C,5000,WAS,@MIN,2,103,14,15,100,108,1%,5,8,8,32,33,32,29.9,26.5,16.8,36.2,28.5,24.1,4.8,20.1,19.3,3.9
Robin Lopez,3,,C,4900,CHI,PHO,1,107,20,15,106,109,3%,10,10,11,27,28,30,22.9,24.2,16.9,31.6,28.5,24.0,4.9,34,24.3,5.0
Joe Ingles,9,,SG/SF,4800,UTA,DEN,2,104,16,14,101,106,-2%,9,7,8,30,28,30,23.9,25.6,18.5,32.7,33.5,28.4,5.9,29.9,18.0,3.8
Greg Monroe,1,,PF/C,4800,PHO,@CHI,1,106,22,18,99,109,-1%,4,7,8,15,20,19,20.1,19.3,5.6,33.1,13.0,14.6,3.0,0,0.0,0.0
Wilson Chandler,,O,SF/PF,4800,DEN,@UTA,3,102,14,10,98,102,-5%,5,7,7,25,29,30,24.6,19.8,10.8,28.8,0.0,0.0,0.0,0,0.0,0.0
Markieff Morris,7,,SF/PF,4700,WAS,@MIN,2,103,19,11,100,108,-3%,10,9,9,32,28,23,21.3,19.3,13.1,25.5,29.5,24.6,5.2,20.7,7.0,1.5
John Henson,5,,C,4700,MIL,@SAC,2,102,14,15,97,108,1%,7,7,5,26,25,24,25.0,22.0,11.4,32.5,26.0,23.3,5.0,24,22.3,4.7
Jerian Grant,2,,PG/SG,4700,CHI,PHO,1,107,19,14,106,109,18%,13,9,8,29,24,26,19.6,22.3,12.6,32.1,24.0,21.8,4.6,20.8,14.8,3.1
Zach LaVine,,O,PG/SG,4700,CHI,PHO,1,107,,,106,109,18%,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Mike James,3,,PG,4600,PHO,@CHI,1,106,24,14,99,109,12%,14,11,11,23,23,24,24.0,23.3,13.8,32.9,22.0,21.9,4.8,16.6,18.3,4.0
Alex Len,0,,PF/C,4500,PHO,@CHI,1,106,15,18,99,109,-1%,6,7,6,23,23,23,27.1,24.1,14.3,33.8,0.0,0.0,0.0,29.8,37.5,8.3
Buddy Hield,,,SG/SF,4500,SAC,MIL,0,96,24,17,98,107,-1%,12,9,11,21,19,23,18.1,22.1,11.5,32.7,23.0,19.7,4.4,21.3,17.5,3.9
De'Aaron Fox,1,,PG,4500,SAC,MIL,0,96,24,11,98,107,-7%,8,9,11,26,27,27,20.9,23.0,16.8,29.1,26.0,20.7,4.6,24,7.3,1.6
Tyler Ulis,0,,PG,4400,PHO,@CHI,1,106,20,9,99,109,12%,11,9,8,23,25,23,21.0,17.6,10.8,24.4,25.0,20.5,4.7,31.4,32.5,7.4
Tyson Chandler,3,,C,4400,PHO,@CHI,1,106,11,15,99,109,-1%,7,4,5,26,26,26,23.6,21.7,15.1,28.4,24.0,21.4,4.9,18.3,12.3,2.8
Josh Richardson,2,,SG/SF,4400,MIA,@CLE,1,103,15,5,101,109,9%,7,9,9,33,33,34,12.3,19.8,10.8,28.8,31.5,19.8,4.5,27.2,23.0,5.2
Tyus Jones,3,,PG/SG,4300,MIN,WAS,1,108,12,12,100,104,-4%,6,3,3,36,20,16,19.3,11.6,1.8,21.3,32.0,25.2,5.9,39.8,30.5,7.1
Kelly Oubre Jr.,,,SG/SF,4300,WAS,@MIN,2,103,16,13,100,108,-7%,11,9,9,24,23,28,18.1,22.1,13.3,30.9,22.5,16.7,3.9,31.4,29.5,6.9
Tyler Johnson,2,,PG/SG,4200,MIA,@CLE,1,103,18,10,101,109,-3%,8,8,9,25,25,27,20.7,20.0,12.2,27.9,27.0,21.4,5.1,23.9,6.3,1.5
George Hill,,,PG/SG,4100,SAC,MIL,0,96,17,12,98,107,-7%,9,8,8,27,28,26,20.9,19.0,10.8,27.2,26.5,20.1,4.9,19.9,7.5,1.8
Kelly Olynyk,,,PF/C,4100,MIA,@CLE,1,103,20,17,101,109,-2%,8,5,6,25,19,19,18.1,20.1,10.8,29.3,19.0,17.7,4.3,11.3,8.8,2.1
Tim Frazier,13,,PG,4100,WAS,@MIN,2,103,16,10,100,108,2%,5,4,4,20,21,17,15.0,13.9,7.5,20.3,31.5,23.9,5.8,15.6,9.3,2.3
J.R. Smith,0,,SG/SF,4100,CLE,MIA,0,107,13,7,99,103,3%,10,7,8,32,32,30,16.3,17.0,9.8,24.2,32.5,18.1,4.4,41.8,24.3,5.9
Jae Crowder,,,SF/PF,4100,CLE,MIA,0,107,15,10,99,103,-5%,8,8,7,24,26,26,17.6,16.3,8.7,23.9,27.0,19.4,4.7,20,1.5,0.4
Emmanuel Mudiay,1,,PG,4100,DEN,@UTA,3,102,24,12,98,102,-2%,6,7,9,22,23,23,15.1,20.6,9.5,31.6,19.0,15.0,3.7,18.9,15.8,3.9
Derrick Rose,,O,PG,4000,CLE,MIA,0,107,25,12,99,103,-10%,11,13,12,23,27,27,19.5,19.8,15.2,24.3,0.0,0.0,0.0,0,0.0,0.0
Justise Winslow,1,,SF/PF,4000,MIA,@CLE,1,103,15,11,101,109,9%,4,6,6,20,22,23,20.9,18.4,11.4,25.5,21.5,15.7,3.9,19.4,12.5,3.1
David Nwaba,,O,PG/SG,4000,CHI,PHO,1,107,,,106,109,18%,10,7,5,28,25,21,22.9,18.3,8.9,27.7,0.0,0.0,0.0,0,0.0,0.0
Josh Jackson,,,SG/SF,4000,PHO,@CHI,1,106,22,8,99,109,2%,13,8,9,23,21,22,18.1,18.0,11.0,25.1,19.5,16.5,4.1,8.3,1.3,0.3
Marquese Chriss,,,PF/C,3900,PHO,@CHI,1,106,15,10,99,109,4%,7,5,6,15,16,20,12.5,17.3,8.2,26.5,14.5,12.7,3.3,25.1,12.5,3.2
Kenneth Faried,6,,PF/C,3900,DEN,@UTA,3,102,16,18,98,102,-7%,5,5,4,25,17,12,14.4,10.7,0.6,20.8,24.0,22.3,5.7,23.1,20.0,5.1
