Player Name,Likes,Inj,Pos,Salary,Team,Opp,Rest,PS,USG,PER,Opp Pace,Opp DEff,Opp DvP,L2 FGA,L5 FGA,S FGA,L2 Min,L5 Min,S Min,L5 FP,S FP,Floor FP,Ceil FP,Proj Min,Proj FP,Proj Val,Actual Min,Actual FP,Actual Val
James Harden,18,,PG/SG,11600,HOU,NOR,1,120,36,31,102,107,5%,24,22,21,36,36,36,60.5,57.7,45.6,69.9,35.0,57.9,5.0,35,66.8,5.8
Russell Westbrook,18,,PG,11000,OKC,CHA,1,107,35,21,101,104,1%,28,25,21,39,39,37,58.0,54.4,42.4,66.5,36.5,60.1,5.5,36.2,51.0,4.6
Kevin Durant,28,,SF/PF,10900,GSW,POR,2,113,29,24,99,102,5%,26,21,18,37,34,34,53.6,47.6,37.2,58.1,36.0,54.9,5.0,36.3,51.8,4.8
DeMarcus Cousins,20,,PF/C,10700,NOR,@HOU,0,108,33,23,102,102,0%,20,22,20,35,35,36,58.9,56.7,44.6,68.7,37.5,58.7,5.5,33.2,56.0,5.2
Anthony Davis,1,O,PF/C,10000,NOR,@HOU,0,108,25,28,102,102,-9%,16,16,17,36,32,36,40.4,50.3,36.5,64.2,0.0,0.0,0.0,0,0.0,0.0
Stephen Curry,1,O,PG/SG,9300,GSW,POR,2,113,30,28,99,102,-7%,18,20,18,32,35,33,48.5,46.9,38.6,55.3,0.0,0.0,0.0,0,0.0,0.0
Damian Lillard,22,,PG,9200,POR,@GSW,1,103,30,24,104,101,-1%,23,21,20,40,40,37,46.9,44.7,34.8,54.7,38.0,45.1,4.9,41.9,53.5,5.8
Kyrie Irving,2,O,PG,8500,BOS,@CHI,0,100,30,26,99,108,4%,17,18,18,35,33,33,35.1,39.6,30.9,48.3,0.0,0.0,0.0,0,0.0,0.0
Kyle Lowry,18,,PG,8300,TOR,@LAC,0,110,22,20,99,109,0%,16,14,13,36,36,34,44.0,40.0,29.4,50.5,35.0,39.4,4.7,35.2,24.8,3.0
DeMar DeRozan,17,,SG/SF,8200,TOR,@LAC,0,110,29,22,99,109,12%,15,18,18,36,35,35,44.1,39.9,30.6,49.1,35.0,41.1,5.0,36.1,38.3,4.7
Chris Paul,24,,PG/SG,8100,HOU,NOR,1,120,23,25,102,107,5%,14,12,11,36,33,30,41.6,40.0,31.1,48.9,32.5,44.6,5.5,32.5,48.8,6.0
Paul George,8,,SF,8000,OKC,CHA,1,107,25,18,101,104,6%,15,16,18,37,39,38,36.7,40.5,28.0,53.0,36.5,39.8,5.0,33.9,28.8,3.6
Marc Gasol,15,,C,7800,MEM,MIA,1,98,27,18,98,105,0%,17,16,16,39,38,35,39.4,40.8,30.6,50.9,35.0,38.7,5.0,34.5,28.5,3.7
Blake Griffin,,O,PF/C,7800,LAC,TOR,1,105,30,21,101,104,-4%,23,20,19,37,36,36,45.9,43.5,35.3,51.6,0.0,0.0,0.0,0,0.0,0.0
Kemba Walker,5,,PG,7700,CHA,@OKC,1,100,27,22,99,100,-6%,19,17,17,36,35,35,38.0,38.7,28.0,49.4,34.5,35.8,4.6,38.8,35.8,4.6
