Actual,FirstName,FreqInd,GameInfo,ID,LastName,Name,Name...ID,Opponent,Position,Projection,Projection_dfn,Projection_dfn_perturbed,Projection_fc,Projection_reg,Projection_reg_split,RankTargets,RollingTargetPctg,Salary,Team,TierRank,ValueWR
13.2,Todd,0.0,LA@Ari 04:25PM ET,7498802,Gurley,Todd Gurley,Todd Gurley (7498802),ARI,RB,12.91,15.5,15.5,14.39,14.0446246652,12.6610468621,5.0,0.054347826087,6700,LA,3.0,0.0
26.9,Russell,1.0,Sea@NYJ 01:00PM ET,7498675,Wilson,Russell Wilson,Russell Wilson (7498675),NYJ,QB,19.22,19.7,19.7,17.97,18.4808025626,16.6665740488,11.0,0.0,6600,SEA,5.0,0.0
6.3,Matt,1.0,Sea@NYJ 01:00PM ET,7498743,Forte,Matt Forte,Matt Forte (7498743),SEA,RB,14.25,15.0,15.0,14.66,13.9854503271,12.6116813542,4.0,0.115044247788,6600,NYJ,3.0,0.0
3.3,Willie,0.0,NO@SD 04:25PM ET,7498939,Snead,Willie Snead,Willie Snead (7498939),SD,WR,14.4,16.5,16.5,14.23,15.0980811131,13.6122128863,5.0,0.122302158273,6600,NO,3.0,0.0
18.3,Kirk,0.0,Cle@Was 01:00PM ET,7498671,Cousins,Kirk Cousins,Kirk Cousins (7498671),CLE,QB,19.5,21.4,21.4,19.46,19.7664512315,17.8229960804,0.0,0.0,6500,WAS,3.0,0.0
2.1,Rob,0.0,Buf@NE 01:00PM ET,7498989,Gronkowski,Rob Gronkowski,Rob Gronkowski (7498989),BUF,TE,14.99,14.6,14.6,13.88,13.8636610293,12.5043212206,8.0,0.0104166666667,6500,NE,1.0,0.0
12.2,C.J.,1.0,Den@TB 04:05PM ET,7498791,Anderson,C.J. Anderson,C.J. Anderson (7498791),TB,RB,18.23,16.4,16.4,15.57,15.8850121646,14.3304869071,3.0,0.147368421053,6500,DEN,2.0,0.0
10.9,Mike,1.0,Den@TB 04:05PM ET,7498920,Evans,Mike Evans,Mike Evans (7498920),DEN,WR,18.85,15.0,15.0,15.56,15.0169840801,13.5520173347,1.0,0.271428571429,6500,TB,4.0,0.0
33.8,Michael,1.0,Oak@Bal 01:00PM ET,7498892,Crabtree,Michael Crabtree,Michael Crabtree (7498892),BAL,WR,14.97,14.7,14.7,13.39,13.931109021,12.5648906968,2.0,0.20325203252,6400,OAK,4.0,0.0
22.8,Emmanuel,0.0,Den@TB 04:05PM ET,7498913,Sanders,Emmanuel Sanders,Emmanuel Sanders (7498913),TB,WR,16.81,15.5,15.5,17.87,14.9191858906,13.4582882369,1.0,0.294736842105,6400,DEN,4.0,0.0
28.3,Jordan,1.0,Cle@Was 01:00PM ET,7498976,Reed,Jordan Reed,Jordan Reed (7498976),CLE,TE,16.36,15.0,15.0,14.74,14.4586103747,13.0430093801,3.0,0.192,6300,WAS,1.0,0.0
0.0,Eric,0.0,Sea@NYJ 01:00PM ET,7498857,Decker,Eric Decker,Eric Decker (7498857),SEA,WR,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.185840707965,6300,NYJ,0.0,0.0
13.5,Carson,1.0,LA@Ari 04:25PM ET,7498706,Palmer,Carson Palmer,Carson Palmer (7498706),LA,QB,19.68,20.3,20.3,18.86,19.0155534642,17.1485550078,0.0,0.0,6300,ARI,4.0,0.0
