"Position","Name","Salary","GameInfo","AvgPointsPerGame","Team","Opponent","Projection","Projection_dfn","Actual_fpts"
"PG","Russell Westbrook",11400,"MIN@OKC 12/01/2017 08:00PM ET",52.763,"OKC","MIN",57.07,57.6,49.25
"PF/C","DeMarcus Cousins",10900,"NO@UTA 12/01/2017 09:00PM ET",55.048,"NO","UTA",51.89,52.4,49.25
"PF/C","Anthony Davis",10400,"NO@UTA 12/01/2017 09:00PM ET",49.475,"NO","UTA",48.46,48.2,39.5
"C","Karl-Anthony Towns",8600,"MIN@OKC 12/01/2017 08:00PM ET",41.716,"MIN","OKC",41.1,43.5,39.75
"PF/C","LaMarcus Aldridge",8500,"SA@MEM 12/01/2017 08:00PM ET",40.69,"SA","MEM",38.58,38.4,32
"SF/PF","Kawhi Leonard",8200,"SA@MEM 12/01/2017 08:00PM ET",0,"SA","MEM",0,0,0
"SF","Paul George",8200,"MIN@OKC 12/01/2017 08:00PM ET",39.475,"OKC","MIN",40.52,40.3,62
"C","Marc Gasol",7800,"SA@MEM 12/01/2017 08:00PM ET",40.225,"MEM","SA",37.12,37.2,45.25
"C","Hassan Whiteside",7600,"CHA@MIA 12/01/2017 08:00PM ET",36.95,"MIA","CHA",0,0,0
"C","Rudy Gobert",7500,"NO@UTA 12/01/2017 09:00PM ET",35.042,"UTA","NO",0,0,0
"C","Dwight Howard",7500,"CHA@MIA 12/01/2017 08:00PM ET",35.925,"CHA","MIA",37.78,37.1,18.75
"PG","Kemba Walker",7500,"CHA@MIA 12/01/2017 08:00PM ET",38.289,"CHA","MIA",0,0,0
"SG","Jimmy Butler",7300,"MIN@OKC 12/01/2017 08:00PM ET",34.875,"MIN","OKC",34.68,36.2,45.25
"PG","Goran Dragic",7000,"CHA@MIA 12/01/2017 08:00PM ET",31.345,"MIA","CHA",30.89,32.5,17
"SG/SF","Tyreke Evans",6800,"SA@MEM 12/01/2017 08:00PM ET",32.1,"MEM","SA",32.35,30.8,14.25
"SF/PF","Carmelo Anthony",6700,"MIN@OKC 12/01/2017 08:00PM ET",33.684,"OKC","MIN",29.83,32.8,18
"SF/PF","Andrew Wiggins",6700,"MIN@OKC 12/01/2017 08:00PM ET",30.92,"MIN","OKC",29.44,29.1,33.75
"PG/SG","Donovan Mitchell",6600,"NO@UTA 12/01/2017 09:00PM ET",27.238,"UTA","NO",35.03,34.3,53.5
"PF/C","Derrick Favors",6500,"NO@UTA 12/01/2017 09:00PM ET",26.464,"UTA","NO",31.92,31.2,43.75
"PG","Mike Conley",6500,"SA@MEM 12/01/2017 08:00PM ET",28.771,"MEM","SA",0,0,0
"PG","Jeff Teague",6500,"MIN@OKC 12/01/2017 08:00PM ET",33.167,"MIN","OKC",33.4,30.7,31.25
"SG/SF","Dion Waiters",6400,"CHA@MIA 12/01/2017 08:00PM ET",26.368,"MIA","CHA",29.3,29.3,26.75
"PG/SG","Kris Dunn",6200,"SAC@CHI 12/01/2017 08:00PM ET",27.033,"CHI","SAC",32.56,28.8,26
"PG/SG","Jrue Holiday",6200,"NO@UTA 12/01/2017 09:00PM ET",32.095,"NO","UTA",28.37,29.5,24.5
"PF","Lauri Markkanen",6000,"SAC@CHI 12/01/2017 08:00PM ET",30.092,"CHI","SAC",29.16,30.9,22.75
"PF/C","Pau Gasol",6000,"SA@MEM 12/01/2017 08:00PM ET",29.512,"SA","MEM",28.57,27.2,25.5
