Place_lo,Place_hi,Payout
1,1,1000000
2,2,150000
3,3,75000
4,4,50000
5,5,25000
6,6,15000
7,8,10000
9,10,7000
11,15,5000
16,20,4000
21,25,3000
26,35,2000
36,50,1500
51,75,1000
76,100,750
101,150,600
151,200,500
201,300,400
301,400,300
401,500,250
501,750,200
751,1000,150
1001,1500,125
1501,2000,100
2001,3000,75
3001,4000,60
4001,7000,50
7001,13000,45
13001,24000,40
24001,41950,35
41951,68000,30
