Actual,FirstName,FreqInd,GameInfo,ID,LastName,Name,Name...ID,Opponent,Position,Projection,Projection_dfn,Projection_reg,Projection_reg_split,RankTargets,RollingTargetPctg,Salary,Team,TierRank,ValueWR
21.9,Antonio,1.0,NE@Pit 04:25PM ET,7609071,Brown,Antonio Brown,Antonio Brown (7609071),NE,WR,18.95,19.7,18.0991554849,18.0271517681,1.0,0.289473684211,9300,PIT,2.0,0.0
29.4,Julio,1.0,SD@Atl 04:05PM ET,7609060,Jones,Julio Jones,Julio Jones (7609060),SD,WR,23.71,25.6,23.2175363746,23.054623507,1.0,0.241706161137,9200,ATL,1.0,0.0
33.9,A.J.,1.0,Cle@Cin 01:00PM ET,7608994,Green,A.J. Green,A.J. Green (7608994),CLE,WR,20.3,23.1,20.588867792,20.3589453055,1.0,0.293333333333,8600,CIN,1.0,0.0
24.9,Le'Veon,1.0,NE@Pit 04:25PM ET,7608943,Bell,Le'Veon Bell,Le'Veon Bell (7608943),NE,RB,20.79,20.5,19.1875174687,19.1936821086,4.0,0.109649122807,8000,PIT,1.0,0.0
6.9,Amari,1.0,Oak@Jax 01:00PM ET,7609021,Cooper,Amari Cooper,Amari Cooper (7609021),JAX,WR,18.22,16.1,15.6938738896,15.8420621591,1.0,0.286324786325,7900,OAK,3.0,0.0
18.2,Tom,1.0,NE@Pit 04:25PM ET,7608846,Brady,Tom Brady,Tom Brady (7608846),PIT,QB,25.77,22.3,21.913626205,22.1593037743,0.0,0.0,7900,NE,1.0,0.0
29.6,Mike,1.0,TB@SF 04:05PM ET,7609054,Evans,Mike Evans,Mike Evans (7609054),SF,WR,20.53,17.9,17.5385829734,17.7240185551,1.0,0.302884615385,7800,TB,2.0,0.0
29.3,T.Y.,1.0,Ind@Ten 01:00PM ET,7608972,Hilton,T.Y. Hilton,T.Y. Hilton (7608972),TEN,WR,20.34,21.6,19.7002807529,19.5881772432,1.0,0.27868852459,7700,IND,2.0,0.0
1.1,LeSean,1.0,Buf@Mia 01:00PM ET,7608910,McCoy,LeSean McCoy,LeSean McCoy (7608910),MIA,RB,6.71,12.3,9.60974359099,9.17679105758,4.0,0.147928994083,7600,BUF,4.0,0.0
6.9,Brandon,1.0,Bal@NYJ 01:00PM ET,7609035,Marshall,Brandon Marshall,Brandon Marshall (7609035),BAL,WR,19.04,14.6,15.0627743894,15.3878704677,1.0,0.259911894273,7600,NYJ,4.0,0.0
