"Place_lo","Place_hi","Payout"
"1","1","100"
"2","2","75"
"3","3","60"
"4","4","50"
"5","5","40"
"6","6","30"
"7","8","25"
"9","10","20"
"11","15","15"
"16","20","12"
"21","30","10"
"31","50","8"
"51","90","6"
"91","170","5"
"171","300","4"
