"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn","Projection_fc","Projection_dfn_perturbed","RankTargets","RollingTargetPctg","Projection_reg","Projection_reg_split","FreqInd","Actual","ValueWR","TierRank"
"WR","Antonio Brown (7545535)","Antonio Brown",7545535,9800,"NYJ@Pit 01:00PM ET","Pit","Antonio","Brown","NYJ",26.78,24.3,24.17,24.3,1,0.319444444444444,23.0294488556561,22.7766951341706,1,22.8,0,1
"WR","Julio Jones (7545548)","Julio Jones",7545548,9600,"Atl@Den 04:05PM ET","Atl","Julio","Jones","Den",18.49,23.9,18.17,23.9,1,0.251798561151079,20.8058155059905,20.2659426274456,0,4.9,0,1
"WR","A.J. Green (7545557)","A.J. Green",7545557,8900,"Cin@Dal 04:25PM ET","Cin","A.J.","Green","Dal",21,20.5,21.89,20.5,1,0.304054054054054,19.0539751020442,18.7816614725373,1,9,0,2
"WR","Odell Beckham Jr. (7545594)","Odell Beckham",7545594,8500,"NYG@GB 08:30PM ET","NYG","Odell","Beckham","GB",19.41,18.8,18.74,18.8,1,0.265822784810127,17.50948309426,17.2653723153207,1,16.6,0,2
"WR","Jordy Nelson (7545588)","Jordy Nelson",7545588,7900,"NYG@GB 08:30PM ET","GB","Jordy","Nelson","NYG",21.92,19,19.28,19,1,0.271844660194175,18.2370766047691,18.0758512302257,1,13.8,0,2
"WR","Alshon Jeffery (7545488)","Alshon Jeffery",7545488,7800,"Chi@Ind 01:00PM ET","Chi","Alshon","Jeffery","Ind",15.1,16.4,16.07,16.4,2,0.183098591549296,14.8436819902896,14.5627447894196,1,12.7,0,4
"WR","DeAndre Hopkins (7545523)","DeAndre Hopkins",7545523,7700,"Hou@Min 01:00PM ET","Hou","DeAndre","Hopkins","Min",14.91,18.2,15.75,18.2,2,0.21830985915493,16.0387491608374,15.6584242161875,0,16.6,0,3
"WR","Dez Bryant (7545556)","Dez Bryant",7545556,7700,"Cin@Dal 04:25PM ET","Dal","Dez","Bryant","Cin",0,0,0,0,3,0.176470588235294,0,0,0,0,0,0
"QB","Aaron Rodgers (7545358)","Aaron Rodgers",7545358,7700,"NYG@GB 08:30PM ET","GB","Aaron","Rodgers","NYG",22.81,23.8,20.74,23.8,0,0,21.7521374914729,21.3777078561708,1,17.9,0,1
"WR","Marvin Jones Jr. (7545478)","Marvin Jones",7545478,7600,"Phi@Det 01:00PM ET","Det","Marvin","Jones","Phi",18.59,17.8,15.47,17.8,1,0.25,16.6280523720007,16.4048100222063,1,13.7,0,3
"QB","Tom Brady (7545300)","Tom Brady",7545300,7500,"NE@Cle 01:00PM ET","NE","Tom","Brady","Cle",21.63,24.2,23.22,24.2,0,0,21.7503314734652,21.3115932098729,1,32.6,0,1
"RB","Le'Veon Bell (7545420)","Le'Veon Bell",7545420,7500,"NYJ@Pit 01:00PM ET","Pit","Le'Veon","Bell","NYJ",21.79,21.2,20.11,21.2,6,0.0416666666666667,19.7217363651144,19.4428305059172,0,24.4,0,1
"WR","T.Y. Hilton (7545487)","T.Y. Hilton",7545487,7400,"Chi@Ind 01:00PM ET","Ind","T.Y.","Hilton","Chi",20.46,19.3,17.67,19.3,1,0.274853801169591,18.1005977368375,17.8698028787665,1,36.1,0,2
"QB","Andrew Luck (7545313)","Andrew Luck",7545313,7300,"Chi@Ind 01:00PM ET","Ind","Andrew","Luck","Chi",21.08,23.1,19.51,23.1,0,0,20.8634772837763,20.4607568667357,1,25.2,0,1
"RB","DeMarco Murray (7545391)","DeMarco Murray",7545391,7200,"Ten@Mia 01:00PM ET","Ten","DeMarco","Murray","Mia",19.9,20,16.86,20,3,0.142857142857143,18.4511105156036,18.1636254858971,1,21.7,0,1
"QB","Ben Roethlisberger (7545330)","Ben Roethlisberger",7545330,7200,"NYJ@Pit 01:00PM ET","Pit","Ben","Roethlisberger","NYJ",20.22,21.1,20.3,21.1,0,0,19.2839149635222,18.9518768823399,1,33.2,0,2
"WR","Amari Cooper (7545585)","Amari Cooper",7545585,7200,"SD@Oak 04:25PM ET","Oak","Amari","Cooper","SD",16.97,16.5,15.55,16.5,1,0.254658385093168,15.3520030550604,15.1353309521634,0,30.8,0,4
"WR","Brandon Marshall (7545531)","Brandon Marshall",7545531,7100,"NYJ@Pit 01:00PM ET","NYJ","Brandon","Marshall","Pit",17.85,20.8,16.78,20.8,1,0.248366013071895,18.5203481315395,18.1157498171067,1,28.4,0,2
"QB","Matt Ryan (7545336)","Matt Ryan",7545336,7100,"Atl@Den 04:05PM ET","Atl","Matt","Ryan","Den",17,18.5,14.46,18.5,0,0,16.7365163071868,16.4183609115319,1,15,0,3
"WR","Jarvis Landry (7545503)","Jarvis Landry",7545503,7000,"Ten@Mia 01:00PM ET","Mia","Jarvis","Landry","Ten",20.47,17.3,16.82,17.3,1,0.345864661654135,16.7254844398016,16.5976572579535,1,6,0,3
"RB","Melvin Gordon (7545453)","Melvin Gordon",7545453,7000,"SD@Oak 04:25PM ET","SD","Melvin","Gordon","Oak",17.47,13.4,17.17,13.4,4,0.115646258503401,13.3344344006883,13.2953417906573,1,14.7,0,3
"RB","C.J. Anderson (7545426)","C.J. Anderson",7545426,6900,"Atl@Den 04:05PM ET","Den","C.J.","Anderson","Atl",17.57,16.7,16.69,16.7,3,0.116279069767442,15.6307487099986,15.4260827010417,1,9.2,0,2
"WR","Demaryius Thomas (7545546)","Demaryius Thomas",7545546,6900,"Atl@Den 04:05PM ET","Den","Demaryius","Thomas","Atl",15.58,17.8,15.6,17.8,2,0.263565891472868,15.9207057514414,15.5857635459023,1,15.9,0,3
"QB","Philip Rivers (7545354)","Philip Rivers",7545354,6900,"SD@Oak 04:25PM ET","SD","Philip","Rivers","Oak",18.27,17.2,18.96,17.2,0,0,16.1396137455343,15.9352753021265,1,31.4,0,5
"WR","Michael Crabtree (7545579)","Michael Crabtree",7545579,6900,"SD@Oak 04:25PM ET","Oak","Michael","Crabtree","SD",16.08,16.2,16.33,16.2,2,0.229813664596273,14.9362345614257,14.701924413485,1,13.7,0,4
"WR","Jordan Matthews (7545480)","Jordan Matthews",7545480,6800,"Phi@Det 01:00PM ET","Phi","Jordan","Matthews","Det",15.45,17.4,15.64,17.4,1,0.270833333333333,15.6146632402356,15.2954161045064,1,10.5,0,3
"WR","Emmanuel Sanders (7545545)","Emmanuel Sanders",7545545,6800,"Atl@Den 04:05PM ET","Den","Emmanuel","Sanders","Atl",17.52,17.6,15.47,17.6,1,0.317829457364341,16.2388572447493,15.9861672953006,1,15,0,3
"RB","Ezekiel Elliott (7545438)","Ezekiel Elliott",7545438,6800,"Cin@Dal 04:25PM ET","Dal","Ezekiel","Elliott","Cin",17.68,18.9,16.15,18.9,6,0.0514705882352941,17.1718082008868,16.8583680080664,1,35.1,0,1
"QB","Derek Carr (7545356)","Derek Carr",7545356,6800,"SD@Oak 04:25PM ET","Oak","Derek","Carr","SD",20.28,22.6,20.08,22.6,0,0,20.3311123605144,19.9243534192621,1,26,0,1
"WR","Julian Edelman (7545467)","Julian Edelman",7545467,6700,"NE@Cle 01:00PM ET","NE","Julian","Edelman","Cle",18.47,16.3,15.08,16.3,1,0.248,15.5667550423729,15.4160069774508,0,8.5,0,4
"QB","Matthew Stafford (7545308)","Matthew Stafford",7545308,6600,"Phi@Det 01:00PM ET","Det","Matthew","Stafford","Phi",19.04,17.9,16.92,17.9,0,0,16.8026750310592,16.5910021662287,1,19.8,0,4
"TE","Jordan Reed (7545634)","Jordan Reed",7545634,6600,"Was@Bal 01:00PM ET","Was","Jordan","Reed","Bal",16.63,14.7,13.35,14.7,1,0.227272727272727,14.0323864795635,13.8954340395347,1,13.3,0,1
"RB","LeSean McCoy (7545442)","LeSean McCoy",7545442,6600,"Buf@LA 04:25PM ET","Buf","LeSean","McCoy","LA",16.57,15.2,15.67,15.2,3,0.162393162393162,14.3626523683799,14.1978242080644,1,20.8,0,3
"TE","Rob Gronkowski (7545604)","Rob Gronkowski",7545604,6500,"NE@Cle 01:00PM ET","NE","Rob","Gronkowski","Cle",14.52,15,14,15,7,0.024,13.7431583414115,13.512515186548,0,18.9,0,1
"RB","Todd Gurley (7545447)","Todd Gurley",7545447,6500,"Buf@LA 04:25PM ET","LA","Todd","Gurley","Buf",13.77,19.5,16.34,19.5,5,0.0894308943089431,16.666201576534,16.1768839258984,1,18.8,0,1
"WR","Travis Benjamin (7545582)","Travis Benjamin",7545582,6500,"SD@Oak 04:25PM ET","SD","Travis","Benjamin","Oak",13.06,13.7,14.05,13.7,1,0.204081632653061,12.5047088448331,12.2865734707273,0,21.7,0,5
"QB","Carson Wentz (7545309)","Carson Wentz",7545309,6400,"Phi@Det 01:00PM ET","Phi","Carson","Wentz","Det",17.89,19,17.35,19,0,0,17.2900311294023,16.9792541207556,1,17.9,0,3
