"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn","Projection_fc","Projection_dfn_perturbed","TierRank"
"TE","Clay Harbor (7147928)","Clay Harbor",7147928,2500,"NE@Ari 08:30PM ET","NE","Clay","Harbor","Ari",0,0,0,0,0
"TE","Andrew DePaola (7147776)","Andrew DePaola",7147776,2500,"TB@Atl 01:00PM ET","TB","Andrew","DePaola","Atl",0,0,0,0,0
"TE","Jim Dray (7147855)","Jim Dray",7147855,2500,"Buf@Bal 01:00PM ET","Buf","Jim","Dray","Bal",0,1.3,0,1.3,0
"TE","Rob Housler (7147866)","Rob Housler",7147866,2500,"Chi@Hou 01:00PM ET","Chi","Rob","Housler","Hou",0,0,0,0,0
"TE","Matthew Mulligan (7147914)","Matthew Mulligan",7147914,2500,"Det@Ind 04:25PM ET","Det","Matthew","Mulligan","Ind",0,0,0,0,0
"TE","Jermaine Gresham (7147930)","Jermaine Gresham",7147930,2500,"NE@Ari 08:30PM ET","Ari","Jermaine","Gresham","NE",2.59,2.8,0,2.8,0
"TE","Jeff Cumberland (7147841)","Jeff Cumberland",7147841,2500,"SD@KC 01:00PM ET","SD","Jeff","Cumberland","KC",0,0,0,0,0
"TE","Michael Hoomanawanui (7147828)","Michael Hoomanawanui",7147828,2500,"Oak@NO 01:00PM ET","NO","Michael","Hoomanawanui","Oak",0,1.4,0,1.4,0
"TE","Lee Smith (7147829)","Lee Smith",7147829,2500,"Oak@NO 01:00PM ET","Oak","Lee","Smith","NO",0,0,0,0,0
"TE","Luke Stocker (7147777)","Luke Stocker",7147777,2500,"TB@Atl 01:00PM ET","TB","Luke","Stocker","Atl",0,0,0,0,0
"TE","Konrad Reuland (7147915)","Konrad Reuland",7147915,2500,"Det@Ind 04:25PM ET","Ind","Konrad","Reuland","Det",0,0,0,0,0
"TE","Sean McGrath (7147842)","Sean McGrath",7147842,2500,"SD@KC 01:00PM ET","SD","Sean","McGrath","KC",0,0,0,0,0
"TE","Rhett Ellison (7147791)","Rhett Ellison",7147791,2500,"Min@Ten 01:00PM ET","Min","Rhett","Ellison","Ten",0,1.4,0,1.4,0
"TE","Ifeanyi Momah (7147932)","Ifeanyi Momah",7147932,2500,"NE@Ari 08:30PM ET","Ari","Ifeanyi","Momah","NE",0,0,0,0,0
"TE","Emil Igwenagu (7147916)","Emil Igwenagu",7147916,2500,"Det@Ind 04:25PM ET","Ind","Emil","Igwenagu","Det",0,0,0,0,0
"TE","Patrick Scales (7147867)","Patrick Scales",7147867,2500,"Chi@Hou 01:00PM ET","Chi","Patrick","Scales","Hou",0,0,0,0,0
"TE","Zach Sudfeld (7147817)","Zach Sudfeld",7147817,2500,"Cin@NYJ 01:00PM ET","NYJ","Zach","Sudfeld","Cin",0,0,0,0,0
"TE","James Hanna (7147903)","James Hanna",7147903,2500,"NYG@Dal 04:25PM ET","Dal","James","Hanna","NYG",0,1.7,0,1.7,0
"TE","Chris Pantale (7147804)","Chris Pantale",7147804,2500,"Cle@Phi 01:00PM ET","Phi","Chris","Pantale","Cle",0,0,0,0,0
"TE","Beau Brinkley (7147792)","Beau Brinkley",7147792,2500,"Min@Ten 01:00PM ET","Ten","Beau","Brinkley","Min",0,0,0,0,0
"TE","Kevin McDermott (7147793)","Kevin McDermott",7147793,2500,"Min@Ten 01:00PM ET","Min","Kevin","McDermott","Ten",0,0,0,0,0
"TE","MarQueis Gray (7147890)","MarQueis Gray",7147890,2500,"Mia@Sea 04:05PM ET","Mia","MarQueis","Gray","Sea",0,0,0,0,0
