"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn","Projection_fc","Projection_dfn_perturbed","TierRank"
"WR","Brandon Marshall (7147538)","Brandon Marshall",7147538,7800,"Cin@NYJ 01:00PM ET","NYJ","Brandon","Marshall","Cin",18.93,18.2,19.88,18.2,3
"WR","Jordy Nelson (7147658)","Jordy Nelson",7147658,7700,"GB@Jax 01:00PM ET","GB","Jordy","Nelson","Jax",18.78,14.4,18.98,14.4,4
"WR","Brandin Cooks (7147574)","Brandin Cooks",7147574,7700,"Oak@NO 01:00PM ET","NO","Brandin","Cooks","Oak",16.81,16.1,17.51,16.1,3
"RB","Adrian Peterson (7147291)","Adrian Peterson",7147291,7600,"Min@Ten 01:00PM ET","Min","Adrian","Peterson","Ten",18.29,15.3,20.47,15.3,2
"WR","Randall Cobb (7147661)","Randall Cobb",7147661,7600,"GB@Jax 01:00PM ET","GB","Randall","Cobb","Jax",17.1,16.7,17.07,16.7,3
"QB","Eli Manning (7147258)","Eli Manning",7147258,7500,"NYG@Dal 04:25PM ET","NYG","Eli","Manning","Dal",18.71,20.7,20.49,20.7,3
"WR","T.Y. Hilton (7147734)","T.Y. Hilton",7147734,7500,"Det@Ind 04:25PM ET","Ind","T.Y.","Hilton","Det",15.98,16.4,17.48,16.4,3
"RB","David Johnson (7147465)","David Johnson",7147465,7500,"NE@Ari 08:30PM ET","Ari","David","Johnson","NE",18.71,16.9,21.08,16.9,1
"QB","Tom Brady (7147270)","Tom Brady",7147270,7400,"NE@Ari 08:30PM ET","NE","Tom","Brady","Ari",0,0,0,0,0
"TE","Rob Gronkowski (7147931)","Rob Gronkowski",7147931,7400,"NE@Ari 08:30PM ET","NE","Rob","Gronkowski","Ari",0,0,0,0,0
"WR","Mike Evans (7147483)","Mike Evans",7147483,7400,"TB@Atl 01:00PM ET","TB","Mike","Evans","Atl",18.54,17.4,21.48,17.4,3
"WR","Golden Tate (7147732)","Golden Tate",7147732,7300,"Det@Ind 04:25PM ET","Det","Golden","Tate","Ind",18.45,16.7,16.47,16.7,3
"QB","Derek Carr (7147216)","Derek Carr",7147216,7300,"Oak@NO 01:00PM ET","Oak","Derek","Carr","NO",19.84,22.1,22.27,22.1,2
"RB","Ezekiel Elliott (7147440)","Ezekiel Elliott",7147440,7300,"NYG@Dal 04:25PM ET","Dal","Ezekiel","Elliott","NYG",17.07,16.9,20.41,16.9,1
"QB","Matthew Stafford (7147265)","Matthew Stafford",7147265,7200,"Det@Ind 04:25PM ET","Det","Matthew","Stafford","Ind",18.45,21.6,20.52,21.6,3
"QB","Blake Bortles (7147244)","Blake Bortles",7147244,7200,"GB@Jax 01:00PM ET","Jax","Blake","Bortles","GB",19.02,18.1,21.32,18.1,6
"WR","Amari Cooper (7147576)","Amari Cooper",7147576,7200,"Oak@NO 01:00PM ET","Oak","Amari","Cooper","NO",19.09,17.4,18.3,17.4,3
"QB","Carson Palmer (7147271)","Carson Palmer",7147271,7100,"NE@Ari 08:30PM ET","Ari","Carson","Palmer","NE",19.51,19.3,20.95,19.3,5
"QB","Matt Ryan (7147183)","Matt Ryan",7147183,7100,"TB@Atl 01:00PM ET","Atl","Matt","Ryan","TB",17.7,20.1,19.53,20.1,4
"RB","Jamaal Charles (7147353)","Jamaal Charles",7147353,7100,"SD@KC 01:00PM ET","KC","Jamaal","Charles","SD",0,0,0,0,0
"QB","Philip Rivers (7147221)","Philip Rivers",7147221,7000,"SD@KC 01:00PM ET","SD","Philip","Rivers","KC",16.84,17.1,18.98,17.1,7
"RB","Lamar Miller (7147386)","Lamar Miller",7147386,7000,"Chi@Hou 01:00PM ET","Hou","Lamar","Miller","Chi",18.88,16.7,20.77,16.7,1
"QB","Tyrod Taylor (7147232)","Tyrod Taylor",7147232,6900,"Buf@Bal 01:00PM ET","Buf","Tyrod","Taylor","Bal",18.86,19.2,22.03,19.2,5
"RB","Devonta Freeman (7147283)","Devonta Freeman",7147283,6900,"TB@Atl 01:00PM ET","Atl","Devonta","Freeman","TB",16.35,17.3,17.8,17.3,1
"WR","Sammy Watkins (7147628)","Sammy Watkins",7147628,6900,"Buf@Bal 01:00PM ET","Buf","Sammy","Watkins","Bal",17.09,16.4,19.55,16.4,3
"QB","Tony Romo (7147257)","Tony Romo",7147257,6800,"NYG@Dal 04:25PM ET","Dal","Tony","Romo","NYG",0,0,0,0,0
"QB","Andy Dalton (7147206)","Andy Dalton",7147206,6800,"Cin@NYJ 01:00PM ET","Cin","Andy","Dalton","NYJ",17.67,17.5,17.69,17.5,6
"WR","Josh Gordon (7147520)","Josh Gordon",7147520,6800,"Cle@Phi 01:00PM ET","Cle","Josh","Gordon","Phi",0,0,0,0,0
"QB","Joe Flacco (7147228)","Joe Flacco",7147228,6700,"Buf@Bal 01:00PM ET","Bal","Joe","Flacco","Buf",15.65,16.7,16.82,16.7,7
"RB","Eddie Lacy (7147402)","Eddie Lacy",7147402,6700,"GB@Jax 01:00PM ET","GB","Eddie","Lacy","Jax",13.98,13.1,18.63,13.1,3
"WR","Jordan Matthews (7147521)","Jordan Matthews",7147521,6700,"Cle@Phi 01:00PM ET","Phi","Jordan","Matthews","Cle",13.9,15.2,13.99,15.2,4
"WR","Eric Decker (7147540)","Eric Decker",7147540,6600,"Cin@NYJ 01:00PM ET","NYJ","Eric","Decker","Cin",15.37,15.2,15.26,15.2,4
"WR","Doug Baldwin (7147683)","Doug Baldwin",7147683,6600,"Mia@Sea 04:05PM ET","Sea","Doug","Baldwin","Mia",16.12,14.8,15.81,14.8,4
"RB","Mark Ingram (7147344)","Mark Ingram",7147344,6600,"Oak@NO 01:00PM ET","NO","Mark","Ingram","Oak",17.07,15.2,18.78,15.2,2
"QB","Jameis Winston (7147189)","Jameis Winston",7147189,6600,"TB@Atl 01:00PM ET","TB","Jameis","Winston","Atl",18.88,18.5,19.26,18.5,6
"QB","Ryan Fitzpatrick (7147205)","Ryan Fitzpatrick",7147205,6500,"Cin@NYJ 01:00PM ET","NYJ","Ryan","Fitzpatrick","Cin",17.35,15.8,17.02,15.8,0
"QB","Alex Smith (7147220)","Alex Smith",7147220,6500,"SD@KC 01:00PM ET","KC","Alex","Smith","SD",17.44,18,14.91,18,6
"WR","Jeremy Maclin (7147586)","Jeremy Maclin",7147586,6500,"SD@KC 01:00PM ET","KC","Jeremy","Maclin","SD",17.26,15.8,17.1,15.8,4
"QB","Sam Bradford (7147199)","Sam Bradford",7147199,6400,"Cle@Phi 01:00PM ET","Phi","Sam","Bradford","Cle",0,0,0,0,0
"RB","LeSean McCoy (7147371)","LeSean McCoy",7147371,6400,"Buf@Bal 01:00PM ET","Buf","LeSean","McCoy","Bal",17.67,14.4,16.27,14.4,2
"QB","Marcus Mariota (7147195)","Marcus Mariota",7147195,6400,"Min@Ten 01:00PM ET","Ten","Marcus","Mariota","Min",18.67,17.5,18.48,17.5,6
"QB","Jay Cutler (7147235)","Jay Cutler",7147235,6300,"Chi@Hou 01:00PM ET","Chi","Jay","Cutler","Hou",15.94,15.7,17.21,15.7,0
"WR","Larry Fitzgerald (7147754)","Larry Fitzgerald",7147754,6300,"NE@Ari 08:30PM ET","Ari","Larry","Fitzgerald","NE",15.96,15.3,13.02,15.3,4
"QB","Brock Osweiler (7147238)","Brock Osweiler",7147238,6300,"Chi@Hou 01:00PM ET","Hou","Brock","Osweiler","Chi",16.36,19.1,18.07,19.1,5
"RB","Doug Martin (7147277)","Doug Martin",7147277,6200,"TB@Atl 01:00PM ET","TB","Doug","Martin","Atl",17.35,13.5,17.73,13.5,3
"QB","Jimmy Garoppolo (7147274)","Jimmy Garoppolo",7147274,6200,"NE@Ari 08:30PM ET","NE","Jimmy","Garoppolo","Ari",16.73,18,16.49,18,6
"RB","Matt Forte (7147322)","Matt Forte",7147322,6100,"Cin@NYJ 01:00PM ET","NYJ","Matt","Forte","Cin",14.54,11.5,13.4,11.5,4
"WR","Julian Edelman (7147756)","Julian Edelman",7147756,6100,"NE@Ari 08:30PM ET","NE","Julian","Edelman","Ari",16.09,15.5,14.75,15.5,4
"WR","Jarvis Landry (7147693)","Jarvis Landry",7147693,6000,"Mia@Sea 04:05PM ET","Mia","Jarvis","Landry","Sea",16.02,17,14.88,17,3
"QB","Teddy Bridgewater (7147192)","Teddy Bridgewater",7147192,6000,"Min@Ten 01:00PM ET","Min","Teddy","Bridgewater","Ten",0,0,0,0,0
"RB","Thomas Rawls (7147418)","Thomas Rawls",7147418,6000,"Mia@Sea 04:05PM ET","Sea","Thomas","Rawls","Mia",7.43,5,10.67,5,0
"WR","Donte Moncrief (7147743)","Donte Moncrief",7147743,6000,"Det@Ind 04:25PM ET","Ind","Donte","Moncrief","Det",15.28,15.8,15.57,15.8,4
"QB","Ryan Tannehill (7147251)","Ryan Tannehill",7147251,5900,"Mia@Sea 04:05PM ET","Mia","Ryan","Tannehill","Sea",14.99,15.2,15.83,15.2,0
"WR","Michael Floyd (7147757)","Michael Floyd",7147757,5900,"NE@Ari 08:30PM ET","Ari","Michael","Floyd","NE",13.76,12.6,13.92,12.6,5
"RB","Arian Foster (7147411)","Arian Foster",7147411,5800,"Mia@Sea 04:05PM ET","Mia","Arian","Foster","Sea",15.38,11.9,12.67,11.9,4
"WR","Allen Hurns (7147666)","Allen Hurns",7147666,5800,"GB@Jax 01:00PM ET","Jax","Allen","Hurns","GB",13.08,12,11.74,12,5
"RB","Ryan Mathews (7147310)","Ryan Mathews",7147310,5700,"Cle@Phi 01:00PM ET","Phi","Ryan","Mathews","Cle",14.74,12,14.17,12,4
"RB","Dion Lewis (7147460)","Dion Lewis",7147460,5700,"NE@Ari 08:30PM ET","NE","Dion","Lewis","Ari",0,0,0,0,0
"QB","Robert Griffin III (7147202)","Robert Griffin III",7147202,5600,"Cle@Phi 01:00PM ET","Cle","Robert","Griffin III","Phi",17.33,0,18.75,0,0
"RB","Latavius Murray (7147345)","Latavius Murray",7147345,5600,"Oak@NO 01:00PM ET","Oak","Latavius","Murray","NO",14.77,14.6,12.49,14.6,2
"RB","Frank Gore (7147441)","Frank Gore",7147441,5500,"Det@Ind 04:25PM ET","Ind","Frank","Gore","Det",10.92,10.8,13.09,10.8,5
"WR","Michael Crabtree (7147564)","Michael Crabtree",7147564,5500,"Oak@NO 01:00PM ET","Oak","Michael","Crabtree","NO",16.12,15,11.15,15,4
"RB","Rashad Jennings (7147426)","Rashad Jennings",7147426,5400,"NYG@Dal 04:25PM ET","NYG","Rashad","Jennings","Dal",12.12,11.2,12.09,11.2,4
"RB","DeMarco Murray (7147292)","DeMarco Murray",7147292,5300,"Min@Ten 01:00PM ET","Ten","DeMarco","Murray","Min",12.56,10.2,12.27,10.2,5
"WR","DeVante Parker (7147695)","DeVante Parker",7147695,5300,"Mia@Sea 04:05PM ET","Mia","DeVante","Parker","Sea",0,0,10.07,0,0
"WR","John Brown (7147760)","John Brown",7147760,5200,"NE@Ari 08:30PM ET","Ari","John","Brown","NE",13.3,14,12.2,14,5
"WR","Kevin White (7147653)","Kevin White",7147653,5200,"Chi@Hou 01:00PM ET","Chi","Kevin","White","Hou",10.67,10.2,9.87,10.2,7
"WR","Mohamed Sanu (7147475)","Mohamed Sanu",7147475,5100,"TB@Atl 01:00PM ET","Atl","Mohamed","Sanu","TB",11.65,11.2,7.3,11.2,7
"RB","Duke Johnson (7147319)","Duke Johnson",7147319,5100,"Cle@Phi 01:00PM ET","Cle","Duke","Johnson","Phi",11.19,13.1,10.49,13.1,3
"WR","Corey Coleman (7147534)","Corey Coleman",7147534,5100,"Cle@Phi 01:00PM ET","Cle","Corey","Coleman","Phi",12.57,14.7,9.32,14.7,4
"QB","Josh McCown (7147197)","Josh McCown",7147197,5000,"Cle@Phi 01:00PM ET","Cle","Josh","McCown","Phi",0,3.2,0,3.2,0
"QB","Matt Cassel (7147190)","Matt Cassel",7147190,5000,"Min@Ten 01:00PM ET","Ten","Matt","Cassel","Min",0,0,0,0,0
"QB","Dan Orlovsky (7147264)","Dan Orlovsky",7147264,5000,"Det@Ind 04:25PM ET","Det","Dan","Orlovsky","Ind",0,0,0,0,0
"QB","Kellen Clemens (7147219)","Kellen Clemens",7147219,5000,"SD@KC 01:00PM ET","SD","Kellen","Clemens","KC",0,0,0,0,0
"QB","Shaun Hill (7147191)","Shaun Hill",7147191,5000,"Min@Ten 01:00PM ET","Min","Shaun","Hill","Ten",12.68,15.4,15.32,15.4,0
"QB","Matt Moore (7147250)","Matt Moore",7147250,5000,"Mia@Sea 04:05PM ET","Mia","Matt","Moore","Sea",0,0,0,0,0
"QB","Drew Stanton (7147272)","Drew Stanton",7147272,5000,"NE@Ari 08:30PM ET","Ari","Drew","Stanton","NE",0,0,0,0,0
"QB","Matt Schaub (7147184)","Matt Schaub",7147184,5000,"TB@Atl 01:00PM ET","Atl","Matt","Schaub","TB",0,0,0,0,0
"QB","Luke McCown (7147214)","Luke McCown",7147214,5000,"Oak@NO 01:00PM ET","NO","Luke","McCown","Oak",0,0,0,0,0
"QB","Brian Hoyer (7147236)","Brian Hoyer",7147236,5000,"Chi@Hou 01:00PM ET","Chi","Brian","Hoyer","Hou",0,0,0,0,0
"QB","Chad Henne (7147243)","Chad Henne",7147243,5000,"GB@Jax 01:00PM ET","Jax","Chad","Henne","GB",0,0,0,0,0
"QB","Josh Johnson (7147229)","Josh Johnson",7147229,5000,"Buf@Bal 01:00PM ET","Bal","Josh","Johnson","Buf",0,0,0,0,0
"QB","Chase Daniel (7147198)","Chase Daniel",7147198,5000,"Cle@Phi 01:00PM ET","Phi","Chase","Daniel","Cle",0,1.8,0,1.8,0
"QB","Scott Tolzien (7147266)","Scott Tolzien",7147266,5000,"Det@Ind 04:25PM ET","Ind","Scott","Tolzien","Det",0,0,0,0,0
"QB","McLeod Bethel-Thompson (7147200)","McLeod Bethel-Thompson",7147200,5000,"Cle@Phi 01:00PM ET","Phi","McLeod","Bethel-Thompson","Cle",0,0,0,0,0
"QB","Jerrod Johnson (7147230)","Jerrod Johnson",7147230,5000,"Buf@Bal 01:00PM ET","Bal","Jerrod","Johnson","Buf",0,0,0,0,0
"RB","Danny Woodhead (7147354)","Danny Woodhead",7147354,5000,"SD@KC 01:00PM ET","SD","Danny","Woodhead","KC",12.14,11.8,10.57,11.8,4
"QB","Ryan Mallett (7147231)","Ryan Mallett",7147231,5000,"Buf@Bal 01:00PM ET","Bal","Ryan","Mallett","Buf",0,0,0,0,0
"QB","Kellen Moore (7147259)","Kellen Moore",7147259,5000,"NYG@Dal 04:25PM ET","Dal","Kellen","Moore","NYG",0,0,0,0,0
"QB","Brandon Weeden (7147237)","Brandon Weeden",7147237,5000,"Chi@Hou 01:00PM ET","Hou","Brandon","Weeden","Chi",0,0,0,0,0
"QB","Austin Davis (7147201)","Austin Davis",7147201,5000,"Cle@Phi 01:00PM ET","Cle","Austin","Davis","Phi",0,0,0,0,0
"QB","Nick Foles (7147222)","Nick Foles",7147222,5000,"SD@KC 01:00PM ET","KC","Nick","Foles","SD",0,0,0,0,0
"QB","Matt Simms (7147185)","Matt Simms",7147185,5000,"TB@Atl 01:00PM ET","Atl","Matt","Simms","TB",0,0,0,0,0
"TE","Travis Kelce (7147843)","Travis Kelce",7147843,5000,"SD@KC 01:00PM ET","KC","Travis","Kelce","SD",13.35,15.7,13.36,15.7,1
"QB","EJ Manuel (7147233)","EJ Manuel",7147233,5000,"Buf@Bal 01:00PM ET","Buf","EJ","Manuel","Bal",0,0,0,0,0
"QB","Sean Renfree (7147186)","Sean Renfree",7147186,5000,"TB@Atl 01:00PM ET","Atl","Sean","Renfree","TB",0,0,0,0,0
"QB","Mike Glennon (7147187)","Mike Glennon",7147187,5000,"TB@Atl 01:00PM ET","TB","Mike","Glennon","Atl",0,0,0,0,0
"QB","Ryan Nassib (7147260)","Ryan Nassib",7147260,5000,"NYG@Dal 04:25PM ET","NYG","Ryan","Nassib","Dal",0,0,0,0,0
"QB","Ryan Griffin (7147188)","Ryan Griffin",7147188,5000,"TB@Atl 01:00PM ET","TB","Ryan","Griffin","Atl",0,0,0,0,0
"QB","Zac Dysert (7147253)","Zac Dysert",7147253,5000,"Mia@Sea 04:05PM ET","Mia","Zac","Dysert","Sea",0,0,0,0,0
"QB","Matt McGloin (7147215)","Matt McGloin",7147215,5000,"Oak@NO 01:00PM ET","Oak","Matt","McGloin","NO",0,0,0,0,0
"QB","Matt Barkley (7147273)","Matt Barkley",7147273,5000,"NE@Ari 08:30PM ET","Ari","Matt","Barkley","NE",0,0,0,0,0
"QB","Zach Mettenberger (7147223)","Zach Mettenberger",7147223,5000,"SD@KC 01:00PM ET","SD","Zach","Mettenberger","KC",0,0,0,0,0
"QB","Aaron Murray (7147224)","Aaron Murray",7147224,5000,"SD@KC 01:00PM ET","KC","Aaron","Murray","SD",0,0,0,0,0
"QB","Bryce Petty (7147207)","Bryce Petty",7147207,5000,"Cin@NYJ 01:00PM ET","NYJ","Bryce","Petty","Cin",0,0,0,0,0
"QB","Logan Thomas (7147261)","Logan Thomas",7147261,5000,"NYG@Dal 04:25PM ET","NYG","Logan","Thomas","Dal",0,0,0,0,0
"QB","AJ McCarron (7147208)","AJ McCarron",7147208,5000,"Cin@NYJ 01:00PM ET","Cin","AJ","McCarron","NYJ",0,0,0,0,0
"QB","Tom Savage (7147239)","Tom Savage",7147239,5000,"Chi@Hou 01:00PM ET","Hou","Tom","Savage","Chi",0,0,0,0,0
"QB","David Fales (7147240)","David Fales",7147240,5000,"Chi@Hou 01:00PM ET","Chi","David","Fales","Hou",0,0,0,0,0
"QB","Geno Smith (7147209)","Geno Smith",7147209,5000,"Cin@NYJ 01:00PM ET","NYJ","Geno","Smith","Cin",0,0,0,0,0
"QB","Stephen Morris (7147268)","Stephen Morris",7147268,5000,"Det@Ind 04:25PM ET","Ind","Stephen","Morris","Det",0,0,0,0,0
"QB","Jake Heaps (7147254)","Jake Heaps",7147254,5000,"Mia@Sea 04:05PM ET","Sea","Jake","Heaps","Mia",0,0,0,0,0
"QB","Garrett Grayson (7147217)","Garrett Grayson",7147217,5000,"Oak@NO 01:00PM ET","NO","Garrett","Grayson","Oak",0,0,0,0,0
"QB","Keith Wenning (7147210)","Keith Wenning",7147210,5000,"Cin@NYJ 01:00PM ET","Cin","Keith","Wenning","NYJ",0,0,0,0,0
"QB","Tyler Bray (7147225)","Tyler Bray",7147225,5000,"SD@KC 01:00PM ET","KC","Tyler","Bray","SD",0,0,0,0,0
"QB","Connor Shaw (7147241)","Connor Shaw",7147241,5000,"Chi@Hou 01:00PM ET","Chi","Connor","Shaw","Hou",0,0,0,0,0
"QB","Jameill Showers (7147262)","Jameill Showers",7147262,5000,"NYG@Dal 04:25PM ET","Dal","Jameill","Showers","NYG",0,0,0,0,0
"QB","Brandon Doughty (7147255)","Brandon Doughty",7147255,5000,"Mia@Sea 04:05PM ET","Mia","Brandon","Doughty","Sea",0,0,0,0,0
"QB","Brett Hundley (7147245)","Brett Hundley",7147245,5000,"GB@Jax 01:00PM ET","GB","Brett","Hundley","Jax",0,0,0,0,0
"QB","Dak Prescott (7147263)","Dak Prescott",7147263,5000,"NYG@Dal 04:25PM ET","Dal","Dak","Prescott","NYG",18.73,19.5,18.14,19.5,5
"QB","Cody Kessler (7147203)","Cody Kessler",7147203,5000,"Cle@Phi 01:00PM ET","Cle","Cody","Kessler","Phi",0,0,0,0,0
"QB","Max Wittek (7147246)","Max Wittek",7147246,5000,"GB@Jax 01:00PM ET","Jax","Max","Wittek","GB",0,0,0,0,0
"QB","Mike Bercovici (7147226)","Mike Bercovici",7147226,5000,"SD@KC 01:00PM ET","SD","Mike","Bercovici","KC",0,0,0,0,0
"QB","Marquise Williams (7147247)","Marquise Williams",7147247,5000,"GB@Jax 01:00PM ET","GB","Marquise","Williams","Jax",0,0,0,0,0
"QB","Joel Stave (7147193)","Joel Stave",7147193,5000,"Min@Ten 01:00PM ET","Min","Joel","Stave","Ten",0,0,0,0,0
"QB","Kevin Hogan (7147227)","Kevin Hogan",7147227,5000,"SD@KC 01:00PM ET","KC","Kevin","Hogan","SD",0,0,0,0,0
"QB","Taylor Heinicke (7147194)","Taylor Heinicke",7147194,5000,"Min@Ten 01:00PM ET","Min","Taylor","Heinicke","Ten",0,0,0,0,0
"QB","Trevone Boykin (7147256)","Trevone Boykin",7147256,5000,"Mia@Sea 04:05PM ET","Sea","Trevone","Boykin","Mia",0,1.4,0,1.4,0
"QB","Brandon Allen (7147248)","Brandon Allen",7147248,5000,"GB@Jax 01:00PM ET","Jax","Brandon","Allen","GB",0,0,0,0,0
"WR","Tyler Lockett (7147698)","Tyler Lockett",7147698,5000,"Mia@Sea 04:05PM ET","Sea","Tyler","Lockett","Mia",12.75,13.5,11.71,13.5,5
"QB","Jake Coker (7147275)","Jake Coker",7147275,5000,"NE@Ari 08:30PM ET","Ari","Jake","Coker","NE",0,0,0,0,0
"QB","Connor Cook (7147218)","Connor Cook",7147218,5000,"Oak@NO 01:00PM ET","Oak","Connor","Cook","NO",0,0,0,0,0
"QB","Jacoby Brissett (7147276)","Jacoby Brissett",7147276,5000,"NE@Ari 08:30PM ET","NE","Jacoby","Brissett","Ari",0,0,0,0,0
"QB","Joe Licata (7147211)","Joe Licata",7147211,5000,"Cin@NYJ 01:00PM ET","Cin","Joe","Licata","NYJ",0,0,0,0,0
"QB","Jake Rudock (7147269)","Jake Rudock",7147269,5000,"Det@Ind 04:25PM ET","Det","Jake","Rudock","Ind",0,0,0,0,0
"QB","Carson Wentz (7147204)","Carson Wentz",7147204,5000,"Cle@Phi 01:00PM ET","Phi","Carson","Wentz","Cle",15.51,17.9,15.74,17.9,6
"QB","Alex Tanney (7147196)","Alex Tanney",7147196,5000,"Min@Ten 01:00PM ET","Ten","Alex","Tanney","Min",0,0,0,0,0
"QB","Joe Callahan (7147249)","Joe Callahan",7147249,5000,"GB@Jax 01:00PM ET","GB","Joe","Callahan","Jax",0,0,0,0,0
"QB","Cardale Jones (7147234)","Cardale Jones",7147234,5000,"Buf@Bal 01:00PM ET","Buf","Cardale","Jones","Bal",0,0,0,0,0
"QB","Christian Hackenberg (7147212)","Christian Hackenberg",7147212,5000,"Cin@NYJ 01:00PM ET","NYJ","Christian","Hackenberg","Cin",0,0,0,0,0
"WR","Steve Smith (7147609)","Steve Smith",7147609,4900,"Buf@Bal 01:00PM ET","Bal","Steve","Smith","Buf",11.05,11.5,11.04,11.5,6
"TE","Coby Fleener (7147830)","Coby Fleener",7147830,4900,"Oak@NO 01:00PM ET","NO","Coby","Fleener","Oak",14.87,13.2,10.53,13.2,2
"RB","Ameer Abdullah (7147449)","Ameer Abdullah",7147449,4900,"Det@Ind 04:25PM ET","Det","Ameer","Abdullah","Ind",11.8,10.4,11.65,10.4,5
"WR","Sterling Shepard (7147720)","Sterling Shepard",7147720,4900,"NYG@Dal 04:25PM ET","NYG","Sterling","Shepard","Dal",12.47,12.8,12.28,12.8,5
"RB","James Starks (7147398)","James Starks",7147398,4800,"GB@Jax 01:00PM ET","GB","James","Starks","Jax",7.85,6,4.07,6,0
"RB","Giovani Bernard (7147331)","Giovani Bernard",7147331,4800,"Cin@NYJ 01:00PM ET","Cin","Giovani","Bernard","NYJ",10,10.6,11.16,10.6,5
"WR","Willie Snead (7147570)","Willie Snead",7147570,4800,"Oak@NO 01:00PM ET","NO","Willie","Snead","Oak",12.5,12.7,9.26,12.7,5
"WR","Stefon Diggs (7147508)","Stefon Diggs",7147508,4800,"Min@Ten 01:00PM ET","Min","Stefon","Diggs","Ten",13.3,11.6,10.29,11.6,6
"TE","Gary Barnidge (7147803)","Gary Barnidge",7147803,4700,"Cle@Phi 01:00PM ET","Cle","Gary","Barnidge","Phi",12.98,12,11.93,12,3
"WR","Kamar Aiken (7147616)","Kamar Aiken",7147616,4700,"Buf@Bal 01:00PM ET","Bal","Kamar","Aiken","Buf",11.88,9,11.72,9,0
"TE","Tyler Eifert (7147820)","Tyler Eifert",7147820,4700,"Cin@NYJ 01:00PM ET","Cin","Tyler","Eifert","NYJ",0,0,0,0,0
"RB","Jeremy Langford (7147391)","Jeremy Langford",7147391,4700,"Chi@Hou 01:00PM ET","Chi","Jeremy","Langford","Hou",11.37,9.9,11.3,9.9,6
"RB","Justin Forsett (7147369)","Justin Forsett",7147369,4600,"Buf@Bal 01:00PM ET","Bal","Justin","Forsett","Buf",12.47,8.5,10.1,8.5,0
"WR","Marvin Jones (7147733)","Marvin Jones",7147733,4600,"Det@Ind 04:25PM ET","Det","Marvin","Jones","Ind",13.25,13.2,13.34,13.2,5
"WR","Robert Woods (7147623)","Robert Woods",7147623,4600,"Buf@Bal 01:00PM ET","Buf","Robert","Woods","Bal",10.44,8,5.41,8,0
"RB","Jerick McKinnon (7147299)","Jerick McKinnon",7147299,4600,"Min@Ten 01:00PM ET","Min","Jerick","McKinnon","Ten",5.03,7.4,0,7.4,0
"RB","Melvin Gordon (7147361)","Melvin Gordon",7147361,4600,"SD@KC 01:00PM ET","SD","Melvin","Gordon","KC",10.54,10.4,10.89,10.4,5
"RB","Jeremy Hill (7147336)","Jeremy Hill",7147336,4600,"Cin@NYJ 01:00PM ET","Cin","Jeremy","Hill","NYJ",9.63,8,11.51,8,0
"WR","Anquan Boldin (7147728)","Anquan Boldin",7147728,4500,"Det@Ind 04:25PM ET","Det","Anquan","Boldin","Ind",10.93,7.7,5.73,7.7,0
"TE","Delanie Walker (7147790)","Delanie Walker",7147790,4500,"Min@Ten 01:00PM ET","Ten","Delanie","Walker","Min",13.8,12,14.5,12,3
"WR","Phillip Dorsett (7147741)","Phillip Dorsett",7147741,4500,"Det@Ind 04:25PM ET","Ind","Phillip","Dorsett","Det",10.9,11,7.18,11,7
"WR","Dorial Green-Beckham (7147506)","Dorial Green-Beckham",7147506,4500,"Min@Ten 01:00PM ET","Ten","Dorial","Green-Beckham","Min",8.47,0,6.57,0,0
"WR","Laquon Treadwell (7147511)","Laquon Treadwell",7147511,4500,"Min@Ten 01:00PM ET","Min","Laquon","Treadwell","Ten",6.78,10.9,7.82,10.9,7
"WR","Vincent Jackson (7147469)","Vincent Jackson",7147469,4400,"TB@Atl 01:00PM ET","TB","Vincent","Jackson","Atl",12.38,12.5,8.52,12.5,5
"RB","Charles Sims (7147280)","Charles Sims",7147280,4400,"TB@Atl 01:00PM ET","TB","Charles","Sims","Atl",10.45,10.4,9.44,10.4,5
"RB","Spencer Ware (7147358)","Spencer Ware",7147358,4400,"SD@KC 01:00PM ET","KC","Spencer","Ware","SD",16.67,13.1,14.85,13.1,3
"RB","Tim Hightower (7147338)","Tim Hightower",7147338,4300,"Oak@NO 01:00PM ET","NO","Tim","Hightower","Oak",4.92,3.9,4.03,3.9,0
"RB","Chris Ivory (7147399)","Chris Ivory",7147399,4300,"GB@Jax 01:00PM ET","Jax","Chris","Ivory","GB",0,8.7,0,8.7,7
"RB","Bilal Powell (7147324)","Bilal Powell",7147324,4300,"Cin@NYJ 01:00PM ET","NYJ","Bilal","Powell","Cin",10.02,7.6,7.58,7.6,0
"TE","Zach Ertz (7147805)","Zach Ertz",7147805,4300,"Cle@Phi 01:00PM ET","Phi","Zach","Ertz","Cle",14.12,12.4,11.46,12.4,3
"WR","Davante Adams (7147676)","Davante Adams",7147676,4300,"GB@Jax 01:00PM ET","GB","Davante","Adams","Jax",7.32,8.4,5.18,8.4,0
"RB","Darren Sproles (7147308)","Darren Sproles",7147308,4200,"Cle@Phi 01:00PM ET","Phi","Darren","Sproles","Cle",10.5,9.8,5.53,9.8,6
"TE","Antonio Gates (7147840)","Antonio Gates",7147840,4200,"SD@KC 01:00PM ET","SD","Antonio","Gates","KC",11.85,10.2,12.04,10.2,5
