Position,Name + ID, Name, ID, Salary,GameInfo,TeamAbbrev 
WR,Julio Jones (7147473),Julio Jones,7147473,9400,TB@Atl 01:00PM ET,Atl
WR,Odell Beckham (7147717),Odell Beckham,7147717,9300,NYG@Dal 04:25PM ET,NYG
WR,DeAndre Hopkins (7147645),DeAndre Hopkins,7147645,8800,Chi@Hou 01:00PM ET,Hou
QB,Aaron Rodgers (7147242),Aaron Rodgers,7147242,8500,GB@Jax 01:00PM ET,GB
WR,Dez Bryant (7147707),Dez Bryant,7147707,8500,NYG@Dal 04:25PM ET,Dal
WR,A.J. Green (7147544),A.J. Green,7147544,8400,Cin@NYJ 01:00PM ET,Cin
QB,Andrew Luck (7147267),Andrew Luck,7147267,8300,Det@Ind 04:25PM ET,Ind
WR,Allen Robinson (7147675),Allen Robinson,7147675,8300,GB@Jax 01:00PM ET,Jax
QB,Drew Brees (7147213),Drew Brees,7147213,8100,Oak@NO 01:00PM ET,NO
WR,Keenan Allen (7147597),Keenan Allen,7147597,8000,SD@KC 01:00PM ET,SD
QB,Russell Wilson (7147252),Russell Wilson,7147252,7900,Mia@Sea 04:05PM ET,Sea
WR,Alshon Jeffery (7147639),Alshon Jeffery,7147639,7900,Chi@Hou 01:00PM ET,Chi
WR,Brandon Marshall (7147538),Brandon Marshall,7147538,7800,Cin@NYJ 01:00PM ET,NYJ
WR,Jordy Nelson (7147658),Jordy Nelson,7147658,7700,GB@Jax 01:00PM ET,GB
WR,Brandin Cooks (7147574),Brandin Cooks,7147574,7700,Oak@NO 01:00PM ET,NO
RB,Adrian Peterson (7147291),Adrian Peterson,7147291,7600,Min@Ten 01:00PM ET,Min
WR,Randall Cobb (7147661),Randall Cobb,7147661,7600,GB@Jax 01:00PM ET,GB
QB,Eli Manning (7147258),Eli Manning,7147258,7500,NYG@Dal 04:25PM ET,NYG
WR,T.Y. Hilton (7147734),T.Y. Hilton,7147734,7500,Det@Ind 04:25PM ET,Ind
RB,David Johnson (7147465),David Johnson,7147465,7500,NE@Ari 08:30PM ET,Ari
QB,Tom Brady (7147270),Tom Brady,7147270,7400,NE@Ari 08:30PM ET,NE
TE,Rob Gronkowski (7147931),Rob Gronkowski,7147931,7400,NE@Ari 08:30PM ET,NE
WR,Mike Evans (7147483),Mike Evans,7147483,7400,TB@Atl 01:00PM ET,TB
WR,Golden Tate (7147732),Golden Tate,7147732,7300,Det@Ind 04:25PM ET,Det
QB,Derek Carr (7147216),Derek Carr,7147216,7300,Oak@NO 01:00PM ET,Oak
