"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn","Projection_fc"
"DST","Seahawks  (7148622)","Seahawks ",7148622,3900,"Mia@Sea 04:05PM ET","Sea","Seahawks",NA,"Mia",10.9,9.4,8.8
"DST","Chiefs  (7148613)","Chiefs ",7148613,3600,"SD@KC 01:00PM ET","KC","Chiefs",NA,"SD",10.16,9.2,9.09
"DST","Cardinals  (7148628)","Cardinals ",7148628,3500,"NE@Ari 08:30PM ET","Ari","Cardinals",NA,"NE",10.53,9,8.95
"DST","Jets  (7148610)","Jets ",7148610,3400,"Cin@NYJ 01:00PM ET","NYJ","Jets",NA,"Cin",7.75,7.6,6.6
"DST","Eagles  (7148608)","Eagles ",7148608,3300,"Cle@Phi 01:00PM ET","Phi","Eagles",NA,"Cle",8.64,8,8.87
"DST","Texans  (7148617)","Texans ",7148617,3200,"Chi@Hou 01:00PM ET","Hou","Texans",NA,"Chi",9.41,8,8.34
"DST","Vikings  (7148606)","Vikings ",7148606,3100,"Min@Ten 01:00PM ET","Min","Vikings",NA,"Ten",8.85,8.3,7.94
"DST","Bengals  (7148609)","Bengals ",7148609,3000,"Cin@NYJ 01:00PM ET","Cin","Bengals",NA,"NYJ",8.54,7.5,7.47
"DST","Bills  (7148615)","Bills ",7148615,2900,"Buf@Bal 01:00PM ET","Buf","Bills",NA,"Bal",8.48,6.1,5.94
"DST","Patriots  (7148627)","Patriots ",7148627,2900,"NE@Ari 08:30PM ET","NE","Patriots",NA,"Ari",7.08,6.6,6.98
"DST","Falcons  (7148603)","Falcons ",7148603,2800,"TB@Atl 01:00PM ET","Atl","Falcons",NA,"TB",6.82,6.4,6.19
"DST","Packers  (7148619)","Packers ",7148619,2800,"GB@Jax 01:00PM ET","GB","Packers",NA,"Jax",9.08,8.1,8.97
"DST","Colts  (7148626)","Colts ",7148626,2700,"Det@Ind 04:25PM ET","Ind","Colts",NA,"Det",8.65,7.1,7.12
"DST","Giants  (7148624)","Giants ",7148624,2700,"NYG@Dal 04:25PM ET","NYG","Giants",NA,"Dal",7.3,7.1,5.3
"DST","Ravens  (7148616)","Ravens ",7148616,2700,"Buf@Bal 01:00PM ET","Bal","Ravens",NA,"Buf",6.6,5.8,5.3
"DST","Titans  (7148605)","Titans ",7148605,2600,"Min@Ten 01:00PM ET","Ten","Titans",NA,"Min",6.78,7.5,6.11
"DST","Buccaneers  (7148604)","Buccaneers ",7148604,2600,"TB@Atl 01:00PM ET","TB","Buccaneers",NA,"Atl",7.88,7.6,7.46
"DST","Bears  (7148618)","Bears ",7148618,2500,"Chi@Hou 01:00PM ET","Chi","Bears",NA,"Hou",7.14,5.3,4.73
"DST","Cowboys  (7148623)","Cowboys ",7148623,2500,"NYG@Dal 04:25PM ET","Dal","Cowboys",NA,"NYG",6.65,5.4,6.5
"DST","Lions  (7148625)","Lions ",7148625,2500,"Det@Ind 04:25PM ET","Det","Lions",NA,"Ind",8.23,6.9,5.91
"DST","Chargers  (7148614)","Chargers ",7148614,2500,"SD@KC 01:00PM ET","SD","Chargers",NA,"KC",5.45,5.3,5.61
"DST","Raiders  (7148611)","Raiders ",7148611,2400,"Oak@NO 01:00PM ET","Oak","Raiders",NA,"NO",5.86,6.5,6.11
"DST","Jaguars  (7148620)","Jaguars ",7148620,2400,"GB@Jax 01:00PM ET","Jax","Jaguars",NA,"GB",6.5,6.2,5.81
"DST","Browns  (7148607)","Browns ",7148607,2300,"Cle@Phi 01:00PM ET","Cle","Browns",NA,"Phi",7.66,6.9,6.5
"DST","Saints  (7148612)","Saints ",7148612,2300,"Oak@NO 01:00PM ET","NO","Saints",NA,"Oak",6.82,6.8,7.22
"DST","Dolphins  (7148621)","Dolphins ",7148621,2200,"Mia@Sea 04:05PM ET","Mia","Dolphins",NA,"Sea",5.27,4.9,5.61
