Position,Name + ID, Name, ID, Salary,GameInfo,TeamAbbrev 
WR,Antonio Brown (7395512),Antonio Brown,7395512,9900,Cin@Pit 01:00PM ET,Pit
WR,Odell Beckham Jr. (7395525),Odell Beckham Jr.,7395525,9500,NO@NYG 01:00PM ET,NYG
WR,Julio Jones (7395612),Julio Jones,7395612,9200,Atl@Oak 04:25PM ET,Atl
WR,A.J. Green (7395513),A.J. Green,7395513,8900,Cin@Pit 01:00PM ET,Cin
WR,DeAndre Hopkins (7395546),DeAndre Hopkins,7395546,8700,KC@Hou 01:00PM ET,Hou
WR,Dez Bryant (7395500),Dez Bryant,7395500,8400,Dal@Was 01:00PM ET,Dal
QB,Drew Brees (7395308),Drew Brees,7395308,8200,NO@NYG 01:00PM ET,NO
WR,Brandin Cooks (7395527),Brandin Cooks,7395527,8000,NO@NYG 01:00PM ET,NO
QB,Cam Newton (7395294),Cam Newton,7395294,7900,SF@Car 01:00PM ET,Car
WR,Allen Robinson (7395607),Allen Robinson,7395607,7800,Jax@SD 04:25PM ET,Jax
QB,Aaron Rodgers (7395360),Aaron Rodgers,7395360,7800,GB@Min 08:30PM ET,GB
QB,Andrew Luck (7395356),Andrew Luck,7395356,7700,Ind@Den 04:25PM ET,Ind
QB,Eli Manning (7395309),Eli Manning,7395309,7600,NO@NYG 01:00PM ET,NYG
RB,David Johnson (7395452),David Johnson,7395452,7600,TB@Ari 04:05PM ET,Ari
WR,Amari Cooper (7395616),Amari Cooper,7395616,7600,Atl@Oak 04:25PM ET,Oak
QB,Ben Roethlisberger (7395302),Ben Roethlisberger,7395302,7500,Cin@Pit 01:00PM ET,Pit
RB,Todd Gurley (7395444),Todd Gurley,7395444,7500,Sea@LA 04:05PM ET,LA
WR,Keenan Allen (7395603),Keenan Allen,7395603,7500,Jax@SD 04:25PM ET,SD
WR,Jordy Nelson (7395631),Jordy Nelson,7395631,7500,GB@Min 08:30PM ET,GB
QB,Russell Wilson (7395335),Russell Wilson,7395335,7400,Sea@LA 04:05PM ET,Sea
WR,Randall Cobb (7395634),Randall Cobb,7395634,7400,GB@Min 08:30PM ET,GB
RB,Ezekiel Elliott (7395380),Ezekiel Elliott,7395380,7300,Dal@Was 01:00PM ET,Dal
QB,Matthew Stafford (7395326),Matthew Stafford,7395326,7300,Ten@Det 01:00PM ET,Det
RB,Lamar Miller (7395414),Lamar Miller,7395414,7200,KC@Hou 01:00PM ET,Hou
WR,Mike Evans (7395596),Mike Evans,7395596,7200,TB@Ari 04:05PM ET,TB
QB,Derek Carr (7395352),Derek Carr,7395352,7200,Atl@Oak 04:25PM ET,Oak
RB,DeAngelo Williams (7395381),DeAngelo Williams,7395381,7100,Cin@Pit 01:00PM ET,Pit
QB,Kirk Cousins (7395299),Kirk Cousins,7395299,7000,Dal@Was 01:00PM ET,Was
WR,T.Y. Hilton (7395623),T.Y. Hilton,7395623,7000,Ind@Den 04:25PM ET,Ind
RB,Adrian Peterson (7395480),Adrian Peterson,7395480,7000,GB@Min 08:30PM ET,Min
TE,Rob Gronkowski (7395673),Rob Gronkowski,7395673,6900,Mia@NE 01:00PM ET,NE
QB,Carson Palmer (7395339),Carson Palmer,7395339,6900,TB@Ari 04:05PM ET,Ari
TE,Jordan Reed (7395655),Jordan Reed,7395655,6800,Dal@Was 01:00PM ET,Was
WR,Golden Tate (7395559),Golden Tate,7395559,6800,Ten@Det 01:00PM ET,Det
QB,Matt Ryan (7395349),Matt Ryan,7395349,6800,Atl@Oak 04:25PM ET,Atl
RB,C.J. Anderson (7395477),C.J. Anderson,7395477,6800,Ind@Den 04:25PM ET,Den
QB,Blake Bortles (7395347),Blake Bortles,7395347,6700,Jax@SD 04:25PM ET,Jax
WR,Doug Baldwin (7395578),Doug Baldwin,7395578,6600,Sea@LA 04:05PM ET,Sea
WR,Kelvin Benjamin (7395496),Kelvin Benjamin,7395496,6500,SF@Car 01:00PM ET,Car
QB,Joe Flacco (7395330),Joe Flacco,7395330,6500,Bal@Cle 01:00PM ET,Bal
QB,Andy Dalton (7395303),Andy Dalton,7395303,6400,Cin@Pit 01:00PM ET,Cin
WR,Jarvis Landry (7395538),Jarvis Landry,7395538,6400,Mia@NE 01:00PM ET,Mia
WR,Larry Fitzgerald (7395589),Larry Fitzgerald,7395589,6400,TB@Ari 04:05PM ET,Ari
QB,Philip Rivers (7395345),Philip Rivers,7395345,6400,Jax@SD 04:25PM ET,SD
WR,Demaryius Thomas (7395622),Demaryius Thomas,7395622,6400,Ind@Den 04:25PM ET,Den
WR,Donte Moncrief (7395628),Donte Moncrief,7395628,6400,Ind@Den 04:25PM ET,Ind
WR,DeSean Jackson (7395499),DeSean Jackson,7395499,6300,Dal@Was 01:00PM ET,Was
QB,Alex Smith (7395318),Alex Smith,7395318,6300,KC@Hou 01:00PM ET,KC
RB,Jamaal Charles (7395410),Jamaal Charles,7395410,6300,KC@Hou 01:00PM ET,KC
WR,Jeremy Maclin (7395543),Jeremy Maclin,7395543,6300,KC@Hou 01:00PM ET,KC
RB,Mark Ingram (7395395),Mark Ingram,7395395,6200,NO@NYG 01:00PM ET,NO
WR,Julian Edelman (7395534),Julian Edelman,7395534,6200,Mia@NE 01:00PM ET,NE
QB,Jameis Winston (7395343),Jameis Winston,7395343,6200,TB@Ari 04:05PM ET,TB
QB,Brock Osweiler (7395321),Brock Osweiler,7395321,6100,KC@Hou 01:00PM ET,Hou
RB,Spencer Ware (7395416),Spencer Ware,7395416,6100,KC@Hou 01:00PM ET,KC
RB,Devonta Freeman (7395468),Devonta Freeman,7395468,6100,Atl@Oak 04:25PM ET,Atl
WR,Michael Crabtree (7395610),Michael Crabtree,7395610,6100,Atl@Oak 04:25PM ET,Oak
QB,Tony Romo (7395296),Tony Romo,7395296,6000,Dal@Was 01:00PM ET,Dal
RB,Arian Foster (7395400),Arian Foster,7395400,6000,Mia@NE 01:00PM ET,Mia
QB,Marcus Mariota (7395327),Marcus Mariota,7395327,6000,Ten@Det 01:00PM ET,Ten
WR,Emmanuel Sanders (7395621),Emmanuel Sanders,7395621,6000,Ind@Den 04:25PM ET,Den
RB,Eddie Lacy (7395484),Eddie Lacy,7395484,6000,GB@Min 08:30PM ET,GB
QB,Jimmy Garoppolo (7395315),Jimmy Garoppolo,7395315,5900,Mia@NE 01:00PM ET,NE
RB,Doug Martin (7395448),Doug Martin,7395448,5900,TB@Ari 04:05PM ET,TB
WR,Michael Floyd (7395590),Michael Floyd,7395590,5900,TB@Ari 04:05PM ET,Ari
QB,Dak Prescott (7395300),Dak Prescott,7395300,5800,Dal@Was 01:00PM ET,Dal
WR,Willie Snead (7395526),Willie Snead,7395526,5800,NO@NYG 01:00PM ET,NO
RB,DeMarco Murray (7395420),DeMarco Murray,7395420,5700,Ten@Det 01:00PM ET,Ten
RB,Latavius Murray (7395465),Latavius Murray,7395465,5700,Atl@Oak 04:25PM ET,Oak
TE,Greg Olsen (7395644),Greg Olsen,7395644,5600,SF@Car 01:00PM ET,Car
RB,Rashad Jennings (7395389),Rashad Jennings,7395389,5600,NO@NYG 01:00PM ET,NYG
QB,Ryan Tannehill (7395314),Ryan Tannehill,7395314,5600,Mia@NE 01:00PM ET,Mia
QB,Sam Bradford (7395361),Sam Bradford,7395361,5600,GB@Min 08:30PM ET,Min
WR,Marvin Jones Jr. (7395561),Marvin Jones Jr.,7395561,5500,Ten@Det 01:00PM ET,Det
RB,Thomas Rawls (7395442),Thomas Rawls,7395442,5500,Sea@LA 04:05PM ET,Sea
WR,Mohamed Sanu (7395613),Mohamed Sanu,7395613,5500,Atl@Oak 04:25PM ET,Atl
RB,Jonathan Stewart (7395365),Jonathan Stewart,7395365,5400,SF@Car 01:00PM ET,Car
WR,Allen Hurns (7395602),Allen Hurns,7395602,5400,Jax@SD 04:25PM ET,Jax
QB,Robert Griffin III (7395332),Robert Griffin III,7395332,5300,Bal@Cle 01:00PM ET,Cle
WR,John Brown (7395592),John Brown,7395592,5300,TB@Ari 04:05PM ET,Ari
WR,Sterling Shepard (7395530),Sterling Shepard,7395530,5200,NO@NYG 01:00PM ET,NYG
RB,Danny Woodhead (7395455),Danny Woodhead,7395455,5200,Jax@SD 04:25PM ET,SD
QB,Trevor Siemian (7395357),Trevor Siemian,7395357,5200,Ind@Den 04:25PM ET,Den
RB,Carlos Hyde (7395369),Carlos Hyde,7395369,5100,SF@Car 01:00PM ET,SF
QB,Case Keenum (7395334),Case Keenum,7395334,5100,Sea@LA 04:05PM ET,LA
WR,Stefon Diggs (7395640),Stefon Diggs,7395640,5100,GB@Min 08:30PM ET,Min
QB,Derek Anderson (7395290),Derek Anderson,7395290,5000,SF@Car 01:00PM ET,Car
QB,Joe Webb (7395291),Joe Webb,7395291,5000,SF@Car 01:00PM ET,Car
QB,Colin Kaepernick (7395292),Colin Kaepernick,7395292,5000,SF@Car 01:00PM ET,SF
QB,Christian Ponder (7395293),Christian Ponder,7395293,5000,SF@Car 01:00PM ET,SF
QB,Blaine Gabbert (7395295),Blaine Gabbert,7395295,5000,SF@Car 01:00PM ET,SF
QB,Mark Sanchez (7395297),Mark Sanchez,7395297,5000,Dal@Was 01:00PM ET,Dal
QB,Colt McCoy (7395298),Colt McCoy,7395298,5000,Dal@Was 01:00PM ET,Was
QB,Nate Sudfeld (7395301),Nate Sudfeld,7395301,5000,Dal@Was 01:00PM ET,Was
QB,Landry Jones (7395304),Landry Jones,7395304,5000,Cin@Pit 01:00PM ET,Pit
QB,Zach Mettenberger (7395305),Zach Mettenberger,7395305,5000,Cin@Pit 01:00PM ET,Pit
QB,AJ McCarron (7395306),AJ McCarron,7395306,5000,Cin@Pit 01:00PM ET,Cin
QB,Jeff Driskel (7395307),Jeff Driskel,7395307,5000,Cin@Pit 01:00PM ET,Cin
WR,Markus Wheaton (7395514),Markus Wheaton,7395514,5000,Cin@Pit 01:00PM ET,Pit
QB,Luke McCown (7395310),Luke McCown,7395310,5000,NO@NYG 01:00PM ET,NO
QB,Josh Johnson (7395311),Josh Johnson,7395311,5000,NO@NYG 01:00PM ET,NYG
QB,Ryan Nassib (7395312),Ryan Nassib,7395312,5000,NO@NYG 01:00PM ET,NYG
QB,Matt Moore (7395313),Matt Moore,7395313,5000,Mia@NE 01:00PM ET,Mia
QB,Brandon Doughty (7395316),Brandon Doughty,7395316,5000,Mia@NE 01:00PM ET,Mia
QB,Jacoby Brissett (7395317),Jacoby Brissett,7395317,5000,Mia@NE 01:00PM ET,NE
QB,Brandon Weeden (7395319),Brandon Weeden,7395319,5000,KC@Hou 01:00PM ET,Hou
QB,Nick Foles (7395320),Nick Foles,7395320,5000,KC@Hou 01:00PM ET,KC
QB,Tom Savage (7395322),Tom Savage,7395322,5000,KC@Hou 01:00PM ET,Hou
QB,Tyler Bray (7395323),Tyler Bray,7395323,5000,KC@Hou 01:00PM ET,KC
TE,Travis Kelce (7395678),Travis Kelce,7395678,5000,KC@Hou 01:00PM ET,KC
QB,Matt Cassel (7395324),Matt Cassel,7395324,5000,Ten@Det 01:00PM ET,Ten
QB,Dan Orlovsky (7395325),Dan Orlovsky,7395325,5000,Ten@Det 01:00PM ET,Det
QB,Alex Tanney (7395328),Alex Tanney,7395328,5000,Ten@Det 01:00PM ET,Ten
QB,Josh McCown (7395329),Josh McCown,7395329,5000,Bal@Cle 01:00PM ET,Cle
QB,Ryan Mallett (7395331),Ryan Mallett,7395331,5000,Bal@Cle 01:00PM ET,Bal
QB,Cody Kessler (7395333),Cody Kessler,7395333,5000,Bal@Cle 01:00PM ET,Cle
