"Rank","TRank","Price","Ratio","Value","Name","Team","Game","Pos","Order","R","HR","RBI","SB","AB","1B","2B","3B","BB","HBP","CS","W","SO","IP","CG","SHO","ER","H","BB__1","HBP__1"
1,1,0,0,29.45,"Justin Verlander","DET",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,10,6.33333333333333,0,0,2,6,2,0
2,2,5200,53.4615384615385,27.8,"Clayton Richard","SD",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,8,0,0,0,5,2,0
3,3,10400,24.3269230769231,25.3,"Jake Arrieta","CHC",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,6,0,0,0,4,2,1
4,4,9500,26.6315789473684,25.3,"Lance McCullers","HOU",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7,6,0,0,1,5,2,0
5,1,0,0,25,"Ian Kinsler","DET",NA,"2B",1,2,1,1,0,3,0,1,0,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,2,2600,92.3076923076923,24,"Chase Headley","NYY",NA,"3B",7,1,1,2,1,4,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,3,2500,96,24,"Jed Lowrie","OAK",NA,"2B",6,2,1,1,0,4,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,5,8800,26.3068181818182,23.15,"Carlos Carrasco","CLE",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7,5.66666666666667,0,0,2,4,1,1
9,4,0,0,23,"JaCoby Jones","DET",NA,"OF",8,1,1,3,1,4,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,5,4300,48.8372093023256,21,"Carlos Santana","CLE",NA,"1B",1,1,1,2,0,4,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,6,3400,61.7647058823529,21,"Brandon Crawford","SF",NA,"SS",5,2,1,1,0,5,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,7,2600,76.9230769230769,20,"Gorkys Hernandez","SF",NA,"OF",1,1,0,4,0,5,1,1,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,8,3600,55.5555555555556,20,"Jake Lamb","ARI",NA,"3B",4,2,1,2,0,3,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,6,6800,28.0882352941176,19.1,"Archie Bradley","ARI",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,7,3.33333333333333,0,0,0,3,1,0
15,9,4700,40.4255319148936,19,"Ryan Braun","MIL",NA,"OF",3,2,1,1,0,4,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,10,3300,57.5757575757576,19,"Joey Gallo","TEX",NA,"1B/3B",7,1,1,2,0,4,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,11,2900,65.5172413793103,19,"Yangervis Solarte","SD",NA,"2B",4,1,1,2,0,4,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,12,3600,52.7777777777778,19,"Gerardo Parra","COL",NA,"OF",6,1,0,3,0,5,2,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,13,3000,63.3333333333333,19,"Ryon Healy","OAK",NA,"1B/3B",3,1,1,1,0,3,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,14,0,0,18,"Nick Castellanos","DET",NA,"3B",2,1,1,2,0,4,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,15,2500,72,18,"Danny Espinosa","LAA",NA,"2B",8,1,1,3,0,4,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,16,4600,39.1304347826087,18,"Paul Goldschmidt","ARI",NA,"1B",3,2,1,1,0,3,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,17,4100,43.9024390243902,18,"Trevor Story","COL",NA,"SS",5,2,0,0,1,2,1,0,0,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
