Name_Team,2017-04-02,2017-04-03
Noah Syndergaard_NYM,NA,24.5
Justin Verlander_DET,NA,NA
Corey Kluber_CLE,NA,10.1
Stephen Strasburg_WSH,NA,18.15
Yu Darvish_TEX,NA,8.85
Rick Porcello_BOS,NA,18.05
Dallas Keuchel_HOU,NA,24.75
Danny Duffy_KC,NA,23.9
Jose Quintana_CWS,NA,NA
Julio Teheran_ATL,NA,21.3
Felix Hernandez_SEA,NA,16.25
Jon Gray_COL,NA,8.2
Gerrit Cole_PIT,NA,0.45
Ervin Santana_MIN,NA,21.35
Marco Estrada_TOR,NA,13.3
Ricky Nolasco_LAA,NA,9.35
Jeremy Hellickson_PHI,NA,10.45
Kevin Gausman_BAL,NA,10.6
Edinson Volquez_MIA,NA,20.25
Junior Guerra_MIL,NA,9.55
Kendall Graveman_OAK,NA,22.7
Mike Trout_LAA,NA,21.0
Scott Feldman_CIN,NA,11.1
Jhoulys Chacin_SD,NA,-11.9
Mookie Betts_BOS,NA,5.0
Manny Machado_BAL,NA,5.0
Bryce Harper_WSH,NA,16.0
Nolan Arenado_COL,NA,12.0
Charlie Blackmon_COL,NA,7.0
Josh Donaldson_TOR,NA,11.0
Starling Marte_PIT,NA,2.0
Trea Turner_WSH,NA,10.0
Ryan Braun_MIL,NA,2.0
Carlos Gonzalez_COL,NA,0.0
Jose Altuve_HOU,NA,3.0
Jose Bautista_TOR,NA,2.0
Andrew McCutchen_PIT,NA,0.0
Michael Brantley_CLE,NA,5.0
Joey Votto_CIN,NA,0.0
Carlos Correa_HOU,NA,16.0
Miguel Cabrera_DET,NA,NA
Trevor Story_COL,NA,7.0
Giancarlo Stanton_MIA,NA,9.0
Brian Dozier_MIN,NA,7.0
Gregory Polanco_PIT,NA,3.0
Edwin Encarnacion_CLE,NA,19.0
Carlos Santana_CLE,NA,16.0
Francisco Lindor_CLE,NA,4.0
Daniel Murphy_WSH,NA,8.0
Troy Tulowitzki_TOR,NA,0.0
Hanley Ramirez_BOS,NA,3.0
Xander Bogaerts_BOS,NA,16.0
Rougned Odor_TEX,NA,32.0
Nelson Cruz_SEA,NA,2.0
Robinson Cano_SEA,NA,3.0
George Springer_HOU,NA,14.0
Corey Seager_LAD,NA,21.0
Chris Davis_BAL,NA,5.0
Adam Jones_BAL,NA,9.0
DJ LeMahieu_COL,NA,0.0
Jonathan Villar_MIL,NA,13.0
Jose Ramirez_CLE,NA,18.0
Ian Kinsler_DET,NA,NA
Mark Trumbo_BAL,NA,21.0
Jackie Bradley Jr._BOS,NA,12.0
Yoenis Cespedes_NYM,NA,4.0
Shin-Soo Choo_TEX,NA,3.0
Odubel Herrera_PHI,NA,9.0
Maikel Franco_PHI,NA,7.0
Jean Segura_SEA,NA,6.0
Dee Gordon_MIA,NA,0.0
Christian Yelich_MIA,NA,0.0
Todd Frazier_CWS,NA,NA
Kendrys Morales_TOR,NA,4.0
Dustin Pedroia_BOS,NA,7.0
Jonathan Lucroy_TEX,NA,0.0
Billy Hamilton_CIN,NA,10.0
Adam Eaton_WSH,NA,16.0
Miguel Sano_MIN,NA,20.0
Jose Abreu_CWS,NA,NA
Justin Upton_DET,NA,NA
Devon Travis_TOR,NA,6.0
Jose Reyes_NYM,NA,4.0
Carlos Gomez_TEX,NA,16.0
Adam Duvall_CIN,NA,8.0
Kyle Seager_SEA,NA,4.0
Yasiel Puig_LAD,NA,11.0
Lorenzo Cain_KC,NA,9.0
Melky Cabrera_CWS,NA,NA
Russell Martin_TOR,NA,4.0
Jonathan Schoop_BAL,NA,0.0
Keon Broxton_MIL,NA,7.0
Freddie Freeman_ATL,NA,14.0
Mike Napoli_TEX,NA,4.0
Elvis Andrus_TEX,NA,13.0
Tyler Naquin_CLE,NA,5.0
Steve Pearce_TOR,NA,11.0
Kevin Pillar_TOR,NA,7.0
Josh Harrison_PIT,NA,7.0
Khris Davis_OAK,NA,31.0
Eric Thames_MIL,NA,13.0
Gerardo Parra_COL,NA,8.0
Domingo Santana_MIL,NA,9.0
Cesar Hernandez_PHI,NA,14.0
Nomar Mazara_TEX,NA,10.0
Michael Saunders_PHI,NA,9.0
Alex Bregman_HOU,NA,12.0
Adrian Gonzalez_LAD,NA,13.0
Wil Myers_SD,NA,2.0
Eric Hosmer_KC,NA,0.0
Max Kepler_MIN,NA,5.0
Welington Castillo_BAL,NA,8.0
Pablo Sandoval_BOS,NA,7.0
Albert Pujols_LAA,NA,2.0
Andrew Benintendi_BOS,NA,18.0
Curtis Granderson_NYM,NA,5.0
Joey Gallo_TEX,NA,7.0
Tommy Joseph_PHI,NA,0.0
Jose Peraza_CIN,NA,6.0
Joe Mauer_MIN,NA,6.0
Carlos Beltran_HOU,NA,0.0
Nick Castellanos_DET,NA,NA
Tim Anderson_CWS,NA,NA
Rajai Davis_OAK,NA,0.0
Neil Walker_NYM,NA,4.0
Scott Schebler_CIN,NA,7.0
Howie Kendrick_PHI,NA,11.0
Logan Forsythe_LAD,NA,11.0
Joc Pederson_LAD,NA,22.0
Jayson Werth_WSH,NA,0.0
Marcell Ozuna_MIA,NA,5.0
Brandon Moss_KC,NA,0.0
Alex Gordon_KC,NA,3.0
Robbie Grossman_MIN,NA,8.0
Victor Martinez_DET,NA,NA
Seth Smith_BAL,NA,7.0
Kole Calhoun_LAA,NA,7.0
Travis Shaw_MIL,NA,12.0
Asdrubal Cabrera_NYM,NA,18.0
Matt Kemp_ATL,NA,5.0
Abraham Almonte_CLE,NA,18.0
Freddy Galvis_PHI,NA,21.0
Eugenio Suarez_CIN,NA,2.0
Mitch Haniger_SEA,NA,2.0
Josh Reddick_HOU,NA,3.0
Justin Turner_LAD,NA,19.0
J.T. Realmuto_MIA,NA,10.0
Eddie Rosario_MIN,NA,3.0
Byron Buxton_MIN,NA,0.0
Tyler Saladino_CWS,NA,NA
Hyun-Soo Kim_BAL,NA,0.0
Josh Bell_PIT,NA,5.0
Trevor Plouffe_OAK,NA,5.0
C.J. Cron_LAA,NA,5.0
Cameron Maybin_LAA,NA,0.0
Orlando Arcia_MIL,NA,7.0
Lucas Duda_NYM,NA,13.0
Jay Bruce_NYM,NA,10.0
Ender Inciarte_ATL,NA,0.0
Jurickson Profar_TEX,NA,0.0
Zack Cozart_CIN,NA,5.0
Norichika Aoki_HOU,NA,3.0
Yasmani Grandal_LAD,NA,30.0
Ryan Zimmerman_WSH,NA,6.0
Salvador Perez_KC,NA,3.0
Jorge Polanco_MIN,NA,12.0
Francisco Cervelli_PIT,NA,9.0
Avisail Garcia_CWS,NA,NA
Mitch Moreland_BOS,NA,0.0
David Freese_PIT,NA,8.0
Adam Frazier_PIT,NA,7.0
Ryon Healy_OAK,NA,0.0
Jordy Mercer_PIT,NA,5.0
Marcus Semien_OAK,NA,4.0
Cameron Rupp_PHI,NA,0.0
Brian McCann_HOU,NA,0.0
Danny Valencia_SEA,NA,2.0
Mike Moustakas_KC,NA,14.0
Alcides Escobar_KC,NA,0.0
Paulo Orlando_KC,NA,0.0
Ezequiel Carrera_TOR,NA,10.0
