"Player","Pos","Team","Opp","vs. Pitcher","Hand","ERA/AVG","wOBA","ISO","Avg innings","K/9","WHIP","Order","Salary","Ceiling","Avg","FC Proj","My Proj","Exposure","Con.","Value","Actual Score","Actual Val"
"Jake Arrieta","P","CHC","@ STL","Wainwright, R 4.62","R",3.1,0,0,6.4,8.6,1.08,NA,10400,41.5,20.4,19.4,19.4,"%",46,1.9,25.3,2.4
"Johnny Cueto","P","SF","@ ARI","Corbin, L 5.13","R",2.83,0,0,6.7,8.2,1.08,NA,10200,40,21.4,16.61,16.61,"%",45,1.6,12.45,1.2
"Kenta Maeda","P","LAD","vs SD","Richard, L 3.46","R",3.7,0,0,4.9,9.2,1.14,NA,9600,43.1,15.3,22.05,22.05,"%",31,2.3,8.45,0.9
"Lance McCullers","P","HOU","vs SEA","Iwakuma, R 4.12","R",3.22,0,0,5.8,11.8,1.53,NA,9500,38.5,20.4,19.73,19.73,"%",54,2.1,25.9,2.7
"Carlos Carrasco","P","CLE","@ TEX","Perez, L 4.39","R",3.32,0,0,5.9,9.2,1.13,NA,8800,41.9,18.8,15.1,15.1,"%",29,1.7,23.15,2.6
"Matt Shoemaker","P","LAA","@ OAK","Manaea, L 3.86","R",3.88,0,0,5.9,8.1,1.22,NA,8400,45.8,15.7,16.33,16.33,"%",6,1.9,11.05,1.3
"Jake Odorizzi","P","TB","vs NYY","Sabathia, L 3.91","R",3.69,0,0,5.7,7.9,1.18,NA,7800,34.9,15.3,15.17,15.17,"%",35,1.9,8.1,1
"Hisashi Iwakuma","P","SEA","@ HOU","McCullers, R 3.22","R",4.12,0,0,6,6.8,1.31,NA,7700,28.9,14.1,10.34,10.34,"%",34,1.3,9.3,1.2
"Sean Manaea","P","OAK","vs LAA","Shoemaker, R 3.88","L",3.86,0,0,5.8,7.8,1.18,NA,7400,34.1,14.9,15.1,15.1,"%",36,2,8.7,1.2
"Adam Wainwright","P","STL","vs CHC","Arrieta, R 3.10","R",4.62,0,0,5.8,7.3,1.38,NA,7300,34.8,13.2,13.08,13.08,"%",18,1.8,16.25,2.2
"CC Sabathia","P","NYY","@ TB","Odorizzi, R 3.69","L",3.91,0,0,6,7.7,1.31,NA,6900,33.3,14.7,14.34,14.34,"%",36,2.1,16.25,2.4
"Zach Davies","P","MIL","vs COL","Anderson, L 3.54","R",3.97,0,0,5.8,7.4,1.25,NA,6500,33.9,14.7,13.04,13.04,"%",29,2,-8.05,NA
"Tyler Anderson","P","COL","@ MIL","Davies, R 3.97","L",3.54,0,0,5.7,7.9,1.27,NA,5900,26.4,14.8,11.76,11.76,"%",51,2,17.35,2.9
"Martin Perez","P","TEX","vs CLE","Carrasco, R 3.32","L",4.39,0,0,6,4.7,1.41,NA,5700,26.5,9.9,9.27,9.27,"%",13,1.6,10.1,1.8
"Clayton Richard","P","SD","@ LAD","Maeda, R 3.70","L",3.46,0,0,1.8,5.5,1.61,NA,5200,24.7,3.5,9.91,9.91,"%",0,1.9,27.8,5.3
"Patrick Corbin","P","ARI","vs SF","Cueto, R 2.83","L",5.13,0,0,4.2,7.5,1.54,NA,5000,22.9,8.2,6.87,6.87,"%",2,1.4,1.6,0.3
"Mike Trout","OF","LAA","@ OAK","Manaea, L 3.86","R",0.317,0.427,0.239,0,0,0,3,4800,27.5,10.4,11.26,11.26,"%",61,2.3,10,2.1
"Nolan Arenado","3B","COL","@ MIL","Davies, R 3.97","R",0.293,0.389,0.272,0,0,0,4,4800,30.1,9.8,10.7,10.7,"%",50,2.2,11,2.3
"Kris Bryant","3B/OF","CHC","@ STL","Wainwright, R 4.62","R",0.293,0.404,0.269,0,0,0,2,4700,29.2,10,10.45,10.45,"%",53,2.2,0,NA
"Ryan Braun","OF","MIL","vs COL","Anderson, L 3.54","R",0.304,0.382,0.232,0,0,0,3,4700,28,9.3,9.9,9.9,"%",51,2.1,19,4
"Charlie Blackmon","OF","COL","@ MIL","Davies, R 3.97","L",0.322,0.396,0.228,0,0,0,1,4600,27.6,10.1,10.46,10.46,"%",58,2.3,10,2.2
"Carlos Gonzalez","OF","COL","@ MIL","Davies, R 3.97","L",0.295,0.362,0.205,0,0,0,3,4600,26.8,8.3,10.21,10.21,"%",50,2.2,7,1.5
"Paul Goldschmidt","1B","ARI","vs SF","Cueto, R 2.83","R",0.297,0.39,0.19,0,0,0,3,4600,26.3,9.7,10.34,10.34,"%",59,2.2,18,3.9
"Anthony Rizzo","1B","CHC","@ STL","Wainwright, R 4.62","L",0.281,0.383,0.243,0,0,0,3,4500,26.2,8.9,9.88,9.88,"%",54,2.2,2,0.4
"Michael Brantley","OF","CLE","@ TEX","Perez, L 4.39","L",0.227,0.232,0.046,0,0,0,3,4500,23.8,5.8,11.66,11.66,"%",48,2.6,8,1.8
"Edwin Encarnacion","1B","CLE","@ TEX","Perez, L 4.39","R",0.265,0.381,0.275,0,0,0,4,4400,30.8,9.4,13.33,13.33,"%",54,3,2,0.5
"Jose Altuve","2B","HOU","vs SEA","Iwakuma, R 4.12","R",0.334,0.391,0.193,0,0,0,3,4400,28.8,9.9,11.52,11.52,"%",56,2.6,3,0.7
"Carlos Correa","SS","HOU","vs SEA","Iwakuma, R 4.12","R",0.273,0.353,0.174,0,0,0,4,4400,26.1,8.2,11.25,11.25,"%",55,2.6,2,0.5
"Carlos Santana","1B","CLE","@ TEX","Perez, L 4.39","B",0.262,0.376,0.242,0,0,0,1,4300,27.3,8.5,11.82,11.82,"%",54,2.7,21,4.9
"Francisco Lindor","SS","CLE","@ TEX","Perez, L 4.39","B",0.301,0.345,0.137,0,0,0,2,4300,26.2,8.2,11.82,11.82,"%",56,2.7,2,0.5
"DJ LeMahieu","2B/3B","COL","@ MIL","Davies, R 3.97","R",0.345,0.391,0.147,0,0,0,2,4200,23.1,8.8,8.75,8.75,"%",59,2.1,5,1.2
"Corey Seager","SS","LAD","vs SD","Richard, L 3.46","L",0.302,0.374,0.21,0,0,0,2,4200,25.8,8.6,10.08,10.08,"%",54,2.4,0,NA
"Kyle Schwarber","C/OF","CHC","@ STL","Wainwright, R 4.62","L",0.286,0.401,0.143,0,0,0,1,4100,17.3,4,8.61,8.61,"%",46,2.1,4,1
"Trevor Story","SS","COL","@ MIL","Davies, R 3.97","R",0.271,0.378,0.295,0,0,0,5,4100,27.7,9.8,8.43,8.43,"%",51,2.1,18,4.4
"Robinson Cano","2B","SEA","@ HOU","McCullers, R 3.22","L",0.297,0.376,0.234,0,0,0,3,4100,25,9,8.5,8.5,"%",54,2.1,7,1.7
"Nelson Cruz","OF","SEA","@ HOU","McCullers, R 3.22","R",0.285,0.384,0.267,0,0,0,4,4100,25.1,9.1,8.96,8.96,"%",56,2.2,0,NA
"George Springer","OF","HOU","vs SEA","Iwakuma, R 4.12","R",0.259,0.354,0.193,0,0,0,1,4100,26.1,8.7,10.71,10.71,"%",56,2.6,5,1.2
"Gary Sanchez","C","NYY","@ TB","Odorizzi, R 3.69","R",0.291,0.418,0.35,0,0,0,2,4000,28.6,10.2,8.37,8.37,"%",50,2.1,0,NA
"Evan Longoria","3B","TB","vs NYY","Sabathia, L 3.91","R",0.278,0.357,0.253,0,0,0,3,4000,23.3,8.4,7.74,7.74,"%",54,1.9,7,1.8
"Jonathan Villar","3B/SS","MIL","vs COL","Anderson, L 3.54","B",0.287,0.362,0.173,0,0,0,1,4000,25.3,9.8,8.65,8.65,"%",58,2.2,0,NA
