"Place_lo","Place_hi","Payout"
"1","1","50000"
"2","2","25000"
"3","3","10000"
"4","4","6000"
"5","5","5000"
"6","6","4000"
"7","7","3000"
"8","8","2000"
"9","10","1500"
"11","15","1000"
"16","20","750"
"21","30","500"
"31","40","400"
"41","60","300"
"61","110","200"
"111","210","150"
"211","310","100"
"311","460","70"
"461","660","60"
"661","860","50"
"861","1260","40"
"1261","1760","35"
"1761","2260","30"
"2261","3260","25"
"3261","5265","20"
"5266","9315","15"
"9316","17765","12"
