Actual,FirstName,FreqInd,GameInfo,ID,LastName,Name,Name...ID,Opponent,Position,Projection,Projection_ceil,Projection_dfn,Projection_rceil,Projection_reg,Projection_reg_split,RankTargets,RollingTargetPctg,Salary,Team,TierRank,ValueWR
0.0,Austin,1.0,Den@NO 01:00PM ET,7725555,Davis,Austin Davis,Austin Davis (7725555),NO,QB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000,DEN,0.0,0.0
0.0,Paxton,1.0,Den@NO 01:00PM ET,7725557,Lynch,Paxton Lynch,Paxton Lynch (7725557),NO,QB,0.0,14.4,0.0,0.0,0.0,0.0,0.0,0.0,5000,DEN,0.0,0.0
7.7,Case,1.0,LA@NYJ 01:00PM ET,7725559,Keenum,Case Keenum,Case Keenum (7725559),NYJ,QB,15.79,23.5,14.6,14.6,14.1486859548,14.1229329475,0.0,0.0,5000,LA,0.0,0.0
9.5,Bryce,1.0,LA@NYJ 01:00PM ET,7725560,Petty,Bryce Petty,Bryce Petty (7725560),LA,QB,14.22,0.8,13.5,13.5,12.9362671644,12.9049041593,0.0,0.0,5000,NYJ,0.0,0.0
0.0,Sean,1.0,LA@NYJ 01:00PM ET,7725561,Mannion,Sean Mannion,Sean Mannion (7725561),NYJ,QB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000,LA,0.0,0.0
0.0,Jared,1.0,LA@NYJ 01:00PM ET,7725562,Goff,Jared Goff,Jared Goff (7725562),NYJ,QB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000,LA,0.0,0.0
0.0,Christian,1.0,LA@NYJ 01:00PM ET,7725563,Hackenberg,Christian Hackenberg,Christian Hackenberg (7725563),LA,QB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000,NYJ,0.0,0.0
21.9,Bilal,1.0,LA@NYJ 01:00PM ET,7725629,Powell,Bilal Powell,Bilal Powell (7725629),LA,RB,8.31,13.5,8.7,8.7,8.0079378381,7.9707731123,3.0,0.1261829653,5000,NYJ,2.0,0.0
0.0,Matt,1.0,Atl@Phi 01:00PM ET,7725565,Schaub,Matt Schaub,Matt Schaub (7725565),PHI,QB,0.0,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,5000,ATL,0.0,0.0
0.0,Chase,1.0,Atl@Phi 01:00PM ET,7725566,Daniel,Chase Daniel,Chase Daniel (7725566),ATL,QB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000,PHI,0.0,0.0
0.0,Derek,1.0,KC@Car 01:00PM ET,7725568,Anderson,Derek Anderson,Derek Anderson (7725568),KC,QB,0.0,15.2,0.0,0.0,0.0,0.0,0.0,0.0,5000,CAR,0.0,0.0
0.0,Joe,1.0,KC@Car 01:00PM ET,7725570,Webb,Joe Webb,Joe Webb (7725570),KC,QB,0.0,1.2,0.0,0.0,0.0,0.0,10.0,0.003367003367,5000,CAR,0.0,0.0
0.0,Tyler,1.0,KC@Car 01:00PM ET,7725573,Bray,Tyler Bray,Tyler Bray (7725573),CAR,QB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000,KC,0.0,0.0
0.0,Mike,1.0,Chi@TB 01:00PM ET,7725575,Glennon,Mike Glennon,Mike Glennon (7725575),CHI,QB,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,5000,TB,0.0,0.0
0.0,Ryan,1.0,Chi@TB 01:00PM ET,7725576,Griffin,Ryan Griffin,Ryan Griffin (7725576),CHI,QB,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.131313131313,5000,TB,0.0,0.0
0.0,Matt,1.0,Chi@TB 01:00PM ET,7725577,Barkley,Matt Barkley,Matt Barkley (7725577),TB,QB,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,5000,CHI,0.0,0.0
0.0,Shaun,1.0,Min@Was 01:00PM ET,7725579,Hill,Shaun Hill,Shaun Hill (7725579),WAS,QB,0.0,10.2,0.0,0.0,0.0,0.0,0.0,0.0,5000,MIN,0.0,0.0
0.0,Colt,1.0,Min@Was 01:00PM ET,7725580,McCoy,Colt McCoy,Colt McCoy (7725580),MIN,QB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000,WAS,0.0,0.0
22.3,Sam,1.0,Min@Was 01:00PM ET,7725581,Bradford,Sam Bradford,Sam Bradford (7725581),WAS,QB,15.18,18.4,14.5,14.5,13.8585782839,13.8230393051,12.0,0.00352112676056,5000,MIN,0.0,0.0
0.0,Nate,1.0,Min@Was 01:00PM ET,7725583,Sudfeld,Nate Sudfeld,Nate Sudfeld (7725583),MIN,QB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000,WAS,0.0,0.0
14.4,Jamison,1.0,Min@Was 01:00PM ET,7725783,Crowder,Jamison Crowder,Jamison Crowder (7725783),MIN,WR,12.62,22.8,13.1,13.1,12.0992145151,12.0453827169,4.0,0.16918429003,5000,WAS,5.0,1.0
0.0,Matt,1.0,GB@Ten 01:00PM ET,7725584,Cassel,Matt Cassel,Matt Cassel (7725584),GB,QB,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,5000,TEN,0.0,0.0
0.3,Brett,1.0,GB@Ten 01:00PM ET,7725586,Hundley,Brett Hundley,Brett Hundley (7725586),TEN,QB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000,GB,0.0,0.0
3.1,Derrick,0.0,GB@Ten 01:00PM ET,7725672,Henry,Derrick Henry,Derrick Henry (7725672),GB,RB,5.64,12.0,6.6,6.6,5.81931158925,5.77793365709,7.0,0.0364238410596,5000,TEN,2.0,0.0
0.0,Kellen,1.0,Mia@SD 04:05PM ET,7725588,Clemens,Kellen Clemens,Kellen Clemens (7725588),MIA,QB,0.0,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,5000,SD,0.0,0.0
0.0,Matt,1.0,Mia@SD 04:05PM ET,7725589,Moore,Matt Moore,Matt Moore (7725589),SD,QB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000,MIA,0.0,0.0
0.0,Drew,1.0,SF@Ari 04:25PM ET,7725593,Stanton,Drew Stanton,Drew Stanton (7725593),SF,QB,0.0,9.6,0.0,0.0,0.0,0.0,0.0,0.0,5000,ARI,0.0,0.0
0.0,Christian,1.0,SF@Ari 04:25PM ET,7725595,Ponder,Christian Ponder,Christian Ponder (7725595),ARI,QB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000,SF,0.0,0.0
0.0,Blaine,1.0,SF@Ari 04:25PM ET,7725596,Gabbert,Blaine Gabbert,Blaine Gabbert (7725596),ARI,QB,0.0,22.4,0.0,0.0,0.0,0.0,13.0,0.004,5000,SF,0.0,0.0
0.0,Mark,1.0,Dal@Pit 04:25PM ET,7725599,Sanchez,Mark Sanchez,Mark Sanchez (7725599),PIT,QB,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,5000,DAL,0.0,0.0
0.0,Landry,1.0,Dal@Pit 04:25PM ET,7725600,Jones,Landry Jones,Landry Jones (7725600),DAL,QB,0.0,10.7,0.0,0.0,0.0,0.0,0.0,0.0,5000,PIT,0.0,0.0
0.0,Zach,0.0,Dal@Pit 04:25PM ET,7725601,Mettenberger,Zach Mettenberger,Zach Mettenberger (7725601),DAL,QB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000,PIT,0.0,0.0
0.0,Jimmy,1.0,Sea@NE 08:30PM ET,7725605,Garoppolo,Jimmy Garoppolo,Jimmy Garoppolo (7725605),SEA,QB,0.0,20.4,0.0,0.0,0.0,0.0,11.0,0.0037037037037,5000,NE,0.0,0.0
0.0,Trevone,1.0,Sea@NE 08:30PM ET,7725606,Boykin,Trevone Boykin,Trevone Boykin (7725606),NE,QB,0.0,5.4,0.0,0.0,0.0,0.0,0.0,0.0,5000,SEA,0.0,0.0
20.9,Kenny,1.0,LA@NYJ 01:00PM ET,7725734,Britt,Kenny Britt,Kenny Britt (7725734),NYJ,WR,13.02,23.5,11.1,11.1,11.1477316079,11.1483067764,2.0,0.204225352113,4900,LA,6.0,1.0
0.0,Tevin,1.0,Atl@Phi 01:00PM ET,7725640,Coleman,Tevin Coleman,Tevin Coleman (7725640),PHI,RB,0.0,26.7,0.0,0.0,0.0,0.0,5.0,0.075,4900,ATL,0.0,0.0
3.9,Jonathan,1.0,KC@Car 01:00PM ET,7725643,Stewart,Jonathan Stewart,Jonathan Stewart (7725643),KC,RB,12.69,21.5,13.2,13.2,12.1814363069,12.1266707776,8.0,0.023569023569,4900,CAR,2.0,0.0
6.0,John,0.0,SF@Ari 04:25PM ET,7725818,Brown,John Brown,John Brown (7725818),SF,WR,12.76,19.6,9.8,9.8,10.3290813163,10.3546983364,3.0,0.152694610778,4900,ARI,7.0,1.0
2.9,Alfred,0.0,Dal@Pit 04:25PM ET,7725690,Morris,Alfred Morris,Alfred Morris (7725690),PIT,RB,4.29,7.0,4.1,4.1,3.9177563329,3.90766220145,9.0,0.011673151751,4900,DAL,0.0,0.0
24.9,LeGarrette,1.0,Sea@NE 08:30PM ET,7725700,Blount,LeGarrette Blount,LeGarrette Blount (7725700),SEA,RB,11.58,24.4,5.6,5.6,7.55332003435,7.65309205553,8.0,0.0222222222222,4900,NE,0.0,0.0
2.3,Alfred,0.0,Hou@Jax 01:00PM ET,7725611,Blue,Alfred Blue,Alfred Blue (7725611),JAX,RB,2.52,4.4,3.7,3.7,3.01525812907,2.97932048336,11.0,0.013468013468,4800,HOU,0.0,0.0
0.0,DeSean,0.0,Min@Was 01:00PM ET,7725777,Jackson,DeSean Jackson,DeSean Jackson (7725777),MIN,WR,0.0,16.6,0.0,0.0,0.0,0.0,1.0,0.184290030211,4800,WAS,0.0,1.0
1.7,Quincy,1.0,LA@NYJ 01:00PM ET,7725737,Enunwa,Quincy Enunwa,Quincy Enunwa (7725737),LA,WR,12.08,17.4,8.9,8.9,9.5698364971,9.60286453296,2.0,0.205047318612,4700,NYJ,7.0,1.0
7.5,Tim,0.0,Den@NO 01:00PM ET,7725616,Hightower,Tim Hightower,Tim Hightower (7725616),DEN,RB,10.13,12.0,11.0,12.0,9.97988355922,9.92541178897,11.0,0.0171428571429,4600,NO,2.0,0.0
3.4,Mohamed,1.0,Atl@Phi 01:00PM ET,7725749,Sanu,Mohamed Sanu,Mohamed Sanu (7725749),PHI,WR,12.25,18.4,11.5,11.5,11.0723962329,11.0483926101,2.0,0.190625,4600,ATL,6.0,1.0
30.4,Delanie,1.0,GB@Ten 01:00PM ET,7725900,Walker,Delanie Walker,Delanie Walker (7725900),GB,TE,12.45,19.7,11.8,11.8,11.3152118699,11.2882085405,2.0,0.175496688742,4600,TEN,3.0,0.0
7.7,James,1.0,Sea@NE 08:30PM ET,7725705,White,James White,James White (7725705),SEA,RB,10.16,18.0,4.6,4.6,6.45392094386,6.54873734009,2.0,0.177777777778,4500,NE,0.0,0.0
0.0,Chris,1.0,Sea@NE 08:30PM ET,7725842,Hogan,Chris Hogan,Chris Hogan (7725842),SEA,WR,8.87,16.8,6.7,6.7,7.11805074693,7.13846919598,4.0,0.118518518519,4500,NE,0.0,1.0
3.3,Allen,1.0,Hou@Jax 01:00PM ET,7725712,Hurns,Allen Hurns,Allen Hurns (7725712),HOU,WR,10.28,17.2,10.3,10.3,9.65071428021,9.6154834613,2.0,0.184210526316,4400,JAX,7.0,1.0
12.0,Cameron,0.0,Chi@TB 01:00PM ET,7725774,Meredith,Cameron Meredith,Cameron Meredith (7725774),TB,WR,9.15,24.6,11.9,11.9,10.1000717875,10.0052358411,3.0,0.14527027027,4400,CHI,6.0,1.0
15.6,Darren,1.0,Atl@Phi 01:00PM ET,7725633,Sproles,Darren Sproles,Darren Sproles (7725633),ATL,RB,13.81,18.6,13.2,18.6,12.6126070189,12.5800749471,4.0,0.138576779026,4300,PHI,2.0,0.0
18.3,DeVante,0.0,Mia@SD 04:05PM ET,7725808,Parker,DeVante Parker,DeVante Parker (7725808),SD,WR,8.72,15.8,11.3,11.3,9.60289129787,9.51345922574,2.0,0.161825726141,4300,MIA,6.0,1.0
13.4,James,0.0,GB@Ten 01:00PM ET,7725667,Starks,James Starks,James Starks (7725667),TEN,RB,4.8,6.8,5.0,5.0,4.61155559759,4.59067572911,8.0,0.0302114803625,4200,GB,0.0,0.0
15.3,Rishard,1.0,GB@Ten 01:00PM ET,7725794,Matthews,Rishard Matthews,Rishard Matthews (7725794),GB,WR,11.22,17.6,11.2,11.2,10.5100523004,10.472571804,3.0,0.155629139073,4200,TEN,6.0,1.0
