"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn"
"DST","Panthers  (0000000)","Panthers ",0,3900,"SF@Car 00:00PM ET","Car","Panthers","","SF",12.34,11
"DST","Seahawks  (0000000)","Seahawks ",0,3800,"Sea@LA 00:00PM ET","Sea","Seahawks","","LA",12.28,8.7
"DST","Broncos  (0000000)","Broncos ",0,3600,"Ind@Den 00:00PM ET","Den","Broncos","","Ind",10.76,10.2
"DST","Cardinals  (0000000)","Cardinals ",0,3500,"TB@Ari 00:00PM ET","Ari","Cardinals","","TB",9.31,8.6
"DST","Vikings  (0000000)","Vikings ",0,3400,"GB@Min 00:00PM ET","Min","Vikings","","GB",6.67,7
"DST","Texans  (0000000)","Texans ",0,3400,"KC@Hou 00:00PM ET","Hou","Texans","","KC",7.1,6.7
"DST","Jets  (0000000)","Jets ",0,3300,"NYJ@Buf 00:00PM ET","NYJ","Jets","","Buf",8.29,7.2
"DST","Rams  (0000000)","Rams ",0,3300,"Sea@LA 00:00PM ET","LA","Rams","","Sea",5.15,7.7
"DST","Eagles  (0000000)","Eagles ",0,3300,"Phi@Chi 00:00PM ET","Phi","Eagles","","Chi",9.08,7.4
"DST","Packers  (0000000)","Packers ",0,3200,"GB@Min 00:00PM ET","GB","Packers","","Min",8.11,7.3
"DST","Chiefs  (0000000)","Chiefs ",0,3200,"KC@Hou 00:00PM ET","KC","Chiefs","","Hou",8.85,8.5
"DST","Bills  (0000000)","Bills ",0,3100,"NYJ@Buf 00:00PM ET","Buf","Bills","","NYJ",8.85,7.1
"DST","Patriots  (0000000)","Patriots ",0,3000,"Mia@NE 00:00PM ET","NE","Patriots","","Mia",10.63,9.4
"DST","Ravens  (0000000)","Ravens ",0,3000,"Bal@Cle 00:00PM ET","Bal","Ravens","","Cle",7.82,7.5
"DST","Bears  (0000000)","Bears ",0,2900,"Phi@Chi 00:00PM ET","Chi","Bears","","Phi",6.39,6.2
"DST","Steelers  (0000000)","Steelers ",0,2900,"Cin@Pit 00:00PM ET","Pit","Steelers","","Cin",7.8,7.5
"DST","Lions  (0000000)","Lions ",0,2800,"Ten@Det 00:00PM ET","Det","Lions","","Ten",7.65,8.1
"DST","Bengals  (0000000)","Bengals ",0,2800,"Cin@Pit 00:00PM ET","Cin","Bengals","","Pit",7.18,7.3
"DST","Redskins  (0000000)","Redskins ",0,2800,"Dal@Was 00:00PM ET","Was","Redskins","","Dal",8,7.2
"DST","Raiders  (0000000)","Raiders ",0,2700,"Atl@Oak 00:00PM ET","Oak","Raiders","","Atl",6.58,7.9
"DST","Colts  (0000000)","Colts ",0,2700,"Ind@Den 00:00PM ET","Ind","Colts","","Den",5.31,6.5
"DST","Giants  (0000000)","Giants ",0,2600,"NO@NYG 00:00PM ET","NYG","Giants","","NO",5.99,7.6
"DST","Browns  (0000000)","Browns ",0,2500,"Bal@Cle 00:00PM ET","Cle","Browns","","Bal",6.31,7
"DST","Dolphins  (0000000)","Dolphins ",0,2500,"Mia@NE 00:00PM ET","Mia","Dolphins","","NE",6.89,5.6
"DST","Chargers  (0000000)","Chargers ",0,2500,"Jax@SD 00:00PM ET","SD","Chargers","","Jax",6.74,7.3
"DST","Cowboys  (0000000)","Cowboys ",0,2400,"Dal@Was 00:00PM ET","Dal","Cowboys","","Was",5.88,5.1
"DST","49ers  (0000000)","49ers ",0,2400,"SF@Car 00:00PM ET","SF","49ers","","Car",5.59,3.9
"DST","Falcons  (0000000)","Falcons ",0,2300,"Atl@Oak 00:00PM ET","Atl","Falcons","","Oak",4.88,5.6
"DST","Saints  (0000000)","Saints ",0,2300,"NO@NYG 00:00PM ET","NO","Saints","","NYG",5.4,5.8
"DST","Jaguars  (0000000)","Jaguars ",0,2300,"Jax@SD 00:00PM ET","Jax","Jaguars","","SD",6.93,6.6
"DST","Titans  (0000000)","Titans ",0,2200,"Ten@Det 00:00PM ET","Ten","Titans","","Det",6.78,6.1
"DST","Buccaneers  (0000000)","Buccaneers ",0,2200,"TB@Ari 00:00PM ET","TB","Buccaneers","","Ari",5.23,6
