"Player","Pos","Team","Opp","Def v Pos","VegasPts","Salary","Floor","Ceiling","FPG","FPPM","USG","FGA","MPG","Proj Mins","FC Proj","My Proj","Exposure","Con.","Value","Mins","Score","Val"
"Victor Oladipo","PG/SGPGSG","IND","@ TOR","5th",105.25,8000,27.3,63.6,40.1,1.23,31.1,17.5,32.7,34.75,42.85,42.85,"%",74,5.4,38,65.75,8.2
"DeMar DeRozan","SG/SFSGSF","TOR","vs IND","12th",112.25,7900,21.2,58.7,37.6,1.11,30.4,17.4,33.8,33.19,37.24,37.24,"%",71,4.7,33,44.75,5.7
"Bradley Beal","SG","WAS","vs DET","8th",102.5,7900,23,58.5,37.4,1.09,28.8,17.7,34.2,36.57,38.18,38.18,"%",73,4.8,32,18,2.3
"Marc Gasol","C","MEM","vs SAS","14th",94.75,7800,21.6,60.4,40.2,1.19,28.5,15.5,33.9,33.54,38.2,38.2,"%",72,4.9,34,45.25,5.8
"Aaron Gordon","SF/PFSFPF","ORL","vs GSW","15th",109.25,7600,19.2,65.9,36.9,1.14,22.2,12.8,32.4,36.32,39.23,39.23,"%",64,5.2,36,46.25,6.1
"Dwight Howard","C","CHA","@ MIA","21st",101.75,7500,20,58.7,35.9,1.22,25.4,10,29.4,30.11,36.58,36.58,"%",69,4.9,16,18.75,2.5
"Draymond Green","PF/CPFC","GSW","@ ORL","19th",119.25,7400,28.4,56.6,34.6,1.11,16.2,7.7,31.1,34.38,40.5,40.5,"%",77,5.5,33,41.25,5.6
"Jimmy Butler","SG","MIN","@ OKC","14th",101.75,7300,22.3,55.1,34.9,0.98,22.4,14.2,35.7,35.41,36.37,36.37,"%",73,5,41,45.25,6.2
"Nikola Vucevic","C","ORL","vs GSW","9th",109.25,7200,16.5,53.5,35.9,1.23,25.1,14.2,29.1,30.14,32.37,32.37,"%",71,4.5,25,17.75,2.5
"Goran Dragic","PG","MIA","vs CHA","19th",103.75,7000,25.3,53,31.3,0.97,25.2,14.2,32.3,37.1,37.21,37.21,"%",75,5.3,27,17,2.4
"Klay Thompson","SG","GSW","@ ORL","19th",119.25,6900,23.1,49.9,33.3,1.02,24.5,16.2,32.6,32,34.59,34.59,"%",77,5,35,39.75,5.8
"Tyreke Evans","SG/SFSGSF","MEM","vs SAS","4th",94.75,6800,21.9,51.1,32.1,1.14,28.1,13.6,28.2,32,34.37,34.37,"%",74,5.1,28,14.25,2.1
"Carmelo Anthony","SF/PFSFPF","OKC","vs MIN","17th",106.75,6700,24.6,45.5,33.7,1.06,27.4,16.7,31.9,32.54,33.58,33.58,"%",82,5,29,18,2.7
"Andrew Wiggins","SF/PFSFPF","MIN","@ OKC","6th",101.75,6700,16.6,44.6,30.9,0.85,23.9,15.6,36.2,37.79,28.64,28.64,"%",74,4.3,39,33.75,5
"Donovan Mitchell","PG/SGPGSG","UTA","vs NOP","25th",101,6600,21.7,58.9,27.7,0.99,28.1,14.4,28.1,35.6,37.63,37.63,"%",62,5.7,36,53.5,8.1
"Otto Porter","SF/PFSFPF","WAS","vs DET","24th",102.5,6500,9.2,48.8,32.3,1,18.7,12.1,32.4,31,26.16,26.16,"%",65,4,32,38.25,5.9
"Derrick Favors","PF/CPFC","UTA","vs NOP","28th",101,6500,13.5,52.5,26.9,0.98,20.5,9.7,27.4,29.11,30.19,30.19,"%",59,4.6,33,43.75,6.7
"Jeff Teague","PG","MIN","@ OKC","1st",101.75,6500,15.4,53.4,33.2,1,21.3,11.5,33.3,35.4,31.72,31.72,"%",67,4.9,34,31.25,4.8
"Dion Waiters","SG/SFSGSF","MIA","vs CHA","11th",103.75,6400,11.2,43.1,26.4,0.85,26.6,15.1,30.9,29.89,24.87,24.87,"%",66,3.9,29,26.75,4.2
"Tobias Harris","SF/PFSFPF","DET","@ WAS","25th",101.5,6300,21.9,56,31.1,0.96,22.8,15.3,32.4,34.49,36.49,36.49,"%",69,5.8,27,20,3.2
"Myles Turner","C","IND","@ TOR","12th",105.25,6300,16.2,49.8,30.9,1.09,22,11.3,28.3,29.11,30.59,30.59,"%",69,4.9,33,28.5,4.5
"Kris Dunn","PG/SGPGSG","CHI","vs SAC","20th",97.25,6200,13,49,27.5,1.04,25.9,11.7,26.4,27.54,28.45,28.45,"%",63,4.6,27,26,4.2
"Jrue Holiday","PG/SGPGSG","NOP","@ UTA","5th",104,6200,15.4,48.5,32.1,0.9,21,13.6,35.7,34.2,29.58,29.58,"%",70,4.8,40,24.5,4
"Elfrid Payton","PG","ORL","vs GSW","8th",109.25,6100,13.4,55.1,28.6,1.11,22.4,9.2,25.8,30.79,31.28,31.28,"%",58,5.1,29,33.5,5.5
"Reggie Jackson","PG","DET","@ WAS","12th",101.5,6000,14.8,40.3,29.5,1.08,25.6,12.2,27.2,25.78,25.73,25.73,"%",75,4.3,25,16.5,2.8
"Pau Gasol","PF/CPFC","SAS","@ MEM","4th",97.75,6000,15.8,46.5,29.5,1.18,20.2,8.5,25.1,27.53,28.91,28.91,"%",70,4.8,29,25.5,4.3
"Nicolas Batum","SG/SFSGSF","CHA","@ MIA","23rd",101.75,6000,12.8,47.2,21.8,0.84,20,9.6,25.9,32.2,27.56,27.56,"%",55,4.6,35,25.75,4.3
"Lauri Markkanen","PF","CHI","vs SAC","29th",97.25,6000,21.9,50.5,30.3,1,22.1,12.7,30.2,30,34.2,34.2,"%",73,5.7,27,22.75,3.8
"James Johnson","PF","MIA","vs CHA","20th",103.75,5900,6.5,45.4,27.3,1.01,20.4,8.6,27,25.25,23.18,23.18,"%",59,3.9,28,24,4.1
"Steven Adams","C","OKC","vs MIN","28th",106.75,5800,19.2,52.1,28,0.92,16,8.4,30.6,34.65,33.26,33.26,"%",66,5.7,32,38,6.6
"Avery Bradley","PG/SGPGSG","DET","@ WAS","7th",101.5,5800,16.2,41.8,26.2,0.84,25.2,14.1,31.2,33.13,27.17,27.17,"%",72,4.7,34,25.5,4.4
"Darren Collison","PG","IND","@ TOR","10th",105.25,5800,8,48.2,28.4,0.9,16.8,9.5,31.4,31.25,25.19,25.19,"%",60,4.3,33,34.75,6
"Justin Holiday","SG/SFSGSF","CHI","vs SAC","10th",97.25,5800,14.2,43.2,27.7,0.82,21.2,13.9,33.8,33.61,26.62,26.62,"%",70,4.6,36,27.5,4.7
"Denzel Valentine","SG/SFSGSF","CHI","vs SAC","10th",97.25,5700,14.6,46.5,24.4,0.85,17.9,10,28.6,32.25,28.28,28.28,"%",63,5,25,17,3
"Taj Gibson","PF/CPFC","MIN","@ OKC","8th",101.75,5700,19.1,51.5,26.4,0.83,14.1,8.1,32,38.4,33.02,33.02,"%",65,5.8,36,16,2.8
"Jeremy Lamb","SG/SFSGSF","CHA","@ MIA","23rd",101.75,5700,16.3,44.5,30.4,1.07,24.5,12.5,28.5,24.2,28.36,28.36,"%",73,5,25,24.5,4.3
"Mario Chalmers","PG","MEM","vs SAS","6th",94.75,5700,9.4,40.2,20.8,0.85,19.9,7.7,24.4,28.3,22.58,22.58,"%",58,4,17,10.5,1.8
"Rodney Hood","SG/SFSGSF","UTA","vs NOP","25th",101,5700,15.7,47.4,26,0.94,28.5,14.7,27.8,30,29.28,29.28,"%",65,5.1,NA,NA,NA
"Ricky Rubio","PG","UTA","vs NOP","23rd",101,5600,8.9,45.3,28,0.99,24.5,10.6,28.3,25.35,24.46,24.46,"%",63,4.4,24,16.75,3
"Thaddeus Young","SF/PFSFPF","IND","@ TOR","12th",105.25,5600,17.4,43.9,27.8,0.85,18.4,12,32.7,32.04,28.74,28.74,"%",73,5.1,33,26.75,4.8
"Kyle Anderson","PG/SFPGSF","SAS","@ MEM","18th",97.75,5500,15.1,40.7,25.4,0.93,15.4,7.1,27.4,29.98,26.05,26.05,"%",71,4.7,23,12,2.2
"Evan Fournier","SG/SFSGSF","ORL","vs GSW","30th",109.25,5500,21.6,54,29.2,0.93,23.8,13.8,31.5,33.75,35.47,35.47,"%",68,6.4,33,33.75,6.1
"Willie Cauley-Stein","PF/CPFC","SAC","@ CHI","25th",98.25,5400,12.8,49.5,24.6,0.99,20.2,8.7,24.9,27.14,28.5,28.5,"%",57,5.3,23,28.75,5.3
"Domantas Sabonis","PF/CPFC","IND","@ TOR","12th",105.25,5300,12.3,43.4,28.1,1.12,21.7,8.5,25.1,23.68,25.6,25.6,"%",68,4.8,20,17,3.2
"Zach Randolph","PF/CPFC","SAC","@ CHI","13th",98.25,5200,9.9,44.3,24.8,1.05,26.9,11.4,23.6,23.57,24.68,24.68,"%",60,4.7,31,48.75,9.4
"Jonathon Simmons","SG/SFSGSF","ORL","vs GSW","18th",109.25,5100,13.5,42.2,21.2,0.85,24.8,10.1,25,31.71,25.78,25.78,"%",61,5.1,38,27.25,5.3
"Robin Lopez","C","CHI","vs SAC","27th",97.25,5100,13.1,37.1,24.5,0.83,21,11.5,29.5,28.75,23.4,23.4,"%",72,4.6,29,28.25,5.5
"Marcin Gortat","C","WAS","vs DET","26th",102.5,4900,8.7,41.5,25.3,0.87,15.2,7.7,29.2,26.46,22.76,22.76,"%",63,4.6,31,40.5,8.3
"Joe Ingles","SG/SFSGSF","UTA","vs NOP","15th",101,4900,12.8,39.3,24.4,0.85,15.9,8.1,28.8,31.21,24.13,24.13,"%",69,4.9,39,32.25,6.6
"Serge Ibaka","PF/CPFC","TOR","vs IND","27th",112.25,4800,16.8,37.9,22.8,0.86,19.7,9.7,26.4,25.6,25.86,25.86,"%",74,5.4,25,29.5,6.1
"Bobby Portis","PF","CHI","vs SAC","29th",97.25,4800,14.1,45,24.7,1.15,25.7,10,21.5,20.82,27.3,27.3,"%",64,5.7,0,0,NA
"Jonas Valanciunas","C","TOR","vs IND","13th",112.25,4800,8.3,45.7,21.2,1.08,22.2,7.3,19.7,24.24,24.29,24.29,"%",50,5.1,21,24.75,5.2
"Kelly Oubre Jr.","SG/SFSGSF","WAS","vs DET","24th",102.5,4800,8.1,40,23.3,0.85,19.5,9.4,27.5,25.61,21.77,21.77,"%",61,4.5,23,19.75,4.1
"Rajon Rondo","PG","NOP","@ UTA","5th",104,4700,8.8,32.5,17.9,0.84,16.5,5.8,21.4,25.36,18.94,18.94,"%",62,4,28,40.5,8.6
"Tyus Jones","PG/SGPGSG","MIN","@ OKC","1st",101.75,4700,0,33.1,13.6,0.77,11.3,3.5,17.7,13.3,10.43,10.43,"%",17,2.2,11,2.5,0.5
"Rudy Gay","SF/PFSFPF","SAS","@ MEM","18th",97.75,4700,11.6,39.3,23.1,1.07,25.9,9.5,21.6,24,23.5,23.5,"%",66,5,19,27.25,5.8
"Markieff Morris","SF/PFSFPF","WAS","vs DET","11th",102.5,4600,8.3,31.8,17.7,0.8,22.2,8.6,22.1,23.68,18.38,18.38,"%",62,4,27,41.25,9
"Buddy Hield","SG/SFSGSF","SAC","@ CHI","30th",98.25,4600,5.7,41,21.8,0.99,25.3,10.5,22.1,19.3,20.81,20.81,"%",54,4.5,7,1.5,0.3
"Josh Richardson","SG/SFSGSF","MIA","vs CHA","11th",103.75,4600,1.6,32.5,19.1,0.6,16.5,9,31.8,29.14,14.86,14.86,"%",54,3.2,34,35.5,7.7
"Bojan Bogdanovic","SG/SFSGSF","IND","@ TOR","5th",105.25,4600,12.2,44.4,22.8,0.75,18.7,10.9,30.5,33.93,25.99,25.99,"%",60,5.7,35,15.25,3.3
"Jerian Grant","PG/SGPGSG","CHI","vs SAC","20th",97.25,4500,6.6,38.7,22.2,0.88,17.9,7.6,25.3,23.5,20.35,20.35,"%",59,4.5,26,31,6.9
"Lance Stephenson","SG/SFSGSF","IND","@ TOR","5th",105.25,4500,12.1,42.7,19.4,0.92,19.4,7,21,25.18,25.21,25.21,"%",55,5.6,18,13.5,3
"Kelly Olynyk","PF/CPFC","MIA","vs CHA","11th",103.75,4400,4.9,36.7,19.9,1.07,20.8,6.1,18.6,19.82,18.53,18.53,"%",54,4.2,29,23,5.2
"De'Aaron Fox","PG","SAC","@ CHI","27th",98.25,4400,12.5,37.5,21.6,0.84,24,10.5,25.7,26.25,23.23,23.23,"%",67,5.3,27,24.25,5.5
"Michael Carter-Williams","PG","CHA","@ MIA","4th",101.75,4400,17.2,42.4,15.1,0.89,18.4,4.8,17,34.6,27.99,27.99,"%",52,6.4,27,29,6.6
"Tyler Johnson","PG/SGPGSG","MIA","vs CHA","11th",103.75,4400,5.8,33.5,19.6,0.73,18.4,9,26.9,25.71,17.66,17.66,"%",60,4,21,16,3.6
"JaMychal Green","SF/PFSFPF","MEM","vs SAS","6th",94.75,4300,11.4,36.9,19.9,0.82,17.9,7.3,24.4,29.82,22.31,22.31,"%",63,5.2,20,9.75,2.3
"Danny Green","SG/SFSGSF","SAS","@ MEM","3rd",97.75,4300,5.2,40.8,22.8,0.8,17.5,9.3,28.5,28.27,20.44,20.44,"%",55,4.8,28,15.75,3.7
"Malik Monk","PG/SGPGSG","CHA","@ MIA","4th",101.75,4200,0,32.7,13.5,0.8,20.3,7.7,16.9,14.9,12.01,12.01,"%",23,2.9,20,11.25,2.7
"George Hill","PG/SGPGSG","SAC","@ CHI","27th",98.25,4200,8.9,37.5,18.4,0.72,16.4,7.5,25.6,25.96,21.16,21.16,"%",56,5,25,22.75,5.4
"Tim Frazier","PG","WAS","vs DET","16th",102.5,4200,9.1,30.2,13.5,0.81,14,3.4,16.7,23.25,18.18,18.18,"%",55,4.3,23,24.75,5.9
"Michael Kidd-Gilchrist","SF","CHA","@ MIA","27th",101.75,4200,9,39.9,17.1,0.69,15.5,7.7,24.8,29.43,22.25,22.25,"%",48,5.3,35,25.25,6
"Patrick Mills","PG","SAS","@ MEM","11th",97.75,4100,10.6,38.6,19.8,0.77,18.5,8.7,25.8,28.35,22.57,22.57,"%",60,5.5,21,17.5,4.3
"Pascal Siakam","PF","TOR","vs IND","27th",112.25,4100,11.6,39.7,18.6,0.91,16.5,6.4,20.4,24.43,23.62,23.62,"%",57,5.8,24,10.75,2.6
"Ishmael Smith","PG","DET","@ WAS","12th",101.5,4100,9.9,30.5,19.4,1.01,23.6,8.6,19.2,19.4,18.72,18.72,"%",70,4.6,22,16.5,4
"Bam Adebayo","PF/CPFC","MIA","vs CHA","11th",103.75,4100,6.5,44,12.1,0.86,12.4,3.2,14,28.1,22.59,22.59,"%",12,5.5,18,17.75,4.3
"Jerami Grant","SF/PFSFPF","OKC","vs MIN","17th",106.75,4000,4.4,28.1,18.1,0.82,16.7,6.2,22,17.83,14.57,14.57,"%",63,3.6,24,20.75,5.2
"Frank Kaminsky","PF/CPFC","CHA","@ MIA","21st",101.75,4000,4.6,36,19.8,0.82,20.7,9.5,24.1,22.46,18.06,18.06,"%",55,4.5,16,10.25,2.6
"Norman Powell","SG/SFSGSF","TOR","vs IND","12th",112.25,4000,7.1,33.7,18,0.8,19.1,8,22.5,22.6,18.53,18.53,"%",58,4.6,15,22.25,5.6
"Jonas Jerebko","SF/PFSFPF","UTA","vs NOP","28th",101,3900,5.1,37.9,13.3,0.86,14.7,4.5,15.4,20.73,19.15,19.15,"%",30,4.9,21,20.5,5.3
"Garrett Temple","PG/SGPGSG","SAC","@ CHI","30th",98.25,3900,9.3,32.8,16.6,0.67,16.8,7.3,24.6,27.89,19.36,19.36,"%",60,5,36,28.25,7.2
"D.J. Augustin","PG/SGPGSG","ORL","vs GSW","8th",109.25,3900,0.5,31.8,17.8,0.91,17.6,5.3,19.6,16.96,13.92,13.92,"%",50,3.6,17,19,4.9
"Justise Winslow","SF/PFSFPF","MIA","vs CHA","28th",103.75,3900,7.6,30.9,18.1,0.81,16.3,6.4,22.4,19.39,17.59,17.59,"%",63,4.5,31,25.25,6.5
