"Place_lo","Place_hi","Payout"
"1","1","250"
"2","2","150"
"3","3","100"
"4","4","75"
"5","5","50"
"6","7","40"
"8","10","30"
"11","15","25"
"16","20","20"
"21","30","15"
"31","40","10"
"41","50","8"
"51","70","7"
"71","100","6"
"101","150","5"
"151","250","4"
"251","425","3"
"426","775","2.5"
"776","1415","2"
