"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PG/SG","Stephen Curry",9800,"SAC@GS 11/27/2017 10:30PM ET",46.355,"GS"
"SF/PF","Kevin Durant",9500,"SAC@GS 11/27/2017 10:30PM ET",45.719,"GS"
"PF/C","Blake Griffin",9000,"LAL@LAC 11/27/2017 10:30PM ET",43.403,"LAC"
"PF/C","Draymond Green",7100,"SAC@GS 11/27/2017 10:30PM ET",34.079,"GS"
"PG","Lonzo Ball",7100,"LAL@LAC 11/27/2017 10:30PM ET",33.487,"LAL"
"SG","Klay Thompson",7000,"SAC@GS 11/27/2017 10:30PM ET",33.313,"GS"
"SF/PF","Kyle Kuzma",6800,"LAL@LAC 11/27/2017 10:30PM ET",28.263,"LAL"
"C","DeAndre Jordan",6700,"LAL@LAC 11/27/2017 10:30PM ET",32.292,"LAC"
"PG/SG","Lou Williams",6500,"LAL@LAC 11/27/2017 10:30PM ET",28.792,"LAC"
"SG/SF","Brandon Ingram",6100,"LAL@LAC 11/27/2017 10:30PM ET",28.697,"LAL"
"SF","Danilo Gallinari",5700,"LAL@LAC 11/27/2017 10:30PM ET",24.806,"LAC"
"C","Brook Lopez",5500,"LAL@LAC 11/27/2017 10:30PM ET",27.421,"LAL"
"PF/C","Zach Randolph",5400,"SAC@GS 11/27/2017 10:30PM ET",25.265,"SAC"
"SF/PF","Larry Nance Jr.",5400,"LAL@LAC 11/27/2017 10:30PM ET",25.25,"LAL"
"SG","Kentavious Caldwell-Pope",5300,"LAL@LAC 11/27/2017 10:30PM ET",27.412,"LAL"
"PF/C","Julius Randle",5300,"LAL@LAC 11/27/2017 10:30PM ET",25.184,"LAL"
"PF/C","Willie Cauley-Stein",5100,"SAC@GS 11/27/2017 10:30PM ET",23.711,"SAC"
"PG/SG","Patrick Beverley",5000,"LAL@LAC 11/27/2017 10:30PM ET",25.977,"LAC"
"PG/SG","Austin Rivers",4900,"LAL@LAC 11/27/2017 10:30PM ET",23.5,"LAC"
"PG/SG","Jordan Clarkson",4800,"LAL@LAC 11/27/2017 10:30PM ET",23.329,"LAL"
"PG","De'Aaron Fox",4600,"SAC@GS 11/27/2017 10:30PM ET",22.408,"SAC"
"SG/SF","Buddy Hield",4500,"SAC@GS 11/27/2017 10:30PM ET",22.985,"SAC"
"SF/PF","Wesley Johnson",4400,"LAL@LAC 11/27/2017 10:30PM ET",18.403,"LAC"
"PG/SG","George Hill",4200,"SAC@GS 11/27/2017 10:30PM ET",18.824,"SAC"
"PG/SG","Milos Teodosic",4000,"LAL@LAC 11/27/2017 10:30PM ET",13.125,"LAC"
"SG/SF","Andre Iguodala",3900,"SAC@GS 11/27/2017 10:30PM ET",17.278,"GS"
"SF/PF","Omri Casspi",3800,"SAC@GS 11/27/2017 10:30PM ET",13.838,"GS"
"SG/SF","Bogdan Bogdanovic",3700,"SAC@GS 11/27/2017 10:30PM ET",17.578,"SAC"
"PF/C","David West",3500,"SAC@GS 11/27/2017 10:30PM ET",15.632,"GS"
"PG/SG","Shaun Livingston",3500,"SAC@GS 11/27/2017 10:30PM ET",11.597,"GS"
"PG/SG","Garrett Temple",3500,"SAC@GS 11/27/2017 10:30PM ET",15.833,"SAC"
"C","Kosta Koufos",3400,"SAC@GS 11/27/2017 10:30PM ET",17.25,"SAC"
"PF/C","Skal Labissiere",3400,"SAC@GS 11/27/2017 10:30PM ET",15.842,"SAC"
"C","Ivica Zubac",3400,"LAL@LAC 11/27/2017 10:30PM ET",1.6,"LAL"
"SG","Nick Young",3300,"SAC@GS 11/27/2017 10:30PM ET",11.342,"GS"
"SG/SF","Justin Jackson",3300,"SAC@GS 11/27/2017 10:30PM ET",10.141,"SAC"
"PF/C","Jordan Bell",3200,"SAC@GS 11/27/2017 10:30PM ET",10.661,"GS"
"SG/SF","Patrick McCaw",3200,"SAC@GS 11/27/2017 10:30PM ET",7.118,"GS"
