"Position","Name","Salary","GameInfo","AvgPointsPerGame","Team","Opponent","Projection","Projection_dfn","Actual_fpts"
"PG/SG","Stephen Curry",9800,"SAC@GS 11/27/2017 10:30PM ET",46.355,"GS","SAC",0,0,0
"SF/PF","Kevin Durant",9500,"SAC@GS 11/27/2017 10:30PM ET",45.719,"GS","SAC",0,0,0
"PF/C","Blake Griffin",9000,"LAL@LAC 11/27/2017 10:30PM ET",43.403,"LAC","LAL",44.95,47.4,50.25
"PF/C","Draymond Green",7100,"SAC@GS 11/27/2017 10:30PM ET",34.079,"GS","SAC",39.45,38.8,34
"PG","Lonzo Ball",7100,"LAL@LAC 11/27/2017 10:30PM ET",33.487,"LAL","LAC",33.05,34.2,20.75
"SG","Klay Thompson",7000,"SAC@GS 11/27/2017 10:30PM ET",33.313,"GS","SAC",39.1,38.5,36.25
"SF/PF","Kyle Kuzma",6800,"LAL@LAC 11/27/2017 10:30PM ET",28.263,"LAL","LAC",26.29,25.2,22
"C","DeAndre Jordan",6700,"LAL@LAC 11/27/2017 10:30PM ET",32.292,"LAC","LAL",34.68,37.5,19.75
"PG/SG","Lou Williams",6500,"LAL@LAC 11/27/2017 10:30PM ET",28.792,"LAC","LAL",39.66,38.6,0
"SG/SF","Brandon Ingram",6100,"LAL@LAC 11/27/2017 10:30PM ET",28.697,"LAL","LAC",29.5,29.2,24.75
"SF","Danilo Gallinari",5700,"LAL@LAC 11/27/2017 10:30PM ET",24.806,"LAC","LAL",0,0,0
"C","Brook Lopez",5500,"LAL@LAC 11/27/2017 10:30PM ET",27.421,"LAL","LAC",24.53,24,11.75
"PF/C","Zach Randolph",5400,"SAC@GS 11/27/2017 10:30PM ET",25.265,"SAC","GS",26.54,26.2,23
"SF/PF","Larry Nance",5400,"LAL@LAC 11/27/2017 10:30PM ET",25.25,"LAL","LAC",21.85,19.7,29
"SG","Kentavious Caldwell-Pope",5300,"LAL@LAC 11/27/2017 10:30PM ET",27.412,"LAL","LAC",24.64,26.1,46
"PF/C","Julius Randle",5300,"LAL@LAC 11/27/2017 10:30PM ET",25.184,"LAL","LAC",22.59,23.5,16.75
"PF/C","Willie Cauley-Stein",5100,"SAC@GS 11/27/2017 10:30PM ET",23.711,"SAC","GS",26.37,25.6,43
"PG/SG","Patrick Beverley",5000,"LAL@LAC 11/27/2017 10:30PM ET",25.977,"LAC","LAL",0,0,0
"PG/SG","Austin Rivers",4900,"LAL@LAC 11/27/2017 10:30PM ET",23.5,"LAC","LAL",25.61,26.8,39
"PG/SG","Jordan Clarkson",4800,"LAL@LAC 11/27/2017 10:30PM ET",23.329,"LAL","LAC",22.97,22.2,34
"PG","De'Aaron Fox",4600,"SAC@GS 11/27/2017 10:30PM ET",22.408,"SAC","GS",24.54,22.8,20
"SG/SF","Buddy Hield",4500,"SAC@GS 11/27/2017 10:30PM ET",22.985,"SAC","GS",22.07,21.9,6.75
"SF/PF","Wesley Johnson",4400,"LAL@LAC 11/27/2017 10:30PM ET",18.403,"LAC","LAL",24.87,24.6,9.25
"PG/SG","George Hill",4200,"SAC@GS 11/27/2017 10:30PM ET",18.824,"SAC","GS",18.55,19.2,21.5
"PG/SG","Milos Teodosic",4000,"LAL@LAC 11/27/2017 10:30PM ET",13.125,"LAC","LAL",0,0,0
