"Place_lo","Place_hi","Payout"
"1","1","30000"
"2","2","20000"
"3","3","10000"
"4","4","7000"
"5","5","5000"
"6","6","4000"
"7","7","3000"
"8","8","2000"
"9","10","1500"
"11","15","1000"
"16","25","700"
"26","35","500"
"36","50","400"
"51","75","300"
"76","100","200"
"101","150","150"
"151","250","125"
"251","445","100"
"446","745","90"
"746","1545","80"
