"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup","X","Player","Roster.Position","X.Drafted","FPTS"
1,937118343,"bcalicore (9/50)",0,350.75,"G Russell Westbrook PG Kyle Lowry PF Aaron Gordon F Enes Kanter C Trevor Booker SF Courtney Lee SG J.J. Barea UTIL Pascal Siakam",NA,"Harrison Barnes","PF","45.49%",39.5
2,937159306,"bellaedward4eva (74/150)",0,343,"G Russell Westbrook C LaMarcus Aldridge SF Aaron Gordon F Tyreke Evans UTIL Jordan Clarkson PG J.J. Barea PF Kelly Olynyk SG Ben McLemore",NA,"Michael Carter-Williams","G","32.95%",21.5
3,937159250,"bellaedward4eva (18/150)",0,342.25,"C Joel Embiid PG Kyle Lowry F Aaron Gordon UTIL Harrison Barnes G Reggie Jackson SF Wesley Matthews SG Caris LeVert PF Kelly Olynyk",NA,"Russell Westbrook","PG","32.69%",69.75
4,937529151,"deadfan1125",0,341.25,"PG Russell Westbrook C Joel Embiid G Kyle Lowry PF Dario Saric UTIL Tyus Jones SG Lance Stephenson SF Kelly Oubre Jr. F Jordan Bell",NA,"Tyreke Evans","F","28.75%",32.75
5,937118382,"bcalicore (48/50)",0,341,"PG Russell Westbrook C Joel Embiid SF Aaron Gordon F Trevor Booker SG Jordan Clarkson UTIL Kelly Olynyk G Jarrett Jack PF Pascal Siakam",NA,"Kristaps Porzingis","UTIL","26.35%",3.5
6,937043635,"EmileHeskey (60/150)",0,340,"C Joel Embiid PG Kyle Lowry PF Aaron Gordon F Harrison Barnes G Dennis Smith Jr. UTIL Jordan Clarkson SG Caris LeVert SF Joe Harris",NA,"Pascal Siakam","F","23.54%",15
7,937043599,"EmileHeskey (24/150)",0,338,"G Kyle Lowry C Nikola Vucevic SF Aaron Gordon PF Harrison Barnes PG Reggie Jackson F Enes Kanter UTIL Steven Adams SG Caris LeVert",NA,"Dennis Smith Jr.","SG","22.77%",16
8,937159277,"bellaedward4eva (45/150)",0,337.75,"G Russell Westbrook PG Kyle Lowry F Harrison Barnes C Enes Kanter PF Trevor Booker SF Courtney Lee SG Jordan Clarkson UTIL Michael Carter-Williams",NA,"Bam Adebayo","F","22.31%",18.75
9,937043721,"EmileHeskey (146/150)",0,336.25,"G Kyle Lowry C Nikola Vucevic PF Aaron Gordon SF Tyreke Evans PG Reggie Jackson F Enes Kanter UTIL Dirk Nowitzki SG Courtney Lee",NA,"DeMarcus Cousins","C","20.45%",42.5
10,937118363,"bcalicore (29/50)",0,334.5,"PG Russell Westbrook F Aaron Gordon G Tyreke Evans SF Tim Hardaway Jr. PF Enes Kanter SG Jordan Clarkson UTIL Kelly Olynyk C Marquese Chriss",NA,"Andre Drummond","C","18.29%",35.25
11,937043714,"EmileHeskey (139/150)",0,332,"C Marc Gasol G Kyle Lowry PF Aaron Gordon PG Reggie Jackson F Enes Kanter SG Dennis Smith Jr. SF Courtney Lee UTIL Jordan Clarkson",NA,"Trevor Booker","PF","17.58%",31.5
11,937118358,"bcalicore (24/50)",0,332,"UTIL Joel Embiid F LaMarcus Aldridge PF Aaron Gordon SG Tyreke Evans C Trevor Booker SF Courtney Lee G J.J. Barea PG Michael Carter-Williams",NA,"Wesley Matthews","G","16.10%",15.25
13,937043662,"EmileHeskey (87/150)",0,330.75,"C Joel Embiid UTIL Nikola Vucevic SF Aaron Gordon PG Reggie Jackson PF Enes Kanter F Trevor Booker G Jordan Clarkson SG Jonathon Simmons",NA,"Steven Adams","C","15.76%",20
14,937159275,"bellaedward4eva (43/150)",0,329.75,"PG Russell Westbrook SF Aaron Gordon SG Tyreke Evans C Myles Turner PF Enes Kanter UTIL Trevor Booker G Michael Carter-Williams F Pascal Siakam",NA,"Kelly Olynyk","PF","15.38%",28.75
15,937324718,"btwice80 (17/40)",0,329.5,"G Russell Westbrook F Carmelo Anthony PF Aaron Gordon UTIL Elfrid Payton C Steven Adams SG Jordan Clarkson SF Lance Stephenson PG Michael Carter-Williams",NA,"Nicolas Batum","SG","15.18%",19.75
