"Position","Name","Salary","GameInfo","AvgPointsPerGame","Team","Opponent","Projection","Projection_dfn","Actual_fpts"
"PG","Ish Smith",3800,"PHO@DET 11/29/2017 07:00PM ET",18.895,"DET","PHO",19.4,20,0
"SG/SF","Terrence Ross",3800,"OKC@ORL 11/29/2017 07:00PM ET",19.06,"ORL","OKC",16.1,16.9,13.25
"SG/SF","Glenn Robinson III",3800,"IND@HOU 11/29/2017 08:00PM ET",0,"IND","HOU",0,0,0
"PG/SG","Yogi Ferrell",3800,"BKN@DAL 11/29/2017 08:30PM ET",17.214,"DAL","BKN",15.74,15.2,17.75
"PG/SG","Markelle Fultz",3800,"WAS@PHI 11/29/2017 07:00PM ET",12.438,"PHI","WAS",0,0,0
"PF/C","Gorgui Dieng",3800,"MIN@NO 11/29/2017 08:00PM ET",13.853,"MIN","NO",13.79,13.9,41.5
"PG","Dejounte Murray",3800,"MEM@SA 11/29/2017 08:30PM ET",18.838,"SA","MEM",4.33,0,3
"PF","Pascal Siakam",3800,"CHA@TOR 11/29/2017 07:30PM ET",18.819,"TOR","CHA",22.91,23.1,15
"PF/C","Frank Kaminsky",3800,"CHA@TOR 11/29/2017 07:30PM ET",19.208,"CHA","TOR",16.4,15.8,30.75
"PG/SG","Shaun Livingston",3700,"GS@LAL 11/29/2017 10:30PM ET",11.763,"GS","LAL",10.55,11.2,7.25
"PG/SG","DJ Augustin",3700,"OKC@ORL 11/29/2017 07:00PM ET",17.625,"ORL","OKC",15.61,13,19.75
"PG/SG","Devin Harris",3700,"BKN@DAL 11/29/2017 08:30PM ET",15.6,"DAL","BKN",16.1,16.8,21.5
"PF/C","Richaun Holmes",3700,"WAS@PHI 11/29/2017 07:00PM ET",10.219,"PHI","WAS",0,0,0
"SG/SF","E'Twaun Moore",3700,"MIN@NO 11/29/2017 08:00PM ET",20.4,"NO","MIN",17.43,17.9,11
"SG/SF","Manu Ginobili",3700,"MEM@SA 11/29/2017 08:30PM ET",14.985,"SA","MEM",15.49,15,10.25
"PG/SG","Bryn Forbes",3700,"MEM@SA 11/29/2017 08:30PM ET",10.25,"SA","MEM",10.17,10.2,10.75
"SF/PF","Marvin Williams",3700,"CHA@TOR 11/29/2017 07:30PM ET",18.711,"CHA","TOR",21.81,20.4,15.25
"SG/SF","Patrick McCaw",3600,"GS@LAL 11/29/2017 10:30PM ET",8.958,"GS","LAL",6.09,0,0
"PF/C","Bam Adebayo",3600,"MIA@NY 11/29/2017 07:30PM ET",9.5,"MIA","NY",19.48,20.1,18.75
"SF/PF","Michael Beasley",3600,"MIA@NY 11/29/2017 07:30PM ET",12.857,"NY","MIA",0,0,0
"SF/PF","PJ Tucker",3600,"IND@HOU 11/29/2017 08:00PM ET",18.988,"HOU","IND",15.93,16.4,6
"PG/SG","Sean Kilpatrick",3600,"BKN@DAL 11/29/2017 08:30PM ET",9.327,"BKN","DAL",18.73,19.7,9.25
"SG","Jamal Crawford",3600,"MIN@NO 11/29/2017 08:00PM ET",14.775,"MIN","NO",13.66,13.4,17.25
"SF/PF","Nemanja Bjelica",3600,"MIN@NO 11/29/2017 08:00PM ET",13.514,"MIN","NO",9.79,0,0
"SG/SF","James Ennis III",3600,"MEM@SA 11/29/2017 08:30PM ET",14.958,"MEM","SA",0,13.5,0
"SG","Brandon Paul",3600,"MEM@SA 11/29/2017 08:30PM ET",9.014,"SA","MEM",2.19,0,0
"C","Cody Zeller",3600,"CHA@TOR 11/29/2017 07:30PM ET",17.683,"CHA","TOR",16.16,15.1,12
"PG/SG","Malik Monk",3600,"CHA@TOR 11/29/2017 07:30PM ET",13.103,"CHA","TOR",15.47,13.7,21
"SF/PF","OG Anunoby",3600,"CHA@TOR 11/29/2017 07:30PM ET",12.921,"TOR","CHA",13.19,12.1,5.25
"PF/C","David West",3500,"GS@LAL 11/29/2017 10:30PM ET",15.963,"GS","LAL",0,0,0
"PG/SG","Frank Ntilikina",3500,"MIA@NY 11/29/2017 07:30PM ET",14.278,"NY","MIA",0,0,0
