"Position","Name","Salary","GameInfo","AvgPointsPerGame","Team","Opponent","Projection","Projection_dfn","Actual_fpts"
"SG","Devin Robinson",3000,"WAS@PHI 11/29/2017 07:00PM ET",0,"WAS","PHI",0,0,0
"C","Jahlil Okafor",3000,"WAS@PHI 11/29/2017 07:00PM ET",12.625,"PHI","WAS",0,0,0
"PF","James Michael McAdoo",3000,"WAS@PHI 11/29/2017 07:00PM ET",5,"PHI","WAS",0,0,0
"SF/PF","Justin Anderson",3000,"WAS@PHI 11/29/2017 07:00PM ET",9.875,"PHI","WAS",0,0,0
"PG","Jacob Pullen",3000,"WAS@PHI 11/29/2017 07:00PM ET",0,"PHI","WAS",0,0,0
"PG/SF","Nik Stauskas",3000,"WAS@PHI 11/29/2017 07:00PM ET",2.75,"PHI","WAS",0,0,0
"SG/SF","Furkan Korkmaz",3000,"WAS@PHI 11/29/2017 07:00PM ET",2.25,"PHI","WAS",0,0,0
"PG/SG","Aaron Brooks",3000,"MIN@NO 11/29/2017 08:00PM ET",3.55,"MIN","NO",0,0,7.75
"C","Justin Patton",3000,"MIN@NO 11/29/2017 08:00PM ET",0,"MIN","NO",0,0,0
"SG/SF","Anthony Brown",3000,"MIN@NO 11/29/2017 08:00PM ET",0,"MIN","NO",0,0,0
"SG/SF","Marcus Georges-Hunt",3000,"MIN@NO 11/29/2017 08:00PM ET",1.031,"MIN","NO",0,0,0
"C","Cole Aldrich",3000,"MIN@NO 11/29/2017 08:00PM ET",1.15,"MIN","NO",0,0,0
"SG/SF","Tony Allen",3000,"MIN@NO 11/29/2017 08:00PM ET",9.797,"NO","MIN",7.56,8.9,13.25
"C","Omer Asik",3000,"MIN@NO 11/29/2017 08:00PM ET",7.25,"NO","MIN",0,0,0
"SF","Jalen Jones",3000,"MIN@NO 11/29/2017 08:00PM ET",2.667,"NO","MIN",0,0,0
"SF/PF","Solomon Hill",3000,"MIN@NO 11/29/2017 08:00PM ET",0,"NO","MIN",0,0,0
"SG","Charles Cooke",3000,"MIN@NO 11/29/2017 08:00PM ET",2.75,"NO","MIN",0,0,0
"PG","Frank Jackson",3000,"MIN@NO 11/29/2017 08:00PM ET",0,"NO","MIN",0,0,0
