"Place_lo","Place_hi","Payout"
"1","1","1e+05"
"2","2","40000"
"3","3","20000"
"4","4","10000"
"5","5","7000"
"6","7","5000"
"8","10","4000"
"11","15","3000"
"16","20","2000"
"21","30","1500"
"31","40","1250"
"41","50","1000"
"51","65","750"
"66","80","600"
"81","100","500"
"101","150","400"
"151","200","300"
"201","275","250"
"276","375","200"
"376","500","150"
"501","700","125"
"701","1000","100"
"1001","1650","75"
"1651","2870","60"
"2871","5646","50"
