"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev","Opponent","Projection","Projection_dfn","Projection_baseballmonster","Projection_rotowire","Batting_Order_Projected","Batting_Order_Confirmed","Actual_fpts"
"OF","Mike Trout",4800,"LAA@OAK 10:05PM ET",10.447,"LAA","OAK",8.96,10.3,10.25,NA,"3","3",10
"3B","Nolan Arenado",4800,"COL@MIL 07:40PM ET",9.881,"COL","MIL",8.76,7.1,7.96,NA,"3","4",11
"3B/OF","Kris Bryant",4700,"CHC@STL 08:15PM ET",9.953,"CHC","STL",8.64,7.7,8.44,NA,"2","2",0
"OF","Ryan Braun",4700,"COL@MIL 07:40PM ET",9.138,"MIL","COL",9.26,8.9,9.15,NA,"3","3",19
"OF","Carlos Gonzalez",4600,"COL@MIL 07:40PM ET",8.46,"COL","MIL",7.83,9.4,8.05,NA,"4","3",7
"OF","Charlie Blackmon",4600,"COL@MIL 07:40PM ET",10.014,"COL","MIL",8.36,8.9,8.44,NA,"1","1",10
"1B","Paul Goldschmidt",4600,"SF@ARI 09:40PM ET",9.88,"ARI","SF",7.06,8.2,9.56,NA,"3","3",18
"1B","Anthony Rizzo",4500,"CHC@STL 08:15PM ET",9.237,"CHC","STL",8.59,8.5,8.55,NA,"3","3",2
"OF","Michael Brantley",4500,"CLE@TEX 08:05PM ET",6,"CLE","TEX",6.49,7.1,9.68,NA,"2","3",8
"OF","Ian Desmond",4400,"COL@MIL 07:40PM ET",8.585,"COL","MIL",NA,0,NA,NA,"x","x",NA
"1B","Edwin Encarnacion",4400,"CLE@TEX 08:05PM ET",9.296,"CLE","TEX",8.64,8.9,9.74,NA,"4","4",2
"2B","Jose Altuve",4400,"SEA@HOU 08:10PM ET",10.043,"HOU","SEA",9.37,8.7,9.95,NA,"3","3",3
"SS","Carlos Correa",4400,"SEA@HOU 08:10PM ET",8.301,"HOU","SEA",8.04,8.5,8.93,NA,"4","4",2
"OF","David Dahl",4300,"COL@MIL 07:40PM ET",7.778,"COL","MIL",NA,0,NA,NA,"x","x",NA
"1B","Carlos Santana",4300,"CLE@TEX 08:05PM ET",8.312,"CLE","TEX",8.06,9.5,9.7,NA,"5","1",21
"2B","Jason Kipnis",4300,"CLE@TEX 08:05PM ET",8.398,"CLE","TEX",NA,0,NA,NA,"x","x",NA
"SS","Francisco Lindor",4300,"CLE@TEX 08:05PM ET",8.139,"CLE","TEX",7.88,9.1,9.59,NA,"3","2",2
"2B/3B","DJ LeMahieu",4200,"COL@MIL 07:40PM ET",8.776,"COL","MIL",6.81,6.3,7.18,NA,"2","2",5
"SS","Corey Seager",4200,"SD@LAD 10:10PM ET",8.417,"LAD","SD",7.51,6.5,8.38,NA,"2","2",0
"C/OF","Kyle Schwarber",4100,"CHC@STL 08:15PM ET",6.286,"CHC","STL",8.07,8.8,8.34,NA,"1","1",4
"SS","Trevor Story",4100,"COL@MIL 07:40PM ET",9.814,"COL","MIL",7.49,6.4,7.83,NA,"5","5",18
"2B","Robinson Cano",4100,"SEA@HOU 08:10PM ET",9.093,"SEA","HOU",8.36,9.1,8.01,NA,"3","3",7
"OF","Nelson Cruz",4100,"SEA@HOU 08:10PM ET",9.109,"SEA","HOU",7.48,9.1,8.49,NA,"4","4",0
"OF","George Springer",4100,"SEA@HOU 08:10PM ET",8.821,"HOU","SEA",8.37,8.6,9.36,NA,"1","1",5
"C","Gary Sanchez",4000,"NYY@TB 07:10PM ET",10.434,"NYY","TB",7.54,9.2,8.31,NA,"3","2",0
"3B","Evan Longoria",4000,"NYY@TB 07:10PM ET",8.256,"TB","NYY",8.41,8.7,8.21,NA,"3","3",7
"3B/SS","Jonathan Villar",4000,"COL@MIL 07:40PM ET",9.679,"MIL","COL",8.5,8.8,9.35,NA,"1","1",0
"2B/SS","Jean Segura",4000,"SEA@HOU 08:10PM ET",9.575,"SEA","HOU",6.06,8.9,8,NA,"2","1",0
"OF","Hunter Pence",4000,"SF@ARI 09:40PM ET",7.33,"SF","ARI",7.19,9.7,9.02,NA,"4","3",11
"2B","Rougned Odor",3900,"CLE@TEX 08:05PM ET",8.523,"TEX","CLE",5.76,7.7,7.73,NA,"5","5",3
"3B/OF","Jose Ramirez",3900,"CLE@TEX 08:05PM ET",7.845,"CLE","TEX",6.99,8.5,8.63,NA,"1","5",2
"OF","Shin-Soo Choo",3900,"CLE@TEX 08:05PM ET",7.52,"TEX","CLE",6.1,7.8,7.69,NA,"2","2",3
"1B/C","Buster Posey",3900,"SF@ARI 09:40PM ET",7.605,"SF","ARI",7.66,10.2,9.14,NA,"3","4",4
"OF","Dexter Fowler",3800,"CHC@STL 08:15PM ET",8.401,"STL","CHC",5.87,6,7.22,NA,"1","1",3
"3B","Adrian Beltre",3800,"CLE@TEX 08:05PM ET",8.506,"TEX","CLE",NA,0,NA,NA,"x","x",NA
"3B","Kyle Seager",3800,"SEA@HOU 08:10PM ET",8.481,"SEA","HOU",7.07,8.6,7.24,NA,"5","5",5
"1B/OF","Wil Myers",3800,"SD@LAD 10:10PM ET",8.862,"SD","LAD",6.53,6.9,7.18,NA,"3","3",10
"1B/3B","Matt Carpenter",3700,"CHC@STL 08:15PM ET",8.55,"STL","CHC",7.39,6.2,7.2,NA,"3","3",0
"2B/OF","Ben Zobrist",3700,"CHC@STL 08:15PM ET",7.951,"CHC","STL",NA,NA,NA,NA,"4","x",NA
"C","Jonathan Lucroy",3700,"CLE@TEX 08:05PM ET",7.438,"TEX","CLE",NA,NA,NA,NA,"6","x",NA
"1B","Brandon Belt",3700,"SF@ARI 09:40PM ET",7.714,"SF","ARI",5.71,8.5,9.33,NA,"2","2",10
"3B/SS","Eduardo Nunez",3700,"SF@ARI 09:40PM ET",8.368,"SF","ARI",7.01,8.4,8.18,NA,"6","6",10
"OF","AJ Pollock",3700,"SF@ARI 09:40PM ET",8.333,"ARI","SF",6.3,8.2,9.04,NA,"1","1",10
"SS","Aledmys Diaz",3600,"CHC@STL 08:15PM ET",8.477,"STL","CHC",5.37,6.3,6.85,NA,"2","2",0
"OF","Stephen Piscotty",3600,"CHC@STL 08:15PM ET",7.916,"STL","CHC",5.53,5.2,6.57,NA,"4","6",4
"OF","Gerardo Parra",3600,"COL@MIL 07:40PM ET",5.971,"COL","MIL",6.11,6.9,6.11,NA,"6","6",19
"OF","Keon Broxton",3600,"COL@MIL 07:40PM ET",6.92,"MIL","COL",6.32,8,8.39,NA,"2","2",2
"1B","Mike Napoli",3600,"CLE@TEX 08:05PM ET",8.048,"TEX","CLE",5.67,6.4,7.57,NA,"4","4",9
"OF","Carlos Gomez",3600,"CLE@TEX 08:05PM ET",6.661,"TEX","CLE",5.84,7.5,8.16,NA,"1","1",0
"3B","Alex Bregman",3600,"SEA@HOU 08:10PM ET",8.694,"HOU","SEA",7.34,8.3,8.63,NA,"2","2",0
"3B","Jake Lamb",3600,"SF@ARI 09:40PM ET",8,"ARI","SF",6.33,7.3,7.42,NA,"4","4",20
"OF","Denard Span",3600,"SF@ARI 09:40PM ET",7.134,"SF","ARI",NA,NA,NA,NA,"1","x",NA
"1B","Albert Pujols",3500,"LAA@OAK 10:05PM ET",8.118,"LAA","OAK",7.01,7.7,7.45,NA,"4","4",0
"OF","Khris Davis",3500,"LAA@OAK 10:05PM ET",8.225,"OAK","LAA",6.39,7.3,7.68,NA,"4","4",2
"1B/OF","Eric Thames",3500,"COL@MIL 07:40PM ET",0,"MIL","COL",NA,NA,NA,NA,"4","x",NA
"OF","Domingo Santana",3500,"COL@MIL 07:40PM ET",6.3,"MIL","COL",6.24,7.7,7.37,NA,"5","4",11
"SS","Elvis Andrus",3500,"CLE@TEX 08:05PM ET",7.68,"TEX","CLE",5.09,5.8,6.28,NA,"8","8",2
"OF","Tyler Naquin",3500,"CLE@TEX 08:05PM ET",6.031,"CLE","TEX",NA,NA,NA,NA,"7","x",NA
"C","Evan Gattis",3500,"SEA@HOU 08:10PM ET",7.516,"HOU","SEA",NA,7.2,1.9,NA,"x","7",2
"2B","Joe Panik",3500,"SF@ARI 09:40PM ET",6.886,"SF","ARI",5.57,6.3,6.55,NA,"7","8",17
"OF","Yasmany Tomas",3500,"SF@ARI 09:40PM ET",7.678,"ARI","SF",5.46,6.3,7.04,NA,"5","5",0
"2B/3B","Javier Baez",3400,"CHC@STL 08:15PM ET",5.899,"CHC","STL",5.54,5.7,1.59,NA,"x","7",2
"1B","Chris Carter",3400,"NYY@TB 07:10PM ET",7.831,"NYY","TB",NA,0,1.7,NA,"x","x",NA
"OF","Mallex Smith",3400,"NYY@TB 07:10PM ET",5.75,"TB","NYY",4.15,0,1.77,NA,"x","x",NA
"OF","Nomar Mazara",3400,"CLE@TEX 08:05PM ET",6.347,"TEX","CLE",5.64,7.3,7.6,NA,"7","3",10
"OF","Carlos Beltran",3400,"SEA@HOU 08:10PM ET",7.606,"HOU","SEA",7.17,7.8,8.19,NA,"5","5",0
"SS","Brandon Crawford",3400,"SF@ARI 09:40PM ET",7.163,"SF","ARI",5.9,7.3,8.05,NA,"5","5",21
"1B","Adrian Gonzalez",3400,"SD@LAD 10:10PM ET",7.048,"LAD","SD",6.06,5.4,7.58,NA,"4","6",3
"OF","Yasiel Puig",3400,"SD@LAD 10:10PM ET",5.791,"LAD","SD",6.05,7.9,6.35,NA,"6","5",0
"OF","Randal Grichuk",3300,"CHC@STL 08:15PM ET",6.947,"STL","CHC",5.07,5.3,5.37,NA,"7","7",0
"SS","Brad Miller",3300,"NYY@TB 07:10PM ET",7.467,"TB","NYY",6.07,5.5,7.4,NA,"4","6",0
"OF","Rajai Davis",3300,"LAA@OAK 10:05PM ET",7.235,"OAK","LAA",6.25,7.3,8.69,NA,"1","1",17
"1B/3B","Travis Shaw",3300,"COL@MIL 07:40PM ET",6.342,"MIL","COL",4.89,6.5,1.75,NA,"6","5",16
