"Player","Pos","Team","Opp","Def v Pos","VegasPts","Salary","Floor","Ceiling","FPG","FPPM","USG","FGA","MPG","Proj Mins","FC Proj","My Proj","Exposure","Con.","Value","Mins","Score","Val"
"James Harden","PG/SGPGSG","HOU","vs IND","8th",117.5,11600,0,24.6,57.8,1.63,36.8,21.1,35.4,0,0,0,"%",79,0,35,59,5.1
"Russell Westbrook","PG","OKC","@ ORL","29th",109.25,11200,38.1,78.2,51.9,1.5,33.1,18.9,34.6,35.92,55.28,55.28,"%",78,4.9,37,69.75,6.2
"DeMarcus Cousins","PF/CPFC","NOP","vs MIN","28th",110.25,11000,38.1,83.5,55.7,1.6,34.4,19,34.9,37,57.54,57.54,"%",77,5.2,39,42.5,3.9
"Anthony Davis","PF/CPFC","NOP","vs MIN","8th",110.25,10800,20.9,75.3,50.9,1.43,26.4,16.3,35.6,33.49,44.21,44.21,"%",69,4.1,17,22.25,2.1
"Joel Embiid","C","PHI","vs WAS","6th",109.75,9800,22.5,70.3,45.6,1.58,34.5,16.7,28.9,29.9,43,43,"%",70,4.4,32,58.5,6
"Ben Simmons","PG/SFPGSF","PHI","vs WAS","22nd",109.75,9700,35.3,65.6,45.7,1.32,25.1,15.2,34.6,33.1,48.26,48.26,"%",81,5,40,66,6.8
"Stephen Curry","PG/SGPGSG","GSW","@ LAL","26th",120,9600,39.7,69.1,46.4,1.46,31.7,17.4,31.7,32.47,52.31,52.31,"%",82,5.4,39,43.75,4.6
"Kevin Durant","SF/PFSFPF","GSW","@ LAL","15th",120,9300,35.2,60.3,45.7,1.36,28.7,17,33.7,35.17,45.93,45.93,"%",84,4.9,42,47.75,5.1
"Andre Drummond","C","DET","vs PHX","22nd",113.25,9200,34.2,70,43.9,1.33,21.8,10.5,32.9,34.18,49.53,49.53,"%",77,5.4,27,35.25,3.8
"Karl-Anthony Towns","C","MIN","@ NOP","30th",105.25,8700,29.8,67.2,42.4,1.23,24,15,34.6,36.75,45.83,45.83,"%",75,5.3,20,27,3.1
"Paul George","SF","OKC","@ ORL","23rd",109.25,8600,25.4,70.2,39.6,1.09,25.9,17.3,36.3,36.99,44.61,44.61,"%",68,5.2,40,37.75,4.4
"Victor Oladipo","PG/SGPGSG","IND","@ HOU","19th",106.5,8400,22.9,60,39.9,1.22,31.1,17.4,32.6,34.61,38.8,38.8,"%",73,4.6,34,43.75,5.2
"Marc Gasol","C","MEM","@ SAS","15th",93.5,8300,23.4,61.6,40.9,1.21,29,15.7,33.8,33.3,39.76,39.76,"%",73,4.8,35,27,3.3
"Kristaps Porzingis","PF/CPFC","NYK","vs MIA","3rd",103.75,8200,19.8,58.9,43.2,1.32,34.8,20.2,32.7,30.6,36.54,36.54,"%",74,4.5,2,3.5,0.4
"Bradley Beal","SG","WAS","@ PHI","10th",103.75,8100,22.8,58.9,37.7,1.08,28.9,18,34.8,37.01,38.27,38.27,"%",73,4.7,22,31.5,3.9
"LaMarcus Aldridge","PF/CPFC","SAS","vs MEM","9th",101.5,8100,23.5,57.4,40.1,1.23,28.5,17,32.7,33.91,38.05,38.05,"%",76,4.7,36,53,6.5
"Chris Paul","PG/SGPGSG","HOU","vs IND","17th",117.5,8100,31.2,54.5,38.2,1.4,18.7,9.5,27.3,30.8,41.18,41.18,"%",83,5.1,29,31,3.8
"DeMar DeRozan","SG/SFSGSF","TOR","vs CHA","4th",105.75,7900,16.8,55,37.2,1.1,30.4,17.2,33.7,32.62,33.21,33.21,"%",71,4.2,35,43.5,5.5
"Kyle Lowry","PG","TOR","vs CHA","19th",105.75,7800,20.7,65.8,37.1,1.17,21.9,11.5,31.8,32.93,40.01,40.01,"%",65,5.1,36,55.75,7.1
"Devin Booker","SG/SFSGSF","PHX","@ DET","13th",102.25,7700,17.3,61.3,36.8,1.11,29.1,18.4,33.1,34.7,36.12,36.12,"%",66,4.7,27,26.5,3.4
"Goran Dragic","PG","MIA","@ NYK","15th",102.75,7600,22.5,46.8,32.3,0.98,25.3,14.4,32.8,33.2,32.9,32.9,"%",79,4.3,23,13,1.7
"Clint Capela","C","HOU","vs IND","13th",117.5,7400,16.8,53.8,34.4,1.37,20.1,8.5,25.2,25.4,32.64,32.64,"%",69,4.4,28,44.25,6
"Klay Thompson","SG","GSW","@ LAL","20th",120,7400,25,52.2,33.5,1.04,25,16.4,32.3,33.5,36.65,36.65,"%",77,5,38,28.75,3.9
"Jimmy Butler","SG","MIN","@ NOP","25th",105.25,7400,22.1,55.5,35.1,0.98,22.4,14.3,35.8,35.68,36.39,36.39,"%",73,4.9,32,30,4.1
"Nikola Vucevic","C","ORL","vs OKC","2nd",103.25,7300,15.5,53.3,35.9,1.23,25.2,14.3,29.1,29.89,31.68,31.68,"%",70,4.3,30,34.25,4.7
"Draymond Green","PF/CPFC","GSW","@ LAL","16th",120,7300,25.9,52,33.9,1.1,16.2,7.6,30.8,32.95,37.07,37.07,"%",78,5.1,38,50.25,6.9
"T.J. Warren","SF/PFSFPF","PHX","@ DET","21st",102.25,7100,14.2,58.1,31.3,1.02,25.6,15.7,30.8,34.67,33.04,33.04,"%",60,4.7,22,11,1.5
"Dwight Howard","C","CHA","@ TOR","4th",98.75,7100,13.7,53.1,35.6,1.22,25.4,9.9,29.3,30.68,30.62,30.62,"%",68,4.3,30,42,5.9
"Aaron Gordon","SF/PFSFPF","ORL","vs OKC","4th",103.25,7000,19.5,52.8,34.7,1.09,21.6,12.2,31.8,33.79,33.76,33.76,"%",73,4.8,43,78.75,11.3
"Carmelo Anthony","SF/PFSFPF","OKC","@ ORL","23rd",109.25,7000,29.4,50.8,33.8,1.06,27.7,16.8,31.8,32.06,38.54,38.54,"%",82,5.5,34,30.75,4.4
