"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup","X","Player","Roster.Position","X.Drafted","FPTS"
1,940276239,"kabloom025",0,327,"F Zach Randolph G De'Aaron Fox UTIL Joe Ingles SG Donovan Mitchell PF LaMarcus Aldridge C Marc Gasol SF Paul George PG Michael Carter-Williams",NA,"LaMarcus Aldridge","C","35.54%",32
2,940300039,"doggone47 (4/4)",0,324,"C Zach Randolph G Justin Holiday PF Derrick Favors PG Donovan Mitchell UTIL Rudy Gay F Taj Gibson SG Jimmy Butler SF Paul George",NA,"Russell Westbrook","PG","28.77%",49.25
3,939242514,"sam8648",0,323.25,"G Kris Dunn PF DeMarcus Cousins PG Alec Burks SF Joe Ingles SG Donovan Mitchell F Paul George C Steven Adams UTIL Wayne Ellington",NA,"Dwight Howard","UTIL","27.80%",18.75
4,940304662,"chuykilla96",0,317.75,"PF Zach Randolph SG Kris Dunn F Denzel Valentine PG Donovan Mitchell UTIL Rudy Gay G Jimmy Butler SF Paul George C Steven Adams",NA,"Donovan Mitchell","PG","25.49%",53.5
5,940246774,"Bill1505 (1/12)",0,316,"C Zach Randolph F Jonas Jerebko PF DeMarcus Cousins PG Donovan Mitchell UTIL Rudy Gay SF Paul George SG Nicolas Batum G Michael Carter-Williams",NA,"Paul George","F","22.26%",62
5,940246801,"Bill1505 (2/12)",0,316,"C Zach Randolph F Jonas Jerebko PF DeMarcus Cousins PG Donovan Mitchell UTIL Rudy Gay SF Paul George SG Nicolas Batum G Michael Carter-Williams",NA,"Kris Dunn","G","21.94%",26
5,940246804,"Bill1505 (3/12)",0,316,"C Zach Randolph F Jonas Jerebko PF DeMarcus Cousins PG Donovan Mitchell UTIL Rudy Gay SF Paul George SG Nicolas Batum G Michael Carter-Williams",NA,"Jeremy Lamb","SG","21.65%",24.5
5,940246831,"Bill1505 (4/12)",0,316,"C Zach Randolph F Jonas Jerebko PF DeMarcus Cousins PG Donovan Mitchell UTIL Rudy Gay SF Paul George SG Nicolas Batum G Michael Carter-Williams",NA,"Tyreke Evans","SG","21.39%",14.25
5,940246842,"Bill1505 (5/12)",0,316,"C Zach Randolph F Jonas Jerebko PF DeMarcus Cousins PG Donovan Mitchell UTIL Rudy Gay SF Paul George SG Nicolas Batum G Michael Carter-Williams",NA,"Jrue Holiday","PG","21.06%",24.5
5,940246862,"Bill1505 (6/12)",0,316,"C Zach Randolph F Jonas Jerebko PF DeMarcus Cousins PG Donovan Mitchell UTIL Rudy Gay SF Paul George SG Nicolas Batum G Michael Carter-Williams",NA,"Alec Burks","UTIL","21.06%",35.75
