"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn","RankTargets","RollingTargetPctg","ValueWR"
"WR","Antonio Brown (0000000)","Antonio Brown",0,9600,"Pit@Phi 00:00PM ET","Pit","Antonio","Brown","Phi",27.75,25.2,1,0.295774647887324,0
"WR","Julio Jones (0000000)","Julio Jones",0,9500,"Atl@NO 00:00PM ET","Atl","Julio","Jones","NO",28.56,24.5,3,0.180555555555556,0
"WR","Odell Beckham (0000000)","Odell Beckham",0,9100,"Was@NYG 00:00PM ET","NYG","Odell","Beckham","Was",21.5,19.7,1,0.301369863013699,0
"WR","DeAndre Hopkins (0000000)","DeAndre Hopkins",0,8600,"Hou@NE 00:00PM ET","Hou","DeAndre","Hopkins","NE",18.28,19.7,1,0.283582089552239,0
"WR","Dez Bryant (0000000)","Dez Bryant",0,8400,"Chi@Dal 00:00PM ET","Dal","Dez","Bryant","Chi",17.84,17.1,2,0.233766233766234,0
"WR","A.J. Green (0000000)","A.J. Green",0,8100,"Den@Cin 00:00PM ET","Cin","A.J.","Green","Den",18.56,18,1,0.252873563218391,0
"WR","Alshon Jeffery (0000000)","Alshon Jeffery",0,8000,"Chi@Dal 00:00PM ET","Chi","Alshon","Jeffery","Dal",15.71,19.3,1,0.23728813559322,0
"WR","Brandin Cooks (0000000)","Brandin Cooks",0,7900,"Atl@NO 00:00PM ET","NO","Brandin","Cooks","Atl",19.89,17.3,1,0.218390804597701,0
"QB","Drew Brees (0000000)","Drew Brees",0,7900,"Atl@NO 00:00PM ET","NO","Drew","Brees","Atl",26.31,20.5,0,0,0
"QB","Cam Newton (0000000)","Cam Newton",0,7800,"Min@Car 00:00PM ET","Car","Cam","Newton","Min",22.49,22.4,0,0,0
"QB","Aaron Rodgers (0000000)","Aaron Rodgers",0,7700,"Det@GB 00:00PM ET","GB","Aaron","Rodgers","Det",22.4,22.8,0,0,0
"RB","David Johnson (0000000)","David Johnson",0,7700,"Ari@Buf 00:00PM ET","Ari","David","Johnson","Buf",21.69,19,3,0.148648648648649,0
"WR","Amari Cooper (0000000)","Amari Cooper",0,7700,"Oak@Ten 00:00PM ET","Oak","Amari","Cooper","Ten",17.5,16.8,1,0.264367816091954,0
"QB","Andrew Luck (0000000)","Andrew Luck",0,7600,"SD@Ind 00:00PM ET","Ind","Andrew","Luck","SD",23.27,21.9,0,0,0
"WR","Allen Robinson (0000000)","Allen Robinson",0,7500,"Bal@Jax 00:00PM ET","Jax","Allen","Robinson","Bal",19.46,17.1,1,0.238636363636364,0
"RB","DeAngelo Williams (0000000)","DeAngelo Williams",0,7500,"Pit@Phi 00:00PM ET","Pit","DeAngelo","Williams","Phi",21.47,20.3,2,0.197183098591549,0
"QB","Matt Ryan (0000000)","Matt Ryan",0,7400,"Atl@NO 00:00PM ET","Atl","Matt","Ryan","NO",24.92,20.5,0,0,0
"WR","Jordy Nelson (0000000)","Jordy Nelson",0,7400,"Det@GB 00:00PM ET","GB","Jordy","Nelson","Det",19.74,18.3,1,0.272727272727273,0
"RB","C.J. Anderson (0000000)","C.J. Anderson",0,7300,"Den@Cin 00:00PM ET","Den","C.J.","Anderson","Cin",18.63,16,3,0.166666666666667,0
"WR","Brandon Marshall (0000000)","Brandon Marshall",0,7300,"NYJ@KC 00:00PM ET","NYJ","Brandon","Marshall","KC",14.49,11.2,1,0.273972602739726,0
"QB","Ben Roethlisberger (0000000)","Ben Roethlisberger",0,7300,"Pit@Phi 00:00PM ET","Pit","Ben","Roethlisberger","Phi",20.42,21.7,0,0,0
"WR","Randall Cobb (0000000)","Randall Cobb",0,7300,"Det@GB 00:00PM ET","GB","Randall","Cobb","Det",14.96,15.3,2,0.233766233766234,0
"QB","Carson Palmer (0000000)","Carson Palmer",0,7200,"Ari@Buf 00:00PM ET","Ari","Carson","Palmer","Buf",21.26,18.3,0,0,0
"WR","Kelvin Benjamin (0000000)","Kelvin Benjamin",0,7200,"Min@Car 00:00PM ET","Car","Kelvin","Benjamin","Min",17.96,15.2,1,0.283783783783784,0
"RB","Lamar Miller (0000000)","Lamar Miller",0,7200,"Hou@NE 00:00PM ET","Hou","Lamar","Miller","NE",18.89,16.4,3,0.0895522388059701,0
"WR","Jordan Matthews (0000000)","Jordan Matthews",0,7100,"Pit@Phi 00:00PM ET","Phi","Jordan","Matthews","Pit",15.8,17.7,1,0.333333333333333,0
"RB","Todd Gurley (0000000)","Todd Gurley",0,7100,"LA@TB 00:00PM ET","LA","Todd","Gurley","TB",13.55,17.1,6,0.046875,0
"QB","Russell Wilson (0000000)","Russell Wilson",0,7100,"SF@Sea 00:00PM ET","Sea","Russell","Wilson","SF",19.27,25.3,11,0,0
"WR","Mike Evans (0000000)","Mike Evans",0,7000,"LA@TB 00:00PM ET","TB","Mike","Evans","LA",17.62,18.5,1,0.30379746835443,0
"RB","Matt Forte (0000000)","Matt Forte",0,7000,"NYJ@KC 00:00PM ET","NYJ","Matt","Forte","KC",16.92,16.4,4,0.136986301369863,0
"QB","Eli Manning (0000000)","Eli Manning",0,7000,"Was@NYG 00:00PM ET","NYG","Eli","Manning","Was",18.46,18.5,0,0,0
"RB","Ezekiel Elliott (0000000)","Ezekiel Elliott",0,6900,"Chi@Dal 00:00PM ET","Dal","Ezekiel","Elliott","Chi",17.11,15.7,5,0.051948051948052,0
"QB","Derek Carr (0000000)","Derek Carr",0,6900,"Oak@Ten 00:00PM ET","Oak","Derek","Carr","Ten",20.9,20.7,0,0,0
