"player","salary","team","pos","opp","ceil","floor","fpts"
"Jared Goff",6700,"LAR","QB","HOU",28.9408,9.1392,19.04
"Eli Manning",5100,"NYG","QB","SFO",23.2875,11.2125,17.25
"Tom Savage",4500,"HOU","QB","LAR",19.8606,5.2794,12.57
"Matthew Stafford",6800,"DET","QB","CLE",30.1301,12.0099,21.07
"Ryan Fitzpatrick",4900,"TBB","QB","NYJ",26.487,6.213,16.35
"DeShone Kizer",4600,"CLE","QB","DET",18.7872,5.9328,12.36
"C.J. Beathard",4800,"SFO","QB","NYG",25.0114,6.6486,15.83
"Dak Prescott",7300,"DAL","QB","ATL",29.52,11.48,20.5
"Jay Cutler",5400,"MIA","QB","CAR",19.906,6.994,13.45
"Cam Newton",6600,"CAR","QB","MIA",27.6192,10.7408,19.18
"Brock Osweiler",4600,"DEN","QB","NEP",22.5215,6.5385,14.53
"Tom Brady",7300,"NEP","QB","DEN",28.6955,10.8845,19.79
"Matt Ryan",6500,"ATL","QB","DAL",26.3268,10.7532,18.54
"Josh McCown",6100,"NYJ","QB","TBB",24.6078,8.8722,16.74
"Marcus Mariota",5800,"TEN","QB","CIN",28.611,5.049,16.83
"Case Keenum",4800,"MIN","QB","WAS",21.3591,7.7009,14.53
"Kirk Cousins",5900,"WAS","QB","MIN",24.157,9.163,16.66
"Jacoby Brissett",5200,"IND","QB","PIT",20.6208,8.0192,14.32
"Ben Roethlisberger",6600,"PIT","QB","IND",28.8561,9.3639,19.11
"Drew Stanton",4800,"ARI","QB","SEA",17.5595,6.6605,12.11
"Philip Rivers",4900,"LAC","QB","JAC",19.5952,6.8848,13.24
"Blake Bortles",4800,"JAC","QB","LAC",22.155,7.385,14.77
"Mitchell Trubisky",4500,"CHI","QB","GBP",20.5175,7.7825,14.15
"Andy Dalton",5300,"CIN","QB","TEN",22.3652,8.9148,15.64
"Brett Hundley",5000,"GBP","QB","CHI",24.1408,5.2992,14.72
"Tyrod Taylor",6300,"BUF","QB","NOS",24.6935,9.3665,17.03
"Drew Brees",6900,"NOS","QB","BUF",25.6336,9.0064,17.32
"Russell Wilson",7400,"SEA","QB","ARI",30.0585,11.4015,20.73
"Bruce Ellington",3000,"HOU","WR","LAR",8.415,2.805,5.61
"Will Fuller",4700,"HOU","WR","LAR",19.098,2.122,10.61
"DeAndre Hopkins",7500,"HOU","WR","LAR",21.5605,6.2595,13.91
"Braxton Miller",3000,"HOU","WR","LAR",3.2076,0.7524,1.98
"Stephen Anderson",2500,"HOU","TE","LAR",3.61,0.19,1.9
"Sammy Watkins",4800,"LAR","WR","HOU",15.744,3.936,9.84
"Todd Gurley",8700,"LAR","RB","HOU",36.816,9.204,23.01
"Alfred Blue",3700,"HOU","RB","LAR",0.665,0.095,0.38
"D'Onta Foreman",4000,"HOU","RB","LAR",8.4,2.1,5.25
"TJ Jones",3800,"DET","WR","CLE",10.062,0.258,5.16
"Kenny Golladay",4400,"DET","WR","CLE",11.786,2.414,7.1
"Jared Abbrederis",3000,"DET","WR","CLE",4.02,1.34,2.68
"Darren Fells",2500,"DET","TE","CLE",8.912,2.228,5.57
"Lamar Miller",5200,"HOU","RB","LAR",23.1546,7.9254,15.54
"Eric Ebron",3100,"DET","TE","CLE",10.998,3.102,7.05
