player,salary,team,pos,opp,ceil,floor,fpts
"Marcedes Lewis",2600,JAC,TE,SDC,,,2.97
"Julius Thomas",4400,JAC,TE,SDC,,,11.69
"Melvin Gordon",4800,SDC,RB,JAC,,,11.02
"Danny Woodhead",5200,SDC,RB,JAC,,,15.82
"Tyrell Williams",3700,SDC,WR,JAC,,,10.44
"Travis Benjamin",4400,SDC,WR,JAC,,,14.66
"Rashad Greene",3100,JAC,WR,SDC,,,5.2
"Marqise Lee",3100,JAC,WR,SDC,,,5.3
"Denard Robinson",3100,JAC,RB,SDC,,,4.7
"Jermaine Gresham",2500,ARI,TE,TBB,,,4.28
"T.J. Yeldon",4700,JAC,RB,SDC,,,15.35
"Allen Robinson",7800,JAC,WR,SDC,,,19.25
"Allen Hurns",5400,JAC,WR,SDC,,,15.36
"Dontrelle Inman",3600,SDC,WR,JAC,,,6.69
"Antonio Gates",4500,SDC,TE,JAC,,,12.74
"C.J. Anderson",6800,DEN,RB,IND,,,19.74
"Jack Doyle",2500,IND,TE,DEN,,,3.66
"Devontae Booker",3000,DEN,RB,IND,,,4.77
"Demaryius Thomas",6400,DEN,WR,IND,,,13.81
"Jordan Norwood",3000,DEN,WR,IND,,,4.27
"Emmanuel Sanders",6000,DEN,WR,IND,,,14.49
"Dwayne Allen",3600,IND,TE,DEN,,,11.28
"Phillip Dorsett",4400,IND,WR,DEN,,,7.74
"Robert Turbin",3000,IND,RB,DEN,,,3.52
"Hunter Henry",2500,SDC,TE,JAC,,,3.18
"Frank Gore",5000,IND,RB,DEN,,,9.73
"T.Y. Hilton",7000,IND,WR,DEN,,,13.12
"Donte Moncrief",6400,IND,WR,DEN,,,11.96
"Darren Fells",2600,ARI,TE,TBB,,,3.5
"Michael Floyd",5900,ARI,WR,TBB,,,14.33
"Antonio Brown",9900,PIT,WR,CIN,,,28.65
"DeAngelo Williams",7100,PIT,RB,CIN,,,22.74
"Sammie Coates",3700,PIT,WR,CIN,,,6.61
"Markus Wheaton",5000,PIT,WR,CIN,,,10.18
"Jesse James",3400,PIT,TE,CIN,,,10.3
"Eli Rogers",4100,PIT,WR,CIN,,,12.12
"Fitzgerald Toussaint",3500,PIT,RB,CIN,,,3.56
"James Wright",3000,CIN,WR,PIT,,,3.07
"Jeremy Hill",4300,CIN,RB,PIT,,,11.79
"Giovani Bernard",4200,CIN,RB,PIT,,,10.91
"A.J. Green",8900,CIN,WR,PIT,,,20.59
"Brandon LaFell",4000,CIN,WR,PIT,,,10.15
"Tyler Boyd",3500,CIN,WR,PIT,,,8.4
"C.J. Uzomah",2600,CIN,TE,PIT,,,6.91
"Tyler Kroft",2500,CIN,TE,PIT,,,3.8
"Andre Ellington",3900,ARI,RB,TBB,,,3.6
"Austin Seferian-Jenkins",2900,TBB,TE,ARI,,,5.16
"David Johnson",7600,ARI,RB,TBB,,,20.28
"Larry Fitzgerald",6400,ARI,WR,TBB,,,16.63
"Jaron Brown",3300,ARI,WR,TBB,,,3.73
