"player","salary","team","pos","opp","ceil","floor","fpts"
"Seattle Seahawks","3700","SEA","DST","ARI","","","9.38"
"San Francisco 49ers","2800","SFO","DST","LAR","","","5.59"
"Los Angeles Rams","3500","LAR","DST","SFO","","","9.1"
"Arizona Cardinals","2600","ARI","DST","SEA","","","8.18"
"Oakland Raiders","2800","OAK","DST","IND","","","7.16"
"Carolina Panthers","2500","CAR","DST","ATL","","","7.62"
"Indianapolis Colts","2500","IND","DST","OAK","","","6.12"
"Cincinnati Bengals","3200","CIN","DST","HOU","","","7.83"
"Houston Texans","3100","HOU","DST","CIN","","","7.12"
"Detroit Lions","2700","DET","DST","DAL","","","5.98"
"Dallas Cowboys","2800","DAL","DST","DET","","","7.04"
"Kansas City Chiefs","3500","KCC","DST","DEN","","","10.08"
"Denver Broncos","3300","DEN","DST","KCC","","","8.95"
"Baltimore Ravens","2900","BAL","DST","PIT","","","8.28"
"Pittsburgh Steelers","3000","PIT","DST","BAL","","","7.9"
"Atlanta Falcons","2700","ATL","DST","CAR","","","7.4"
"New Orleans Saints","2400","NOS","DST","TBB","","","5.4"
"New York Jets","2300","NYJ","DST","NEP","","","3.04"
"New England Patriots","3600","NEP","DST","NYJ","","","11.32"
"San Diego Chargers","3400","SDC","DST","CLE","","","11.4"
"Chicago Bears","2300","CHI","DST","WAS","","","5.82"
"Washington Redskins","3200","WAS","DST","CHI","","","7.36"
"Philadelphia Eagles","2800","PHI","DST","NYG","","","6.8"
"New York Giants","3300","NYG","DST","PHI","","","8.8"
"Cleveland Browns","2200","CLE","DST","SDC","","","4.84"
"Miami Dolphins","3000","MIA","DST","BUF","","","8.07"
"Green Bay Packers","3300","GBP","DST","MIN","","","8.9"
"Tampa Bay Buccaneers","2600","TBB","DST","NOS","","","4.69"
"Minnesota Vikings","2900","MIN","DST","GBP","","","7.24"
"Jacksonville Jaguars","2900","JAC","DST","TEN","","","5.74"
"Buffalo Bills","3100","BUF","DST","MIA","","","8.98"
"Tennessee Titans","3400","TEN","DST","JAC","","","8.58"
